Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,2011sybp,5,"Sunday, November  6, 2011 14:17:47 UTC",-2.8544,101.9524,4.8,153.40,21,"southern Sumatra, Indonesia"
ak,10349734,2,"Sunday, November  6, 2011 14:17:24 UTC",63.2766,-151.2701,1.1,11.40,13,"Central Alaska"
us,b0006ktw,5,"Sunday, November  6, 2011 14:03:10 UTC",54.6579,159.1130,4.5,160.80,69,"near the east coast of the Kamchatka Peninsula, Russia"
ak,10349733,2,"Sunday, November  6, 2011 14:00:16 UTC",63.4691,-151.3160,1.0,4.30,12,"Central Alaska"
ak,10351004,2,"Sunday, November  6, 2011 13:45:12 UTC",63.2801,-150.6716,1.7,126.70,20,"Central Alaska"
ak,10349731,3,"Sunday, November  6, 2011 13:35:45 UTC",51.7952,-172.6345,2.9,40.20, 8,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006ktm,5,"Sunday, November  6, 2011 13:34:23 UTC",38.6493,43.7017,4.3,10.00,14,"eastern Turkey"
nn,00354197,8,"Sunday, November  6, 2011 12:53:04 UTC",36.1810,-115.4131,1.7,3.20, 7,"Nevada"
ak,10349727,2,"Sunday, November  6, 2011 12:22:26 UTC",54.2681,-162.5526,3.2,13.20,18,"Alaska Peninsula"
uu,11061220,2,"Sunday, November  6, 2011 12:20:28 UTC",39.4348,-111.2483,1.5,5.70,15,"Utah"
uw,11061219,1,"Sunday, November  6, 2011 12:19:07 UTC",48.4293,-122.6449,1.4,22.00,16,"San Juan Islands region, Washington"
nc,71676471,0,"Sunday, November  6, 2011 12:08:33 UTC",38.7583,-122.7383,1.0,1.60,10,"Northern California"
ak,10349722,3,"Sunday, November  6, 2011 12:00:13 UTC",61.6597,-151.9615,2.0,114.00,28,"Southern Alaska"
nc,71676461,3,"Sunday, November  6, 2011 11:49:56 UTC",38.8212,-122.8227,1.2,2.90,43,"Northern California"
nc,71676456,0,"Sunday, November  6, 2011 11:45:07 UTC",38.7733,-122.7197,1.0,2.60,11,"Northern California"
ci,15072876,2,"Sunday, November  6, 2011 11:32:03 UTC",33.9637,-116.5730,1.0,9.10,57,"Southern California"
us,b0006ksm,5,"Sunday, November  6, 2011 11:20:23 UTC",35.5247,-96.8828,3.2,5.00,20,"Oklahoma"
us,b0006ksu,5,"Sunday, November  6, 2011 11:16:20 UTC",35.5233,-96.8442,3.0,4.90,24,"Oklahoma"
us,b0006ks3,9,"Sunday, November  6, 2011 11:03:52 UTC",35.5387,-96.8247,3.4,5.00,31,"Oklahoma"
ak,10350999,2,"Sunday, November  6, 2011 11:03:15 UTC",54.2301,-162.5491,2.6,13.30, 8,"Alaska Peninsula"
ak,10349700,2,"Sunday, November  6, 2011 10:59:35 UTC",61.7262,-150.1586,2.1,40.50,33,"Southern Alaska"
us,b0006krn,7,"Sunday, November  6, 2011 10:52:35 UTC",35.5670,-96.7968,3.9,5.00,50,"Oklahoma"
ak,10349695,2,"Sunday, November  6, 2011 10:49:11 UTC",64.7149,-147.4843,1.2,21.00, 8,"Central Alaska"
nn,00354174,8,"Sunday, November  6, 2011 10:42:17 UTC",39.2657,-115.6142,2.5,0.00, 4,"Nevada"
us,b0006krc,B,"Sunday, November  6, 2011 10:41:03 UTC",54.2064,-162.6240,5.2,30.40,438,"Alaska Peninsula"
nc,71676426,2,"Sunday, November  6, 2011 10:32:02 UTC",37.1673,-121.9862,1.1,11.20,22,"Northern California"
nc,71676421,2,"Sunday, November  6, 2011 10:24:42 UTC",37.4128,-118.6012,1.1,11.60,18,"Central California"
ak,10350995,2,"Sunday, November  6, 2011 10:19:01 UTC",54.2258,-162.5866,2.8,7.70, 9,"Alaska Peninsula"
ak,10349679,2,"Sunday, November  6, 2011 10:00:03 UTC",54.2463,-162.5767,3.3,13.20,12,"Alaska Peninsula"
