client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,product_count
132,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2014-06-06,1
133,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,2012-11-30,2
133,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,2013-11-01,3
134,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,2012-11-30,1
134,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,2013-10-08,3
135,LOYAL CLIENT,Brampton,L6P1M3,43.774104,-79.672511,2012-12-13,2
136,REHAB CLINIC,Brampton,L6P1M3,43.774104,-79.672511,2013-10-18,1
137,MEDIA,Brampton,L6P1M3,43.774104,-79.672511,2012-06-27,2
138,OTHER CLIENTS,Brampton,L6P1M3,43.774104,-79.672511,2012-10-10,2
139,LOYAL CLIENT,Shelburne,L0N1S8,44.090288,-80.129839,2012-12-13,1
139,LOYAL CLIENT,Shelburne,L0N1S8,44.090288,-80.129839,2013-03-01,1
140,OTHER CLIENTS,Shelburne,L0N1S8,44.090288,-80.129839,2012-12-13,2
140,OTHER CLIENTS,Shelburne,L0N1S8,44.090288,-80.129839,2013-03-15,1
141,OTHER CLIENTS,Shelburne,L0N1S8,44.090288,-80.129839,2013-11-10,2
142,OTHER CLIENTS,Brampton,L6R1T3,43.741009,-79.749223,2013-02-25,1
143,LOYAL CLIENT,North York,M3L1S9,43.735848,-79.509733,2013-10-06,1
144,OTHER CLIENTS,North York,M3L1S9,43.735848,-79.509733,2013-09-21,1
145,LOYAL CLIENT,North York,M3N2P4,43.769119,-79.514722,2014-04-24,1
146,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,2014-01-08,1
147,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,2013-03-11,1
147,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,2014-01-08,2
148,LOYAL CLIENT,Brampton,L6X0Y5,43.68657,-79.799345,2012-06-11,2
149,LOYAL CLIENT,Brampton,L6V3T3,43.715496,-79.7693,2012-04-24,2
150,LOYAL CLIENT,Brampton,L6P3C9,43.793235,-79.680757,2013-01-16,1
151,Referrer_10,Brampton,L6P3C9,43.793235,-79.680757,2014-11-26,1
152,Referrer_10,Brampton,L6P3C9,43.793235,-79.680757,2014-10-18,2
153,Referrer_0,Brampton,L6R0M9,43.762006,-79.764236,2013-07-30,1
154,Referrer_0,Brampton,L6P3L3,43.787993,-79.667893,2012-01-11,2
154,Referrer_0,Brampton,L6P3L3,43.787993,-79.667893,2013-04-12,1
155,Referrer_0,Brampton,L6P3L3,43.787993,-79.667893,2012-04-12,3
155,Referrer_0,Brampton,L6P3L3,43.787993,-79.667893,2013-05-12,1
156,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,2013-12-30,1
156,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,2014-11-01,2
157,Referrer_0,Brampton,L6P1R5,43.77229,-79.674498,2012-11-28,2
157,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,2013-12-30,1
157,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,2014-11-01,2
158,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,2013-12-30,1
159,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,2013-11-30,1
160,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,2013-12-14,1
160,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,2014-11-24,0
161,REHAB CLINIC,Brampton,L6P1S2,43.772667,-79.666095,2012-01-11,2
162,Referrer_9,Brampton,L6P1S2,43.772667,-79.666095,2013-08-07,2
163,REHAB CLINIC,Etobicoke,M9V4P3,43.734905,-79.596271,2013-07-12,1
164,REHAB CLINIC,Brampton,L6W4M2,43.672381,-79.722292,2013-04-27,0
165,REHAB CLINIC,Brampton,L6W4M2,43.672381,-79.722292,2013-05-16,1
166,REHAB CLINIC,Brampton,L6W4M2,43.672381,-79.722292,2013-04-27,1
167,REHAB CLINIC,Brampton,L6W4M2,43.672381,-79.722292,2013-05-16,1
168,REHAB CLINIC,Brampton,L6P1S1,43.770857,-79.666468,2012-08-29,1
169,REHAB CLINIC,Brampton,L6P2A4,43.777453,-79.703305,2012-12-17,1
170,REHAB CLINIC,Brampton,L6P2A4,43.777453,-79.703305,2012-10-31,1
171,REHAB CLINIC,Hamilton,L8L4C5,43.265985,-79.84229,2013-04-13,3
172,REHAB CLINIC,Brampton,L6P1V2,43.786292,-79.661575,2012-04-24,2
173,REHAB CLINIC,Brampton,L6V2P9,43.697958,-79.766451,2014-04-21,2
174,REHAB CLINIC,Brampton,L6P1K4,43.778973,-79.669619,2012-12-14,1
175,REHAB CLINIC,Brampton,L6P1K4,43.778973,-79.669619,2012-12-28,1
176,REHAB CLINIC,Brampton,L6P1K4,43.778973,-79.669619,2012-12-28,1
177,REHAB CLINIC,Brampton,L6P1J4,43.781811,-79.658804,2012-12-31,2
178,REHAB CLINIC,Brampton,L6P1H3,43.774525,-79.663243,2012-06-25,2
179,MEDIA,Brampton,L6P1H3,43.774525,-79.663243,2012-01-30,0
180,REHAB CLINIC,Mississauga,L4T2K1,43.711484,-79.651414,2012-12-31,1
181,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,2014-03-04,1
182,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,2014-11-01,1
183,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,2014-11-19,1
184,REHAB CLINIC,Mississauga,L5R3E5,43.604152,-79.666142,2014-02-12,1
185,REHAB CLINIC,Brampton,L6P2G1,43.768658,-79.688871,2012-10-30,1
186,WALK-IN,Brampton,L6P2T4,43.768827,-79.68041,2013-04-24,1
187,Referrer_2,Brampton,L6P3J9,43.788855,-79.66281,2013-06-16,1
188,Referrer_2,Brampton,L6P3J9,43.788855,-79.66281,2013-06-13,1
189,Referrer_7,Brampton,L6P3A2,43.787885,-79.680554,2013-07-19,2
190,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,2013-10-10,2
190,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,2014-10-08,1
191,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,2014-10-08,1
192,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,2013-11-14,1
192,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,2014-11-15,0
193,Referrer_7,Mississauga,L5J4B7,43.521676,-79.637078,2014-11-22,1
194,Referrer_11,Woodbridge,L4L3V4,43.790573,-79.607904,2014-10-21,0
195,WALK-IN,Brampton,L6P1H1,43.774381,-79.663601,2012-12-21,3
195,WALK-IN,Brampton,L6P1H1,43.774381,-79.663601,2013-01-24,1
196,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,2013-05-15,1
196,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,2013-05-15,1
197,Referrer_28,Brampton,L6P1R7,43.77199,-79.672533,2013-12-21,0
198,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,2013-12-21,1
199,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,2013-12-21,1
200,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,2012-04-05,1
200,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,2012-04-05,1
201,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,2013-12-19,1
201,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,2013-12-19,1
202,Referrer_0,Brampton,L6P1R5,43.77229,-79.674498,2012-11-28,2
203,OTHER CLIENTS,Brampton,L6P3A7,43.772465,-79.684291,2013-01-18,0
203,OTHER CLIENTS,Brampton,L6P3A7,43.772465,-79.684291,2013-01-18,0
204,OTHER CLIENTS,Brampton,L6R3J1,43.766526,-79.747589,2012-04-24,1
204,OTHER CLIENTS,Brampton,L6R3J1,43.766526,-79.747589,2012-04-24,1
205,OTHER CLIENTS,Brampton,L6R3J1,43.766526,-79.747589,2012-04-24,1
206,OTHER CLIENTS,Brampton,L6S0A5,43.764125,-79.714574,2012-03-12,1
206,OTHER CLIENTS,Brampton,L6S0A5,43.764125,-79.714574,2012-03-12,1
207,OTHER CLIENTS,Brampton,L6P2M8,43.781993,-79.668314,2012-03-12,0
207,OTHER CLIENTS,Brampton,L6P2M8,43.781993,-79.668314,2012-03-12,0
208,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-11-28,1
208,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-11-28,1
209,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
209,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
210,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
210,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
211,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
211,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,2014-10-22,1
212,OTHER CLIENTS,Brampton,L6Y5G6,43.647601,-79.732756,2012-10-09,1
212,OTHER CLIENTS,Brampton,L6Y5G6,43.647601,-79.732756,2012-10-09,1
213,OTHER CLIENTS,Brampton,L6P0Z2,43.783662,-79.669382,2013-06-17,1
213,OTHER CLIENTS,Brampton,L6P0Z2,43.783662,-79.669382,2013-06-17,1
214,MEDIA,Brampton,L6P2G9,43.776942,-79.676093,2013-03-06,1
215,OTHER CLIENTS,Brampton,L6P2G9,43.776942,-79.676093,2013-03-05,1
216,REHAB CLINIC,Brampton,L6R3A3,43.755428,-79.753754,2014-08-10,1
217,REHAB CLINIC,Brampton,L6R3A3,43.755428,-79.753754,2014-08-10,0
218,MEDIA,Brampton,L6P1K1,43.778963,-79.657809,2013-12-02,0
219,MEDIA,Brampton,L6P2E9,43.770298,-79.690902,2013-02-04,2
220,MEDIA,Brampton,L6P2E9,43.770298,-79.690902,2013-02-04,1
221,LOYAL CLIENT,Mississauga,L5C2G5,43.559868,-79.661236,2013-11-01,2
221,LOYAL CLIENT,Mississauga,L5C2G5,43.559868,-79.661236,2014-01-17,1
222,LOYAL CLIENT,Mississauga,L5C2G5,43.559868,-79.661236,2012-09-28,2
222,LOYAL CLIENT,Mississauga,L5C2G5,43.559868,-79.661236,2013-07-26,2
223,MEDIA,Brampton,L6Y4L3,43.654056,-79.761038,2012-12-11,2
224,MEDIA,Brampton,L6Y4L3,43.654056,-79.761038,2013-05-17,1
225,MEDIA,Brampton,L6X0T8,43.689607,-79.78909,2013-12-18,2
226,MEDIA,Brampton,L6P1J6,43.78009,-79.659531,2013-01-08,1
227,MEDIA,Brampton,L6Y3Y9,43.713346,-79.771651,2012-03-12,1
228,MEDIA,Brampton,L6Y3Y9,43.713346,-79.771651,2012-03-12,1
229,Referrer_23,North York,M9M2G4,43.747778,-79.562325,2014-10-14,2
230,Referrer_23,North York,M9M2G4,43.747778,-79.562325,2014-10-14,2
231,Referrer_2,Brampton,L6P1N4,43.778188,-79.658982,2013-07-18,2
232,Referrer_2,Brampton,L6P1N4,43.778188,-79.658982,2013-07-18,2
233,Referrer_2,Mississauga,L5B4B4,43.576734,-79.619995,2013-08-10,2
234,Referrer_9,Mississauga,L5B4B4,43.576734,-79.619995,2013-09-05,2
235,OTHER CLIENTS,North York,M9M1T7,43.740356,-79.54352,2013-04-27,0
236,OTHER CLIENTS,North York,M9M1T7,43.740356,-79.54352,2013-05-16,2
237,OTHER CLIENTS,North York,M9M1T7,43.740356,-79.54352,2013-05-16,1
238,OTHER CLIENTS,Etobicoke,M9W6T3,43.733134,-79.614822,2013-12-20,1
239,OTHER CLIENTS,Etobicoke,M9W6T3,43.733134,-79.614822,2013-09-13,1
240,OTHER CLIENTS,Etobicoke,M9W6T3,43.733134,-79.614822,2013-09-13,1
241,OTHER CLIENTS,Bradford,L3Z0G7,44.123813,-79.593447,2013-10-06,1
242,OTHER CLIENTS,Woodbridge,L4L3K3,43.779318,-79.576699,2013-08-23,1
243,OTHER CLIENTS,Woodbridge,L4L3K3,43.779318,-79.576699,2013-08-23,1
244,OTHER CLIENTS,Etobicoke,M9W6X4,43.72305,-79.6169,2013-12-13,1
245,OTHER CLIENTS,Etobicoke,M9W6X3,43.720495,-79.616271,2013-12-24,1
246,Referrer_1,Mississauga,L4Z4H1,43.607312,-79.641541,2012-10-11,2
247,LOYAL CLIENT,Mississauga,L4Z4H1,43.607312,-79.641541,2013-09-12,2
248,Referrer_1,Brampton,L6Y3C9,43.651905,-79.746009,2012-04-20,2
249,Referrer_1,Brampton,L6Y3C9,43.651905,-79.746009,2012-02-29,1
250,Referrer_2,Etobicoke,M9P1A8,43.685964,-79.518898,2012-04-18,3
251,Referrer_2,Etobicoke,M9P1A8,43.685964,-79.518898,2012-04-18,1
252,Referrer_21,Brampton,L6P3P4,43.795028,-79.669511,2013-08-26,1
253,Referrer_21,Brampton,L6P3P4,43.795028,-79.669511,2013-09-09,1
254,Referrer_8,Brampton,L6P2V9,43.771381,-79.674884,2013-12-30,2
254,Referrer_8,Brampton,L6P2V9,43.771381,-79.674884,2014-10-25,1
255,Referrer_8,Brampton,L6X0R1,43.673442,-79.819632,2012-06-11,2
256,WALK-IN,Brampton,L6T3X6,43.719836,-79.714774,2014-06-13,1
257,WALK-IN,York,M6N3Z6,43.67001,-79.48625,2014-02-28,2
258,WALK-IN,Brampton,L6Y5A2,43.645562,-79.734687,2012-12-31,1
259,WALK-IN,Brampton,L6P3G4,43.78853,-79.686929,2012-11-15,3
260,WALK-IN,Brampton,L6P3G4,43.78853,-79.686929,2012-12-17,1
261,WALK-IN,Brampton,L6P3G7,43.7918,-79.680103,2012-07-12,1
262,Referrer_4,Brampton,L6R1W1,43.749326,-79.747113,2013-04-19,1
263,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,2013-04-26,1
264,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,2014-06-18,2
265,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,2013-04-26,2
265,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,2014-10-11,1
266,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,2013-05-24,1
