CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type
"132","Cape Verde","561","Y","Children under five mortality rate per 1,000 live births","58","","E","56.8","","E","55.2","","E","53.6","","E","51.3","","E","49.3","","E","47","","E","44.8","","E","43.1","","E","41.1","","E","38.9","","E","36.9","","E","34.8","","E","32.8","","E","31","","E","29.3","","E","27.8","","E","26.3","","E","25","","E","23.7","","E","22.5","","E","21.3","","E"," "," "," "," "," "," "
"140","Central African Republic","561","Y","Children under five mortality rate per 1,000 live births","169.1","","E","170.1","","E","171.1","","E","171.8","","E","172.3","","E","172.6","","E","172.8","","E","172.7","","E","172.5","","E","172.3","","E","172","","E","171.4","","E","171.1","","E","170.7","","E","170.3","","E","169.8","","E","168.7","","E","167.6","","E","166.7","","E","165.7","","E","164.6","","E","163.5","","E"," "," "," "," "," "," "
"148","Chad","561","Y","Children under five mortality rate per 1,000 live births","208.3","","E","206.1","","E","204.2","","E","202.2","","E","200.2","","E","198.1","","E","196.3","","E","194.3","","E","192.5","","E","190.6","","E","188.5","","E","186.7","","E","184.9","","E","183.5","","E","181.4","","E","179.6","","E","177.9","","E","176.1","","E","174.7","","E","172.5","","E","171.3","","E","169","","E"," "," "," "," "," "," "
"152","Chile","561","Y","Children under five mortality rate per 1,000 live births","18.7","","E","17.5","","E","16.3","","E","15.3","","E","14.4","","E","13.6","","E","12.9","","E","12.3","","E","11.8","","E","11.3","","E","10.8","","E","10.4","","E","10","","E","9.7","","E","9.5","","E","9.3","","E","9.2","","E","9.1","","E","9","","E","8.9","","E","8.8","","E","8.7","","E"," "," "," "," "," "," "
"156","China","561","Y","Children under five mortality rate per 1,000 live births","48.9","","E","48.7","","E","48.5","","E","48","","E","47.1","","E","45.5","","E","43.9","","E","41.9","","E","39.5","","E","37","","E","35","","E","32.7","","E","30.3","","E","28.1","","E","25.9","","E","23.9","","E","22","","E","20.4","","E","18.8","","E","17.3","","E","15.9","","E","14.6","","E"," "," "," "," "," "," "
"170","Colombia","561","Y","Children under five mortality rate per 1,000 live births","34.3","","E","33.1","","E","32","","E","31","","E","30.1","","E","29.2","","E","28.3","","E","27.4","","E","26.7","","E","25.8","","E","25","","E","24.3","","E","23.5","","E","22.8","","E","22.1","","E","21.4","","E","20.7","","E","20","","E","19.5","","E","18.9","","E","18.3","","E","17.7","","E"," "," "," "," "," "," "
"174","Comoros","561","Y","Children under five mortality rate per 1,000 live births","121.7","","E","119.4","","E","117.5","","E","115.1","","E","112.6","","E","110.4","","E","109","","E","106.3","","E","104.6","","E","101.5","","E","99.6","","E","97.7","","E","96","","E","93.8","","E","91.9","","E","90.8","","E","88.1","","E","87","","E","84.6","","E","83.4","","E","81.3","","E","79.3","","E"," "," "," "," "," "," "
"178","Congo","561","Y","Children under five mortality rate per 1,000 live births","118.8","","E","117.7","","E","116.5","","E","115.7","","E","114.8","","E","113.4","","E","112.7","","E","111.2","","E","110.5","","E","109","","E","108.8","","E","108","","E","106.7","","E","106","","E","105","","E","103.7","","E","103.3","","E","102.1","","E","101.2","","E","100.5","","E","99.6","","E","98.8","","E"," "," "," "," "," "," "
"184","Cook Islands","561","Y","Children under five mortality rate per 1,000 live births","19.1","","E","18.4","","E","18.4","","E","18.2","","E","18.4","","E","18.6","","E","18.6","","E","18.3","","E","18.1","","E","18","","E","17.1","","E","16.2","","E","15.2","","E","14.6","","E","13.8","","E","13.1","","E","12.4","","E","11.8","","E","11.1","","E","10.4","","E","9.9","","E","9.5","","E"," "," "," "," "," "," "
"188","Costa Rica","561","Y","Children under five mortality rate per 1,000 live births","17.2","","E","16.7","","E","16.2","","E","15.8","","E","15.5","","E","15.2","","E","14.8","","E","14.4","","E","13.9","","E","13.4","","E","12.9","","E","12.3","","E","11.7","","E","11.3","","E","10.9","","E","10.7","","E","10.5","","E","10.4","","E","10.3","","E","10.3","","E","10.1","","E","10.1","","E"," "," "," "," "," "," "
"384","Cote d'Ivoire","561","Y","Children under five mortality rate per 1,000 live births","151.4","","E","150.5","","E","149.5","","E","148.4","","E","147.3","","E","146.1","","E","144.7","","E","143.3","","E","141.8","","E","140.3","","E","138.6","","E","136.7","","E","134.7","","E","132.6","","E","130.5","","E","128.2","","E","126.1","","E","123.8","","E","121.1","","E","118.8","","E","116.7","","E","114.9","","E"," "," "," "," "," "," "
"191","Croatia","561","Y","Children under five mortality rate per 1,000 live births","12.9","","E","12.1","","E","11.5","","E","10.9","","E","10.5","","E","10.1","","E","9.6","","E","9.3","","E","9","","E","8.7","","E","8.4","","E","8","","E","7.7","","E","7.4","","E","7.1","","E","6.8","","E","6.4","","E","6.1","","E","5.9","","E","5.6","","E","5.3","","E","5.1","","E"," "," "," "," "," "," "
"192","Cuba","561","Y","Children under five mortality rate per 1,000 live births","13.3","","E","12.7","","E","12.1","","E","11.5","","E","11","","E","10.6","","E","10.2","","E","9.8","","E","9.4","","E","8.9","","E","8.5","","E","8.1","","E","7.7","","E","7.4","","E","7.1","","E","6.9","","E","6.7","","E","6.5","","E","6.3","","E","6.1","","E","5.9","","E","5.8","","E"," "," "," "," "," "," "
