"","state","demVote","year","south"
"401","Indiana",55.98,1964,FALSE
"402","Iowa",61.88,1964,FALSE
"403","Kansas",54.09,1964,FALSE
"404","Kentucky",64.01,1964,FALSE
"405","Louisiana",43.19,1964,TRUE
"406","Maine",68.84,1964,FALSE
"407","Maryland",65.47,1964,FALSE
"408","Massachusetts",76.19,1964,FALSE
"409","Michigan",66.7,1964,FALSE
"410","Minnesota",63.76,1964,FALSE
"411","Mississippi",12.86,1964,TRUE
"412","Missouri",64.05,1964,FALSE
"413","Montana",58.95,1964,FALSE
"414","Nebraska",52.61,1964,FALSE
"415","Nevada",58.58,1964,FALSE
"416","New Hampshire",63.89,1964,FALSE
"417","New Jersey",65.61,1964,FALSE
"418","New Mexico",59.03,1964,FALSE
"419","New York",68.56,1964,FALSE
"420","North Carolina",56.15,1964,TRUE
"421","North Dakota",57.97,1964,FALSE
"422","Ohio",62.94,1964,FALSE
"423","Oklahoma",55.75,1964,FALSE
"424","Oregon",63.72,1964,FALSE
"425","Pennsylvania",64.92,1964,FALSE
"426","Rhode Island",80.87,1964,FALSE
"427","South Carolina",41.11,1964,TRUE
"428","South Dakota",55.61,1964,FALSE
"429","Tennessee",55.5,1964,TRUE
"430","Texas",63.32,1964,TRUE
"431","Utah",54.71,1964,FALSE
"432","Vermont",66.3,1964,FALSE
"433","Virginia",53.54,1964,TRUE
"434","Washington",61.97,1964,FALSE
"435","West Virginia",67.94,1964,FALSE
"436","Wisconsin",62.09,1964,FALSE
"437","Wyoming",56.56,1964,FALSE
"438","Alabama",18.72,1968,TRUE
"439","Alaska",42.65,1968,FALSE
"440","Arizona",35.02,1968,FALSE
"441","Arkansas",30.36,1968,TRUE
"442","California",44.74,1968,FALSE
"443","Colorado",41.32,1968,FALSE
"444","Connecticut",49.48,1968,FALSE
"445","Delaware",41.61,1968,FALSE
"446","DC",81.82,1968,FALSE
"447","Florida",30.93,1968,TRUE
"448","Georgia",26.75,1968,TRUE
"449","Hawaii",59.83,1968,FALSE
"450","Idaho",30.66,1968,FALSE
"451","Illinois",44.15,1968,FALSE
"452","Indiana",37.99,1968,FALSE
"453","Iowa",40.82,1968,FALSE
"454","Kansas",34.72,1968,FALSE
"455","Kentucky",37.65,1968,FALSE
"456","Louisiana",28.21,1968,TRUE
"457","Maine",55.3,1968,FALSE
"458","Maryland",43.59,1968,FALSE
"459","Massachusetts",63.01,1968,FALSE
"460","Michigan",48.18,1968,FALSE
"461","Minnesota",54,1968,FALSE
"462","Mississippi",23.02,1968,TRUE
"463","Missouri",43.74,1968,FALSE
"464","Montana",41.59,1968,FALSE
"465","Nebraska",31.81,1968,FALSE
"466","Nevada",39.29,1968,FALSE
"467","New Hampshire",43.93,1968,FALSE
"468","New Jersey",43.97,1968,FALSE
"469","New Mexico",39.74,1968,FALSE
"470","New York",49.74,1968,FALSE
"471","North Carolina",29.24,1968,TRUE
"472","North Dakota",38.23,1968,FALSE
"473","Ohio",42.95,1968,FALSE
"474","Oklahoma",31.99,1968,FALSE
"475","Oregon",43.78,1968,FALSE
"476","Pennsylvania",47.59,1968,FALSE
"477","Rhode Island",64.03,1968,FALSE
"478","South Carolina",29.61,1968,TRUE
"479","South Dakota",41.96,1968,FALSE
"480","Tennessee",28.13,1968,TRUE
"481","Texas",41.14,1968,TRUE
"482","Utah",37.07,1968,FALSE
"483","Vermont",43.53,1968,FALSE
"484","Virginia",32.49,1968,TRUE
"485","Washington",47.23,1968,FALSE
"486","West Virginia",49.6,1968,FALSE
"487","Wisconsin",44.27,1968,FALSE
"488","Wyoming",35.51,1968,FALSE
"489","Alabama",25.54,1972,TRUE
"490","Alaska",34.62,1972,FALSE
"491","Arizona",31.87,1972,FALSE
"492","Arkansas",30.69,1972,TRUE
"493","California",41.54,1972,FALSE
"494","Colorado",34.59,1972,FALSE
"495","Connecticut",40.13,1972,FALSE
"496","Delaware",39.18,1972,FALSE
"497","DC",78.1,1972,FALSE
"498","Florida",27.8,1972,TRUE
"499","Georgia",24.65,1972,TRUE
"500","Hawaii",37.52,1972,FALSE
"501","Idaho",26.04,1972,FALSE
"502","Illinois",40.51,1972,FALSE
"503","Indiana",33.34,1972,FALSE
"504","Iowa",40.48,1972,FALSE
"505","Kansas",29.5,1972,FALSE
"506","Kentucky",34.77,1972,FALSE
"507","Louisiana",28.35,1972,TRUE
"508","Maine",38.51,1972,FALSE
"509","Maryland",37.36,1972,FALSE
"510","Massachusetts",54.2,1972,FALSE
"511","Michigan",41.82,1972,FALSE
"512","Minnesota",46.07,1972,FALSE
"513","Mississippi",19.63,1972,TRUE
"514","Missouri",37.57,1972,FALSE
"515","Montana",37.85,1972,FALSE
"516","Nebraska",29.5,1972,FALSE
"517","Nevada",36.32,1972,FALSE
"518","New Hampshire",34.86,1972,FALSE
"519","New Jersey",36.77,1972,FALSE
"520","New Mexico",36.53,1972,FALSE
"521","New York",41.18,1972,FALSE
"522","North Carolina",28.89,1972,TRUE
"523","North Dakota",35.79,1972,FALSE
"524","Ohio",38.07,1972,FALSE
"525","Oklahoma",24,1972,FALSE
"526","Oregon",42.33,1972,FALSE
"527","Pennsylvania",39.13,1972,FALSE
"528","Rhode Island",46.81,1972,FALSE
"529","South Carolina",27.72,1972,TRUE
"530","South Dakota",45.52,1972,FALSE
"531","Tennessee",29.75,1972,TRUE
"532","Texas",33.25,1972,TRUE
"533","Utah",26.39,1972,FALSE
"534","Vermont",36.47,1972,FALSE
"535","Virginia",30.12,1972,TRUE
"536","Washington",38.64,1972,FALSE
"537","West Virginia",36.39,1972,FALSE
"538","Wisconsin",43.72,1972,FALSE
"539","Wyoming",30.47,1972,FALSE
"540","Alabama",55.73,1976,TRUE
"541","Alaska",35.65,1976,FALSE
"542","Arizona",39.8,1976,FALSE
"543","Arkansas",64.96,1976,TRUE
"544","California",47.57,1976,FALSE
"545","Colorado",42.56,1976,FALSE
"546","Connecticut",46.9,1976,FALSE
"547","Delaware",51.98,1976,FALSE
"548","DC",81.63,1976,FALSE
"549","Florida",51.93,1976,TRUE
"550","Georgia",66.74,1976,TRUE
"551","Hawaii",50.59,1976,FALSE
"552","Idaho",36.78,1976,FALSE
"553","Illinois",48.13,1976,FALSE
"554","Indiana",45.7,1976,FALSE
"555","Iowa",48.46,1976,FALSE
"556","Kansas",44.94,1976,FALSE
"557","Kentucky",52.75,1976,FALSE
"558","Louisiana",51.73,1976,TRUE
"559","Maine",48.07,1976,FALSE
"560","Maryland",52.75,1976,FALSE
"561","Massachusetts",56.11,1976,FALSE
"562","Michigan",46.44,1976,FALSE
"563","Minnesota",54.9,1976,FALSE
"564","Mississippi",49.56,1976,TRUE
"565","Missouri",51.1,1976,FALSE
"566","Montana",45.4,1976,FALSE
"567","Nebraska",38.46,1976,FALSE
"568","Nevada",45.81,1976,FALSE
"569","New Hampshire",43.47,1976,FALSE
"570","New Jersey",47.92,1976,FALSE
"571","New Mexico",48.07,1976,FALSE
"572","New York",51.87,1976,FALSE
"573","North Carolina",55.24,1976,TRUE
"574","North Dakota",45.79,1976,FALSE
"575","Ohio",48.92,1976,FALSE
"576","Oklahoma",48.75,1976,FALSE
"577","Oregon",47.62,1976,FALSE
"578","Pennsylvania",50.4,1976,FALSE
"579","Rhode Island",55.36,1976,FALSE
"580","South Carolina",56.17,1976,TRUE
"581","South Dakota",48.91,1976,FALSE
"582","Tennessee",55.94,1976,TRUE
"583","Texas",51.14,1976,TRUE
"584","Utah",33.65,1976,FALSE
"585","Vermont",43.11,1976,FALSE
"586","Virginia",47.96,1976,TRUE
"587","Washington",46.11,1976,FALSE
"588","West Virginia",58.05,1976,FALSE
"589","Wisconsin",49.44,1976,FALSE
"590","Wyoming",39.81,1976,FALSE
"591","Alabama",47.45,1980,TRUE
"592","Alaska",26.41,1980,FALSE
"593","Arizona",28.24,1980,FALSE
"594","Arkansas",47.52,1980,TRUE
"595","California",35.91,1980,FALSE
"596","Colorado",31.07,1980,FALSE
"597","Connecticut",38.52,1980,FALSE
"598","Delaware",44.83,1980,FALSE
"599","DC",74.82,1980,FALSE
"600","Florida",38.5,1980,TRUE
"601","Georgia",55.79,1980,TRUE
"602","Hawaii",44.8,1980,FALSE
"603","Idaho",25.19,1980,FALSE
"604","Illinois",41.72,1980,FALSE
"605","Indiana",37.65,1980,FALSE
"606","Iowa",38.6,1980,FALSE
"607","Kansas",33.29,1980,FALSE
"608","Kentucky",47.61,1980,FALSE
"609","Louisiana",45.75,1980,TRUE
"610","Maine",42.25,1980,FALSE
"611","Maryland",47.14,1980,FALSE
"612","Massachusetts",41.75,1980,FALSE
"613","Michigan",42.5,1980,FALSE
"614","Minnesota",46.5,1980,FALSE
"615","Mississippi",48.09,1980,TRUE
"616","Missouri",44.35,1980,FALSE
"617","Montana",32.43,1980,FALSE
"618","Nebraska",26.04,1980,FALSE
"619","Nevada",26.89,1980,FALSE
"620","New Hampshire",28.35,1980,FALSE
"621","New Jersey",38.56,1980,FALSE
"622","New Mexico",36.73,1980,FALSE
"623","New York",43.99,1980,FALSE
"624","North Carolina",47.18,1980,TRUE
"625","North Dakota",26.26,1980,FALSE
"626","Ohio",40.91,1980,FALSE
"627","Oklahoma",34.97,1980,FALSE
"628","Oregon",38.67,1980,FALSE
"629","Pennsylvania",42.48,1980,FALSE
"630","Rhode Island",47.67,1980,FALSE
"631","South Carolina",48.14,1980,TRUE
"632","South Dakota",31.69,1980,FALSE
"633","Tennessee",48.41,1980,TRUE
"634","Texas",41.42,1980,TRUE
"635","Utah",20.57,1980,FALSE
"636","Vermont",38.42,1980,FALSE
"637","Virginia",40.31,1980,TRUE
"638","Washington",37.32,1980,FALSE
"639","West Virginia",49.81,1980,FALSE
"640","Wisconsin",43.18,1980,FALSE
"641","Wyoming",27.97,1980,FALSE
"642","Alabama",38.28,1984,TRUE
"643","Alaska",29.87,1984,FALSE
"644","Arizona",32.54,1984,FALSE
"645","Arkansas",38.29,1984,TRUE
"646","California",41.27,1984,FALSE
"647","Colorado",35.12,1984,FALSE
"648","Connecticut",38.83,1984,FALSE
"649","Delaware",39.93,1984,FALSE
"650","DC",85.38,1984,FALSE
"651","Florida",34.66,1984,TRUE
"652","Georgia",39.78,1984,TRUE
"653","Hawaii",43.82,1984,FALSE
"654","Idaho",26.39,1984,FALSE
"655","Illinois",43.3,1984,FALSE
"656","Indiana",37.68,1984,FALSE
"657","Iowa",45.89,1984,FALSE
"658","Kansas",32.6,1984,FALSE
"659","Kentucky",39.4,1984,FALSE
"660","Louisiana",38.18,1984,TRUE
"661","Maine",38.78,1984,FALSE
"662","Maryland",47.02,1984,FALSE
"663","Massachusetts",48.43,1984,FALSE
"664","Michigan",40.24,1984,FALSE
"665","Minnesota",49.72,1984,FALSE
"666","Mississippi",37.42,1984,TRUE
"667","Missouri",39.98,1984,FALSE
"668","Montana",38.18,1984,FALSE
"669","Nebraska",28.81,1984,FALSE
"670","Nevada",31.97,1984,FALSE
"671","New Hampshire",30.94,1984,FALSE
"672","New Jersey",39.2,1984,FALSE
"673","New Mexico",39.23,1984,FALSE
"674","New York",45.83,1984,FALSE
"675","North Carolina",37.89,1984,TRUE
"676","North Dakota",33.8,1984,FALSE
"677","Ohio",40.14,1984,FALSE
"678","Oklahoma",30.67,1984,FALSE
"679","Oregon",43.74,1984,FALSE
"680","Pennsylvania",45.99,1984,FALSE
"681","Rhode Island",48.02,1984,FALSE
"682","South Carolina",35.57,1984,TRUE
"683","South Dakota",36.53,1984,FALSE
"684","Tennessee",41.57,1984,TRUE
"685","Texas",36.11,1984,TRUE
"686","Utah",24.68,1984,FALSE
"687","Vermont",40.81,1984,FALSE
"688","Virginia",37.09,1984,TRUE
