"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Greece,5.525091,5.498217,5.474919,5.453352,5.431199,5.41268,5.39497,5.375222,5.348631,5.326632,5.304499,5.279107,5.254822,5.230047,5.204706,5.183166,5.158924,5.138712,5.122762,5.103001,5.086905,5.066837,5.048384,5.034948,5.019,5.007733,5.002086,4.995466,4.988354
Greenland,6.064195,6.049269,6.030832,6.012812,5.992932,5.972848,5.957582,5.938373,5.925116,5.912607,5.893918,5.877043,5.854848,5.836243,5.816109,5.798678,5.782219,5.768314,5.757667,5.744918,5.736343,5.730317,5.720131,5.709717,5.70075,5.696106,5.688179,5.680714,5.673839
Grenada,4.637951,4.628865,4.62177,4.615336,4.608623,4.609305,4.610267,4.604535,4.598733,4.587703,4.580298,4.573312,4.562938,4.5524,4.542848,4.533006,4.526238,4.521449,4.519685,4.518497,4.51834,4.514516,4.50842,4.502667,4.491858,4.489043,4.478671,4.465178,4.453331
Guatemala,4.686396,4.666334,4.646824,4.626878,4.607856,4.583319,4.556519,4.529902,4.505789,4.484547,4.46177,4.440697,4.422141,4.404294,4.389161,4.377007,4.366634,4.356953,4.346758,4.336403,4.325981,4.314511,4.301003,4.286931,4.274082,4.261123,4.247449,4.235904,4.224347
Guinea,4.104976,4.093688,4.083885,4.072154,4.056448,4.040894,4.025512,4.011425,3.9988,3.986163,3.97349,3.960553,3.947582,3.935863,3.924893,3.916679,3.910802,3.90824,3.908617,3.908831,3.909638,3.91274,3.916545,3.919374,3.921397,3.92291,3.923661,3.923492,3.924578
Guinea-Bissau,4.150764,4.134037,4.116729,4.099361,4.083015,4.057057,4.035629,4.015784,3.999223,3.983345,3.97092,3.958669,3.944358,3.938999,3.932224,3.925983,3.924961,3.92491,3.913904,3.906533,3.906935,3.905344,3.899176,3.892364,3.887428,3.882968,3.879613,3.875437,3.871952
Guyana,4.519283,4.503705,4.47778,4.447617,4.413395,4.381071,4.350717,4.32864,4.307507,4.284374,4.262644,4.244743,4.233967,4.228225,4.22261,4.218776,4.217746,4.215454,4.211812,4.213026,4.199801,4.184427,4.173035,4.161916,4.155835,4.138422,4.123314,4.111893,4.100975
Haiti,4.404638,4.391682,4.376914,4.360547,4.344562,4.329253,4.314043,4.297984,4.284413,4.269266,4.253748,4.239384,4.222385,4.20856,4.191375,4.178282,4.166647,4.153758,4.142686,4.133132,4.124041,4.117205,4.111091,4.105276,4.097661,4.090805,4.085136,4.076149,4.068364
Honduras,4.592224,4.585341,4.575006,4.55993,4.546354,4.532334,4.516349,4.503188,4.489291,4.475923,4.463953,4.452897,4.443646,4.434898,4.424794,4.416138,4.409386,4.402487,4.397291,4.387503,4.380392,4.372251,4.361114,4.350642,4.339895,4.330871,4.322439,4.314526,4.307533
"Hong Kong, China",5.066662,5.066651,5.065129,5.063798,5.063503,5.05966,5.059468,5.061982,5.065962,5.068845,5.072304,5.076995,5.082499,5.088427,5.093236,5.098036,5.101123,5.102232,5.098156,5.094837,5.093374,5.090972,5.090104,5.089261,5.091801,5.09494,5.100083,5.105721,5.111071
Hungary,5.283915,5.286656,5.288574,5.291883,5.29458,5.296508,5.29753,5.301794,5.304626,5.30842,5.306072,5.294484,5.279696,5.264135,5.249098,5.229664,5.210419,5.193662,5.180349,5.172109,5.162114,5.154274,5.151733,5.145598,5.140256,5.138608,5.133281,5.129962,5.125899
Iceland,6.123205,6.113361,6.099757,6.086441,6.073216,6.063764,6.054654,6.042724,6.025042,6.005524,5.986616,5.963624,5.937864,5.911646,5.887042,5.863768,5.839929,5.82086,5.804685,5.790635,5.779403,5.766177,5.758915,5.74859,5.737782,5.724098,5.710305,5.693928,5.676675
