GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Gambia,,,,,,,,,,,507.2108292,488.9512564,524.7406747,542.6466365,598.2195922,633.7029229,638.4247432,644.9388458,606.511887,618.0899796,618.2370877,579.3165298,594.6499509,645.4446562,679.6912838,705.1997312,676.3883968,599.9295134,556.1120081,539.3155787,568.3897062,571.2487771,571.9865837,557.9924839,549.8043244,547.158879,550.9693891,553.2532017,569.7055119,583.0664248,594.8366504,550.6177562,571.5364811,594.9908104,574.663119,574.8555275,602.5415071,630.8460789,654.8081709,680.5796356,696.750719
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.5494307,,,,,,,,,,,
Germany,,,,,,,,,,11965.73971,12301.25561,12757.3049,13322.7883,13435.75224,13387.51056,14121.63474,14604.54375,15110.86483,15684.17953,15873.76603,15906.6137,15845.57798,16185.80967,16762.90264,17192.99578,17539.9784,17733.86664,18410.31661,19002.49698,19828.47664,20544.3579,20748.704,20366.29623,20650.38156,20877.76015,21029.03326,21325.28612,21651.42294,22023.67718,22703.30803,22991.05327,22902.77764,22919.68764,23591.48396,23830.12685,24958.32049,25730.19453,25943.69946,24885.36917,25772.32441,26575.20837
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0514106,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3782,3819.16482,4191.662911,4522.134033,4918.851699,5180.634044,5421.103837,5746.653624,6288.611333,6780.759546,7320.199236,8007.47291,8616.559048,8103.801918,8498.977983,8966.893854,9121.109751,9613.456881,9820.333238,9823.673961,9547.780171,9394.859937,9205.173792,9250.386688,9420.401147,9387.063478,9196.689629,9535.496175,9861.767312,9918.493175,10169.04326,10158.56728,9875.408325,9995.176398,10130.09894,10264.06427,10575.10608,10867.0884,11038.70486,11441.14953,11928.552,12252.42059,12828.2516,13326.34108,13459.81897,14045.6997,14314.00381,14172.23676,13770.97015,13210.01269,12254.40231
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18563.73927,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787.187527,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,962,970.0936203,1033.261415,1049.701819,1071.607912,1097.692787,1110.445961,1168.381828,1190.36062,1224.778676,1257.507694,1314.002519,1370.873707,1424.229459,1411.213702,1489.130288,1574.394482,1617.302926,1658.760928,1670.095516,1633.309621,1532.826122,1457.636906,1416.297718,1380.7597,1334.040502,1355.907161,1380.664008,1404.674043,1417.092439,1447.370813,1483.380605,1508.048062,1530.443705,1569.861804,1574.673802,1607.924162,1658.666641,1678.093351,1696.606739,1708.550579,1714.706741,1713.955757,1718.943165,1730.399351,1770.927386,1833.011822,1848.842458,1801.799315,1808.472684,1824.486168
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,317.0067456,326.5194183,340.2534529,335.3887767,340.118623,330.7661498,326.5575929,329.1705951,325.8974815,326.412129,332.3671673,337.1235823,346.4786574,362.2095072,363.679988,366.3963724,381.8731199,371.5031422,373.1639603,492.9968839,489.4840424,500.1896378,503.2998238,493.8201689,500.9535459,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.667974,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.0446672,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,739,749.2516466,747.6038822,762.5112864,799.0575168,816.8009314,835.7952524,868.0593919,857.8473869,862.3374835,874.8003281,899.330614,939.5141845,919.5322827,901.7057426,946.9349404,1009.644061,1079.513751,1091.698622,1055.789753,1061.427705,1000.866817,979.6233243,988.3363636,1002.209919,973.5206872,995.2105816,1014.081586,1033.63296,971.3120738,967.7620186,986.7260717,1061.962283,1021.812392,1022.37034,1040.920085,1090.593732,1103.525043,1069.862768,1117.799241,1094.738154,1112.895701,1146.305892,1186.761596,1238.815031,1292.1647,1368.208709,1392.324859,1336.42466,1344.126797,1336.634355
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199.06447,25543.07475,25895.04596,25778.51144,27129.32338,29029.2161,30419.87303,32903.29708,34970.34022,36259.71905,34398.20806,36255.02241,
Hungary,,,,,1808.411044,1936.372025,2073.867534,2167.169516,2307.052031,2379.232151,2520.573101,2668.29475,2842.592559,2993.34037,3149.097154,3266.419065,3486.131976,3614.533372,3689.703188,3702.868711,3736.297345,3799.786038,3878.986845,3967.258438,3964.565472,4037.528814,4217.311546,4222.874028,4257.110989,4167.935283,3616.428755,3530.576837,3658.238861,3755.808016,3754.6137,3747.349859,3808.492119,3965.931485,4098.246973,4317.404803,4482.089304,4687.121803,4910.801317,5125.556465,5332.604314,5552.870069,5474.509367,5569.560046,5307.26612,5362.771467,
Iceland,9876,10512.98784,11400.70639,12323.4078,12980.46533,13886.65927,13473.3887,12519.50858,12670.88547,13604.13734,15285.00804,15935.50814,16775.09215,17472.19826,17189.83297,17993.79002,19511.80901,20441.91292,21223.51895,22187.08296,22714.72842,22765.73239,21803.54442,22334.28929,23023.41639,24436.89597,26516.69279,26020.01712,25503.12332,25650.6117,25481.83533,24413.46322,24442.34273,24929.09025,24894.70024,26090.61249,27151.04226,28587.73945,29461.37968,30073.32493,30714.16335,31430.70143,31525.47443,32855.18078,34831.11388,34806.75353,36294.56117,29922.81377,28508.45965,27933.90223,29711.80009
India,183,184.582061,191.7647376,201.704617,192.2147921,187.7875756,198.2166551,200.5889952,209.0642657,214.9788529,213.6313291,207.6744493,209.7220588,207.5447528,221.4071655,219.9196539,230.4074096,238.0697124,220.902742,230.5668641,238.3271075,240.1852073,251.6502155,255.0851758,262.7085307,269.0373132,273.2309479,292.190821,302.7188409,312.4293093,308.6317094,319.010352,328.0636985,343.5384842,363.2157494,384.1973432,392.8374947,409.8120521,437.1982376,445.6936088,461.0235385,472.3905381,501.5990682,532.9980967,573.6581245,617.1694062,670.3404377,685.2836687,731.3797004,786.6237756,829.8149476
Indonesia,204,203.3154822,193.017938,194.1244247,192.2825198,191.6997693,189.5035098,206.6273328,216.5657747,227.967509,237.2630619,247.5878958,264.3026888,276.451023,286.83372,299.7840802,317.0031655,337.2647911,345.2301946,366.2545044,388.351015,377.413989,404.6388205,416.7462124,424.6216251,443.3464769,457.3530201,481.8981677,516.6800416,552.2108901,539.8633197,576.1934364,664.5004466,711.4084919,757.5791949,805.9514793,829.5871921,689.9812797,673.3935009,704.4080155,743.4321235,773.1104461,793.1085063,816.6430354,850.9630707,892.6756718,940.87219,993.3939681,1028.77574,1088.810692,1145.616695
Iran,,,,,932.7328579,1009.044179,1085.892158,1180.593883,1297.103521,1385.612743,1527.120326,1760.682342,1809.657163,1952.175426,2003.893811,2293.805655,2176.617121,1889.215068,1793.755351,1491.950033,1364.04298,1477.058703,1600.747049,1516.707903,1487.722107,1303.338356,1238.117343,1122.449293,1156.860594,1279.790318,1414.358165,1449.011131,1380.082266,1349.964727,1379.635682,1452.857238,1482.164683,1498.527548,1496.801504,1550.831808,1586.880961,1649.257436,1740.083622,1808.622847,1866.470561,1957.748818,2098.088648,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22122.13763,22319.79911,22770.88732,24168.96484,24894.9956,25829.82283,27033.09886,27544.62774,26375.7032,23314.01624,23062.8211,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21195.40315,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15916.31626,16743.13659,16888.03717,16985.79148,16852.35675,18124.18953,18405.06237,18128.86773,18066.86664,18957.17758,19815.81143,20665.30492,21501.83974,21568.73079,21095.06713,21660.60644,22341.55221
Italy,6299,6641.616901,6962.097836,7102.295689,7285.647365,7668.907729,8152.358134,8636.099752,9117.310548,9542.658923,9672.522254,9977.314979,10589.1773,11034.63678,10755.2259,11456.09783,11712.64628,12052.40703,12767.04236,13185.59052,13184.0344,13214.71037,13381.67526,13808.06836,14172.68411,14534.97288,15028.34365,15657.58635,16139.63675,16344.5972,16557.71018,16620.05895,16505.09512,16833.26613,17380.21603,17614.94388,18044.04273,18278.48005,18619.90341,19241.3666,19603.80708,19628.94803,19463.44261,19675.34945,19787.535,20162.22977,20279.82492,19688.76906,18610.50825,18848.56578,18811.27926
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345.266672,,,,,,,,,,,
Japan,8439,9100.948574,9768.238698,10785.99329,11295.31094,12387.02468,13635.68287,15332.41993,16896.72274,16623.45638,17195.80066,18410.7844,19727.92902,19077.83204,19370.69075,19994.75881,20681.81474,21594.79878,22608.27953,23026.76038,23775.47213,24464.27857,25063.93204,26036.2367,27565.09252,28166.86994,29243.4209,31206.55891,32775.68901,34469.66914,35515.69385,35781.61482,35765.37579,35922.85967,36542.0884,37497.5054,38045.68108,37205.20836,37037.13752,37839.96213,37963.39247,37966.00964,38538.75451,39513.48553,40199.08206,41080.99748,42175.72159,41712.36087,39246.01134,40957.21191,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,1394.543009,1424.374729,1623.644675,1708.021089,1957.951961,1987.769878,2047.823623,1986.381144,2032.218958,2018.068331,2066.728151,2024.223653,1877.862112,1561.574031,1525.130586,1352.493191,1556.523302,1572.198323,1592.343312,1653.824269,1635.145705,1662.694117,1679.835101,1703.233371,1785.185474,1843.915708,1885.967956,1924.464125,2058.500877,2179.991057,2310.584446,2463.881211,2574.091784,2632.637266,2572.388949,2575.907195
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232.003035,1089.053918,1014.916755,1032.596258,1062.54247,1060.895814,1080.169168,1144.743692,1324.999229,1472.411672,1588.502494,1708.630001,1797.337795,1909.228439,2034.171935,1985.149992,2091.145496,2158.126053,2215.971655
Kenya,226,240.2280348,252.3324671,256.4590414,254.2431806,281.1866355,280.6257179,293.6855703,310.1564776,286.6066783,338.2775087,381.1886237,379.3820215,383.90093,375.6405878,364.6077282,385.8089267,398.2125663,412.6652585,421.7839988,421.2272649,409.0107665,401.8725437,393.4678021,395.1981679,408.5285834,416.527714,425.4390656,434.3059107,432.4053746,422.3788664,406.4778867,386.8124829,389.4469383,401.7092984,413.8327093,406.9999778,411.275113,408.453978,401.9249609,405.7718878,398.3233667,398.6941046,409.1716661,425.7941797,440.0196298,457.9184735,454.9506543,455.1716908,466.2459692,478.248314
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.817761,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,1196,1186.412577,1269.189778,1329.607574,1349.163403,1463.166245,1506.213547,1646.24884,1829.594312,2019.169943,2122.786075,2164.227172,2371.594437,2495.665999,2569.603834,2803.859853,3036.947145,3282.037144,3438.663098,3303.125478,3426.515005,3624.146191,3970.153228,4227.389888,4458.761857,4896.755005,5437.208198,5999.814469,6376.3443,6891.649671,7462.854571,7829.095558,8231.534773,8849.409868,9514.13259,10079.37762,10432.29679,9527.000298,10417.03327,11288.7839,11684.83864,12488.54981,12777.9009,13346.17983,13791.47578,14470.8791,15143.60574,15461.0071,15394.66593,16226.71294,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23920.78343,23912.41271,24670.72664,24028.57765,21989.72872,22886.23165,21093.42413,19977.94628,22499.38308,24791.14706,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.2749759,303.5625898,239.9610983,223.0696741,235.836027,251.8256184,251.4526991,253.3369227,262.881317,279.8145159,278.2301066,295.7697431,308.7171309,308.2020841,320.0800563,345.0571289,363.9697076,367.7844939,349.0485664,375.2362668
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.2054333,308.6404124,312.2793948,325.2881955,339.947705,347.887895,370.2609222,397.5379488,411.7089981,445.6200338,467.3795057,504.7118599,519.4104041,547.18647
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3435.163506,2367.33828,2299.925906,2386.707156,2403.339476,2530.117327,2770.649032,2927.086846,3035.657999,3292.944192,3602.383427,3864.305917,4140.153372,4440.172754,4982.477531,5527.268788,6087.173556,5994.577071,5379.88394,5118.008496,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623.136771,4821.302226,4907.586117,4681.224459,4733.798354,4670.708639,4697.974134,4694.953177,4561.673128,3988.924023,4945.720676,5082.856365,5142.210193,5591.129787,5974.860614,6303.858615,6750.006241,6556.091052
Lesotho,,,,,,216.1994198,231.7065803,229.308786,228.7279828,234.443005,242.5981065,244.5898761,305.334992,379.4995378,343.745778,405.6381223,468.2416524,501.2315545,498.2750506,453.5086025,455.9059365,496.94818,479.3912301,510.5416021,496.3753133,484.2684939,462.2054768,468.3422443,470.4922599,484.3303957,473.9800784,480.3532965,471.886993,482.6600138,472.7222838,483.0257557,486.3135722,488.9856213,479.1946856,495.7300404,496.0854642,497.4784609,533.1163947,528.8508259,590.8078005,585.5482402,588.9911087,649.5527396,652.9293776,645.8621944,657.5461697
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5452366,153.0642403,192.4868825,47.83673012,132.7356938,152.3714386,172.3414372,191.8939701,206.830306,222.2874123,232.744081,257.0655079
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74110.26411,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531.592973,2659.774342,2854.246076,3085.242974,3069.643779,3211.968672,3453.9435,3713.402713,4052.52241,4363.795033,,,,,,,
Luxembourg,9450,9643.032534,9931.157462,10564.25086,10382.14219,10424.37379,10378.81552,10762.93094,11624.26388,11743.73802,12398.06718,13267.66396,13755.58753,13961.75451,14681.25166,15349.77188,16123.4552,16726.82578,17080.89577,17466.23291,18020.65275,19971.90501,21102.22207,22123.6155,22862.02469,24423.04819,25520.5651,26949.46827,28998.67613,30666.12341,33133.3103,33151.6839,33418.11467,32981.2811,33993.83268,34161.86407,37001.85665,37297.99597,38894.69347,40481.45787,41897.36346,40402.92703,37623.53165,43605.8282,44411.80815,40055.50165,44438.41854,40743.79256,33640.21948,35552.27065,35617.75507
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14350.91126,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.462621,1907.230493,1728.43154,1606.668481,1582.763527,1564.160528,1570.518719,1580.933055,1626.219446,1680.973865,1750.43539,1685.229078,1687.334232,1728.276617,1815.262338,1866.26473,1982.947679,2009.723456,2185.04744,2166.318262,2190.365195,2250.784843
Madagascar,393,392.0377191,378.8053653,384.431752,373.4078177,385.511062,396.7147709,413.1610317,415.4565553,426.9780253,430.7537877,415.7750007,393.4194599,388.6724265,383.6295878,361.6381986,361.8445983,342.6149848,365.0607164,358.0045331,311.6300763,297.2080872,290.6305488,282.317178,280.0027881,276.559673,268.2985184,267.0457598,269.1450769,278.4260689,247.7857955,247.7123686,246.4405492,236.6141143,233.1519863,233.0107709,237.2788289,240.2367221,245.67894,247.7873024,255.8105673,215.9548516,230.3086811,234.5534729,238.9033048,243.7876095,253.184061,263.8672942,243.3742602,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0345397,,,,,,,,,,,
Malaysia,823,856.2177477,889.0778278,902.8080954,941.3309627,990.4962832,1015.972099,1069.473947,1080.470943,1111.523526,1148.541561,1228.444089,1326.016316,1389.869622,1386.354528,1498.646587,1576.778911,1630.117232,1738.661664,1839.856473,1925.578116,1966.995761,1999.301722,2081.583116,1997.628089,1985.303698,2035.917758,2187.334372,2314.816584,2487.244906,2631.470214,2782.832238,2995.063542,3187.481593,3416.434587,3663.397323,3807.052154,3436.935746,3498.066573,3680.650873,3654.186396,3792.013738,3966.507917,4152.206293,4307.557282,4553.059491,4809.264158,4899.458924,4798.347877,4986.876735,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.027815,1717.487242,1848.761057,1994.478281,2101.089217,2175.185999,2230.723844,2336.239179,2688.981185,2938.274316,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.557315,186.5766451,197.0558112,188.5695435,182.8985212,187.9027011,188.7982626,195.7350948,202.1919832,210.3379376,211.8037013,219.586195,220.6816323,236.8424589,234.0255403,240.9506319,241.3038545,,,,,
Malta,,,,,,,,,,2211.322057,2269.134795,2417.381647,2487.004312,2793.76778,3400.500026,3879.177287,4287.914574,4631.768965,4963.971884,5424.787267,5650.086824,5765.787858,5496.391149,5617.226383,5585.980098,5575.497303,5770.268842,6165.591988,6643.168218,7125.503376,7409.729304,7577.387712,7770.954938,8005.664601,8397.154262,8600.44118,8988.278453,9210.289722,9863.790273,10116.77639,10005.09646,10175.42386,10007.38777,9817.799756,9776.073195,10020.50441,10341.40904,10745.43903,9903.333051,10157.83927,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822.928051,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,548.4955878,523.583355,582.892746,572.3219185,556.7521956,531.4199106,587.2733152,509.5660784,500.9665334,501.6129805,505.2463669,516.2444746,525.0335993,511.5200977,487.4080421,483.3837313,466.3092648,455.9538566,461.5366676,459.1745857,462.4518406,477.2485333,458.0475717,462.3618061,459.8100163,468.972503,447.3446388,478.643358,516.0821701,480.0574662,489.8646183,513.4973804,493.4649702,474.0656805,518.437212,506.7249343,520.421356,548.6324526,598.1377938,608.4718073,621.4665308,605.7058988,594.1793753,569.7604131
Mauritius,,,,,,,,,,,,,,,,1644.009622,1701.256873,1729.491417,1750.481298,1540.554915,1578.843551,1642.860591,1637.880002,1691.003625,1799.948359,1961.43358,2153.202369,2286.037876,2402.364226,2551.837164,2667.983006,2808.979865,2909.414724,2961.75499,3069.664726,3189.1851,3349.962804,3506.898255,3556.655475,3835.906053,3933.36809,3981.691221,4047.694378,4258.578401,4281.874893,4458.268175,4791.007444,4915.436154,4980.114782,5244.098181,5458.433724
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2427,2464.78911,2582.519431,2789.426781,2891.858868,2969.225607,3111.750398,3306.895879,3320.008826,3425.518556,3447.946551,3620.15589,3798.948803,3891.159172,3979.589737,4022.481232,4037.132833,4276.423008,4564.520457,4852.727044,5121.408042,4815.539845,4567.259038,4665.119298,4741.492648,4432.464781,4464.00695,4476.022815,4582.387053,4741.912407,4877.306257,4967.374757,4963.654713,5081.660801,4607.858916,4785.840689,5078.110908,5245.55879,5390.061255,5666.384417,5601.014164,5590.417744,5607.706029,5786.703905,5870.734511,6088.515527,6212.560998,6229.495848,5766.705116,6034.591399,6180.192754
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.109688,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.6660433,574.3656366,394.3053427,388.1050338,386.8950222,391.4671505,365.4361352,353.2850515,359.928163,401.8548562,434.8148538,489.871606,530.775485,567.0625,596.1906657,603.5043792,652.9723672,588.380257,649.793871,688.9192647
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75382.44663,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.3173436,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.40434,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,618,675.1048115,693.2196742,684.9197369,662.4037397,631.4942134,676.8248766,720.9379506,761.7314609,783.5897016,803.876435,803.0119484,810.7093395,838.2539686,879.7327429,948.7493691,980.2468769,972.410367,990.2506221,995.8613368,936.3940696,1010.485137,965.9669302,975.8881128,996.9148338,1063.762823,1011.739701,1093.568078,1078.766103,1127.989313,1180.761696,1116.728698,1078.945088,1180.129358,1083.40281,1203.270907,1160.199884,1244.842275,1235.422968,1238.575582,1316.253618,1346.530237,1419.31419,1476.481312,1511.006466,1608.949138,1637.237387,1705.643197,1750.202239,1800.108789,1880.003427
Mozambique,,,,,,,,,,,,,,,,,,,,206.5104874,209.7106138,189.4081899,155.4772427,142.1223701,140.5896299,134.4380558,148.2292661,165.003709,170.2003278,174.3220934,178.8530389,159.2415026,168.5309084,171.5185171,171.5873442,183.9009861,198.1462441,213.6865538,225.6870027,220.7324157,237.0507621,260.9017081,268.8951382,279.3456369,297.9772633,298.3798578,317.9285619,335.7091931,362.194728,384.0044684,404.4435529
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,1861.917797,2105.099959,2008.489795,1997.602479,1888.996713,1538.472084,1666.022199,1871.334036,1667.596478,1744.600881,1858.107581,1976.587075,1995.912677,1922.553281,1998.825543,2073.251366,2034.22157,2054.064984,2077.293402,2029.948945,2079.101997,2041.306881,2122.136811,2251.305761,2403.106929,2352.161082,2496.005251,2539.405449,2560.884336,2547.825352,2585.546565,2652.018762
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.9883303,,,,,,,,,,,
Netherlands,8475,8998.651207,9152.03795,9781.441741,10676.62305,10817.03948,11268.41881,11856.23564,12476.5261,13011.80514,13336.5656,13568.49158,14284.7033,14738.12295,14439.03408,15090.92289,15269.48634,15465.86551,15805.50843,16119.29546,15761.88678,15493.35372,15837.30351,16313.68452,16437.15111,16821.3172,17236.132,17646.87617,18356.46061,18721.88822,19108.72338,19212.84169,19457.39574,20045.87732,20732.84408,21216.63081,22107.31187,22301.92011,23685.96529,24701.55449,24648.17071,24549.54884,24569.71165,25409.75882,25319.8962,26709.73353,27419.29851,26772.42393,25600.82142,26335.01846,27003.95755
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12579.59511,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,9815.180193,9794.673559,10102.51752,10164.26535,10572.15516,10487.56748,10524.75506,10826.16303,10782.95687,11106.80484,11131.20028,11183.80822,11188.41786,11194.15678,10234.51437,10272.50736,10708.27215,11153.99218,11510.467,11616.87142,11808.55588,11952.32309,12328.77331,12597.8461,13047.55304,13476.71614,13811.36293,13986.90226,14159.58886,14048.17388,14205.83969,13912.96475,14147.46114,14372.54076,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,924,999.8886384,1069.678506,1148.068208,1204.431462,1191.48411,1230.723409,1191.900932,1233.072547,1195.887352,1202.71099,1180.946904,1218.342265,1362.244812,1329.608375,1341.764369,1433.884108,1242.169855,883.4217664,937.6643743,949.0466387,922.1447867,938.8848711,906.3315018,840.5279713,851.0019675,841.9920242,639.6543462,577.3844456,669.8792149,537.6381334,504.1849114,501.8139536,537.7842004,585.0155085,624.2003391,650.5226233,680.5246793,716.967373,736.0555163,741.5822188,743.4683173,753.9375904,788.6402558,822.0774908,850.5004284,871.2430019,883.3028189,845.2489352,871.6777023,906.577581
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.1444235,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.4609971,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,11106,11322.5901,11650.78823,12135.0344,12679.71754,13051.96188,13749.80089,13950.09353,14496.33523,14683.22136,15441.71001,16116.78524,16728.37902,17246.29629,18006.07986,18888.25239,19468.84296,20008.40535,20708.26925,21648.29148,21916.38629,21833.23018,22660.14006,23992.77766,25433.66686,26443.71802,26828.47804,26400.6959,26491.95007,26869.10071,27488.93478,28580.47345,29162.52698,30628.28777,31870.02323,33343.22849,34978.1672,35691.65466,36241.71145,36967.18948,38030.20694,38468.15998,38729.33227,39873.92096,40834.00879,41247.71487,41737.54639,41160.95322,40399.63287,40436.20612,40757.86081
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6638.939342,6849.109329,6993.117998,7144.766845,7180.414325,7397.048711,7491.532514,7902.625399,8086.783986,8048.609584,8442.275872,9093.622195,9071.168303,9234.29496,9480.210512,,,,,,,
Pakistan,,,,,,,250.080713,261.3677617,268.4203402,291.1549149,284.0159747,279.6176831,292.6333713,294.3754378,298.487367,308.3381264,315.2464436,340.7447433,344.6224424,368.2076359,383.0895657,392.8101974,416.4166981,417.8975093,429.5262911,416.3283265,443.7562359,453.5467026,458.6787678,468.1094778,469.7456555,486.7699586,481.5716401,484.7953895,498.4365197,503.5469048,493.0368634,491.8692425,497.674243,505.2888055,504.57006,520.3158896,549.0737855,574.2680184,606.5299912,631.671698,654.7397363,654.3703392,669.9966985,692.155163,700.3360094
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538.858752,,,,,,,,,,,
