Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0.04679229022,0.09360647563,0.1404425665,0.187300573,0.2341805054,0.2810823741,0.3280061892,0.374951961,0.4219196999,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.6186409814,0.7685956958,0.9187738918,1.069175903,1.219802062,1.370652703,1.521728161,1.673028771,1.824554868,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.976306789,1.994783637,2.004966945,2.006661008,2.008731552,2.010189437,2.001815925,1.99118198,1.977915611,1.954053775,1.698213366,1.489770767,1.308760523,0.8056772576,0.7911059884,0.3347542379,0.139053117,0.2786621185,0.5378903545,0.5164779635,0.8612315617,1.012149953,0.6222768935,0.4257169659,0.2051609386,0.3462557511,-0.2205673626,-0.5637593183,-1.520403247,-1.011569318,-1.489069145,-2.798094695,-2.89932051,-2.611722848,-3.212338235,-3.158624675,-2.810650195,-2.858757458,-2.474801704,-3.019440829,-2.740449082,-2.507340537,-2.221996605,-2.109286729,-1.756035856,-1.822214434,-1.701114596,-1.570357091,-1.361264721,-1.310239324,-1.235369865,-0.02327126394,-1.500703726,-0.7913590716,-0.2859252047,-0.01152466286,0.2979866067,0.571061784,0.9147326816,0.06873846875,-0.3147185905,-0.6683751386
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2377004496,0.4638713442,0.6875297109,0.9077835786,0.8816143801,1.486697557,1.680054664,1.820396285,1.947263489,1.977332125,1.991114926,1.487435277,0.8173647142,0.1137888486,1.162329758,1.269333691,1.755463882,1.220785644,1.452457151,1.318816986,2.169641598,3.169939162,4.172830034,5.052121712,4.068384296,3.436053626,2.958057655,3.972314961,3.783006431,3.659241659,1.101233639,0.2904442176,-0.08578932225,-0.3894093735,-0.4271940333,-0.8438202687,-1.729973974,-2.562867024,-2.820445294,-2.499246206,-0.5805710506,-1.398500837,-0.5764919698,-1.897870611,-1.195420418,-0.14190163,0.6804166044,0.8947272156,0.823595553,0.5932743212,-0.7175929181,0.2285970799,-1.389547798,1.09241032,0.3815984134,-0.1849798109,0.3109984251,0.8607431073,1.583010506,2.045654439,2.970173061
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0.01889296452,0.03778949849,0.05668960257,0.07559327744,0.09450052377,0.1134113422,0.1323257335,0.1512436983,0.1701652373,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.189090351,0.2164989785,0.2439151041,0.2713387299,0.2987698579,0.3262084903,0.353654629,0.3811082762,0.4085694338,0.4360381039,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.4635142886,0.67745184,1.551025415,1.727777619,1.872174735,2.442070502,2.774212138,2.070927151,3.848663383,3.369361245,2.987389304,3.432375425,2.11619975,1.425306823,2.506912376,2.828810539,1.929375867,3.665161254,3.810043517,3.951420034,3.71744703,1.948360535,2.636139227,3.803494355,1.283364303,1.164377571,0.4486348522,-0.2036922912,-0.4424989366,-2.437942606,-2.209453466,1.818970332,0.60732116,-0.9573667708,-0.6462235284,-2.316402967,-2.000006685,-1.37918948,-0.5005133488,2.00858935,1.519931339,-1.273903829,-0.601859775,0.6373163607,1.336026658,2.558977408,3.126271101,1.776251757,-0.4211448049,-0.1866555473,1.009735878,1.070557993,1.48893297,1.488782703,2.136803446,2.062313183,2.324821491,3.232060526,3.17305114,3.11171677,3.194194468,3.412738727,4.368984878,4.520798209,3.913864041,4.65592086,5.32848622,5.349505592,5.595219118,5.808626199,5.777331033,5.615816896,4.811586498,4.827570842,4.610867381,3.498555956,3.209100889,3.201583436,3.316669861,3.446617728,3.692921822,3.992263842,4.367386904,4.523002626,5.649111888,6.562398222,6.797016219,5.121977376,4.829843505,4.754516583,3.868161561,3.440124077,3.092327878,2.915033079,2.495031491,2.163132228,2.148706191,3.503292426,2.746878931,2.639301783,3.185672028
Maldives,0,0,0,0,0,0,0,0,0,0,0,-0.002496909522,-0.004993756698,-0.00749054153,-0.009987264019,-0.01248392417,-0.01498052198,-0.01747705745,-0.01997353058,-0.02246994138,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,-0.02496628985,0.1906702282,0.4067718534,0.623339589,0.8403744403,1.057877415,1.275849523,1.494291775,1.713205186,1.932590773,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.152449553,2.215946211,1.999599039,1.693633772,1.785868657,0.4638576732,0.03990269269,0.6166122074,1.499767299,2.020445432,3.252647214,3.817702246,3.198487869,4.546101203,6.423399717,8.576285298,9.431047763,9.142211113,8.514411307,8.339186575,8.099357999,7.680331493,8.662523187,7.694605148,5.874112473,5.380971787,5.430928743,5.813030064,6.014475846,6.023196937,5.040445017,4.752609271,4.884283651,5.320592865,5.890187164,4.716395955,5.759062235,5.677490537,5.9924765,4.824714566,5.092249256,5.467741409
Mali,0,0,0,0,0,0,0,0,0,0,0,0.00187076421,0.003741563417,0.005612397623,0.007483266827,0.009354171032,0.01122511024,0.01309608444,0.01496709365,0.01683813786,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.01870921707,0.1802958966,0.3386980202,0.5028271823,0.6542635307,0.8191048508,0.9793311389,1.142829212,1.301254013,1.469345898,1.546291086,1.240534393,0.9292906183,1.212270351,1.316240821,1.078619627,1.118471861,1.061786126,1.053244735,0.6116338598,0.9113792655,1.168122203,1.597201974,0.6647287406,-0.07296408788,1.065324485,1.913775513,2.333302535,1.767420682,4.118106768,2.285978803,1.655605939,0.6131295976,1.361093002,2.114694181,1.085185088,0.4811085213,-0.03244428269,0.1704963005,-1.058130601,0.2171336891,0.429698194,1.804143108,1.080976899,0.8649412113,1.277892786,1.032904717,1.451947359,1.907002296,1.53507567,1.783573597,3.000980877,2.558455349,3.479503492,3.414971941,3.287660607,3.294302487,2.975563156,2.905207005,2.613595775,2.754108859,1.795721222
Malta,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.2396545214,0.3134155806,0.3872309167,0.4611005696,0.5350245792,0.6090029857,0.6830358289,0.7571231489,0.8312649859,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.90546138,0.9273359895,0.5039365368,0.4332591944,0.5467467365,1.094107305,1.996149599,2.544725845,3.406841135,3.923681003,5.049499788,5.263877941,6.256227777,7.226250112,7.964185293,9.09128069,9.540983896,9.824470652,9.655563989,9.869045672,9.231109483,9.237470839,8.896133555,7.965625543,7.299169088,5.993955348,4.824024093,4.215317459,4.162551437,4.07778859,4.013864631,4.221719677,4.295097493,4.577441968,4.776813876,4.822657801,4.88404229,4.975946963,4.523616102,4.118576867,4.155726888,3.367064253,3.178481415,2.727035742,2.207818704,1.977781978,1.833449919,1.772388593,1.802099163,1.132023059,0.834971704,1.202255361
Marshall Islands,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.04619274802,0.2700224376,0.4943528932,0.7191852351,0.9445205862,1.170360072,1.39670482,1.623555961,1.850914628,2.078781955,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,2.307159083,3.069044297,2.413135424,1.835646439,1.501822863,1.488167473,1.115477315,-0.2546575241,-0.2785615914,-0.6468313509,0.1783665643,-0.9888859846,-1.309411606,0.5697480659,1.443241893,1.690222841,1.521403471,3.304829992,2.849271402,3.517360201,2.891201756,3.581624898,5.080515864,2.271329604,0.75977239,-0.03288378045,0.0008179020924,-0.04836820354,0.7100031258,0.4656184998,0.0418460592,-0.4217480165,-0.8591592155,0.4807368556,1.502968849,1.623668004,1.728146356,1.699882775,1.242116778
Martinique,0,0,0,0,0,0,0,0,0,0,0,0.06588259211,0.1318085894,0.1977780204,0.2637909138,0.3298472982,0.3959472022,0.4620906546,0.528277684,0.5945083192,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.7433280524,0.8259412063,0.9086221059,0.9913708069,1.074187365,1.157071835,1.240024274,1.323044737,1.406133279,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.489289957,1.892575738,2.297464047,2.703961252,3.112073747,3.521807948,3.933170302,4.346167277,4.76080537,5.177091101,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.595031017,5.05264007,4.513035125,3.976201871,3.442126071,2.910793562,2.382190254,1.856302126,1.333115233,0.8126157002,0.2947897231,0.2947897231,0.2947897231,0.2947897231,0.2947897231,0.2947897231,0.2947897231,0.2947897231,0.4148649572,0.5350839481,0.6554468679,0.775953889,0.8966051839,1.017400925,1.138341286,1.25942644,1.380656559,1.502031818,1.502031818,1.748622195,1.359395072,1.714382261,2.06345097,,,,,,
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0.04679229022,0.09360647563,0.1404425665,0.187300573,0.2341805054,0.2810823741,0.3280061892,0.374951961,0.4219196999,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.4748348219,0.4807605774,0.4866866823,0.4926131367,0.4985399407,0.5044670942,0.5103945973,0.51632245,0.5222506522,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.5281792041,0.7595004871,0.9821702503,1.19602362,1.409722005,1.622281226,1.832774467,2.032457116,2.221360106,2.417403894,3.018574469,4.22362624,3.575362042,2.513459326,4.805413958,5.750209747,5.380994854,5.322373001,5.806486917,5.218508129,5.417998548,3.834292263,4.157733363,4.109143419,2.382721969,0.3567809733,1.037980086,0.5246599156,-0.4099663556,0.1475049715,-0.504372994,-0.2889084305,-0.6869605687,0.3609082223,-1.430388103,-0.5733959906,-0.871134042,-0.5187134519,-0.1875317046,-0.3386793893,-0.8976608953,-1.069844455,-0.8397299431,-0.9367971912,0.1761559412,0.3295917997,0.3800216743,0.4246324492,0.4106758458,0.4212974594,1.010471756,1.173858897,1.494180159,1.610195756,1.709383123,1.746272784,2.238034788,1.989965517,2.000092846,1.51893468,1.576009278,1.583700209
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0.04679229022,0.09360647563,0.1404425665,0.187300573,0.2341805054,0.2810823741,0.3280061892,0.374951961,0.4219196999,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.5441657752,0.6194785053,0.6948476485,0.770273247,0.8457553432,0.9212939793,0.9968891977,1.072541041,1.148249551,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.224014771,1.304086029,1.133871917,1.0185,1.119044844,0.9944968789,0.900277646,0.8530947047,0.7163543092,0.8804527771,1.097383334,2.709706931,2.54028257,3.672409592,2.411358184,2.472177372,1.82472344,1.983148252,1.084869777,1.135015074,0.5908485321,-0.8499292508,0.1820343452,0.1390485264,2.046647952,1.85708577,3.887584281,4.132087734,5.280486102,5.099896237,4.016374453,4.090969097,3.655809441,2.495079319,1.960569792,2.684922301,2.159791217,2.571444286,2.949663979,3.12618371,5.022217403,5.13142619,5.088504338,5.73102157,5.70458501,5.355304977,4.888337462,4.495696277,4.4238443,4.527758794,4.099200467,4.18434103,4.062594449,4.102431128,4.144278801,4.116610095,4.06911419,4.050119085,4.058604078,3.843690501,4.037738762,3.761692673
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
