"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,,,,23631,,,102808,,,70399,,,,,,98362,,,,,,,,,,35629,12180,3607,,3191,7179,9499,13212,15361,23692,18955,17373,14049,13397,16434,25059,
Jamaica,,,,,,24000,33309,30037,,14883,13719,13043,,7956,11305,12875,11022,3198,12771,1222,3624,9223,,19608,,,,,,30164,20837,23679,26363,32120,29052,38594,,67591,60816,60112,59454,
Japan,,8345,49762,108270,264315,129839,9915,11380,9344,5867,7250,5044,22437,74831,56291,9682,9644,8141,6285,3517,2873,3243,2752,,3524,3394,,,290,506,2529,1836,2447,1433,3883,1814,441,2031,2609,1551,1979,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,26775,17552,17028,16473,14906,12599,9057,6992,19710,30791,33843,48532,51505,48378,,,,,,,,,,,,,,57469,40026,,5159,6463,8813,6173,8665,30184,51425,,82699,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75050,33289,16372,16486,14617,14650,15453,10855,9292,6491,2738,4316
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241105,1980499,1814188,,2017389,1368236,1436180,1361191,1397547,771262,1051358,1009592,,
Kiribati,,,,,,,,,,466,,,,,,150,32,559,,366,,45,102,262,204,257,231,76,,116,139,,81,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,188175,97379,150475,191013,195621,137984,178813,154200,61712,6914,3074,7535,9767,41626,73757,70871,18488,19235,23573,28879,27540,29748,32589,38076,47449,45273,39049,46319,25606,9888,19001,27459,10140,22738,25120,24671,23511,19922,14352,35309,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,33831,34575,33779,34116,33786,33027,28849,18701,21251,23167,20806,20936,19808,20579,19967,20285,29408,32997,,,,104059,,46609,,7710,9968,2438,2462,5893,5294,241,3050,3314,1859,,4331,3535,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,37814,,,34376,37343,33256,32261,31705,9539,19991,15686,21244,23308,24314,18490,15256
Lao,,,,,,,,,,,,,,,,,,,179285,,189627,,240219,217173,199770,,198806,186810,167940,167935,165648,173540,167664,149032,144931,135358,123232,102626,82223,61673,23215,18919
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,25226,25977,21333,17412,9127,,,,,,,,,6752,6235,4697,
Lebanon,,,,,32113,,,,,,,,,,,,,,,,,,,,,,,101699,35703,21768,,,,,,,57869,57320,55422,47159,29847,12463
Lesotho,78897,88577,89279,90473,75383,,76399,76008,93354,92757,94156,96132,87815,91781,91480,86514,88636,86393,85262,89840,95550,93524,95337,106105,105179,111971,113623,,145753,159920,87689,88792,88421,88790,97787,100940,111557,110108,106013,105246,98874,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225548,,,,,,,324568,300903,317652,351919,,385726
Libya,,48457,37763,28018,,,,,9692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,,24,23,16,30,16,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9081,7180,4210,3662,4195,9678,14512,15146,12292,8390,5485,4415,5495,
