Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Pakistan,15.08650443,15.02545713,14.68398025,15.51629039,15.59195457,14.87749386,13.03001159,14.78646255,15.66062562,17.5233625,18.82366727,21.2857138,22.55588066,22.06499551,20.07496586,21.78013027
Palau,684.8581446,779.4872858,774.5698552,689.9582486,720.6320937,801.9745932,666.3449485,635.3579239,642.5592249,774.7979056,768.1294907,819.462275,881.2925241,842.2555819,854.3516513,849.8699614
Panama,228.0227395,245.12047,257.6036119,272.4673933,270.8268167,305.1967338,302.6254425,321.0688131,314.6629076,360.3432595,357.3765541,364.1430906,397.5557164,493.0881736,564.1285504,616.3865367
Papua New Guinea,35.95027103,38.85282057,33.72076606,28.08137096,26.82677426,25.91906532,25.21415887,24.06136294,25.19161358,30.89456665,30.8197982,30.49566932,32.16138336,39.89054017,43.66919142,49.4172872
Paraguay,111.9301576,121.24685,123.0334712,110.6986856,108.9547521,124.2396462,106.9765542,78.44909456,70.03732844,79.74667937,82.12132433,101.244208,121.5376861,162.0668094,147.1513077,162.8775786
Peru,100.8334205,103.7793121,104.2246384,101.8482499,98.41748586,96.8113784,96.25491299,102.8142721,102.8171551,111.7372409,128.487551,149.6855465,193.6027857,256.3294586,235.7276406,268.7578138
Philippines,36.91632443,41.42719955,41.14806543,31.19614199,35.44028945,33.63444414,28.95764969,28.16312659,33.10843522,35.13044653,42.10184567,48.41137758,57.27511105,64.67885035,66.10532507,77.3301845
Pitcairn,,,,,,,,,,,,,,,,
Poland,198.9525321,240.4704645,230.0539002,266.7368401,251.4396865,247.1863087,291.6745473,328.4688967,354.3206648,410.7277903,494.8588119,555.4864637,717.1826709,972.5138999,829.4757412,917.1133629
Portugal,873.8012851,938.9258094,891.797603,933.3498427,986.2939684,1066.375002,1082.727933,1185.939376,1509.544156,1773.968516,1882.816222,1912.726762,2183.25345,2383.880957,2364.788972,2366.521243
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,601.2919169,640.648455,680.3402481,637.0159346,631.726043,687.863656,767.6570369,873.9796816,1529.950368,1648.474192,1690.553179,1675.30958,1640.149398,1635.512683,1612.145098,1488.751998
Reunion,,,,,,,,,,,,,,,,
Romania,58.11105172,60.00502063,75.31467357,85.41603362,82.28159114,86.61389861,97.45870318,119.3988996,145.9624341,191.0020444,252.1228056,289.8273465,415.3733183,516.8472441,431.8289549,427.999858
Russia,112.9984123,146.6043859,194.0917899,121.400976,77.08947458,95.95046995,119.0387153,142.0484925,166.5965249,212.4329369,276.833027,365.9234769,487.9707197,560.7074942,476.0196099,525.3180739
Rwanda,10.34582287,10.99523558,13.50522974,15.06583279,11.15047815,9.04211403,8.64290096,8.05469852,13.21705968,14.42292457,18.31082862,35.47798131,36.48873496,44.07976003,51.50488593,55.50948097
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,289.4525053,304.1656288,316.0128211,324.2638468,358.3257393,387.7866105,373.5827057,370.5504393,356.9769716,361.7258773,388.5751817,516.991264,550.9860272,552.8521751,524.4384901,668.6202251
St. Lucia,181.066936,208.6750099,198.5424012,214.5730082,223.5780883,230.8168839,244.6393657,254.0574211,268.3966111,282.2733307,311.3876872,405.9278034,410.9063031,467.4761172,466.5129355,465.275689
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,109.9173002,115.8503481,128.3283848,122.7818164,127.7600953,137.1036533,145.2788395,167.9526036,173.6867363,179.0306546,185.3401376,217.8029144,245.9234649,296.4123116,285.7527251,278.1275417
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,55.9493966,69.34257329,77.57372605,72.13782055,82.34921876,78.97637725,77.69389614,81.77659497,92.35323906,105.5119973,113.9535591,129.307253,165.2194424,168.1919376,154.4434962,203.9786396
San Marino,2112.409891,2322.658657,2171.548435,2273.902559,2392.695506,2157.847601,2179.249181,2890.89249,2835.424403,3358.940792,3399.233612,3443.795497,3868.928539,4221.664509,3855.356584,3655.212616
Sao Tome and Principe,67.18038613,80.69469829,61.76962281,42.5047537,50.47673304,51.60939503,51.75830049,58.68796333,78.03239288,79.40881439,81.79811418,69.83806046,74.60513743,82.83053087,92.95220921,90.02817488
Saudi Arabia,227.993044,248.3618144,264.804024,253.064996,339.2429231,400.4213183,399.4487197,377.503749,386.5858238,398.4788827,465.3834221,547.6563671,577.8849755,581.0174667,608.1643931,679.6573452
Senegal,22.93545589,24.08150634,21.63975918,22.84460917,24.22371697,21.31979449,22.61723633,26.94947408,35.96152973,43.2949363,43.15763837,48.90038171,56.47056094,65.58605669,59.65758002,58.50289206
Serbia,77.65497364,128.3112435,144.0388656,117.2932514,128.2844549,60.01495514,115.0614952,178.7666104,230.2526906,274.471418,306.9967821,371.3119597,546.6002951,673.4155139,576.4938176,546.0277104
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,352.828368,355.5201154,431.6775195,413.1097212,423.8199153,376.5023018,362.5485965,379.1487563,414.9140532,435.5540433,440.5967208,458.3458533,413.6936165,358.7704108,301.407933,368.4881925
Sierra Leone,32.02787606,35.11120584,29.40540754,22.59472894,26.60882714,23.97050154,28.00905188,30.86195883,16.28152628,29.91826385,34.82749896,34.81452313,38.98560439,47.99418931,45.15682238,42.53352606
Singapore,727.4656286,765.8111425,756.3907182,700.1107016,631.8371137,579.8751255,604.8614317,648.1996944,894.5709578,921.4692715,991.1741822,1073.438155,1232.186941,1434.298886,1531.370494,1733.015462
Slovak Republic,221.4541447,253.4417282,229.814342,234.7571824,218.3197989,207.7368505,215.9960406,256.03033,359.8764146,565.0730906,626.343045,760.4818137,1077.314651,1398.669145,1473.58743,1412.645434
Slovenia,785.0682234,811.8607602,797.3915308,856.7603299,877.1188791,830.0668719,881.8176561,999.6642132,1257.16073,1412.80505,1501.267219,1604.914884,1824.555123,2257.52921,2230.968426,2154.283318
Solomon Islands,47.31043013,46.58405969,49.52612409,42.96556981,46.14246357,48.3957334,61.25664154,48.03735482,45.88023806,46.47492333,72.2582296,63.56887867,69.12114438,72.22520387,102.0680602,106.608213
Somalia,4.61799289,4.93193825,5.75191622,7.42644876,7.43116333,6.77776129,3.8602713,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,273.2899727,271.1679367,286.5581947,264.7372803,273.509281,251.3030978,229.278212,210.5423878,319.5219533,414.7142171,455.623246,460.7742493,495.2205578,481.7777168,520.6261506,648.712856
South Ossetia,,,,,,,,,,,,,,,,
Spain,1127.904409,1176.675537,1061.00416,1107.1403,1132.175344,1039.894213,1082.732628,1204.473332,1719.469713,2007.935337,2157.945174,2341.53246,2724.872631,3131.313026,3031.599267,2882.785279
Sri Lanka,24.49082662,26.13121774,27.2716641,31.43735824,30.36153467,32.31459976,31.14846894,34.12795138,37.08873197,43.24366901,48.55939599,56.92679786,59.48507825,67.73599135,65.03913862,69.95910501
Sudan,15.4248105,11.5210148,13.801056,13.80725025,12.15884387,12.18181912,13.45525518,14.96967666,18.67144711,23.69538189,28.42803448,44.89336272,69.44721553,96.75328571,94.22561783,83.89472437
Suriname,82.45313118,144.3544415,160.1851488,178.2065266,151.1753733,151.7055501,130.284183,160.6219275,172.9626382,206.8958628,243.3890533,323.3628081,345.0518815,403.7934347,467.3542093,492.3750425
Svalbard,,,,,,,,,,,,,,,,
Swaziland,87.45453897,87.96369161,87.26508907,84.40750939,78.69667034,75.30820071,63.67235559,57.6481106,97.86106917,114.3170526,133.5096075,151.4245884,155.7530679,162.1047207,168.8062081,203.1266671
Sweden,2288.950104,2564.233203,2297.196478,2335.529544,2395.176136,2279.625321,2264.264529,2594.846375,3270.811234,3658.728288,3718.724845,3932.307087,4508.450278,4865.991151,4347.456981,4710.434305
Switzerland,4270.824645,4266.357113,3701.166083,3850.618791,3818.179445,3518.970877,3706.743496,4140.599205,4940.310512,5502.941281,5571.780428,5569.146146,6050.911859,6998.970741,7184.645888,7812.218066
Syria,51.69369976,59.48382827,59.08390421,56.68972479,58.74934097,59.21796899,57.73347493,57.28218237,60.42429278,60.60244593,62.56992772,66.28076532,79.38885487,89.88517194,95.44026999,96.58501045
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,3.05721148,5.52973549,5.63390062,7.79411699,6.90175723,6.47029909,7.95202409,8.70280153,10.94277209,13.97037602,17.33214773,21.21792044,30.11119553,43.07761038,43.51403462,49.06785774
Tanzania,6.28519541,7.14312651,8.871849,9.80152263,9.62259354,10.10198939,10.50021219,10.32342591,11.88060422,11.685928,14.63455409,23.43245994,23.33057817,26.75674493,27.11711156,30.90960176
Thailand,99.47459856,115.9715145,98.96955439,67.76340067,68.69891834,65.98047401,59.94871586,72.62326312,78.15870432,85.82410281,93.82426212,107.5330992,129.841031,158.4172183,160.1361467,179.1465286
Timor-Leste,35.14972426,28.09728534,42.79424202,29.58047976,32.62925982,31.91585481,35.27165154,33.77663977,35.0285883,43.24718427,52.80306016,56.43158413,57.83165879,63.64118292,64.53721656,56.86094367
Togo,17.29149462,18.21429671,17.72126343,16.43060445,15.94178518,13.1014119,14.04669561,14.13123416,19.060569,24.83786739,25.10287998,27.82573247,30.34908331,37.45616559,40.90406708,40.61521536
Tokelau,,,,,,,,,,,,,,,,
Tonga,86.23796678,95.51955967,98.06362732,91.2938238,102.6451956,91.18013218,95.89399835,92.32524331,105.9462501,114.5759133,167.2476889,158.9148861,205.1335665,206.8616335,144.3997777,171.7990521
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,198.1797438,196.5756658,187.098171,173.5693368,225.0042725,245.0636505,281.1120644,331.1226452,425.2659251,491.1831425,687.9868819,690.0422297,787.4770891,909.2230846,848.0977098,860.9600764
Tunisia,124.0177276,123.2223032,116.2304334,122.1635323,128.0476421,122.3976647,121.8725764,127.776707,151.717873,178.5216948,181.1534266,193.5280915,216.5993699,246.2171607,242.5502884,237.8370715
Turkey,95.49118806,116.6936064,129.8792197,154.9018222,186.0576458,204.5048228,154.3538296,187.73602,241.5577679,309.7771162,382.2779163,441.0039948,553.41473,623.7732361,575.4900234,678.1133255
Turkmenistan,43.13042009,18.10106437,29.97297781,31.31719101,29.93039482,45.0627133,56.50843589,65.76792971,93.29247155,108.1717437,115.5667468,118.7402685,133.5036367,83.6494936,92.30371944,106.0793845
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,64.61943295,152.3431304,116.8515339,120.1009367,135.9071885,231.7215809,245.492891,238.1813747,410.4575932,370.7180473,402.6380642,447.4469823,475.4101136,623.8041557,402.8452543,568.0787481
Uganda,16.92150476,17.29059239,16.53062452,14.79745017,16.04639672,15.61499902,16.98907305,17.62924501,18.08764268,22.87309246,28.69883258,33.34782521,37.47946695,45.31764489,44.05201436,46.71865246
Ukraine,49.02900688,53.86532096,60.59504365,55.58015896,37.71148264,35.74094111,44.38571472,55.19271885,72.95949739,90.70392529,117.6815261,147.8354794,195.9739908,259.6442146,200.0029235,234.3566138
United Arab Emirates,737.9431078,731.2627993,750.7905582,838.9985321,846.7329312,885.3617257,814.8085662,916.8143273,967.4514032,994.8415439,1029.685243,1108.794075,1204.346704,1526.896475,1704.059825,1449.923413
United Kingdom,1362.195446,1435.140089,1539.308923,1656.947233,1764.417989,1758.847602,1800.652,2054.226488,2425.915902,2940.673101,3119.333003,3419.308398,3880.817041,3801.445398,3439.745057,3502.842845
United States,3747.692121,3899.976933,4054.627219,4235.837199,4450.044994,4703.467344,5051.944952,5452.996081,5981.681058,6330.932631,6700.269097,7072.560632,7437.292298,7719.627428,7959.953538,8361.732117
Uruguay,688.7731797,682.3932679,616.1893339,661.2277308,628.2171947,583.7298856,528.1241954,337.201986,262.411791,349.2571417,432.3257634,493.0104401,562.0518256,720.5684152,786.8454422,998.2614979
USSR,,,,,,,,,,,,,,,,
Uzbekistan,22.68529502,31.99692252,32.42820938,39.78945956,41.93101664,31.70509825,26.42976774,21.10805189,20.8370834,25.35915761,29.00587666,38.08795158,46.58888447,57.40209764,73.04867023,82.42976953
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,41.2370968,36.90697177,46.66126327,57.56336084,52.11792293,52.4952813,49.9322822,51.92558798,57.85177662,61.82790652,60.87893415,64.08162828,89.52633008,110.7725368,122.5880699,157.3404802
Venezuela,143.7364068,106.0658418,144.2769427,175.8276751,231.7709494,273.7684885,295.1075772,207.782994,190.0343752,239.2088512,296.1812834,387.8766444,476.5804172,598.3068322,687.8749404,663.3875713
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,14.27281167,16.43230498,17.13090271,17.46661904,17.98377198,20.89251285,22.92924625,22.39111689,25.40120384,30.56364751,37.26194061,46.66239905,58.39865326,70.09052721,77.11004924,82.87217737
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,39.47949421,25.08845245,20.78929524,21.64074593,21.73774696,25.27747297,26.88569855,27.71273522,36.35206236,38.20255991,42.23868073,51.62004423,57.43722082,68.22635908,63.40038581,63.1929881
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,21.8367864,21.01976226,25.78230849,21.83129994,18.24764273,17.9974233,20.59793831,23.03959993,26.31935491,32.13414041,43.83864079,57.70214334,55.8525079,72.58389754,62.51885972,72.88434552
Zimbabwe,51.3493404,57.09880453,63.51961805,52.69439307,36.03586206,59.67199448,66.09895116,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
