"Suicide among men, per 100 000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Netherlands,8.039651,8.482972,8.698343,9.010217,8.812166,7.916481,7.391158,7.700355,8.729427,8.965101,8.495128,8.769533,8.121627,8.018279,8.375566,8.748899,9.091191,8.141103,7.997426,9.161488,9.999104,9.85916,10.01003,9.965838,10.98987,10.67603,11.74353,11.35804,10.81731,11.42149,12.25749,11.62244,12.28275,13.58843,14.05566,13.42081,12.60984,12.37732,11.90292,11.62136,10.99034,12.30201,12.19641,11.95048,12.48828,11.48045,11.84606,12.00938,11.37566,11.32623,11.08765,10.94884,11.49452,10.90696,10.90343
New Zealand,13.89064,14.91607,15.44309,14.08076,13.28927,13.36108,12.77258,14.48438,15.47747,14.46098,15.0164,13.98603,12.55061,13.5933,10.69769,13.44075,12.77665,15.63173,14.34453,14.42566,13.80316,11.45277,12.8555,13.34896,13.4118,13.81855,13.45243,17.74372,13.92594,14.39595,14.81399,15.79176,16.25312,15.45569,18.31777,15.46376,18.28667,21.75726,22.54321,22.05261,21.46452,21.63859,22.40842,19.34185,22.47202,23.36297,22.9649,23.70467,23.57084,20.3601,19.92565,20.36251,18.08962,18.50447,18.7397
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36138535
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03199673
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.24538708
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.736305237
Norway,,9.586143,9.674347,10.26842,11.47895,10.91266,11.01718,10.88116,10.88523,10.94218,9.923195,10.12493,11.8351,10.9406,10.57239,11.25852,9.917175,9.680084,11.62396,12.2322,11.31155,11.69867,12.30194,12.6014,15.68005,13.57743,15.16921,16.34398,16.50862,16.30507,17.19674,18.20749,19.63434,20.02865,20.25437,19.7182,19.11323,21.47536,22.80284,20.99599,21.06987,21.73295,19.269,19.00583,16.54569,17.49037,16.32568,16.12466,17.13272,18.41498,17.4731,16.88968,14.7379,15.48331,14.72305
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.770564079
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80295563
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.420404434
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.677613,4.880816,7.453704,7.03057,6.491446,5.891897,,,,,,,7.942142,9.672293,9.496749,9.451866,9.406568,9.974922,9.449,12.00731,10.25313
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90877914
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.584146,4.374225,3.474399,3.944752,4.748592,4.835973,4.807024,4.397122,4.405669,5.352427,6.300021
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.261820793
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9311314,1.832395,,,,2.038935,2.246799,2.524964,3.356358,2.850168,2.912669,3.327663,2.897451401
Poland,,,,,,,,,,12.70909,15.26993,16.48747,17.04397,15.9283,15.60385,16.65403,18.33489,18.63399,19.29843,19.67064,19.90533,20.53902,20.81304,20.09303,18.91307,19.47337,20.64356,21.1773,22.7674,21.77376,,,,20.75966,23.47479,22.48614,22.05907,22.32526,20.4385,19.20991,21.80875,23.52237,24.77587,24.1463,23.88444,23.23887,22.86383,,,23.99116,24.09536,24.36005,23.81813,23.72717,24.48841
Portugal,,,,,,17.64085,19.45899,15.13619,15.86168,17.57792,15.62394,15.59241,15.29534,16.98588,17.21899,16.74667,16.89507,17.8147,16.24837,15.34483,14.00468,14.65669,13.66216,13.8918,13.44235,13.58661,14.80046,14.78496,15.07431,16.00327,11.57745,11.37313,11.82911,14.21444,14.50422,13.71392,13.12105,13.70485,11.75629,10.24533,11.86659,12.90046,11.33786,10.25197,10.36056,10.00548,8.146134,7.980776,6.792208,6.400009,6.44314,9.318607,14.73372,13.41181,13.76813889
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.964822054
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.06707,12.80949,13.64045,17.55805,18.59851,19.49762,19.07028,19.61836,20.02037,19.44814,18.49115,19.07485,0,21.09002,19.59083,18.64492
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.29149,57.86173,58.34574,,,51.74969,36.58615,37.2289,38.88858,42.18855,43.18558,43.42383,50.95888,63.54155,70.80212,68.898,65.76081,61.91758,57.94143,63.71744,64.35001,64.83901,61.97556,57.86199,54.67918
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.921278
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45894718
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.99948692
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.689428329
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30418301
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89408112
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673741341
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77296257
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89251,24.31089,23.60471,22.51401,22.5509,21.68016,20.55656
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46484,18.44108,19.36547,19.00419,21.81269,22.51922,,21.85721207
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95357704
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47812271
Singapore,,,,,,,,,,,,,,23.81263,26.285,20.56229,21.63776,20.38548,26.26588,19.04925,18.08541,21.16017,24.37683,19.51924,17.56336,21.20148,17.15116,17.07851,19.87191,16.96606,15.53009,10.35475,13.58239,14.48873,11.12177,17.34895,17.41698,15.77262,19.11974,18.14982,15.68499,13.34104,11.25651,12.69303,13.65429,15.9881,10.57574,12.93756,13.02632,11.69702,12.15388,11.51825,10.89183,11.57308,11.07157
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55667,23.30262,21.88799,22.61441,20.70107,19.00266,20.6374,20.84727,20.64439,20.19924,21.08754,21.93771,18.80426
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74031,45.46986,43.51923,45.24703,49.92982,40.50645,47.60148,41.5381,45.79264,44.6827,40.24912,41.8033,43.11447,43.31761,40.34452,38.12474,39.62702,36.0453,36.90978,30.2476
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.892630577
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.02750778
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56507301
Spain,,9.702232,9.558169,9.907714,9.811701,9.078657,8.4275,8.271105,7.950587,8.285385,8.75699,8.461027,7.780812,7.738816,7.945112,7.393143,7.401293,6.953454,6.485275,7.010796,6.105517,6.674414,6.796092,6.232269,5.827903,5.948262,6.134294,6.078854,6.020765,6.210747,6.603395,6.697839,6.928572,8.026987,9.143158,8.970794,9.882834,9.589047,10.19932,10.37489,9.793649,9.688658,9.450427,10.25855,10.76954,10.46919,10.61616,10.81126,10.51271,0,0,9.610643,9.880076,10.01017,9.851422
Sri Lanka,11.23527,11.83208,11.01291,12.21064,13.30095,12.22634,14.26081,15.28692,16.09668,14.39286,17.80459,16.79716,20.91992,22.63954,23.8775,22.40617,22.30304,30.02351,30.64032,,,,,,,,,27.81343,,,44.05927,43.24277,48.3875,52.87107,54.59535,54.09293,52.7536,,,,,,,,,,,,,,,,,,45.63751602
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63727474
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.64708328
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.46560764
Sweden,,22.75544,23.79813,25.09013,22.64736,24.01801,27.58143,27.5053,22.66192,23.97156,23.1223,22.46557,24.42081,23.8648,25.36592,24.45315,25.92117,28.58081,28.32438,27.89718,27.94622,25.62592,26.40089,26.72003,25.65115,25.09587,23.96432,25.32167,23.56358,25.16924,24.84582,21.72765,24.28831,23.87742,24.32954,21.81473,23.5359,22.45296,22.8015,23.22564,20.25444,20.8868,18.26786,18.6778,17.96867,18.26309,16.91674,16.63838,16.67499,16.52089,15.12617,15.56608,16.2871,14.4671,15.61782
Switzerland,,30.33841,31.03502,32.949,32.62229,29.88089,30.60099,30.61531,30.13363,28.95568,26.92226,25.2364,26.94219,24.4753,23.65306,26.95374,26.39052,26.06185,24.53819,24.43914,26.53881,25.04941,27.07225,26.00314,27.55334,31.20489,30.42174,31.97277,32.02621,31.89702,33.44262,30.5427,32.01274,33.21622,32.21432,31.32168,28.92554,30.45419,28.15347,28.38021,26.94739,29.20185,26.72009,25.56555,26.74516,25.19455,25.09206,23.76165,0,0,0,21.919,22.44623,19.12907,18.738
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5975655317
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.257120609
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.50307846
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74799156
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34579182
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.492129326
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.846517801
Trinidad and Tobago,,5.785297,7.27397,10.18897,8.769217,13.79281,12.91296,14.62698,7.793511,,6.642903,7.362831,6.522882,5.279912,,,,8.358265,11.58803,,15.66931,10.35357,16.13442,16.64358,11.05883,13.91031,14.94793,13.52917,8.303322,7.63773,7.16725,7.789286,11.10799,13.98364,9.777418,4.584487,13.30337,16.99072,22.93384,25.24604,22.43776,20.94859,22.6082,23.88354,19.5026,27.16472,20.38877,22.11063,23.93831,19.1211,22.07167,22.7507,20.08665,,22.53356361
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329698563
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583178043
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75795,14.01583,,,15.12287,16.7749,14.81979,14.73198,13.47969,15.5346,13.32006,13.22693,11.72937,10.02413,11.29969,12.59451,13.42804,16.84886,,,,,,20.89617538
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.264158249
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.82118797
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.32916,40.96602,,,36.04244,28.38107,29.96474,29.28366,33.20305,32.74656,32.91568,35.71603,38.55526,43.18591,46.52814,48.82568,47.38778,46.86461,45.97361,46.48815,43.15834,41.1476,40.38043,37.3636
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.806055069
United Kingdom,11.43233,11.29382,11.12799,11.91818,12.4511,12.10914,12.56579,12.40468,12.51756,12.18669,11.99681,11.75955,12.65946,12.7929,12.07235,11.1514,10.85252,10.5854,10.20879,9.582495,8.719311,8.665622,8.545503,8.747685,8.895075,8.450904,9.011999,9.162452,9.446365,9.980624,10.2206,10.73835,10.81128,10.84736,10.98399,11.32458,11.13024,10.68571,11.81646,10.57383,11.51284,11.40854,11.54631,11.11882,10.92725,10.76036,10.08934,10.15644,10.81911,10.81001,10.33551,10.20752,10.09898,9.572784,9.783954
United States,17.77851,16.28027,15.88175,16.20172,16.45053,16.17426,15.95694,15.77539,17.29955,17.16739,17.11468,16.7991,17.32314,17.41107,17.04449,17.31475,17.10003,16.70201,16.6772,16.96198,17.55323,17.43881,18.07107,18.12635,18.35826,18.84915,18.36837,19.44749,18.25219,17.98113,17.9068,17.93703,18.37661,18.32817,18.6866,18.82926,19.42881,19.24467,18.87749,18.74973,19.17359,18.97799,18.50595,18.74911,18.72958,18.6631,18.05777,17.49109,17.311,16.37104,15.8555,16.30071,16.45662,16.13232,16.18447
Uruguay,,,,,,18.04284,21.16918,17.06626,18.14059,19.27122,19.4641,,,16.80121,14.15188,17.79073,17.03898,16.58594,16.8644,16.61457,14.48357,17.2133,18.96768,19.29246,17.8912,16.71816,16.20861,19.51051,16.40801,,15.75476,15.45711,18.11897,18.61906,18.0129,15.76493,13.39979,12.65487,13.91242,17.94848,16.42166,,,19.61811,20.18342,20.36055,19.37699,22.63041,25.5048,22.12918,27.87655,23.17886,,,24.62257
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42691,49.35331,51.90044,42.3809,31.0752,31.58979,32.15807,35.44636,35.57103,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05294,14.24871,,,16.64022,15.14436,13.19061,11.97316,14.47702,13.63582,13.81388,12.09948,12.4207,13.04666,13.9437,15.54354,13.59914,13.49692,14.07134,14.4234,13.80541,10.84465,9.563709,8.335874
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.264332771
Venezuela,,,,,,11.71573,12.50311,10.25231,12.44056,10.96162,12.09969,10.9523,10.84552,11.38046,12.68132,13.46029,14.03911,12.96048,12.4001,15.00241,14.48611,13.47754,13.02315,12.89934,10.29035,11.37829,10.09245,9.832047,10.68574,8.958564,11.24496,9.579517,9.191083,10.54608,,10.37314,10.01337,9.010385,10.07475,9.943327,10.37613,,10.12002,9.66666,10.28348,,9.180905,9.015438,9.398416,10.00875,10.2961,10.58273,9.732867,8.302842,7.2048
West Germany,,,23.25524,24.09809,25.16584,24.42391,24.21899,23.43021,24.58185,23.78552,23.7907,23.39816,23.20643,24.44666,25.37607,24.93201,25.87004,27.96327,26.36491,26.43683,27.14107,26.30488,25.07037,26.02585,26.30085,26.08299,27.17856,28.02503,27.49423,26.25374,25.21093,26.31953,26.27146,25.19592,24.57673,25.05526,22.48152,22.35457,20.69531,19.45896,18.63537,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.20449734
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.235575199
Yugoslavia,,,,,,,,,,,,,,,,,,,20.71317,22.32288,,,,,,,,,19.92653,20.5665,21.30191,22.80865,22.37416,22.67598,23.24142,22.53332,22.3238,23.3355,22.12781,22.4161,20.807,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53609085
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83601761
