Electricity generation total (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Mexico,"122,449,000,000.00 ","126,807,000,000.00 ","130,103,000,000.00 ","135,026,000,000.00 ","145,987,000,000.00 ","152,548,000,000.00 ","162,526,000,000.00 ","175,149,000,000.00 ","181,801,000,000.00 ","192,267,000,000.00 ","204,373,000,000.00 ","209,642,000,000.00 ","214,101,000,000.00 ","216,977,000,000.00 ","222,009,000,000.00 ","233,078,000,000.00 ","244,920,000,000.00 ","253,691,000,000.00 ","256,751,000,000.00 "
Netherlands,"71,866,000,000.00 ","74,252,000,000.00 ","77,202,000,000.00 ","76,992,000,000.00 ","79,647,000,000.00 ","81,048,000,000.00 ","85,048,000,000.00 ","86,573,000,000.00 ","90,840,000,000.00 ","86,680,000,000.00 ","89,467,000,000.00 ","93,720,000,000.00 ","96,290,000,000.00 ","96,705,000,000.00 ","102,440,000,000.00 ","100,424,000,000.00 ","98,835,000,000.00 ","105,164,000,000.00 ","107,599,000,000.00 "
New Zealand,"32,147,000,000.00 ","33,352,000,000.00 ","32,727,000,000.00 ","34,092,000,000.00 ","34,922,900,000.00 ","35,998,100,000.00 ","36,401,900,000.00 ","37,153,400,000.00 ","37,334,200,000.00 ","37,799,900,000.00 ","39,268,900,000.00 ","39,689,700,000.00 ","40,630,800,000.00 ","40,820,600,000.00 ","42,507,500,000.00 ","42,965,000,000.00 ","43,596,100,000.00 ","43,757,800,000.00 ","43,725,700,000.00 "
Norway,"121,848,000,000.00 ","111,009,000,000.00 ","117,506,000,000.00 ","120,095,000,000.00 ","113,488,000,000.00 ","123,193,000,000.00 ","104,755,000,000.00 ","111,636,000,000.00 ","116,983,000,000.00 ","122,660,000,000.00 ","142,984,000,000.00 ","121,920,000,000.00 ","130,600,000,000.00 ","107,274,000,000.00 ","110,602,171,000.00 ","138,072,621,000.00 ","121,663,307,000.00 ","137,708,563,000.00 ","142,667,018,000.00 "
Pakistan,"45,985,000,000.00 ","50,220,000,000.00 ","53,575,000,000.00 ","57,012,000,000.00 ","57,923,000,000.00 ","63,750,000,000.00 ","67,565,000,000.00 ","62,481,000,000.00 ","66,396,000,000.00 ","65,302,000,000.00 ","64,650,000,000.00 ","75,121,000,000.00 ","81,637,000,000.00 ","84,488,000,000.00 ","88,658,000,000.00 ","87,107,000,000.00 ","96,226,000,000.00 ","98,789,000,000.00 ","95,101,000,000.00 "
Peru,"13,808,000,000.00 ","14,482,000,000.00 ","13,122,000,000.00 ","14,808,000,000.00 ","15,866,000,000.00 ","16,144,000,000.00 ","17,279,800,000.00 ","17,953,400,000.00 ","18,582,500,000.00 ","19,049,600,000.00 ","19,922,500,000.00 ","20,785,500,000.00 ","21,982,300,000.00 ","22,923,300,000.00 ","24,267,000,000.00 ","25,510,000,000.00 ","27,370,000,000.00 ","29,943,000,000.00 ","32,627,000,000.00 "
Philippines,"26,327,000,000.00 ","25,649,000,000.00 ","25,870,000,000.00 ","26,579,000,000.00 ","30,459,000,000.00 ","33,554,000,000.00 ","36,708,000,000.00 ","39,797,000,000.00 ","41,578,000,000.00 ","41,432,000,000.00 ","45,290,000,000.00 ","47,049,000,000.00 ","48,467,000,000.00 ","52,941,000,000.00 ","55,957,000,000.00 ","56,567,740,000.00 ","56,784,129,701.00 ","59,611,787,905.00 ","59,616,136,034.00 "
Poland,"136,364,000,000.00 ","134,712,000,000.00 ","132,728,000,000.00 ","133,867,000,000.00 ","135,350,000,000.00 ","139,006,000,000.00 ","143,173,000,000.00 ","142,769,000,000.00 ","142,771,000,000.00 ","142,128,000,000.00 ","145,183,000,000.00 ","145,655,000,000.00 ","144,126,000,000.00 ","151,631,000,000.00 ","154,159,000,000.00 ","156,936,000,000.00 ","161,742,000,000.00 ","159,348,000,000.00 ","154,607,000,000.00 "
Portugal,"28,500,000,000.00 ","29,871,000,000.00 ","30,087,000,000.00 ","31,205,000,000.00 ","31,380,000,000.00 ","33,263,000,000.00 ","34,521,000,000.00 ","34,208,000,000.00 ","38,984,000,000.00 ","43,287,000,000.00 ","43,764,000,000.00 ","46,509,000,000.00 ","46,107,000,000.00 ","46,852,000,000.00 ","45,105,000,000.00 ","46,585,000,000.00 ","49,041,000,000.00 ","47,441,000,000.00 ","46,114,000,000.00 "
Qatar,"4,842,000,000.00 ","4,669,000,000.00 ","5,183,000,000.00 ","5,560,000,000.00 ","5,850,000,000.00 ","6,013,000,000.00 ","6,615,000,000.00 ","6,910,000,000.00 ","8,166,000,000.00 ","8,939,000,000.00 ","9,134,000,000.00 ","9,951,000,000.00 ","10,940,000,000.00 ","12,012,000,000.00 ","13,233,000,000.00 ","14,396,000,000.00 ","15,325,000,000.00 ","17,501,000,000.00 ","19,706,000,000.00 "
