Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3811,15.35723,15.01114,12.86148,13.50376,13.46514,13.45302,15.06656,18.72271,19.79448,21.68119,26.42826,27.36611,37.77976,34.46935,33.18095,38.9172,51.04871,64.69804,70.78798,71.91016,63.92481,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,2.514589,0,0,2.417124,0,0,0,2.037968,0,1.878368,,,,,,1.986045,0,0,1.764624,2.249886,0,0,1.171669,0,0,,,,,,0.9846839
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.98262,20.53104,,,23.42565,18.63553,28.06052,29.7725,26.93729,26.96188,27.03267,22.92253,30.33371,27.95416,25.41959,21.98895,18.71596,19.05085,21.96627,20.78751,19.38666,15.31291,15.79548,15.33185,11.87338,10.15243,10.90997,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.13378,43.85847,49.2597,49.67951,49.75614,42.77499,37.18301,38.55641,36.99743,41.68212,39.82926,38.12129,49.93517,52.75073,51.82606,51.93319,46.42984,45.61603,38.16807,42.83416,44.7249,37.54388,33.81629,33.05214,35.61781,33.17022,27.56042,25.79541,30.63944
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1755,43.77766,,,41.80148,34.29226,40.7167,35.65646,32.71876,37.40869,38.8958,44.09139,50.42632,50.4061,56.71101,56.58572,47.94294,51.84177,48.58017,53.0832,52.53578,51.82284,47.58765,47.32602,50.21811,42.25899,39.35816,36.35593
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18301,27.27332,20.30463,17.05675,18.98213,17.95247,23.02662,22.4978,25.32545,15.65604,20.94697,21.14824,18.83673,,,,,
Mauritius,,,,,,,,,,,,0,4.240434,5.443886,6.273228,10.68536,8.286983,10.28684,1.878368,3.779504,6.879768,5.782753,5.6608,19.13171,8.905359,14.90527,5.295219,2.11474,3.401087,8.371435,4.169917,0,1.952068,1.267516,10.95166,14.43652,0,12.2022,16.32673,16.60027,16.96646,12.57403,15.47606,13.23309,8.942085,19.72632,16.88058,13.55932,9.874746,8.870794,9.95023,11.46895,9.640684,7.536617,6.565561,12.9447,15.02924,8.717504,10.63463
Mexico,,,,,,2.661567,3.379655,3.45324,4.032171,4.525235,3.68082,4.59651,5.427657,3.590765,3.298854,3.341473,3.039765,4.113976,3.168421,1.407619,2.976244,1.671166,2.192579,1.609628,4.16824,3.837759,2.292614,4.04635,2.782526,2.370889,2.051129,2.988168,3.725858,3.15197,2.437855,3.94892,4.392626,4.378014,4.713463,5.888584,5.701255,5.200764,5.87096,5.813471,6.294256,6.293717,5.388775,4.93786,5.049541,5.044513,4.870276,5.808556,5.139449,5.490673,5.412164,4.936985,5.011925,5.230506,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.14326,30.29881,,,28.93586,28.16467,28.60949,25.42467,25.25806,22.05602,27.372,26.3847,25.96372,32.33587,32.8843,27.73386,24.77371,30.48934,27.40006,27.31631,26.64407,24.40575,24.09386,22.91636,20.92748,26.70562,20.01294,23.95763
Netherlands,19.09215,20.03595,21.34622,24.7021,22.33511,20.68174,21.58824,23.20297,22.85352,24.27745,19.99895,21.45646,20.58733,19.67739,17.98628,22.19258,19.29376,16.70795,18.21341,18.5643,21.17686,21.55045,20.93877,18.55111,21.0769,18.44459,20.03532,18.36948,20.31961,21.14402,20.4969,20.33159,21.98582,24.14814,23.25779,19.95174,19.72172,19.47298,18.13897,16.66848,15.56608,17.16205,16.6903,15.50992,14.80002,13.67903,14.21171,14.2061,13.44,13.34576,12.98904,11.8399,13.15321,12.6088,11.23263,11.24467,11.63804,10.79235,10.72116
