Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.76,104.58,99.16,98.2,106.36,117.13,97.09,97.21,127.85
Mali,,,,,,,,,,,,,,,,,,,,,116.40625,107.1428571,109.8039216,119.3548387,124.7058824,121.1764706,112,126.8518519,128.440367,130.6930693,134.7826087,126.9565217,113.3333333,109.4827586,100.8849558,109.6,110.74,106.54,111.76,100.99,100,98.32,109,126.07,121.82,108.47,129.64,134.87,140.09,165.42
Malta,,,,,,,,,,,,,,,,,,,,,102.1261,99.11304,100.9557,94.81043,98.34154,100,106.5266,110.9115,121.3929,123.1014,,,,,,102.2079,99.52317,97.7256,96.85178,96.66122,100,92.81618,88.47926,92.32762,85.3675,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.93,99.67,102.42,108.88,110.53,110.79,109.03,108.95,108.33
Mauritania,,,,,,,,,,,,,,,,,,,,,72.26277372,79.38931298,80.8,77.04918033,80.70175439,88.03418803,93.27731092,93.75,86.5248227,97.14285714,97.31543624,104.0816327,109.8039216,120.2702703,97.03703704,102.21,93.75,102.94,103.33,103.77,100,98.43,95.35,92.35,94.88,124.89,135.27,127.06,148.76,150.9
Mauritius,,,,,,,,,,,,,,,,,,,,,92.5,82.41758242,78.04878049,79.74683544,81.33333333,80.28169014,87.01298701,96.38554217,96.62921348,93.33333333,92.63157895,94.17475728,93.1372549,90.56603774,89.21568627,88.5,90.68,91.38,94.17,96.94,100,94.52,98.13,104.46,100.87,91.95,86.86,86.41,76.16,81.3
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,305.3571429,306.557377,245.3125,207.3529412,197.1428571,173.9130435,109.3333333,113.253012,90.32258065,90.32258065,102.1505376,97.84946237,96.90721649,97.91666667,95.91836735,92.45,96.12,97.06,94,95,100,97.38,97.86,98.82,101.65,103.58,104.08,105.06,105.85,104.01
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.18,97.59,93.14,86.26,88.02,96.72,79.83,81.89,106.34
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.31,107.51,112.71,126.82,127.85,165.38,168.76,182.98,170.16
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,90.16393443,85.34482759,89.10891089,80.1980198,79.7979798,78.78787879,82.85714286,82.30088496,92.59259259,89.18918919,84.92063492,88.79310345,92.03539823,88.18181818,79.67479675,89.06,91.54,94.78,105.88,103.88,100,96.88,101,105.49,104.76,99.48,100.4,98.42,133.38,137.44
Mozambique,,,,,,,,,,,,,,,,,,,,,240.2777778,254.6666667,223.2876712,225.7142857,220.6349206,215.3846154,220.8333333,216.0493827,195.4545455,183.5164835,175,178,141.4141414,135.0515464,162.195122,151.06,115.15,115.84,116.67,117.71,100,97,91.59,95.18,102.65,106.05,121.37,116.52,109.17,98.22
Myanmar,,,,,,,,,,,,,,,,,,,,,,721.0526316,617.6470588,600,600,339.0243902,273.8095238,220.9302326,252.173913,273.4693878,251.8518519,222.8070175,177.5862069,160,186.7647059,214.29,165.12,125.49,115.69,110.1,100,104.07,97.07,106.71,104.23,107.81,118.31,109.96,120.08,117.1
Namibia,,,,,,,,,,,,,,,,,,,,,112.2302158,95.55555556,89.92248062,87.76978417,90.35087719,107.0422535,96.55172414,89.81481481,102.8301887,103.5087719,92.75362319,76.05633803,74.83443709,79.23076923,88.37209302,82.61,90.4,91.94,95.41,94.29,100,100.98,100.97,99.22,101.28,104.93,128.75,135.36,120.61,113.51
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.54,101.62,97.71,94.05,85.17,83.93,83.59,76.3,80.74
Netherlands,,,,,,,,,,,,,,,,,,,,,92.13215,92.61173,93.7094,92.7125,94.80159,95.76895,98.61009,95.12164,95.53323,93.6993,95.76895,96.25209,96.02862,96.05398,96.51482,97.60844,98.07659,99.18343,99.91277,99.74215,100,101.59,103.0392,103.8311,103.3546,103.9334,103.5489,103.3521,103.3143,102.5079
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.84,94.25,96.46,107.7,112.16,111.07,113.27,110.07,103.47
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.12,100.45,104.44,136.07,138.64,145.81,187.75,185.89,192.09
New Zealand,,,,,,,,,,,,,,,,,,,,,88.44905,87.90101,86.90077,84.77039,84.59538,83.10117,83.13405,92.25993,98.55475,103.566,102.1844,96.87518,98.16012,101.2493,100.5839,99.03683,98.07468,96.24187,96.27867,96.09384,100,104.4954,98.66474,102.4033,108.3488,107.4885,109.5161,118.0632,121.3287,110.9861
Nicaragua,,,,,,,,,,,,,,,,,,,,,162.1621622,139.7590361,123.3333333,138.3561644,176.119403,123.3766234,149.2957746,114.8148148,125.3012048,114.4578313,155,126.5060241,93.02325581,104.6511628,122.8915663,128.89,113.98,109,113.68,105.38,100,88.41,86.99,84.05,82.5,81.37,79.39,78.64,75.16,83.9
Niger,,,,,,,,,,,,,,,,,,,,,230.4878049,187.3239437,221.0526316,258.3333333,227.4509804,205.8823529,226.2295082,225.3521127,201.3157895,184.9315068,165.060241,152.4390244,143.4782609,146.031746,119.1011236,121.43,106.06,100,99.01,93.27,100,104.39,108.15,110.83,132.34,147.16,183.32,270.8,196.08,185.24
Nigeria,,,,,,,,,,,,,,,,,,,,,181.25,192,163.6363636,155.1724138,154.5454545,143.4782609,70.27027027,72.60273973,60.9375,75.71428571,88.50574713,74.3902439,65.04065041,59.40594059,56.12244898,55.56,86.9,65.09,43.88,59.6,100,89.51,90.57,97.32,114.98,150.29,169.84,169.88,209.79,145.34
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.65,104.02,100.14,94.77,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,77.41953,83.93144,85.71449,84.68277,91.34856,89.13132,67.05628,63.03314,61.29539,65.10991,67.11649,66.0864,62.04877,61.26574,58.84181,60.3018,65.58105,67.61975,60.52408,71.46922,100,96.16065,90.14391,91.2961,101.5096,123.0429,140.8966,135.6391,156.8704,128.6177
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,86.27,97.34,117.36,112.07,155.59,180.17,177.02,252.83,150.13
Pakistan,,,,,,,,,,,,,,,,,,,,,129.4871795,116.6666667,112.9411765,120.7792208,122.7848101,116.4383562,150,135.0649351,124.3902439,114.1176471,108.6956522,105.5555556,104.5454545,107.1428571,107.7777778,119.19,120,118.56,136.05,117.2,100,99.85,94.81,88.68,84.56,75.19,70.01,65.54,57.63,63.35
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.55,98.12,94.69,96.76,103.99,115.01,93.72,96.41,78.4
Panama,,,,,,,,,,,,,,,,,,,,,,94.59459459,86.95652174,91.42857143,90,102.8985507,100,89.02439024,80,75.28089888,68.75,82.75862069,104.3010753,106.8181818,110.3448276,100,102.08,103.13,103.09,106.32,100,102.66,101.65,97.18,95.33,93.52,90.84,89.98,85.89,92.42
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92.5,88.4,98,110.09,120.23,177.47,177.65,171.51,164.14
Paraguay,,,,,,,,,,,,,,,,,,,,,68.18181818,71.85185185,74.35897436,69.02654867,93.51851852,62,58.02469136,87.5,100,120.9876543,103.3707865,103.4883721,94.44444444,103.4482759,125.8823529,118.28,118.28,118.28,109,104.12,100,100.2,96.65,101.44,104.28,97.39,95.52,100.07,107.35,104.91
Peru,,,,,,,,,,,,,,,,,,,,,245.5882353,201.3888889,200,193.1506849,195.7142857,170.7692308,129.1666667,128.5714286,139.7590361,119.1489362,114.1414141,107.2164948,117.5257732,110.5263158,118.556701,123.36,119.44,127.18,111.22,103.16,100,95.6,98.45,102.23,111.32,119.41,152.07,157.58,136.65,129.12
Philippines,,,,,,,,,,,,,,,,,,,,,99.11764706,70.64220183,74.3772242,71.94570136,69.03225806,80.1980198,86.74698795,94.04761905,106.0240964,97.72727273,87.36842105,93.40659341,79.20792079,77.66990291,77.88461538,80.2,81.13,82.41,87.39,102.88,100,99.21,92.5,95.64,92.53,86.25,77.27,75.71,67.66,72.03
Poland,,,,,,,,,,,,,,,,,,,,,22.18981,22.1083,21.89966,21.0276,20.73765,21.23955,21.64146,22.44427,23.03916,26.86277,95.49326,83.59846,91.96513,99.52435,101.1825,102.4033,100.2821,99.29314,103.2168,104.3496,100,101.8384,105.2507,101.6625,106.5655,106.7531,106.5668,108.7235,106.9339,107.1469
Portugal,,,,,,,,,,,,,,,,,,,,,,,,85.21355,82.42912,88.94447,100.4833,102.6094,105.7435,104.0449,103.5374,103.4069,106.617,105.2749,106.5381,104.7377,101.2221,103.6305,106.3387,103.1038,100,104.5389,105.8181,101.6212,100.0198,100,101.8533,103.3283,99.32863,107.6377
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95.14,86.36,105.46,120.89,159.21,187.49,186.34,249.94,173.09
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,56.89655172,46.06060606,67.88321168,84.61538462,88.0952381,60.90225564,78.94736842,39.74358974,48.75,40.82840237,40.22988506,81.11111111,69.14893617,80.68181818,90.42553191,110.1,92.31,130.61,110.34,93.26,100,98.79,90.04,90.14,92.38,125.93,131.12,127.55,165.38,155.34
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.86,98.1,94.26,88.14,82.34,80.09,77.39,72.36,74.88
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.74,98.26,101.4,102.34,119.62,127.03,125.79,123.92,116.16
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.47,100.04,101.66,103.47,98.32,98.12,99.25,106.5,107.36
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.87,103.01,95.49,87.88,83.59,84.97,80.53,72.89,80.39
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,124.35,136.11,121.88,113.73,100,120.33,191.93,177.48,147.92,130.69,125.94,133.58,147.47,165.42
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,105.48,104.02,113.67,129.17,177.56,201.64,236.15,267.48,175.58
Senegal,,,,,,,,,,,,,,,,,,,,,158.4158416,165.5913978,143.8202247,139.7590361,161.8421053,163.6363636,172.2891566,168.75,166.6666667,171.875,172.2222222,171.4285714,172.2222222,166.6666667,133.0357143,156.25,165.66,126.32,130.43,114.85,100,98.36,99.1,99.41,98.47,97.73,99.62,97.34,93.99,99.21
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,111.5384615,83.65384615,85.0877193,87.93103448,76.63551402,77.96610169,71.30434783,84.95575221,93.2038835,94.33962264,102.8,102.8,97.2,109.57,101.83,100,89.13,87.33,83.97,81.64,78.45,73.94,68.62,67.4,77.29
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,79.99,81.02,77.84,78.67,68.11,64.85,61.22,53.11,64.63
Singapore,,,,,,,,,,,,,,,,,,,,,126.8041237,130.3030303,131.9148936,129.0322581,125.2747253,125.5813953,122.0779221,116.2790698,115.5555556,113.9784946,116.1616162,112.8712871,109.7087379,109.8039216,105.6074766,104.35,104.39,104.67,104.3,103.23,100,95.92,94.4,90.68,89.39,86.76,86.07,84.48,83.08,82.62
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,198.1505308,140.8777429,144.3395686,140.490461,199.1326885,191.395,116.731815,108.4280255,84.99198569,,,,,,,,,,,,100,100.46,106.4,109.05,109.97,99.65,101.31,108.04,88.16,87.28
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.94,96.69,101.38,104.5,103.79,107.64,106.78,102.16,101.28
South Africa,,,,,,,,,,,,,,,,,,,,,126.3157895,110.5263158,97.32142857,98.27586207,104.1237113,106.097561,108.6021505,111.8181818,111.1111111,105.6603774,104.3478261,105.3097345,102.5862069,103.6363636,107.2727273,106.03,107.48,106.6,104.04,102.04,100,101.24,103.6,107.22,108.38,108.83,118.32,121.19,129.88,135.01
Spain,,,,,,,,,,,,,,,,,,,,,84.11565,69.23467,68.89684,65.76002,66.14619,69.80981,100.0008,100.0008,100.0008,100.0008,100.0008,101.6771,103.9628,103.8747,102.275,104.3134,105.0502,104.665,107.2254,106.3339,100,101.5031,103.7361,103.6396,102.1163,101.7689,103.5294,104.706,102.7585,107.2156
Sri Lanka,,,,,,,,,,,,,,,,,,,,,87.17948718,80.76923077,76,94.20289855,114.9253731,94.11764706,90.16393443,92.42424242,88,85,82.41758242,80.43478261,95.6043956,100,98.88888889,99,100,105,,,100,98.28,97.16,93.51,87.35,82.03,79.36,74.89,69.1,78.48
Sudan,,,,,,,,,,,,,,,,,,,,,91.13924051,106.3291139,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.87,88.94,101.98,117.93,156.42,176.02,181.68,226.71,152.47
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,97.12,104.26,128.34,128.46,156.03,154.36,153.72,151
Swaziland,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.63,97.44,93.66,90.77,92.93,97.84,90.13,99.6,112.83
Sweden,,,,,,,,,,,,,,,,,,,,,94.86423,92.49229,90.63718,89.83691,91.80431,92.69228,103.9869,105.6033,107.4871,109.0813,108.5023,108.6088,108.3675,104.744,105.5102,110.242,108.5838,107.4316,108.0811,103.9699,100,97.0882,95.07224,94.82819,92.4376,89.72522,88.23404,89.55928,86.58907,89.61368
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.82458,88.15166,89.67439,92.13398,90.32191,92.30883,96.23312,96.41087,97.41753,95.84805,98.77312,102.6375,100,101.1427,102.2241,101.6618,101.4056,98.1078,96.38486,96.42233,99.35094,106.5852
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.43,91.49,97.62,106.83,129.12,130.3,133.59,144.99,148.26
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3773585,127.7777778,120,107.4468085,111.4583333,98,100,107.8431373,97.98,95.28,98.68,98.4,99.08,100,95.19,98.3,101.7,103.01,97.96,109.03,110.02,107.93,121.13
Thailand,,,,,,,,,,,,,,,,,,,,,151.5625,132.3943662,120.2898551,129.2307692,126.5625,118.0327869,130.5084746,129.2307692,127.3972603,122.0779221,118.5185185,117.6470588,120,119.7674419,121.5909091,116,114.41,115.09,108.16,107.37,100,92.16,92.23,94.33,96.02,96.86,95.79,96.13,94.3,97.07
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,118.2692308,122.7272727,125,126.3157895,136.4864865,138.028169,136.5853659,130.4347826,133.3333333,130.9278351,133.3333333,124.7619048,127.5229358,90.47619048,95.04950495,99.12,92.37,100,114.85,114.14,100,37.71,30.44,24.35,29.51,21.4,20.43,21.75,30.36,28.56
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.57,103.27,98.67,96.98,88.41,79.82,69.92,64.88,77.16
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,175.9291051,171.6912726,145.2427378,143.0952086,142.0288065,137.0072412,98.20531929,89.96426715,77.1819696,84.73886133,100,,,,,,,,,,100,98.37,92.56,106.35,111.72,123.73,136.35,134.06,157.12,130.95
Tunisia,,,,,,,,,,,,,,,,,,,,,123.5955056,119.2771084,118.4210526,112.5,112.8571429,111.4285714,116,116.25,119.047619,117.8571429,109.1836735,104.040404,97.19626168,95.09803922,93.33333333,95.8,99.17,96.46,96.43,97.27,100,100.22,100.12,97.05,93.95,92.65,89.67,89.65,95.06,94.27
Turkey,,,,,,,,,,,,,,,,,,,,,109.0909091,103.2467532,95.96412556,95.32374101,107.1782178,95.71428571,110.1694915,117.4603175,114.4,105.7692308,109.0909091,111.2149533,115.3846154,120.4081633,109.6153846,105.74,106.96,111.43,110.89,109.38,100,97.73,97.14,97.07,97.62,96.74,92.15,94.71,91.16,94.98
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,165.2173913,247.1698113,295.6989247,315.625,295.2380952,191.7159763,191.6129032,183.0769231,145.6896552,133.9622642,120.3883495,113.4615385,131.4285714,197.17,157.66,156,139,120.62,100,94.54,95.11,96.41,95.99,100.89,105.95,105.17,106.23,120.42
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.41,91.72,101.02,114,138.65,149.16,151.32,174.61,134.71
United Kingdom,,,,,,,,,,,,,,,,,,,,,106.5107,106.7676,105.1923,103.3998,102.246,102.642,96.97195,97.44839,99.43493,99.60289,100.7887,100.9492,102.1395,104.3241,102.9573,100.1477,100.9734,102.5475,102.6831,102.1383,100,99.69129,102.2646,104.8774,105.454,105.2955,104.2885,103.6596,104.6325,103.9933
United States,,,,,,,,,,,,,,,,,,,,,90.53699,93.69633,96.33652,101.5297,101.0879,102.8914,107.53,102.0002,104.1269,103.7041,101.3715,102.2839,101.5727,102.3776,102.8232,103.3394,102.863,104.0286,107.0527,104.8008,100,102.7991,104.3582,102.9771,101.2381,97.16645,95.95435,96.56176,91.81276,98.95343
Uruguay,,,,,,,,,,,,,,,,,,,,,140.6976744,102.5210084,106.6666667,100,106.122449,98.94736842,117.8571429,127.2727273,129.6703297,124.742268,115.8415842,113.7254902,110.6796117,109.0909091,108.9108911,116.19,112.26,111.43,119.39,110.75,100,104.04,102.6,103.47,99.92,90.74,88.58,88.74,94.09,98.47
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91.34,106.28,103.92,103.74,93.87,99.3,83.87,83.54,95.36
Venezuela,,,,,,,,,,,,,,,,,,,,,154.1176471,157.9545455,145.0549451,154.5454545,144.3037975,143.0555556,76.31578947,89.15662651,67.39130435,77.41935484,89.58333333,73.19587629,69,64,63.36633663,63.39,73.39,70.87,50.98,68,100,82.22,87.58,98.71,118.08,154.41,184.4,202.13,249.47,187.1
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.34,96.69,94.38,93.55,96.03,94.71,91.69,94.64,97.35
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,88.75,91.47,97.91,113.76,139.16,152.45,149.37,167.48,126.61
Zambia,,,,,,,,,,,,,,,,,,,,,222.4719101,163.6363636,120.1834862,154.1666667,162.3529412,186.1538462,204,255.5555556,312.3076923,166.3551402,206.8627451,152.6717557,126.4900662,123.2394366,151.2820513,189.66,152.25,141.74,112.87,87.13,100,93.52,91.08,95.12,112.58,125.41,197.56,193.82,171.18,155.9
Zimbabwe,,,,,,,,,,,,,,,,,,,,,84.85915493,72.2972973,73.38403042,81.55339806,95.10869565,96.91358025,97.70114943,96.80851064,97.51243781,96.11650485,97.51243781,98.36065574,100,97.31543624,97.97297297,96.75,97.6,96.93,97.32,97.09,100,93.17,94.16,97.74,101.7,91.52,86.18,92.33,84.08,90.94
