,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.115732883,0.105199316,0.112377596,0.103305052,0.116020999,0.110350611,0.106057383,0.0971,0.142236155,0.146127445,0.15131436,0.1540202,0.166490247,0.173457056,0.191802913,0.206796653,0.219463524,0.244322452,0.304519694,0.308515968,0.301861398,0.370094897,0.373603871,0.506402301,0.540349877,1.219340364,1.697659049,2.624403276,..,..
Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0578,0.0565,0.0554,..,..,..,0.011660673,0.0139,0.0234,0.0313,0.0402,0.0425,0.0436,0.0579,0.061446625,0.0659,0.0653,0.0646,0.0681,0.0683,0.0746,0.0813,0.0979,0.109352274,0.118734622,0.186180737,0.372193971,0.504831346,0.818257723,1.386309662,2.197995212,4.576612609,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.852145361,2.91493813,3.033226523,3.176136663,3.186808827,3.248562847,3.408937643,3.507803291,3.730689098,4.040852937,4.437956535,4.534595421,4.641627026,4.914695731,5.025799789,6.662803385,8.138977791,9.859796986,11.53684636,12.0241071,14.00016047,16.90143177,20.9272551,26.68870194,35.27309011,43.4992535,55.00825258,61.55884784,67.52627056,79.91186329,85.94889434,96.01137344,..
China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.184636538,0.18921547,0.194285896,0.201325085,0.209802839,0.218163845,0.223456436,0.232245719,0.245087022,0.267547561,0.296848835,0.328462022,0.360477291,0.429384367,0.508667143,0.605066047,0.738468169,0.999686086,1.524897322,2.421753011,3.679670998,5.075766909,6.791699693,8.960528208,12.12471216,18.22277774,25.56810945,32.81997751,41.34585532,49.88437085,57.02192472,63.18382577,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.310418225,3.326387009,3.535377823,3.729004383,3.686810447,3.793603428,3.913656417,4.364773296,4.291392844,4.873125042,5.393125713,5.5829852,5.834608734,6.172796072,6.363104872,6.924040223,7.408069981,7.790519321,8.508980963,9.580188056,10.84053876,13.27087393,16.80309314,20.25580403,21.05136021,22.67032373,25.1137571,28.73731488,32.1342153,40.59190552,65.69869169,82.59290867,..
Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.268536476,0.290674609,0.311491431,0.331040391,0.376247911,0.417331052,0.451962521,0.500182855,0.560137569,0.681279327,0.750079292,0.814874994,0.843867251,0.860350252,0.897413223,0.90026024,1.002885077,1.085843424,1.201964244,1.232613543,1.253499351,1.608387297,1.819978839,2.648264601,4.159922026,5.496182322,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.112195786,0.108701028,0.099,0.0959,0.0929,0.0948,0.0831,0.0839,0.0837,0.090991554,0.0894,0.0868,0.0842,0.0822,0.0873,0.0896,0.0889,..,..,..,0.0981,0.0929,0.0379,0.0399,0.0435,0.0489,0.307441186,1.064689129,2.276318699,3.516018556,4.69296447,7.296967592,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.362786407,0.395551288,0.396761868,0.409301821,0.440149558,0.471139645,0.477918209,0.467816784,0.483365786,0.479234326,0.484709165,0.477384141,0.490830406,0.656406722,0.670019597,0.654507169,0.67823416,0.698480848,0.726657497,0.756962486,0.766509582,0.800541305,..,0.835958806,0.865335247,2.872431866,5.235661062,7.240559727,9.771951079,11.26129074,14.01462276,..,..
