"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Namibia,0,,,,,101.9222852,153.6345353,1029.236688,5168.806836,6223.504083,31181.61379,46802.36574,51973.64193,67477.07555,77743.23801,83407.00528,93196.80494,104400.063,117260.5714,131666.0096,148413.785,
Nepal,0,0,0,0,0,199.7261253,998.5187156,4991.934119,14974.76029,34944.4037,49936.251,59956.26441,79999.62132,100080.2869,120188.6644,225499.2618,317690.4362,400071.1158,500062.6934,579825.0371,2375777.565,
Netherlands,49795.96378,79696.20213,199356.9713,299245.4251,499023.3611,998301.055,1497257.831,2195037.969,3490213.383,6180223.56,6977160.686,7876704.802,9834553.562,10384615.74,11117432.35,13207420.17,13708351.68,14111797.11,14427152.51,14842071.91,15071302.71,
New Caledonia,0,,,,,9.879277217,493.6121554,1973.159342,3943.874118,11824.97571,29546.96466,39376.47322,49199.56474,59021.57121,68854.73385,74775.21129,78753.88573,83743.563,83828.5861,83921.31,,
New Zealand,0,,10016.87911,22499.86744,114816.0242,179498.7792,298944.9028,547868.3235,1196948.437,1583996.688,1827918.453,2080035.958,2340766.447,2451162.905,2522845.14,2592926.962,2887583.07,2952564.794,3081305.823,3445134.516,3625552.88,
Nicaragua,0,,,,597.1940136,1393.267185,3980.273396,9949.546993,14922.75049,24868.84275,49733.28309,74593.39444,89504.15165,99441.31063,124295.0749,139207.5108,154124.9137,216982.506,298685.581,416846.79,578816.3,
Niger,0,,,,,,98.73280718,197.5811243,296.560205,2967.849249,3960.61117,11894.50953,14884.69941,18868.07026,23830.8811,28760.83846,39577.37908,54442.55631,101150.049,113789.1532,128749.2099,
Nigeria,0,,,,,,9947.552942,19869.33033,29768.9275,49568.37851,79260.61321,113909.2815,416063.6246,743281.1936,1754284.515,4962548.067,7948195.889,9948614.993,23895584.78,43920958.87,45039710.64,
Northern Mariana Islands,0,,,,,,,,,,,,,,,,,,,,,
Norway,30000,59996.29855,94985.01737,119972.4385,179964.3305,279994.3476,800301.4951,900855.7134,1001499.345,1101924.689,1201846.046,1320367.031,3303730.312,3561681.058,3563676.037,3790642.03,3854096.051,4104848.509,4328303.166,4451149.042,4560337.363,
Oman,0,,,,,,0,9967.767585,19523.20623,56838.90699,79708.07916,134330.7267,158285.6503,169491.7608,160748.2144,162378.279,206714.4034,427205.9916,527392.6,1396752.615,1725109.7,
Pakistan,0,,,,,156.2567799,3911.307846,36986.49167,60563.57051,78198.22598,,1945625.933,3876636.469,7720024.261,9607714.756,10045952.82,11436613.33,16617615.83,26405644.09,28285015.49,29128969.67,
Palau,0,,,,,,,,,,,,3962.346273,4255.068823,5340.934972,,,,,,,
Panama,0,,,,200.3084544,1502.372321,6009.737135,15024.98569,78208.51646,111255.1046,193768.0429,218970.3587,261430.2854,312163.4314,354498.7924,371889.0841,571595.8576,746865.0117,1152073.903,1352910.911,1503440.55,
Papua New Guinea,0,,,,,,100.058228,4999.720364,11992.64345,34960.47354,44926.58994,49893.73167,74805.06882,79757.10146,89692.68738,104609.3092,109566.2557,114529.6738,75316.582,107924.1121,87785.8048,
Paraguay,0,,,,,,998.6694994,4993.423953,9987.027126,19974.47476,39949.93865,59927.34775,99884.83475,119868.6372,199786.95,466340.7748,478408.9325,685972.9695,889055.5334,1198617.588,1278000.504,
Peru,0,,,,1990.455992,7961.204305,59708.12821,99515.44059,298537.1296,497468.6064,795623.0083,1987778.714,2383348.017,3122295.672,3841126.653,4712549.499,5768342.109,7097851.656,8701242.427,9032260.868,9973243.616,
Philippines,0,,,,3956.738031,19797.13814,39627.36588,99162.12963,816971.0448,1083292.469,1532479.252,1993065.648,3493131.957,3997572.33,4401328.578,4617485.022,5000984.97,5292562.071,5608769.246,8253278.1,23315199.5,
Poland,0,1995.602383,19937.45624,49796.50207,149275.7133,248683.6377,497343.1946,795985.0659,1573894.906,2091784.833,2790497.251,3788670.466,8085750.116,9499880.154,12418371.09,14811852.02,17016333.11,18560224.33,20305468.86,22555569.75,23854014.51,
Portugal,0,9969.2663,24997.74616,45142.97583,72448.07239,151300.5193,303126.7618,505764.9476,1011951.137,1517527.313,1698287.48,1877400.642,2018984.687,3105205.234,3338887.203,3689227.684,4020557.163,4464922.352,4455902.428,4955586.375,5455217.292,
Puerto Rico,0,,,,999.9174184,5000.988952,10008.53286,50085.27657,100214.4859,200273.6049,399540.0582,596634.3854,669064.9538,749552.7795,839280.1415,884986.632,959967.1182,1049041.554,1428412.78,1557734.04,1698301.077,
Qatar,0,,,,,953.6554468,4766.476847,16306.46481,19318.90942,23197.86287,28742.25256,37518.7499,63828.73571,125748.6685,148047.0065,203058.5213,283464.1754,435931.04,942340.5,,1435175.088,
Romania,0,,,849.8501679,5999.118156,17000,50014.4365,100071.1687,500619.359,601093.4372,801944.6858,1003046.173,1448309.39,1951352.323,3276789.6,4680926.035,5352496.155,6125502.738,6999330.165,7882622.154,8579507.94,
Russia,0,,1001.385188,20029.06365,80116.1177,220298.4992,400467.0125,700645.0847,1200823.538,1500829.066,2901733.813,4303539.248,6007446.329,12023428.18,18556996.03,21902527.74,25865216.12,35336431.84,38410659.73,41488582.62,61472010.52,
Rwanda,0,,,,,,51.26938736,102.3879781,816.8761391,5093.899287,5088.307731,20353.58868,25461.66587,31615.33458,38818.48088,51165.39,,205415.3277,450184.14,793968.175,1381120.65,
Saint Kitts and Nevis,0,,,,,,850.4863925,1000.587226,1500.969705,2001.276128,2701.758843,3602.391565,10006.55724,11007.80973,12008.41081,16718.82,24407.39,26236.6,30661.2,35708.88,39825.52,
Saint Lucia,0,,,,,449.520119,999.1418036,1498.958223,1998.877709,2998.705489,7997.556568,12997.62726,23498.82865,34003.14737,35009.19994,35645.82271,40915.49,47093.247,54599.68,62084.88,69706.8,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,,,,,139.037304,522.1449745,1000.287175,2000.593279,3000.918061,3501.103313,5501.732235,6001.886862,7002.13255,8002.579908,10003.58733,35014.78801,57027.474,66041.7722,76040.2971,,
Samoa,0,,,,,,,299.8551054,399.7719446,499.7717533,999.9603525,3002.027883,4006.756946,5015.285982,5526.695595,6042.611446,8078.746844,8610.62711,9147.92949,10944.06,12815.67,
San Marino,0,,,,,349.7684374,369.828631,369.9148871,370.0422567,11364.70836,13159.7599,13865.60592,14361.35063,14507.50183,15029.32848,15229.15055,15424.60224,15616.62039,17009.1496,16999.7139,,
Sao Tome and Principe,0,,,,,,,,401.8727118,502.9455776,6540.772563,9051.749527,11049.65336,15043.39108,20025.71311,21000,21977.87605,22959.73027,24745.0896,26668.7115,31011.9375,
Saudi Arabia,0,,,,,2025.991236,5022.120734,9909.568586,19531.99842,96638.6937,443139.2746,968115.5681,1370353.835,1787103.209,2375820.643,3054432.44,4825859.727,7651252.8,9419990.04,10187459.9,11253715.26,
Senegal,0,,,,,57.98532917,965.5721653,2410.046608,7216.672256,28822.99671,38400.59173,96006.89797,100878.8907,216404.9989,464099.0572,520403.8898,626805.8985,883548.897,1249435.038,1755495.425,1989396.48,
Serbia,,,,,,,,,,,,,,,2325442.5,2018571.814,2081969.6,2536248.488,2726536.716,2921949.96,3139144.939,
Seychelles,0,,,,,,491.8239977,978.0614536,1945.131424,4846.827542,5819.250823,8771.767067,11534.88336,11916.23903,20056.31136,21223.38263,29461.36602,32613.405,34603.6992,,35472.38,
Sierra Leone,0,,,0,0,0,97.69284439,195.2079378,585.3486112,1953.329684,4899.409391,6897.541337,7938.670429,8995.234258,10053.21237,11100.06663,12128.78123,13138.83791,14030.3225,14922.1618,,
Singapore,0,5005.775401,15039.90603,25092.1582,40124.90863,100043.0725,298639.3742,494501.8276,736860.2766,928702.3928,1410948,1658881.291,1895141.99,2199845.282,2579297.96,2602259.39,2601873.45,3117727.92,3292829.04,3412495.05,3611356.78,
Slovak Republic,0,,,6820.35297,17052.26744,28090.59907,42147.32904,63244.00458,145156.8762,293712.3492,509504.1014,677412.0001,2170836.227,2328111.933,2862057.197,2988812.242,3040726.018,3356341.932,3880193.882,4098244.346,4338014.91,
Slovenia,0,,,8000.049175,21000.11787,57000,99999.23916,149997.7983,199996.4634,249996.4689,300000,600013.2774,554361.0147,635320.2741,815367.0679,937175.5204,1083928.31,1141804.553,1170539.76,1295385.6,1420776,
Solomon Islands,0,,,,,88.64448092,984.3572417,1475.634132,1966.615329,1966.430523,1967.214062,1969.005288,2168.830778,2468.819173,2968.477882,3966.599192,7951.860785,9929.8,15306.63,20965,26907.4,
Somalia,0,,,,,0,100.0613632,200.1184203,500.28715,1000.591331,1479.8066,6004.543172,9007.797023,30027.95527,86076.72311,90063.08832,94040.96106,98010.36946,101953.5383,105845.9173,,
South Africa,0,5006.708347,15019.73112,45054.67713,100100.5301,280186.6449,355070.3562,699733.3648,1264677.611,1816803.156,2394035.661,2880703.662,3087782.046,3267782.237,3978902.997,3578983.181,3676600.134,3939327.804,4157622.301,4975150.3,6166336.491,
Spain,5006.420819,10012.27851,30036.07126,50058.62999,110119.4357,150137.6709,526339.5412,1110357.115,1733155.763,2830396.125,5489286.477,7398691.594,8434267.631,16786492.14,18806393.69,20777737.15,22171809.68,24581476.02,26907169.77,28478182.51,30318658.76,
Sri Lanka,0,,,,500.2618326,999.7851198,9989.113636,29939.38448,54854.87094,64840.30773,121357.5504,150205.3379,200988.8889,282524.8461,283600.707,355587.5302,509088.2931,786564.0372,1187480.342,1814750.668,2503193.88,
Sudan,0,,,,0,0,0,390.9023517,1564.018235,2934.635598,8815.317026,49067.96031,157403.7946,197314.5178,296864.474,496276.9589,3185730.589,3496356.791,4207779.342,,,
Suriname,0,,,,,500.0906294,1000.038472,4493.398148,7584.544882,8710.535184,11701.07974,14508.04865,19981.02325,22976.35342,29969.2552,31970.22565,47964.85138,71980.1896,108472.8996,163028.4096,165732.5124,
Swaziland,0,,,,,9.941850568,496.2447698,891.5022417,988.5843279,4933.939492,9853.124508,13778.15676,19665.4371,26533.00791,35369.82525,40848.05562,41312.66537,46453.287,78798.564,88794.22,95121.6912,
Sweden,50000,99998.81627,129995.1169,149991.2465,299985.1884,450000,800125.3443,2100856.816,2962761.73,3667831.743,4047995.888,4595249.465,6282022.137,7070575.69,7531614.839,7659593.364,7978004.463,7513242.817,8313184.8,8473110.1,8441718.3,
Switzerland,39756.4065,79530.25953,119374.0252,149352.3546,189345.703,249304.8011,321249.5796,1070662.933,1764011.104,2426491.6,3376084.668,3971600.837,4454554.65,4756907.778,4990914.618,5197919.907,5653540.95,5806685.236,5997977.568,6196044.543,6430362.802,
Syria,0,0,0,0,0,0,0,4844.368122,9680.673857,19356.32476,29050.93926,58210.80306,355051.0094,594308.944,778094.1869,1044002.813,1481975.699,,2757196.26,3469297.539,4224995.442,
Tajikistan,0,,,,,,,,,2001.702881,2999.959176,3194.770031,3486.287371,4092.495707,4951.833841,19275.18408,246135.698,475361.4548,587506.3248,683087.373,794482.5735,
Tanzania,0,,,,,,499.3503433,2495.892959,2994.049279,24941.43021,39890.83221,59813.06849,79721.71427,249042.9979,331608.7804,1669734.032,2315569.322,2956909.32,3804090.03,4352473.8,4932534.86,
Thailand,0,30.14470488,200.1371944,7968.112436,22831.36972,44633.43142,69581.33037,219679.6941,672849.8057,1514184.881,2329815.09,3550430.105,4868420.957,6078799.864,7053467.47,10022116.96,11545108.16,13579629.14,12424772.72,13809930.52,14653913.61,
Timor-Leste,0,,,,,,,,,,,,0,,,1000.584302,1211.268624,1495.24828,1769.458278,2037.557274,2361.1455,
Togo,0,0,0,0,0,0,459.9788062,9183.192201,13751.80575,27456.34313,91348.58102,136738.9523,181911.1639,190546.183,200008.5454,216321.76,237786.044,254376.495,277288.176,300994.809,324295.5324,
Tonga,0,,,,,118.1872702,157.5627534,493.2463499,741.9201812,991.8155444,2384.127725,2782.313172,2879.765211,2975.63573,3963.677684,4953.22883,5946.670569,7341.699494,8346.793349,10351.9,12486.96,
Trinidad and Tobago,0,,,,,1994.970833,4987.606171,14963.37349,34915.8029,74821.90949,99765.11466,199532.7689,286329.4804,339208.1209,354186.029,381155.6186,396174.8969,428192.056,463201.92,592002.607,650610.525,
Tunisia,0,,,,650.0396282,1000.059653,2500.13283,4000.231819,10001.0168,150032.7229,260113.2205,410303.3075,506072.6172,631051.7117,837018.9417,957023.1849,1300956.602,1732292.928,2821088.573,3531385.822,3856983.712,
Turkey,0,,,4817.522918,28879.87784,48087.24127,115291.8686,287927.3224,431460.9725,1436988.539,2393479.763,3349546.346,7447773.577,8179652.089,9802998.157,10534936.56,12597189.33,20038925.47,24376486,26152021.17,28969975.82,
Turkmenistan,0,,,,,,,,,2003.166311,5999.589491,7975.076446,13898.35373,19762.11457,35416.18878,47348.13582,63363.88218,68332.85785,86071.93,97103.604,110923.89,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,,,,,,493.7100325,,,,,,,976.2,1467.9,1961.2,2456.75,
Uganda,0,,,,,596.4918468,993.357231,2282.966896,14878.71372,24784.39062,39640.28255,59448.63126,99074.60352,123843.5605,198147.681,495330.0007,742880.273,1114070.432,2475811.968,3165581.5,4178085.375,
Ukraine,0,,,400.5022958,7008.521959,22025.27479,50052.53546,100092.5794,150116.7662,200123.0102,350155.0753,600157.5331,900071.395,1499871.179,1649659.392,1759536.717,2099484.409,3031481.349,10315912.29,15154525.82,20451748.05,
United Arab Emirates,0,,,,,2417.566661,9287.172221,86068.02836,190358.0815,432895.668,716671.3758,827413.1355,921614.0989,1002533.11,1102215.469,1627739.6,2424618.56,3297380.01,4468768.56,5204111.25,5859118.2,
United Kingdom,49979.88644,99955.63384,149920.0667,299807.2411,599560.1875,1099144.73,2398186.006,4307073.905,7995303.267,12493278.45,15791071.04,19786365.83,33515215.62,38635537.73,39295002.11,42141908.9,41662350.01,45726882.24,48029802.28,51516674.41,52730234.5,
United States,1988024.101,2975534.953,4453199.953,5924597.893,12811918.54,24600556.9,44232691.29,58935677.59,83053031.2,100125498.2,121697044.8,140147751.6,169576672.1,179718040.2,190430149.5,201742975.8,206493363.8,226713423,225691907.4,218457577.6,229684121.5,
Uruguay,0,,,,1999.393998,9996.687827,59977.88576,109954.4281,229892.8184,329828.269,349798.2824,369766.6722,379740.6638,529610.8151,566728.1175,667435.9236,978270.594,1134079.52,1314965.031,1403389.438,1606910.922,
Uzbekistan,0,,,,,350,1000.455632,2502.703461,5007.511653,7509.265425,120000,149646.186,273460.5729,487510.7949,666799.8074,867554.3528,1674617.408,1985297.355,2434557.945,4627563.64,5488940.4,
Vanuatu,0,,,,,,97.65113833,244.024966,487.9029162,975.6096248,3901.983418,5365.179844,6828.955814,7805.342636,9757.16381,10732.3643,12681.72817,15121.636,16576.57376,17534.25,19172.08,
Venezuela,0,,2493.176494,8776.400077,11968.36354,26929.93056,55856.76358,89772.94256,324190.5871,678326.8315,818005.0038,1150223.87,1241033.599,1930220.072,2201970.529,3347146.677,4130269.5,5747710.844,7261277.118,8898212.856,10337114.99,
Vietnam,0,,,,,,101.2679687,3030.715703,10073.13704,100422.1368,200240.8824,1007833.979,1493285.979,3076281.235,6286874.222,10594671.07,14506872.84,17643673.71,20559697.35,23072261.43,24211031.44,
Virgin Islands (U.S.),0,,,,999.5296774,2998.599021,4997.862295,7497.498587,9997.04153,11995.57016,14990.88205,19979.23538,29950.51002,29931.15303,29914.8575,29904.56832,29902.14925,29906.22608,29913.8104,29921.37202,,
West Bank and Gaza,0,,,,,,,,,,35545.79582,60339.21198,104050.8448,141243.0392,153304.7715,569070.8991,669698.5449,789496.1258,932070.0747,1266855.586,1512273.485,
"Yemen, Rep.",0,,,,,,97.57309592,2438.145366,3898.911469,9744.942182,14621.69695,16585.98437,97698.72975,117437.6086,176474.7467,216521.2439,265637.657,1099544.199,1558972.396,2323490.114,2970485.479,
Zambia,0,,,,589.0196602,783.4513907,830.9116517,878.6783731,2926.516523,14624.60707,19492.29207,24361.63066,51088.15469,107247.7939,225364.9608,326878.2531,488794.1917,587097.2008,687068.466,802868.3726,1308857,
Zimbabwe,0,,,,199.4931392,897.7980511,1996.605132,3998.259975,10011.5255,20056.23075,50217.23576,100580.7602,503600.0732,806571.6023,826930.3187,1007663.435,1226883.958,1354215.083,1419475.902,1417045.491,1445717.21,
