Suicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Netherlands,4.787224,6.585643,5.584072,5.464501,4.928372,4.760178,4.87561,4.975496,5.631533,6.995036,6.616627,5.623625,6.336976,5.390756,5.830798,6.314484,6.486752,6.858778,6.485146,8.17661,8.048237,8.128669,9.236233,9.885866,10.76943,10.12873,11.99235,11.26035,11.85599,12.07641,11.9247,11.85732,11.71873,13.57765,14.90155,13.4929,12.90891,13.02443,12.40608,11.74802,13.00522,14.10563,13.50625,12.72523,14.29936,13.22561,13.08541,12.92912,12.16475,12.0289,11.70045,12.07184,12.39972,11.1183,11.69348,12.15133,10.79436,9.621452,10.30474
New Zealand,10.20301,12.88975,9.43675,11.02765,7.723447,8.909928,10.85867,10.8117,11.03849,12.28281,13.70049,10.77119,14.27351,11.74958,8.560942,10.84612,11.17885,15.7218,14.35085,12.20067,12.5239,10.222,12.35099,8.589094,11.98212,12.58367,11.15005,16.92354,11.71664,11.50437,12.33002,12.78399,13.23089,14.05591,14.65998,10.3822,15.96847,14.14684,15.02284,13.64609,15.5712,16.62076,14.46294,15.2765,16.07751,16.02752,17.34637,19.96116,18.89018,18.88706,15.4799,20.14649,17.90908,18.25517,16.32297,17.62536,16.70439,,
Norway,,9.56758,8.395882,8.454913,7.779117,10.08021,8.885365,8.224317,8.30008,8.378736,8.63638,9.733171,11.13891,10.84191,6.910845,10.87718,9.305669,8.436154,12.41026,11.44862,12.30439,12.33315,10.66047,11.03452,13.84554,11.90616,13.30724,15.74925,15.43546,14.00641,13.2806,16.45936,18.59046,15.72929,16.36375,17.80205,18.98876,18.43041,20.54049,18.73009,19.16725,17.84142,16.89025,17.98187,14.66307,16.04162,13.12013,14.92538,15.41461,14.93311,15.70996,14.85993,13.79609,14.3095,12.67963,16.22511,13.60845,11.44686,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.533761,4.74156,3.913522,6.170433,4.860029,3.827926,,,,,,,6.316633,9.158902,7.466061,6.726621,7.69355,6.125758,7.302045,7.023622,9.054946,,7.239935,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.181762,3.609952,2.821816,3.465174,3.662648,5.674147,4.487648,2.375667,4.21254,3.984776,4.63946,4.056765,6.509739,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7087681,1.959837,,,,1.831212,1.785876,2.132994,2.892717,2.226253,2.247634,2.919666,,,,,
Poland,,,,,,,,,,9.954494,12.54698,13.74445,14.18604,14.33087,13.30151,13.95274,15.98911,16.21113,16.33988,17.19272,17.1393,16.28518,17.31646,17.08852,15.43864,15.89808,16.78025,17.29687,18.64643,18.61404,,,,18.35655,22.0705,20.45328,19.61871,19.60532,18.42358,16.8166,19.36872,21.38375,22.69632,21.93764,21.55172,20.61858,19.47508,,,20.51389,20.9686,19.71168,20.06706,19.5238,19.57366,19.03304,17.50354,15.60119,16.74698
Portugal,,,,,,8.234867,8.419339,7.500808,9.667194,9.140956,7.425415,8.91251,8.702419,9.74936,8.574136,9.645249,10.6053,11.51385,9.040868,8.313841,8.89277,7.683567,7.323453,8.27084,8.317989,8.487233,6.975094,8.049569,8.498357,10.86431,7.553472,6.712949,8.416147,9.569162,10.62606,8.147606,8.371497,9.884061,6.065928,5.533434,7.88263,9.487438,7.452216,6.742898,7.314606,6.082889,4.986316,5.707698,4.763724,4.580084,4.479264,6.75352,10.89848,10.40274,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0973,10.57891,11.53848,15.08395,16.10164,17.34704,16.79007,16.76984,18.16803,17.10801,14.80011,15.57467,16.05204,17.54875,16.20701,15.44175,13.04574,14.36693,12.54285,11.91017
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.77692,50.61971,50.65406,,,44.26766,29.3835,29.66781,31.10204,34.66495,35.995,36.38417,43.826,54.73283,60.72283,59.19972,55.83046,50.71233,47.32194,51.21788,51.10579,51.01454,50.39719,45.48752,44.02881,41.1492,37.81037,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43117,15.92129,15.95603,15.69525,14.8131,14.72037,12.2584,15.00646,14.12033,13.1699,13.67674
Singapore,,,,,,,,,,,,,,10.3336,9.462657,9.24992,14.19109,10.76101,12.74855,9.246891,7.407422,11.05986,10.01519,10.4791,14.70045,12.90002,11.43103,10.43175,13.97183,10.08031,10.03757,9.692248,10.00974,11.82855,9.454043,14.23477,14.82605,12.74249,15.67016,16.02029,13.49094,12.62158,11.85107,9.827718,10.87043,13.28589,7.468621,11.41588,9.182476,9.665477,11.22234,10.04797,12.18065,9.238005,11.07337,11.43305,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3917,19.45112,17.30257,18.71144,17.85397,15.63153,18.4143,16.28619,16.02805,17.36401,15.23172,18.23375,15.32831,14.99713,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01207,33.79949,33.70105,35.20396,33.20418,27.35253,40.68384,32.46065,37.6247,35.35431,32.123,33.23806,36.39025,33.88439,31.13963,29.44037,28.42749,25.58461,27.53199,21.16727,24.4776,26.15322,16.26544,16.11636
Spain,,5.609299,5.996342,6.276406,6.401487,5.069272,5.14957,4.76112,4.325389,4.615414,5.15506,4.646533,4.986736,4.9474,5.106695,4.370111,4.209342,4.450963,3.809391,4.017385,3.840176,3.739043,4.140305,3.753496,3.320867,3.88431,3.962306,3.494156,3.459392,3.856113,4.126882,4.07441,4.33482,4.661857,5.366186,5.663033,5.921742,6.093097,6.539929,6.447059,6.272077,6.045884,6.260494,7.313823,7.818778,7.496334,8.150775,7.995317,7.899795,7.617264,8.017018,8.388308,7.989678,8.767521,8.213636,8.133707,,,
Sri Lanka,8.088098,9.819921,8.441999,9.118455,8.877227,8.611689,10.64317,10.68801,11.17914,11.41609,12.84488,12.84589,14.50214,17.09064,20.50633,17.99204,16.92661,19.69757,19.4847,,,,,,,,,20.84446,,,31.56466,29.28353,33.16838,37.25832,39.48326,38.88531,38.25703,,,,,,,,,,,,,,,,,,,,,,
Sweden,,17.04547,19.35257,21.13371,19.39407,19.18539,21.51289,22.53188,19.60002,21.07586,18.94035,16.45802,23.36252,20.61534,23.06389,23.93562,25.38677,28.45378,29.36323,28.29025,29.30639,26.6563,27.63006,27.85815,26.17116,23.96764,23.11596,25.20372,22.20967,27.04783,25.34466,20.6887,23.51736,23.6332,25.47663,22.18873,23.64037,21.53731,24.10614,23.1533,20.33499,20.84373,18.64749,19.72336,16.55724,19.1073,15.83405,17.41647,14.78378,16.26991,14.66858,14.75133,14.32788,13.78277,13.66568,13.24674,14.29265,13.07221,
Switzerland,,21.78706,21.37292,21.26939,22.69568,21.70521,20.92558,21.19903,22.17787,19.4957,21.07444,20.77109,23.15767,20.1555,19.18554,20.5765,20.03867,21.42571,17.5487,19.30409,18.31168,21.10588,23.52824,19.75767,23.31697,25.23139,26.19338,26.18756,25.50945,27.09309,28.57131,24.59633,25.91862,26.82424,28.06892,28.34677,24.52975,26.44381,24.95397,25.40582,22.71364,23.86192,21.88966,21.78755,21.60637,18.82583,20.36962,19.37655,18.16495,17.34189,19.16346,16.35277,17.69819,14.03774,13.77988,14.99104,14.0413,12.4946,
Trinidad and Tobago,,5.585877,10.22165,7.772552,12.12064,8.301,10.39958,9.556546,5.75683,,3.621181,3.525434,2.733846,1.317615,,,,7.206231,13.58426,,11.9372,10.01475,13.70831,18.67838,10.43221,15.32739,17.0017,12.72403,5.717431,6.652113,5.536812,8.547338,15.99503,16.68734,8.717638,3.867566,15.99813,16.18244,21.44668,23.53592,22.1721,14.28178,17.512,26.32865,15.3146,22.31881,16.86815,22.73928,23.42561,16.30507,17.86322,20.26461,21.28776,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68595,18.71001,,,14.64429,18.99258,14.23808,10.89537,12.30079,14.1855,12.68468,11.9243,9.906883,8.48713,9.067966,9.081036,9.209549,12.61733,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.38208,35.35942,,,31.06578,24.02288,24.27892,24.03178,26.35493,26.75852,26.72023,30.01493,30.98402,33.91346,35.91906,38.36103,37.69757,36.25131,35.97533,35.84619,32.76414,32.48087,31.65423,29.66207,27.76804,26.53051,,
United Kingdom,7.913575,7.837156,7.655224,8.398369,9.233887,8.609893,8.936578,9.286612,10.19732,9.953882,10.2721,10.7831,11.53348,12.0878,11.43263,11.24772,10.81237,9.925331,10.08001,9.082346,8.806931,8.83125,8.659427,9.165216,9.201829,8.6865,9.224814,9.145465,9.789414,10.44636,11.07919,10.73663,10.54161,10.91896,10.88661,11.20615,10.42113,10.17533,11.79953,9.984319,10.80426,11.46678,11.36748,10.53192,10.79456,11.00301,10.53083,10.01313,11.30386,11.17581,10.46467,10.58646,10.75136,10.5035,10.73936,10.48051,10.47235,9.974999,
