"Electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,615000000,712000000,774000000,670000000,669000000,749000000,810000000,865000000,924000000,970000000,990000000,1063000000,1149000000,1175000000,1243000000,1334000000,1411000000,1540000000,1724000000,1863000000,1943000000,2272000000,2460000000,2560000000,2382000000,2460000000,2555000000,2815000000,2943000000,3182000000,3318000000,3618000000,3893000000,3988000000,4213000000,4431000000,4656000000,4925000000,5044000000,5160000000,
Czech Republic,,,,,,,,,,,,33624804588,35438433325,36913579636,38381473844,40285298589,41940840341,43401582213,45763423615,44898424186,47050733335,47728695472,48156294999,49578092984,51095066707,52963491236,54173413200,56106449102,56699118938,57445673526,57699420312,54177388875,52369270898,51934018167,53542808475,56453694171,59070063957,58275887491,57610195054,56368757143,58325407320,60134546965,60130369198,61878252494,63442753103,64820662974,66777706730,66995956444,67083322231,63828931717,66326393921,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,4990181966,5500314031,6302583051,7017907742,7671505219,8655150948,9515130243,10280487001,11377894708,12832332980,14259846659,15171630999,16693315532,17190775222,16355754974,17278246300,19268351877,20378853789,22038813394,23243238375,23561995401,23521646061,23968861372,24262281115,25473206455,27364053511,28734254755,29649071007,30005544929,30031558281,30562564759,32050600828,32254178293,32741293436,34083523273,33622942177,34930748908,34869981173,34470275549,34629467093,34613254514,34762294517,35089560929,35550810882,35725930137,36088079908,37144662535,36470293258,35924120139,34363064848,35115558009,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,1068000000,1687000000,1955000000,1829000000,2072000000,2013000000,2280000000,2269000000,2675000000,2561000000,2630000000,1991000000,2270000000,2815000000,3082000000,3199000000,3222000000,2617000000,2348000000,2791000000,2918000000,4035000000,3870000000,4081000000,3923000000,5086000000,5200000000,5598000000,5573000000,6258000000,9070000000,11131000000,11940000000,10439000000,11821000000,12214000000,13094000000,13461000000,13306000000,14317000000,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,903000000,961000000,1080000000,1186000000,1372000000,1605000000,1860000000,2211000000,2546000000,2873000000,3151000000,3395000000,3524000000,3641000000,3604000000,3884000000,4303000000,4408000000,4455000000,4918000000,5330000000,5599000000,5671000000,6163000000,6325000000,7164000000,7825000000,8375000000,7898000000,8051000000,8354000000,8602000000,8944000000,9979000000,10469000000,11765000000,13022000000,15335000000,15908000000,15261000000,
Egypt,,,,,,,,,,,,7216000000,7240000000,7282000000,8211000000,9260000000,10799000000,12438000000,13309000000,14673000000,16544000000,18561000000,20861000000,23526000000,25024000000,24487000000,29867000000,32255000000,33914000000,36015000000,38049000000,39871000000,40965000000,42779000000,44413000000,46460000000,51100000000,54649000000,58608000000,63590000000,67246000000,72171000000,77129000000,83505000000,88285000000,95308000000,102475000000,110816000000,116207000000,123448000000,130437000000,
El Salvador,,,,,,,,,,,,639000000,702000000,807000000,876000000,872000000,1018000000,1125000000,1247000000,1307000000,1256000000,1211000000,1210000000,1326000000,1394000000,1463000000,1506000000,1617000000,1687000000,1714000000,1857000000,1981000000,2085000000,2403000000,2634000000,2845000000,2937000000,3194000000,3308000000,3441000000,3621000000,3716000000,3979000000,4159000000,4160000000,4579000000,4969000000,5382000000,5298000000,5206000000,5296000000,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123000000,128000000,141000000,148000000,169000000,185000000,163000000,176000000,172000000,194000000,216000000,233000000,235000000,242000000,232000000,245000000,242000000,260000000,272000000,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9233911174,8977277300,7245242363,5919793450,6332433063,6210570702,6600214035,6845822122,6655381422,6233459771,6344711749,6500903717,6645203468,7123558934,7393388895,7492663870,7907888887,8423533597,8519330897,7983080493,8669328402,
Ethiopia,,,,,,,,,,,,552000000,564000000,551000000,542000000,537000000,531000000,505000000,535000000,596000000,635000000,682000000,728000000,780000000,842000000,809000000,835000000,881000000,864000000,866000000,1082000000,1088000000,1117000000,1245000000,1306000000,1374000000,1443000000,1453000000,1488000000,1480000000,1507000000,1811000000,1840000000,2066000000,2285000000,2560000000,2942000000,3212000000,3419000000,3613000000,4502000000,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,8298687498,9763725267,10737742350,11211377050,12343410527,13410793364,14634315405,15333454723,16649874094,18708812472,21053587590,22602999878,25619003086,28229687751,28807754205,28015952429,30940730527,31877766840,34819476043,37772034899,39649610098,40777187836,41182429465,44281587394,47857811859,51389000000,52277697250,56077871483,58322294129,59782981694,62259124857,62467884055,63005573102,65862246981,69191269562,69422163097,70327288042,74287645045,76474269955,77821551058,79172552329,81455574085,83874857091,85677224656,87666688861,84517732564,90642285301,90790362884,86920986657,81413771312,88422680450,
