50+ yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Latvia,54.865,56.074,59.28,58.723,58.683,56.172,57.113,59.572,61.865,62.25,61.451,62.029,63.185,64.685,66.273,68.4,70.296,72.63,74.908,75.824,76.062
Least developed countries,95.759,95.922,96.117,95.84,95.509,95.245,94.464,93.249,92.184,91.283,90.28,89.645,89.237,89.199,89.424,90,90.792,91.536,92.028,92.287,92.358
Lebanon,97.993,96.361,95.091,94.457,93.726,93.515,93.611,93.025,89.916,93.013,95.809,91.634,87.367,84.007,81.991,81.217,81.362,82.388,83.443,84.713,85.946
Lesotho,60.628,66.693,73.447,74.217,73.72,73.957,73.459,75.697,77.843,76.713,75.02,70.572,64.583,60.465,59.349,62.581,70.899,80.234,87.695,91.305,91.805
Less developed regions,96.095,96.167,91.928,93.576,94.337,95.519,96.342,96.733,96.431,95.801,95.226,94.943,94.481,94.037,93.678,93.292,92.81,92.503,92.568,92.783,92.976
"Less developed regions, excluding China",98.511,98.663,98.718,98.381,98.138,97.89,96.847,95.674,94.387,93.185,92.368,92.27,92.021,91.884,91.746,91.729,91.745,91.813,91.919,92.064,92.114
"Less developed regions, excluding least developed countries",96.131,96.193,91.474,93.325,94.207,95.549,96.55,97.112,96.891,96.3,95.77,95.512,95.041,94.551,94.131,93.652,93.045,92.624,92.64,92.854,93.073
Liberia,87.369,87.231,86.884,86.689,86.595,86.694,86.779,87.03,87.304,87.726,87.898,87.289,87.11,87.187,87.599,88.154,89.018,89.776,90.305,90.891,91.471
Libya,143.257,127.843,120.283,121.131,113.125,114.316,118.535,121.376,118.544,118.815,119.409,118.778,120.602,114.94,108.1,102.658,99.218,97.104,95.369,93.811,92.67
Lithuania,66.745,68.359,72.904,69.958,68.373,65.811,65.385,65.881,66.7,65.763,65.229,64.878,65.282,66.397,67.678,69.049,70.762,73.031,75.112,76.358,76.813
Luxembourg,95.003,91.3,88.232,85.418,82.264,77.64,77.452,77.281,77.999,79.483,82.428,86.516,89.023,91.259,92.475,92.828,92.675,92.448,92.081,91.947,91.989
Madagascar,88.775,91.525,96.471,103.225,110.731,114.379,113.508,109.032,103.542,98.136,94.905,93.653,93.067,92.899,92.886,92.841,92.755,92.521,92.326,92.15,91.927
Malawi,85.583,84.402,83.333,82.623,83.315,84.116,83.802,83.452,87.615,95.087,94.515,91.483,85.777,81.36,79.664,80.675,85.108,88.892,92.5,95.721,97.99
Malaysia,113.521,116.301,115.911,112.794,105.596,100.37,98.12,94.279,95.658,97.798,99.715,99.872,99.014,97.624,96.194,94.784,93.693,92.776,92.363,92.206,92.284
Maldives,119.388,118.119,117.233,116.964,116.565,116.357,115.993,111.001,137.678,123.673,115.599,109.365,102.208,98.165,92.366,91.126,92.196,92.889,93.625,93.801,93.286
Mali,90.474,92.219,95.323,99.308,102.399,104.828,105.178,103.833,100.059,95.905,90.647,85.539,81.969,80.233,80.149,81.027,82.387,84.095,85.669,86.867,87.689
Malta,89.664,96.552,89.234,93.747,87.438,86.566,87.603,82.208,81.532,82.63,84.51,86.813,89.346,91.335,92.698,93.823,94.628,94.809,94.909,95.04,95.053
Martinique,77.754,70.081,80.581,82.305,89.189,82.559,80.671,80.755,80.828,80.436,79.926,79.498,78.736,78,75.977,74.677,73.509,74.07,75.168,76.672,78.343
Mauritania,106.557,101.72,97.894,94.954,92.729,90.959,88.99,86.33,82.806,79.848,78.853,81.955,85.18,87.624,89.598,90.916,91.547,91.599,91.36,91.028,90.757
Mauritius,90.974,84.898,82.234,81.471,80.922,79.191,82.338,83.127,81.837,81.433,82.491,83.219,83.908,85.716,85.878,84.864,83.679,82.773,81.677,81.315,81.276
Mayotte,110.931,114.239,118.747,126.732,122.601,120.19,119.221,116.293,112.244,106.273,103.184,99.233,95.685,92.602,90.412,89.057,88.067,87.463,87.357,87.358,87.445
Melanesia,119.7,109.34,106.069,101.865,101.549,101.102,174.016,150.941,131.47,118.732,107.827,101.713,96.61,92.707,89.649,87.219,86.57,86.954,87.653,88.604,89.656
Mexico,94.116,93.467,92.008,90.481,88.848,87.318,85.734,84.73,85.797,87.438,89.489,90.49,90.399,89.86,89.199,89.302,89.085,88.54,87.829,87.388,87.114
Micronesia,102.339,101.421,99.739,100.194,100.521,100.682,100.243,99.177,100.246,99.765,97.879,97.835,97.981,98.138,97.844,94.892,91.573,89.201,88.474,88.045,87.898
"Micronesia, Fed. Sts.",101.056,100.589,100.161,100,100.062,102.586,100,97.059,94.163,93.871,92.012,94.979,93.325,93.704,89.924,87.336,89.228,92.446,98.002,99.807,100.554
Middle Africa,79.325,79.024,79.288,79.832,80.548,81.254,82.087,82.979,83.914,84.775,85.46,85.855,86.14,86.761,87.85,89.196,90.466,91.475,92.154,92.497,92.536
Mongolia,82.749,83.138,83.5,84.169,85.169,86.298,87.428,88.477,87.107,89.189,86.902,86.481,85.946,85.67,85.188,85.336,85.268,85.764,86.112,86.151,85.837
Montenegro,75.853,77.858,79.438,78.073,76.553,76.51,80.064,81.865,81.927,84.182,87.604,84.173,85.142,85.306,85.104,84.382,84.529,84.985,85.936,86.773,87.876
More developed regions,78.003,77.36,76.565,75.043,73.437,72.258,73.239,74.616,76.276,77.391,79.13,80.267,81.29,82.298,83.095,83.704,84.155,84.596,85.095,85.64,86.19
Morocco,94.736,93.311,92.496,102.71,112.291,107.587,103.092,99.244,93.687,91.263,91.706,93.936,94.615,91.972,89.691,86.475,83.971,82.759,82.396,82.509,82.892
Mozambique,83.949,83.916,83.917,84.01,84.022,83.931,83.811,82.531,77.174,79.425,80.244,81.367,80.687,78.53,75.619,75.1,79.297,85.461,90.789,95.136,98.504
Myanmar,87.891,89.515,90.446,91.092,91.615,91.88,91.602,91.134,89.756,89.32,89.082,87.46,86.59,85.978,85.514,85.202,84.866,84.805,84.871,85.067,85.185
Namibia,86.885,83.624,81.929,81.327,81.795,83.799,82.749,82.014,83.608,82.914,81.98,79.124,77.179,76.829,78.888,83.717,89.434,93.777,96.756,97.963,97.701
Nepal,99.402,100.97,101.606,101.771,101.445,101.535,100.62,98.298,95.95,92.385,89.735,87.24,84.794,82.32,80.533,80.273,81.314,82.793,84.044,85.001,85.57
Netherlands,93.278,92.333,90.594,88.528,86.001,83.661,81.887,81.259,81.658,83.42,86.227,88.417,90.248,91.656,92.199,91.767,90.898,90.164,89.825,89.893,90.29
Netherlands Antilles,59.444,67.181,78.578,85.263,88.044,88.588,80.239,81.344,82.076,81.651,81.85,78.234,78.16,78.504,78.326,78.338,77.541,76.641,75.497,75.043,74.509
