Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Greece,,,,,,,,,,,,0.5,0.54,0.42,0.25,0.51,0.95,0.5,0.47,0.79,0.83,0.87,1.08,1.29,0.67,0.84,1.1,1.41,1.45,1.28,1.24,1.22,1.37,1.34,1.6,1.41,1.33,1.1,1.21,1.41,1.37,1.53,1.38,1.37,0.79,1,0.91,1.05,1.26,1.39,1.09,0.83,0.98
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Guatemala,,,,,,,,,,,,,,4.3,3.57,3.3,4.3,4.97,4.06,0.32,4.94,0.27,,,5.47,5.28,5.08,3.86,6.4,4.03,3.06,4.89,,,5.72,,4.85,4.6,2.64,4.05,3.32,4.17,3.81,4.47,4.76,4.07,3.91,3.58,3.95,4.03,4.75,4.44,5.04
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
"Hong Kong, China",,,,,,,,,,,11.17,10.49,10.91,10.4,10.31,8.41,10.63,9.77,9.36,8.33,7.99,8.56,8.54,8.12,7.78,7.27,6.64,8.1,5.49,6.19,5.74,6.03,4.18,5.26,4.67,5.03,5.14,4.43,3.79,3.94,3.87,4.41,3.95,4.04,3.63,4.05,3.14,3.3,3.23,3.53,2.58,2.54,2.24
Hungary,,,,,,1.43,1.99,2.64,3.28,4.59,4.57,5.03,3.92,4.99,4.94,5.34,5.55,5.59,5.67,6.21,6.51,6.2,6.7,6.49,6.44,6.47,6.52,5.97,6.63,7.3,8.03,7.68,8.48,7.65,7.04,7.56,7.36,7.8,6.91,7.11,7.02,6.4,6.37,6.39,6.15,6.23,6.47,6.29,5.54,5.82,5.41,6.15,6
Iceland,,4.9,1,6.56,0.98,4.92,5.05,5.04,3.46,6.82,5.7,3.35,12.6,4.09,7.31,5.45,7.64,11.62,4.7,18.05,5.67,8,5.17,2.42,7.99,5.97,6.78,0.87,3.86,2.83,3.84,,0.4,4.93,8.49,0.31,2.5,2.87,3.28,0.97,1.46,4.59,3.46,0.5,2.58,1.59,1.92,2.28,4.33,3.07,2.04,1.67,0.91
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
