Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30052.7612,30179.55458,31497.58565,31134.03018,34380.19284,32224.00693,32070.9591,31424.32229,31214.35526,30546.64881,32356.40757,36152.66676
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,1840.842604,1840.662153,1905.777677,2015.459607,2128.045622,2116.638889,2157.60871,2166.341918,2145.410743,2011.926494,1895.953364,1665.78319,1532.302552,1557.579345,1621.774736,1741.411909,1816.449599,1710.513229,1631.970069,1614.919453,1650.968421,1769.595638,1887.895733,1991.649037,2164.634556,2260.215139,2444.048428,2595.596086,2844.641672,2606.872622,2636.787677,2633.022807
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693.097895,2602.246366,2465.392981,2106.223762,1925.833809,1685.849782,1618.123275,1564.115268,1590.6965,1510.542696,1613.698631,1775.141291,1870.048624,1967.518602,2121.289033,2285.363231,2442.962966,2654.200194,2888.847355,3043.665599,2806.41483,2928.005033,3054.727742
Rwanda,224.9636578,208.91206,225.6967041,197.5031824,167.7636897,174.2025495,180.8826644,187.6453587,194.8154958,209.7668823,215.6267917,211.5782625,205.6257785,206.1048569,202.4491465,191.8603381,221.8799548,218.9231597,231.1313212,250.1276561,263.6974325,269.4882128,266.4200982,274.0605567,253.9171006,255.4341924,257.7422032,245.480292,245.9279731,240.1355771,234.8794625,236.9162772,267.0978606,264.643566,139.5009777,191.2838223,206.9830518,217.168742,214.4013989,211.226038,214.2336989,222.9332294,246.0861869,245.1063996,257.7160008,275.1117623,291.0580268,304.5930038,328.6537842,338.7726933,352.5356203,370.5928566
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,2712.811474,2908.735788,3184.418493,3390.806585,3401.646734,3322.581451,3319.446116,3749.876636,4075.743233,4567.669138,4982.344785,5452.717025,5888.139549,6042.371309,6098.781005,6333.157384,6788.240863,7168.515784,7465.026642,7978.79159,8546.153059,8775.281489,8767.188122,9406.289898,9507.072848,9564.65589,9426.088229,9465.436093,10265.82187,10607.8774,10761.45073,11123.62489,10226.3901,9856.212861,9944.172624
St. Lucia,,,,,,,,,,,,,,,,,,,,,2316.175631,2358.677859,2068.197421,2125.846731,2587.012364,2399.667706,2715.332408,2729.103418,3016.57107,3245.18934,3952.460301,4001.607988,4246.649214,4270.077012,4246.356325,4303.097972,4486.082887,4425.823806,4636.189825,4691.476724,4900.495676,4609.279632,4578.56082,4737.988573,5078.464141,4924.826904,5315.874333,5332.841877,5551.039187,5492.63496,5463.08385,5469.971349
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,1324.500088,1364.306609,1396.634394,1294.198441,1327.356598,1325.131556,1311.554232,1174.769802,1238.791051,1261.364518,1382.425336,1408.201275,1752.451633,1540.512414,1389.04692,1269.463134,1386.428138,1411.113424,1563.408005,1600.410293,1618.030195,1702.528605,1769.892298,1833.74898,1927.677754,2031.224185,2151.702659,2234.585022,2545.505189,2595.531524,2715.504887,2724.469521,2924.155455,2926.022069,2837.148394,2865.622856,2905.04787,3292.818855,3465.539613,3619.470299,3683.782769,3741.209407,3969.428837,4262.467501,4431.15991,4532.378171,4872.784507,5031.533538,5095.987207,4980.803252,4839.222302,4844.76687
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,1126.817617,1129.565231,1141.644672,1182.913516,1243.17946,1243.195339,1218.360433,1255.554826,1191.78335,1155.802796,1144.434511,1181.3882,1141.06268,1204.352769,1278.948143,1275.736385,1292.909444,1310.132762,1391.214354,1480.681109,1538.651477,1606.074843,1677.812758,1742.154491,1771.581102,1798.385778,1870.227744,1769.085695,1769.565011,1797.172011
San Marino,,,,,,,,,,,13112.42249,13238.04809,13658.66844,14579.34626,15302.60562,14854.44577,15710.68293,15855.13469,16076.03814,16733.88979,17029.60534,16928.91485,16780.16322,16774.20846,17115.36308,17392.66012,17684.32293,18042.85699,18586.67199,18994.06207,19153.4878,19202.03629,19095.05522,20493.96387,21659.10511,23420.92926,24351.10489,24764.50822,26430.17181,28525.31242,28698.32174,29673.75858,29003.25092,29345.52553,29966.53671,30075.92142,30808.27931,31590.45679,31993.20069,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.9990393,,,,,,,,,,,
Saudi Arabia,,,,,,,,,6961.583877,7101.897871,7636.048495,8768.687017,10344.0338,12383.01899,15008.80958,14979.49479,15989.03212,16181.5841,15130.62097,15657.48821,15683.72114,15413.93962,12858.75783,11094.09123,10146.83402,9209.91883,9230.666401,8491.076076,8837.331562,8528.480825,8930.375515,9433.180403,9571.616719,9308.412327,9143.708768,8976.836874,9135.052288,9256.511554,9402.229599,9178.24827,9400.811686,9161.461813,8839.186316,9144.945194,9261.921934,9439.858537,9440.180027,9364.488672,9513.377173,9294.355996,9499.37889,9913.75628
Senegal,613.6279819,615.2538936,597.9334602,592.4252434,598.1338108,588.5281832,587.4463885,562.6931235,579.6719036,524.7764232,551.7765027,533.4486604,549.3282166,502.3626327,507.8078842,530.8279615,563.2717615,534.9344551,501.7805049,524.1676308,494.2061574,505.6858826,530.5448804,488.2285676,492.0441587,493.4874651,493.9569179,508.5687108,490.5341343,494.8902392,477.0034157,474.7715574,466.5830076,459.024336,446.0914038,457.3258796,454.4335481,456.8869761,471.9133211,489.4203221,492.2862252,501.4912849,491.4620661,510.2133638,525.8493055,540.5931403,539.4896428,550.6476376,555.9069869,552.5429026,560.2574435,559.9683029
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.183967,1301.252205,941.5301233,649.7897202,662.991963,703.0393203,760.8364081,844.1688402,859.2761753,765.8042703,809.2750794,853.6331911,889.2291466,915.3845234,1002.852496,1060.186883,1102.68089,1166.947567,1216.459267,1178.599695,1194.639994,1223.640529
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,1174.613911,1086.293366,1146.797912,1231.348212,1271.965573,2485.941371,2475.7341,2427.807643,2548.722167,2488.797035,2647.173963,2997.725084,3116.777669,3326.796025,3302.000923,3342.100523,3815.440632,3519.059358,4197.804155,4793.067063,4531.964848,4113.189137,4026.872305,3923.040873,4067.235286,4486.337327,4446.920001,4610.494052,4824.361303,5322.881005,5645.415813,5739.351472,6072.95358,6355.749608,6201.512969,6037.65184,6242.293166,6907.435651,7342.877917,7334.842047,7578.851053,7400.246821,7266.462762,6913.010246,6740.379744,7208.968268,7721.541646,8419.715827,8151.71295,8162.196585,8787.766431,9279.112672
Sierra Leone,223.3527868,223.8331724,230.2751822,230.4010672,241.7558272,254.7680934,254.666195,250.318701,250.8657012,267.4141375,285.2875794,289.9051539,287.2639079,288.3967246,292.9143202,292.0612184,284.9600976,279.2562511,279.9821083,286.3686682,293.7428469,295.7306491,303.319169,290.5269625,295.4598754,272.8443439,268.7034806,279.8897158,253.1175182,249.6542033,254.7936682,259.8855892,211.3136796,216.005705,213.5122035,197.2771487,207.1508898,171.790612,168.627476,152.0644545,153.4779677,174.5914239,212.5765491,221.2939321,227.2505211,234.0492592,242.8925156,251.4170171,259.0029069,261.3687038,268.3072782,278.2433791
Singapore,2251.394511,2478.23182,2409.277685,2558.07049,2506.762034,2782.514671,3009.796972,3303.977377,3689.697544,4131.200684,4628.316527,5092.774074,5675.693832,6187.813013,6479.604853,6681.030483,7081.622775,7505.310996,8056.022423,8702.141773,9457.470949,9979.843179,10236.32233,10972.39757,11717.81261,11624.62962,11787.19813,12859.31989,13926.9542,14906.23339,15787.90256,16339.42791,16970.76377,18446.17393,19767.48282,20571.45946,21258.52785,22305.68363,21092.56352,22221.38452,23814.55661,22913.32124,23658.8657,25110.50033,27068.9741,28388.86966,29925.50494,31246.99685,30131.61718,28949.85732,32640.68442,33529.83052
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,4953.525362,5092.382101,5271.8111,5371.497918,5446.841364,5486.171036,5316.213896,4537.922349,4231.532469,4059.440463,4294.394633,4532.055706,4836.394273,5041.888274,5254.7102,5251.331595,5330.401622,5526.10988,5779.162486,6054.498868,6357.378019,6774.732012,7334.109759,8094.874509,8545.630996,8106.258155,8427.435101,8693.835279
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8362.388736,7613.295902,7207.894527,7430.531007,7835.451535,8119.111389,8420.53841,8849.863654,9180.932649,9662.969018,10045.36008,10324.38327,10706.20714,11013.26166,11490.68017,11930.45861,12588.10838,13377.91533,13836.18922,12613.67797,12732.04555,12688.65168
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.247994,1134.940669,1243.208583,1256.465112,1333.8271,1403.803165,1387.563992,1330.727375,1318.075369,1276.347287,1064.514687,952.7746188,900.6462863,932.7727539,951.5348485,975.6054302,1014.873466,1092.939555,1141.163946,1097.560429,1143.787545,1214.855148
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2203.729076,2217.845838,2289.854448,2396.80336,2526.477136,2689.992793,2748.871333,2884.270811,2940.662208,3013.973466,3104.017979,3163.033507,3142.533834,3212.63632,3333.71864,3316.454761,3318.59184,3246.414281,3274.519608,3324.782985,3463.247113,3561.259029,3459.787492,3309.967643,3389.641627,3262.743579,3180.686464,3167.455626,3222.65484,3226.92477,3151.838614,3056.094145,2929.027116,2903.199593,2933.724114,2960.422458,3019.966,3029.772513,2974.681189,2972.203412,3019.946367,3039.70613,3108.043654,3159.237852,3264.317383,3397.720015,3548.09031,3704.084266,3795.976906,3697.67368,3753.445365,3825.093781
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,3711.099299,4112.064535,4479.949167,4866.994061,5074.680642,5333.775168,5661.985541,5835.475946,6139.631006,6620.92178,6830.718983,7069.462901,7576.684321,8093.053159,8465.777938,8421.513042,8600.806694,8740.224852,8747.250467,8673.583497,8808.824382,8726.872252,8788.552138,8901.977077,9023.888526,9199.6673,9470.171079,9970.859876,10455.79391,10939.13075,11335.55259,11597.70261,11666.91038,11510.72335,11753.38552,12049.25856,12311.9921,12754.63169,13278.0036,13836.7026,14413.78887,14774.89486,14957.32291,15165.92735,15408.16294,15700.52761,16074.46178,16351.11108,16251.83693,15523.00304,15418.82018,15428.32098
Sri Lanka,273.7066885,277.6427289,280.6527513,283.9367771,286.3426659,286.7429199,293.9085304,305.7763507,315.718246,332.8647475,338.4317237,338.0995754,332.2348201,349.4328274,357.5993993,373.5452959,379.784383,392.7139875,407.6658505,425.3184829,441.7877954,463.8223878,471.9380453,487.5662179,506.3194359,523.6118949,536.7616457,537.8201946,543.6152007,548.6445742,577.2392264,594.9802981,615.4917881,649.7576523,676.747999,704.3240993,723.114065,759.818766,786.3702892,808.4815709,854.9267252,855.3725803,883.4571769,923.6354395,960.7985946,1009.908869,1075.625538,1138.366839,1195.481085,1223.68571,1308.784019,1402.121673
Sudan,284.7571459,278.1638753,290.437345,275.5463548,266.0457883,277.355218,261.0855319,258.456614,257.0750097,254.0252238,261.9359088,260.4032822,240.1000226,234.4831652,253.4587033,284.3564176,321.5971998,331.1261096,301.8373457,277.6589799,272.8540086,283.5455547,290.5022569,286.8792395,264.1676646,240.6068133,247.1710056,275.7309664,268.7166547,286.1745832,264.2046927,277.0864677,287.8300081,293.1974923,288.4693885,297.9165421,307.5115244,331.3842576,337.0008382,338.9298898,358.529201,371.776718,382.8049443,400.8953331,411.7305382,427.4534422,464.1288726,498.5701577,519.2826583,536.5690248,549.8570037,561.8427214
Suriname,,,,,,,,,,,,,,,,2489.747796,2416.744142,2665.998542,2859.732063,2684.424524,2536.233698,2532.363374,2477.32599,2391.115793,2283.224449,2223.259662,2121.690565,1808.213262,1927.816177,2093.267638,2049.598226,2075.384035,2042.457183,1869.14761,1904.528996,1899.803103,1897.92624,1979.643179,1983.027653,1938.935483,1911.046315,1970.205377,2036.510924,2129.193396,2284.293382,2359.384094,2422.818519,2520.586745,2599.899241,2653.549189,2737.334439,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,576.7520745,637.6003458,652.7917062,690.7139177,708.6136181,782.948947,743.1027045,727.562416,714.5573226,714.3619478,779.2524422,867.5226182,852.9351478,838.0495828,861.2101876,861.8697088,928.9680065,1019.366332,1040.309121,1128.915247,1320.353166,1306.473863,1317.897084,1332.046558,1338.050169,1374.690879,1397.002261,1408.600952,1443.390551,1484.03862,1508.18366,1523.650799,1548.700189,1581.320379,1625.155965,1663.010501,1715.684609,1773.456589,1794.779059,1795.97974,1811.07776,1813.544908
Sweden,11360.40555,11949.42691,12389.803,12976.57219,13758.58574,14150.45858,14309.50716,14678.04613,15126.81892,15773.38235,16570.99947,16612.83045,16942.91432,17584.86983,18094.6877,18483.04552,18610.80738,18248.80351,18514.4575,19183.50474,19470.05511,19407.38509,19627.70865,19973.87646,20808.10527,21228.6428,21785.289,22463.3491,22956.56184,23437.66378,23492.2496,23071.03438,22660.07708,22065.24441,22788.10617,23561.66995,23903.46322,24536.81457,25554.38629,26724.34561,27869.3776,28145.51174,28750.76384,29313.02109,30434.4529,31271.10358,32431.9404,33259.26285,32798.73425,30885.45914,32631.19271,33630.24604
Switzerland,,,,,,,,,,,,,,,,,,,,,29182.93218,29488.48571,28932.81148,28993.12919,29758.31714,30715.62587,31124.12705,31419.62061,32211.81831,33336.21789,34208.11542,33473.8417,33092.33395,32751.01216,32903.52918,32841.55514,32855.30719,33445.61911,34258.14203,34571.1485,35639.47886,35854.93258,35650.68774,35394.62871,36003.23264,36737.40672,37877.18249,38983.87532,39324.73112,38084.23568,38826.84298,39170.41371
Syria,482.4968806,517.7541231,624.1215625,551.8075433,583.448448,577.3676257,515.5951214,539.6908921,541.1972521,621.3199253,577.6763805,613.6693973,741.4852221,655.3972429,786.4477802,908.9958096,975.790965,932.3044993,980.9726431,983.3876221,1064.55368,1126.173023,1110.562354,1087.817509,1008.403952,1035.099633,952.8115903,941.2141788,1034.200133,913.8785922,955.1431704,1000.882109,1103.255634,1127.980701,1181.720598,1217.766346,1240.900443,1234.52893,1283.067083,1207.870425,1208.734642,1235.558498,1269.271835,1238.399576,1286.005016,1330.321415,1368.930491,1418.051146,1452.257685,1508.638028,1525.809293,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,457.0733197,458.3503941,438.4955642,484.0079225,439.6576947,426.070505,387.3729939,270.039666,222.1743518,172.2731337,148.727869,122.0948533,122.3983598,127.1215414,130.1709919,139.4098818,152.1561491,164.5968153,179.9282729,197.3069385,215.8970674,180.0892749,216.5445832,259.1376482,265.5934156,278.9403281,295.3601307
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.9973231,293.7799295,304.6405527,300.9049057,292.6904286,286.5394947,281.9188719,283.4259214,288.2452075,290.7819777,294.1719742,300.9189198,307.9861546,318.2627899,332.3711192,346.0724304,363.3474703,379.684133,394.224159,410.6836189,428.7591559,441.5066096,458.7864636,473.8812365
Thailand,320.9065099,328.0574358,342.2936643,358.5940036,371.5916919,389.9389212,420.366839,443.034554,464.9066055,480.8833433,520.2359482,530.0656291,537.1257574,575.7697319,585.4724148,598.9244741,638.898629,685.5305147,739.3134383,762.3074121,785.0234224,814.6210627,841.513292,871.6225587,904.4130074,928.6739695,961.4872544,1033.08454,1149.183997,1268.328818,1390.520211,1492.798578,1599.211652,1718.026934,1858.003963,2011.825398,2109.05461,2057.066906,1819.176177,1877.305197,1943.237928,1962.241437,2042.798299,2164.301418,2277.562345,2359.644614,2458.517431,2562.72216,2608.24726,2531.233735,2712.508016,2699.123242
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.8731239,380.9230095,324.8010022,319.333768,304.8348373,303.5859486,319.4914177,299.8856849,324.6364259,361.1386582,395.4442768,420.6032484,451.9825986
Togo,176.5698989,196.075133,201.6926215,209.4630428,235.196946,264.3531037,278.7622135,281.3816064,281.9804815,299.0232004,295.0814149,285.8062537,299.3439316,303.5507966,311.3135961,312.1196635,299.3670535,313.7232935,341.0290065,315.7789891,352.041067,329.9493808,307.4939782,280.6913417,285.9872459,291.7679809,286.8223185,279.2499462,288.9399264,292.4124014,284.4284097,276.2396666,260.0503342,216.5494299,243.6614205,256.1737988,270.6453677,299.5493397,282.8515266,280.4858181,270.0008761,258.4568888,249.7475313,256.0710824,255.6614294,252.9503503,257.4007154,257.57179,258.0385955,261.0540398,265.9220492,273.1075134
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,1294.405617,1352.447819,1377.890927,1400.902881,1490.953084,1519.387421,1560.557028,1526.628522,1528.319151,1493.743315,1586.980895,1588.962475,1646.374392,1725.202914,1785.210648,1780.029211,1771.150738,1811.518583,1872.855198,1926.004579,1984.412923,2040.248192,2071.573314,2078.980271,2115.027069,2067.535705,1969.004052,1980.449248,2025.509049,2069.226162,2162.151892
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,3342.312405,3744.356202,3799.696742,3975.402189,4238.361138,4217.63507,4323.835112,4337.56426,4483.756701,4532.100725,4629.75863,4629.9758,4858.500092,4905.133537,5054.707437,5083.811663,5352.201709,5770.839064,6264.436656,6394.874533,6947.655718,7140.712182,7293.324482,6502.538808,6028.606869,5702.011088,5457.891165,5168.992436,4937.161232,4869.144584,4911.863874,5007.588336,4887.098902,4778.188694,4911.226715,5071.285557,5240.655855,5354.497819,5743.766192,5970.327241,6311.106551,6544.683827,7044.089736,8033.096122,8637.573301,9102.422018,10264.67428,10714.74422,10959.66371,10555.89147,10515.63403,10047.90319
Tunisia,,691.4517635,712.4839419,782.7169063,804.0415013,807.2993337,817.2920789,801.4185664,866.8699901,890.326021,914.4900747,995.3075485,1152.82819,1125.221503,1192.835175,1251.479516,1319.178256,1330.046212,1378.300549,1429.557887,1495.12759,1536.372765,1489.257848,1519.257424,1575.249255,1614.301508,1541.623535,1603.810107,1569.658113,1576.792463,1661.29315,1692.167982,1787.360256,1791.161976,1814.968772,1828.181448,1930.420696,2007.68857,2080.664494,2177.268831,2245.335059,2327.437616,2340.805906,2454.335085,2576.343908,2653.593468,2776.257059,2921.993577,3023.398051,3083.98651,3143.533869,3050.885999
Turkey,1582.568687,1560.209469,1606.04685,1708.960321,1759.622398,1767.92453,1922.778942,1970.693868,2060.045727,2099.087037,2120.949038,2190.736343,2302.071239,2325.048208,2401.526287,2518.194066,2722.419983,2755.914194,2738.352665,2662.814606,2540.363158,2603.252664,2633.685309,2701.014169,2818.239598,2875.984715,3016.949404,3241.651655,3257.918275,3210.730137,3448.001406,3413.644475,3525.163557,3731.731996,3499.091157,3713.622635,3923.860895,4154.442935,4184.287831,3982.203914,4189.478062,3894.650922,4077.772373,4234.679177,4569.414208,4887.370377,5154.661097,5323.682988,5288.416087,4968.579023,5356.000439,5741.410398
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.7624152,819.3524108,764.3895014,1007.373699,934.3990094,772.1194935,762.1168556,614.3291321,557.5057952,583.752321,509.0574909,537.8446406,618.9656033,645.2771015,665.8637486,660.5586839,675.1330551,701.5180772,784.469049,860.7116809,944.6692397,1070.415935,1121.73612,1209.794679,1370.427756
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.077582,1162.082023,1188.322073,1231.084834,1351.771634,1278.696261,1197.66638,1312.652703,1510.281244,1480.322357,1458.949625,1474.648291,1581.090933,1518.824998,1489.5884,1426.191345,1457.394721,1540.390233,1643.088907,1611.694974,1559.983698,1576.211871
Uganda,,,,,,,,,,,,,,,,,,,,,,,187.8027457,192.5971662,185.9159382,173.865795,168.5473209,169.0123496,176.4210675,180.9898275,186.0518733,189.7910049,189.8414888,199.0647897,205.1886352,221.8284014,234.7133909,239.4405149,243.8486185,255.7044438,255.7806112,260.7363255,274.6005446,283.0782984,292.6805093,301.2583026,323.0773993,339.0620829,356.8351769,370.5361322,379.9914906,392.7088001
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.899262,1435.599836,1483.943819,1386.597008,1267.326182,1141.121045,978.2410109,757.6393636,670.4856861,608.8159886,595.9567816,589.8821355,594.2795457,635.7089682,701.2094906,745.0390011,821.7133693,928.1552911,960.2262143,1037.312259,1125.959706,1158.110564,991.1002641,1036.837506,1094.681152
United Arab Emirates,,,,,,,,,,,,,,,,56037.96028,55799.56212,58384.48049,50264.17041,54290.68681,61374.75455,59768.83021,52612.68886,47658.01257,47169.81578,43114.96994,34618.24214,33712.77422,30904.90995,32727.85574,36597.66911,34957.04687,34255.84156,32928.56677,33445.28092,33926.3405,34073.53549,34921.61401,33194.71587,32489.23039,34395.14913,33592.36688,33297.06929,34669.32855,35316.33901,33288.11139,31929.79817,28427.09848,25573.73175,22507.00157,21088.26438,21058.43643
United Kingdom,10025.3494,10205.45454,10253.5937,10579.77809,11040.78967,11276.0365,11443.85302,11645.43154,12050.66964,12246.97375,13042.15454,13248.14066,13682.09848,14654.40265,14399.17009,14302.76811,14707.52972,15060.07028,15571.78611,15985.1579,15618.14742,15406.08218,15734.18065,16298.88277,16707.75076,17269.88771,17921.25699,18699.03581,19596.42538,19991.39969,20087.04974,19746.19063,19721.73864,20111.73115,20919.22294,21498.79017,22061.54938,22732.53847,23463.03804,24125.47891,25057.61353,25686.65028,26214.96735,27105.18271,27752.91158,28354.03958,28913.09629,29771.30335,29287.76042,27933.77767,28244.33694,28272.40661
United States,13723.23778,13808.06402,14426.75771,14846.32706,15490.73916,16277.37401,17136.34957,17374.53648,18027.61393,18405.71964,18228.92179,18622.33742,19441.37991,20394.98709,20104.54175,19868.26519,20746.79894,21491.82018,22461.78537,22914.55504,22630.52015,22978.98471,22310.23937,23105.52073,24554.40288,25338.55564,25965.88342,26549.87602,27388.61802,28098.40072,28298.44695,27849.88084,28401.46518,28834.55935,29655.06941,30050.98673,30827.9882,31831.46159,32847.35197,34053.35541,35081.92308,35116.21508,35427.90996,36021.31408,36931.39383,37718.00537,38349.39879,38710.88544,38208.76118,36539.22823,37329.61591,37691.02733
Uruguay,4182.118439,4231.300372,4113.191476,4071.375675,4123.413392,4121.472526,4203.508063,4009.715215,4049.126411,4255.510464,4331.945442,4308.067163,4246.461191,4257.192079,4377.41303,4634.344765,4797.719535,4840.954429,5067.763979,5344.767453,5618.848079,5669.092307,5082.623703,4531.008006,4450.496128,4486.834721,4851.208549,5206.312869,5250.333556,5274.009399,5253.942903,5401.617022,5788.057622,5898.529062,6281.936354,6146.711025,6465.206609,6973.363589,7249.309766,7076.216877,6914.362582,6633.475168,6120.259436,6178.858603,6491.610552,6967.471275,7233.906191,7685.2245,8211.661782,8382.829016,9096.794459,9581.05659
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.355716,685.4397731,689.9547386,684.7222036,666.97965,578.5541131,552.5472066,513.632001,499.8947288,498.761383,514.8978427,528.4640553,545.2774927,558.221144,574.3502834,590.058588,607.7253728,647.0119854,684.2969072,725.3469456,783.0274969,839.9109699,892.7489089,941.6718455,992.7613654
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,1242.089247,1071.430192,1088.719237,1176.888899,1309.348416,1402.744376,1384.59512,1351.47084,1282.589276,1231.339592,1219.72943,1327.356581,1331.303465,1326.412168,1298.023742,1377.68347,1358.46581,1361.612644,1402.885109,1438.355505,1416.949431,1469.761787,1385.036927,1290.019027,1301.981585,1323.372308,1355.821723,1418.075283,1472.19553,1524.253595,1538.084443,1522.38404,1522.528302
Venezuela,5437.469231,5403.435893,5650.188735,5660.020136,6070.145076,6108.34843,5996.796963,5969.103021,6203.924656,6048.183076,6302.713185,6184.439768,6054.362834,6265.702312,6177.160631,6137.763275,6383.128957,6548.060577,6472.936688,6308.075224,5841.28064,5620.499655,5340.346924,4991.688754,4923.357323,4800.957486,4981.422963,5030.864859,5194.644417,4637.391973,4823.487126,5175.666615,5366.577735,5263.645046,5029.950337,5119.602561,5005.250067,5218.154035,5132.015852,4733.817832,4818.70818,4890.92999,4377.382134,3966.499729,4610.489039,5000.076202,5401.421719,5777.628568,5984.144953,5700.884058,5528.363114,5671.912202
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228.834371,1245.626158,1225.618075,1320.21038,1428.822839,1501.02077,1369.193027,1126.818761,978.5614528,1002.895055,1029.051966,1056.296491,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,198.5291059,201.9667162,202.841641,205.0031105,210.3754204,220.5996509,227.4878659,236.6542186,252.5790356,268.2876539,287.1365396,309.4149314,332.944352,354.5124636,369.2367194,381.1028022,401.5478021,423.8286215,448.6001988,475.9692714,506.9389496,543.3565222,581.5782774,623.9574826,656.3107275,683.9964502,722.8100533,757.4009286
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.8370435,470.7654512,484.3026701,479.0782685,487.9658688,494.5977947,499.0076785,508.389801,523.1331648,527.3740991,543.7138828,547.622371,552.071517,555.420732,559.9991715,573.4857059,573.8957089,575.2493701,578.3232708,582.6175013,608.5960601,528.3986734
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
