Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1188.253526,1214.201104,1243.083903,1241.813008,1285.297176,1285.785092,1315.352957,1331.512772,1377.663134,1428.128215,1488.348372,1538.557978,1618.114933,1688.037913,1745.077087,1744.171693,1786.679892,1818.353465,1927.246698,1984.909177,2019.85473,2019.668467,1993.949996,1981.468562,2003.992013,2022.211966,2095.750242,2163.121139,2205.628897,2235.866531,2324.843633,2332.361881,2403.772309,2415.206674,2509.615733,2592.710818,2599.008309,2641.021632,2610.185487,2458.021358,2511.974665,2512.519737,2534.3331,2592.376265,2688.508426,2772.214728,2913.479828,3068.477266,3131.177668,3137.695335,3218.071704,3362.4656
Comoros,,,,,,,,,,,,,,,,,,,,,412.365057,413.3249064,425.1892603,431.7899909,436.2345258,433.5882348,429.8162191,425.6805905,426.3478491,402.8245936,413.1981531,381.5793119,404.2729281,406.4736946,375.7381688,379.7884299,365.5850912,370.7491163,365.9346454,363.3698534,358.9529087,361.2062833,366.2999224,365.4448152,354.8957028,360.0707875,354.8387555,347.1000331,341.2159913,338.2979017,336.4816386,335.2192351
"Congo, Dem. Rep.",324.9031665,282.3016962,333.4012713,341.6803309,324.4932317,318.8016289,330.8769839,318.2577461,322.4802977,342.4621165,331.9720608,342.1479552,333.2914795,350.5757016,351.5584073,324.6201527,298.4929056,291.9024413,268.1384038,261.4715553,259.6661311,258.4765423,250.3526378,247.0508597,253.5984241,247.5906962,251.8107432,250.9822936,244.4555462,233.4409322,210.3888534,185.2920922,159.1615195,132.2328365,122.4025187,119.2955513,114.8746659,105.9101528,101.9813238,95.49727676,86.75450673,82.66194432,83.08185929,85.28262483,88.24305276,92.36725616,94.76973518,97.91018296,101.1038512,101.1690067,105.5317381,109.8092981
"Congo, Rep.",617.7375477,652.3448468,668.5166302,624.6798628,631.1931315,636.697444,627.7325227,623.3533086,652.1780312,681.4274455,703.6692453,735.6879567,774.9592118,813.2939078,850.9967104,889.5986099,871.6164101,770.8280935,796.5388242,849.7890311,970.9736321,1108.999004,1330.854746,1367.905967,1421.332509,1364.792651,1235.794962,1204.154144,1192.17118,1190.261643,1170.024588,1166.299382,1165.298657,1123.5342,1033.593241,1045.775938,1060.600119,1024.542516,1033.349474,979.6144362,1026.831555,1040.151821,1062.807865,1047.17437,1058.23658,1112.09918,1150.392879,1101.219981,1130.542842,1182.579249,1253.804149,1266.356056
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1797.966457,1719.662799,1795.492989,1817.026278,1829.666748,1945.901543,2035.71387,2088.610594,2201.295313,2262.92864,2371.559757,2471.677527,2612.358165,2749.966176,2835.318007,2825.086163,2905.862294,3082.039196,3187.500849,3254.090647,3189.039826,3031.481706,2733.293317,2734.286881,2824.580879,2776.893983,2859.065496,2974.959654,3008.202118,3079.734066,3119.632564,3121.370058,3325.26772,3486.846918,3564.271599,3613.881003,3555.542499,3660.070068,3869.523391,4088.304414,4068.821351,4026.557239,4061.980725,4241.887772,4344.084202,4521.011952,4836.674305,5137.485256,5196.689144,5066.966003,5226.566178,5367.799878
Cote d'Ivoire,550.6903451,583.0865459,567.7902655,624.8449296,706.2150808,657.589154,705.2405258,708.9933711,766.6051009,806.0106233,852.9255887,894.1228027,891.8858825,903.5532123,900.9366863,931.7505003,1004.893839,1029.964383,1091.200333,1067.713471,909.0070675,900.0737956,863.4311611,795.2365324,742.6592873,746.1494783,742.0833526,713.4016106,696.8595185,693.3078299,662.8675347,641.2072899,618.8025745,598.018497,584.5253864,608.1200345,637.2058658,656.158427,670.6147102,665.9728897,628.2281148,616.5235814,597.5229751,578.9671333,580.1682888,578.0306074,572.2971337,572.0962695,574.9350967,585.3044893,587.5445423,548.2314368
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.57775,4292.387366,4495.244255,4656.415629,4554.228345,4861.67751,5023.530276,5268.59143,5551.571039,5782.066433,6025.455477,6325.674267,6651.741476,6793.44909,6328.630753,6255.239892,6270.035718
Cuba,,,,,,,,,,,1777.655685,1896.658918,1954.092537,1988.121116,1977.820497,2137.222583,2228.530673,2400.243325,2538.689385,2549.208836,2411.278442,2871.369852,3113.776327,3267.936615,3508.543959,3540.635229,3514.023155,3395.643155,3484.169287,3471.960651,3338.785084,2958.327672,2597.942928,2198.382677,2202.477482,2245.634868,2410.957384,2468.389784,2463.462212,2607.246434,2752.552094,2831.003538,2862.38565,2962.269179,3125.704815,3469.885203,3884.798515,4165.600383,4337.776952,4402.307554,4495.054646,
