Under five mortality,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.84,427.81,427.74,427.63,427.47,427.23,426.93,426.56,426.13,425.62,425.06,424.42,423.72,422.95,422.11,421.22,420.28,419.31,418.32,417.31,416.31,415.31,414.3,413.3,412.29,411.29,410.29,409.28,408.28,407.27,406.27,405.27,404.26,403.26,402.25,401.25,400.25,399.24,398.24,397.23,396.23,395.23,394.22,393.22,392.21,391.21,390.21,389.2,388.2,387.19,386.19,385.19,384.18,,,,,,,,,352.8,344.3,335.8,327.7,319.6,311.6,303.9,296.2,288.8,281.7,274.9,268.1,261.4,254.7,248.1,241.4,234.3,226.8,218.5,209.8,200.9,192.3,184.2,177.3,171.3,166.4,162.5,159.4,156.9,155,153.7,152.7,152.1,151.8,151.6,151.6,151.5,151.6,151.6,151.6,151.5,151.4,150.8,149.7,148.2,146.1,143.4,140.3,136.9,133.2,129.3,125.4,121.4,117,113.1,109.3,106.2,103,100
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.83,366.8,366.74,366.65,366.51,366.3,366.05,365.73,365.36,364.93,364.44,363.89,363.29,362.63,361.91,361.15,360.35,359.51,358.66,357.8,356.94,356.08,355.22,354.36,353.5,352.64,351.78,341.93,332.29,322.81,313.49,304.34,295.37,286.57,277.91,269.41,260.1,251.9,243.87,235.98,228.22,220.58,213.08,205.74,198.52,191.43,184.46,177.57,170.86,164.27,157.79,151.43,145.18,139.08,133.1,127.23,120.8,,,,,,,,,,96.88,,,,,,,,,,42.74,,,,,,,,,,25.3,21.8,20.9,20,19.1,18.1,17,15.8,14.8,13.7,12.8,12.1,11.4,10.9,10.4,10,9.6,9.3,8.9,8.6,8.3,8,7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.3,5,4.7,4.5
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.89,413.61,411.06,409.79,408.51,405.96,404.69,402.19,400.95,398.45,397.2,394.71,393.46,390.99,389.77,388.54,387.32,386.1,384.88,383.66,379.99,375.2,371.61,366.84,363.32,365.67,366.84,369.21,370.41,372.81,371.61,369.21,368.01,365.67,364.49,363.32,363.32,362.15,362.15,360.97,362.15,363.32,365.67,366.84,368.01,368.01,366.84,366.84,365.67,365.67,364.49,364.49,363.32,363.32,362.15,362.15,362.15,360.97,360.97,360.97,365.67,369.21,374,377.6,382.44,394.71,408.51,421.34,435.79,449.24,447.88,447.88,446.51,446.51,445.15,429.16,413.61,399.7,384.88,370.41,358.63,345.92,334.6,322.4,311.52,306.18,299.8,294.56,288.3,283.16,327.93,375.2,427.86,484.25,548.43,561.5,574.88,588.53,603.67,621.05,402.57,399.73,396.84,393.89,390.88,386.64,383.58,380.46,377.3,374.1,370.91,367.71,364.49,360.11,356.94,353.8,350.67,347.56,344.45,340.27,337.23,333.1,330.09,,,,,,,,,,173.43,209.1,149.27,199.73,160.37,125.89,118.9,,,,,98.52,78.12,95.24,52.53,53.96,49.67,48.26,44.11,49.67,48.26,48.26,41.39,45.49,42.74,46.87,,,,,50.5,47.3,46,44.8,44.4,44.8,45.2,44.9,43.3,40,35.8,32.2,30.3,29.3,27.5,24.8,22.2,20.7,20.1,19.9,19.8,19.6,19.1,18.4,17.4,16.4,15.2,14.2,13.3,12.4,11.7,11.2,10.9,10.8,10.5,10,9.4,8.8,8.4,8,7.7,7.4,7.1,6.8,6.5,6.3,6.3,6.5,6.8,6.9,6.6,6.2
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.11,339.08,331.17,324.44,316.67,310,302.32,295.75,288.16,281.68,274.22,267.79,265.38,261.95,259.47,255.99,253.5,250.05,247.55,244.1,241.65,238.27,236.77,235.27,233.77,232.28,230.8,229.33,227.87,226.41,224.96,223.51,222.96,222.4,221.85,221.3,220.74,220.19,219.64,219.08,218.53,217.97,217.42,216.87,209.45,202.16,194.19,187.21,180.31,172.76,159.29,145.56,132.39,120.41,108.26,96.64,86.18,,,,,,,,,,37.32,,,,,,,,,,35.97,,,,,,,,25.6,22.5,20.8,19.2,17.6,16.1,14.7,13.4,12.4,11.8,11.4,11.2,11.1,10.9,10.5,10.1,9.6,9,8.5,8,7.5,7,6.5,6.1,5.7,5.4,5.1,4.8,4.6,4.3,4.2,4,3.9,3.8,3.7,3.6
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.98,369.17,358.53,349.19,338.81,328.56,318.44,313.83,309.2,304.58,299.94,295.31,290.67,286.01,281.38,276.74,272.13,265.56,260.05,253.62,247.31,241.99,235.84,230.67,224.67,218.75,213.78,208.03,202.34,197.6,192.05,187.4,182,176.67,172.24,167.06,161.98,158.47,155.04,151.63,148.26,144.93,141.62,137.66,134.44,130.58,127.45,,,,,,,,,,88.5,79.22,61.81,49.74,42.62,39.24,36.14,35.35,33.16,29.61,28.4,27.81,30.08,29.25,27.57,31.86,29.73,29.55,29.16,30.5,28.2,28.41,27.06,27.56,26.7,25.75,25.26,24.79,22.84,21.08,21.6,18.5,18,17.6,17.3,17,16.7,16.1,15.5,15.1,14.6,14,13.2,12.3,11.2,10.2,9.2,8.4,7.6,7,6.6,6.2,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.6
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.99,378.8,377.6,376.4,375.2,374,372.81,371.61,370.41,369.21,368.01,366.84,366.84,365.67,364.49,363.32,362.15,360.97,359.8,358.63,357.45,356.28,355.13,353.98,352.82,351.67,,,,,,,,,,299.28,279.63,252.09,240.26,267.11,270.65,254.61,254.2,232.25,235.97,249.23,285.26,280.66,280.29,276.91,242.84,239.92,261.76,278.6,236.53,192.74,199.8,241.04,271.8,225.69,217.52,188.2,195.03,195.52,260.1,266.75,239.53,221.75,220.88,208.08,212.57,199.61,190.6,188.75,205.33,226.42,211.66,198.03,202.92,207.31,231.4,187.03,221.73,189.67,195.01,176.18,187.63,196.35,211.9,203.9,205.73,206.71,206.98,221.16,196.22,183.77,166.21,168.46,164.77,192.95,163.4,170.55,148.84,146.67,139.49,150.69,135.53,136.16,152.48,123.63,122.15,129.61,115.97,113.94,117.68,112.23,128.83,122.68,99.09,116.5,119.91,91.28,98.18,101.4,103.1,94.53,98.62,98.83,97.09,93.39,93.81,94.5,84.97,78.21,75.61,87.19,80.9,77.48,70.46,66.8,58.85,64.58,57.44,54.22,58.91,58.19,54.05,45.8,40.46,38.73,34,33.4,32.6,31.6,30.5,29.3,28.1,27,26.2,25.6,25,24.4,23.8,23,22.1,21.1,20,19,18.1,17.4,16.6,15.7,14.9,13.9,13.1,12.3,11.6,11.1,10.6,10.3,10,9.7,9.6,9.6,9.6,9.6,9.7,9.7,9.6,9.3,8.9,8.4,7.9,7.4,6.9,6.5,6.2,6,5.8,5.7,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.5
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.14,445.11,445.04,444.92,444.75,444.5,444.19,443.81,443.35,442.83,442.24,441.58,440.85,440.05,439.18,438.25,437.27,436.26,435.23,434.18,433.14,432.09,431.05,430.01,428.96,427.92,426.87,425.83,424.78,423.74,422.69,421.65,420.6,419.56,418.52,417.47,416.43,415.38,414.34,413.29,412.25,411.2,410.16,409.11,408.07,407.02,405.98,404.94,403.89,402.85,401.8,400.76,374.82,350.16,326.62,304.13,282.59,280.88,276.29,272.36,267.19,262.63,256.9,250.9,243.78,237.67,231.61,224.85,218.98,213.18,207.43,200.95,194.54,,,,,,,,,,172.7,168,163.5,159,154.7,150.4,146.3,142.1,138,134.2,130.5,127.1,124.1,121.2,118.6,116.3,114.4,112.8,111.2,109.8,108.3,106.6,104.7,102.8,100.7,98.4,96,93.5,90.9,88.2,85.7,83.2,80.7,78.3,76.1,73.8,71.7,69.6
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.6,127.3,117.1,108.1,100.1,93.1,86.8,81.1,75.7,70.1,64.3,58,51.5,45.2,39.3,34.2,29.8,26.3,23.5,21.3,19.7,18.5,17.6,17.1,16.9,16.8,16.8,16.9,17,17.1,17.2,17.3,17.3,17.3,17.3,17.1,16.9,16.7,16.4,16.1,15.8,15.5,15.1,14.8,14.5,14.1,13.8,13.5,13.1,12.8,12.4,12.1,11.7,11.4
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.14,445.11,445.04,444.92,444.75,444.5,444.19,443.81,443.35,442.83,442.24,441.58,440.85,440.05,439.18,438.25,437.27,436.26,435.23,434.18,433.14,432.09,431.05,430.01,428.96,427.92,426.87,425.83,424.78,423.74,422.69,421.65,420.6,419.56,418.52,417.47,416.43,415.38,414.34,413.29,412.25,411.2,397.85,386.04,373.31,362.04,349.9,,,,,,,,,,172.4,170.6,169,167.4,165.8,164.1,162.3,160.3,158.2,155.8,153.2,150.3,147.2,144,140.6,137.2,133.9,130.7,127.6,124.5,121.4,118.2,114.9,111.6,108.1,104.6,101.2,97.7,94.3,91,87.7,84.4,81.2,78.1,75.2,72.3,69.6,67,64.4,62,59.7,57.4,55.2,53,51,49.1,47.3,45.6,44,42.5,41.1,39.9,38.7,37.5,36.5,35.4,34.5,33.5,32.6,31.6,30.7,29.9,29,28.1
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.95,405.92,405.86,405.75,405.59,405.37,405.09,404.74,404.32,403.85,403.31,402.7,402.04,401.31,400.51,399.67,398.78,397.86,396.91,395.96,395.01,394.06,393.1,392.15,391.2,390.25,389.29,388.34,387.39,386.43,385.48,384.53,383.58,382.62,381.67,380.72,379.77,378.81,377.86,376.91,375.96,375,374.05,373.1,372.15,371.19,355.47,340.21,325.38,310.98,297,283.39,,,,,,,,,,205.9,199.9,194.2,188.7,183.3,178.1,173.2,168.4,163.9,159.6,155.6,151.8,148.2,144.8,141.4,137.9,134.3,130.3,126,121.3,116.6,111.8,107,102.6,98.2,93.9,89.5,85.2,80.9,76.8,72.8,69.2,65.8,62.7,59.7,56.9,54.2,51.5,48.8,46.3,43.9,41.6,39.5,37.6,35.9,34.3,32.9,31.7,30.6,29.7,28.8,27.9,27.1,26.3,25.5,24.7,23.9,23.1,22.5
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.68,404.65,404.58,404.48,404.32,404.1,403.81,403.47,403.05,402.58,402.04,401.44,400.77,400.05,399.26,398.41,397.52,396.61,395.67,394.72,393.77,392.82,391.87,390.92,389.97,389.02,388.07,387.12,386.17,385.22,384.27,383.32,382.37,381.42,408.46,408.69,350.99,383.57,400.66,384.01,392.61,371.52,393.02,354.84,350.58,336.49,353.24,338.04,396.61,404.08,360.77,372.36,,,,,,,,,,352,343.5,334.7,325.8,317,307.8,298.2,288.5,279.1,270.4,262.6,256.1,250.8,246.6,243,239.8,236.3,232.2,226.9,220.3,212.3,203.4,194.1,184.6,175.3,166.1,156.9,147.3,137.3,127.3,117.5,108.5,100.9,94.6,89.5,85.1,81,77,72.9,68.6,64.3,60,55.9,51.9,48.3,44.8,41.6,38.5,35.7,33,30.7,28.6,26.8,25.4,24.3,23.5,22.8,22.3,21.8
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.59,461.55,461.48,461.36,461.18,460.93,460.6,460.21,459.74,459.2,458.58,457.9,457.14,456.31,455.4,454.44,453.43,452.38,451.31,450.23,449.15,448.06,446.98,445.9,444.81,443.73,442.65,441.56,440.48,439.4,438.31,437.23,436.15,435.06,433.98,432.9,431.81,421.74,410.59,400.89,391.4,382.07,371.73,362.75,353.94,344.16,335.63,327.29,319.08,309.96,302.02,294.23,,,,,,,,,,208.8,204,199.5,195.3,191.1,187.1,183.3,179.6,176,172.7,169.5,166.5,163.4,160.5,157.5,154.6,151.6,148.4,144.8,141,136.7,132,127.1,121.8,116.2,110.3,104.1,97.9,91.7,85.8,80.2,75.1,70.6,66.5,62.8,59.5,56.4,53.4,50.5,47.6,44.7,41.9,39.2,36.7,34.5,32.4,30.4,28.6,26.9,25.2,23.6,22.1,20.7,19.5,18.5,17.7,17,16.3,15.7
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.5,446.47,446.4,446.28,446.11,445.86,445.55,445.16,444.71,444.19,443.59,442.93,442.2,441.39,440.52,439.59,438.61,437.6,436.56,435.51,434.47,433.42,432.37,431.32,430.27,429.23,428.18,427.13,426.08,425.04,423.99,422.94,421.89,420.84,419.8,418.75,417.7,416.65,415.6,414.56,413.51,412.46,411.41,410.37,409.32,408.27,407.22,406.17,405.13,404.08,403.03,401.98,391.31,380.84,370.59,359.42,349.6,347.57,343.41,338.83,333.83,328.47,322.74,316.64,310.19,303.85,297.55,291.29,285.13,278.97,272.82,266.69,260.57,254.42,248.64,242.42,237.36,232.66,228.31,,,,,,,,,,219.4,214.4,210,205.6,201,196.7,192.5,188.1,184,179.7,175.5,171.4,167.1,162.8,158.7,154.6,150.5,146.3,142.4,138.6,135,131,127.3,123.4,119.8,116.1,112.8,109.1,105.6,102.3,99,95.8
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.11,441.08,441.01,440.89,440.72,440.48,440.17,439.79,439.34,438.82,438.24,437.58,436.86,436.06,435.2,434.28,433.31,432.31,431.29,430.26,429.22,428.18,427.15,426.11,425.08,424.04,423.01,421.97,420.94,419.9,418.87,417.83,416.8,415.76,414.73,413.69,412.66,411.62,410.59,409.55,408.52,407.48,406.45,405.41,404.38,403.34,402.31,401.27,400.24,399.2,398.17,397.13,383.01,370.42,357.02,345.06,332.32,330.38,328.44,325.03,321.24,317.07,312.51,307.57,302.26,296.99,,,,,,,,,,218.7,216.9,214.9,213,210.8,208.3,205.7,202.7,199.7,196.8,193.9,191.2,188.2,185.1,181.9,178.6,175.1,171.1,166.6,161.7,156.4,150.6,144.3,137.7,130.7,123.8,117.2,110.8,104.8,99.3,94.1,89.3,84.9,80.7,76.9,73.3,69.8,66.6,63.5,60.6,58,55.6,53.6,51.6,49.9
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,359.8,357.45,356.28,353.98,351.67,349.37,348.22,345.92,343.64,341.38,340.25,337.99,335.73,333.47,332.37,330.15,327.93,325.72,324.61,322.4,320.22,318.04,316.96,314.78,312.61,310.45,309.38,307.25,305.11,302.98,301.91,299.8,297.7,295.6,294.52,292.38,290.21,290.1,288.91,288.71,284.35,279.96,275.59,271.2,266.81,263.41,259,254.61,250.23,245.84,241.51,237.19,232.91,228.69,224.48,220.35,217.14,213.06,209.05,205.06,201.13,197.23,193.36,190.38,186.57,183.63,179.92,177.04,173.4,170.59,167.01,164.26,160.76,158.05,154.62,150.48,145.66,141.63,137.68,133.04,129.21,125.4,121,117.31,113.03,109.47,105.97,101.89,98.5,,,,,,,,,,44.89,45.06,39.87,35.88,35.58,36.22,29.98,28.76,27.82,28,25.93,27.16,26.31,24.14,24.33,26.68,26.22,26.44,27.2,25.52,27.69,27.1,26.2,25.3,24.5,23.8,23.1,22.5,22,21.5,20.9,20.2,19.5,18.6,17.8,16.8,15.8,14.8,13.8,12.8,11.9,11,10.2,9.4,8.6,7.9,7.3,6.6,6.1,5.5,5,4.5,4.1,3.7,3.4
