"Traffic mortality per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.40202,,34.49703979,,,38.6
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.130693,,3.220545053,,,3.2
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53178,,12.4055109,,,1.8
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.99025,,27.48722076,,,41.1
Mauritius,,,,,,,,,,,,17.078,12.94268,9.264702,13.53069,11.87156,12.69719,10.11753,10.64098,13.07654,18.45778,13.58718,17.37966,20.29353,23.68089,28.42292,25.87543,21.00867,20.18034,18.93638,4.90542,4.732571,1.740773,0.3220198,1.147666,1.983462,2.217566,10.45205,16.70059,16.10361,18.41549,20.84259,17.18388,18.98903,17.68144,18.79168,13.98141,13.75058,14.67973,16.98096,15.94323,14.31823,18.32234,15.02462,14.56072,10.71379,11.86816,11.95261
Mexico,,,,,,2.059304,2.964447,3.045627,3.387949,3.611981,3.496032,3.614417,3.674354,7.401907,8.726493,8.344068,8.483665,8.601211,9.791229,9.060271,8.985484,10.41234,11.04668,10.9924,19.10674,20.17618,22.67352,25.23925,24.37909,27.25501,27.31921,31.35663,27.95749,26.19077,19.88817,19.89818,19.59316,19.19373,19.71134,20.56606,20.34238,20.04645,19.43325,19.42476,19.12406,17.49438,17.6466,17.5664,13.6562,13.47714,11.5793,11.4755,12.26106,12.09502,12.23271,12.88494,13.34795,11.5223
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.675992,,7.040312767,,,16.4
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78094,26.376,,,19.18129,20.32863,18.01498,23.87231,30.85597,29.20944,25.62943,23.80797,15.60365,17.30491,17.41022,15.46738,17.20347,15.07898,11.75802,12.07935,14.06575,13.4493,13.54988,13.93117,12.87203,12.00554,13.72599
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81009,,10.33135319,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56055,,42.3170166,,,21.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21466,,22.31610298,,,33.4
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.937,,32.36027908,,,43
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28824,,17.34100342,,,25.7
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04265,,25.37347221,,,38.3
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.13738,,26.21061516,,,12.9
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.67006,,18.0339222,,,19.2
Netherlands,8.106466,9.378373,9.270905,10.90173,12.54537,13.24834,14.01149,15.51232,13.74465,14.89743,16.61233,16.61582,17.50841,16.58504,19.33691,19.33422,20.50843,21.88967,21.50638,22.84936,23.60708,23.23495,22.99323,21.94727,17.89797,16.13618,16.83069,17.64284,15.79181,13.31615,12.66406,11.54985,11.09841,11.08254,10.66665,9.129766,9.507916,8.992667,8.344472,8.933593,8.19071,7.894543,7.882078,7.488131,7.610283,7.46571,7.225637,6.856022,6.27343,6.706547,6.636327,5.876506,6.011799,6.152117,4.858666,4.282886,4.14382,4.37212
New Zealand,12.91479,15.91131,15.3076,16.53209,16.46171,18.10046,16.18586,19.22065,18.65646,16.57203,15.76919,17.51624,17.7681,17.03624,17.86178,21.6258,21.83196,23.55362,20.30523,21.50773,23.56036,23.79607,24.22828,28.42757,23.74373,22.0514,21.0924,27.87627,21.53334,18.17384,18.88515,21.03347,21.91164,18.75078,20.46256,21.75602,22.64052,23.84007,21.46436,22.45532,21.63661,18.56781,18.05065,16.9028,16.07537,16.18328,14.29965,14.06781,13.81599,13.25351,11.65021,11.66252,10.94632,11.90014,10.79216,9.939817,9.325946,10
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38296,,16.76382446,,,17.7
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.61892,,39.79191589,,,46
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.45531,,29.38738823,,,39
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92627,,7.569135189,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.30816,,,,,
Norway,,5.1008,5.542277,5.890262,5.925514,6.607331,8.810077,9.092854,8.066422,8.8117,8.357228,9.994415,9.298652,10.61041,10.84895,11.74281,12.13086,12.35619,12.81931,12.84092,14.3794,12.94146,12.46192,13.27114,12.75465,12.9991,11.92521,10.80861,10.65472,10.51043,8.781142,8.847838,9.758385,9.752055,9.816588,9.71738,10.55069,9.141335,8.092235,8.706919,7.587799,7.259698,6.874888,6.063167,6.237634,6.768172,5.769881,6.763921,7.967661,6.888401,7.713185,5.990206,7.084398,6.252607,5.893594,5.041942,4.521104,4.5172
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31524,,13.51552677,,,24.6
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.33426,,15.00751495,,,34.1
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.199741,,8.075592041,,,16.1
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32722,19.9482,20.90876,21.46845,15.74582,15.89663,,,,,,,16.39842,20.39653,21.87109,20.26938,14.91126,15.22528,15.52783,15.20166,13.59994,,15.26243,13.6
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46664,,19.57776451,,,18.8
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38405,11.41599,10.01542,11.38552,9.459541,10.14383,8.173516,9.75027,7.619847,9.313941,10.01009,12.23618,14.08583,22.8
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17993,,15.75574398,,,24.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.250748,6.632336,,,,8.840014,8.844314,8.749208,8.759121,8.68677,9.195768,9.258895,12.35003948,,,24.9
Poland,,,,,,,,,,4.691929,4.690465,7.030218,7.256419,6.766657,7.71697,8.617901,9.718835,10.00888,11.41926,11.11526,11.62195,12.37702,,,,,,,,,,,,16.66858,15.09536,14.31115,14.12947,13.91365,14.57755,19.98593,21.89817,22.8933,19.5067,17.56291,18.41268,18.25922,16.85945,,,16.40328,15.46468,13.56603,14.06866,13.32987,13.56737,12.6902,11.79193,12.77077
Portugal,,,,,,7.225095,7.039351,6.740063,7.902057,9.788429,9.376775,11.3229,10.41127,11.50849,13.8792,14.09927,16.44485,17.06939,18.26487,19.84238,22.51162,27.69718,25.20615,28.91655,28.79077,34.89759,33.27655,26.90818,27.87671,29.93564,26.99829,33.22598,31.38947,29.65175,26.40798,25.00071,23.71665,25.46256,26.72459,26.16275,25.86004,27.31395,25.73767,22.45028,20.20698,22.5162,20.2271,18.12001,17.1496,14.09852,12.10015,16.32676,18.33503,16.25203,17.13106537,,,9.3
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21364,,19.76734543,,,23.7
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56625,22.41832,18.16502,16.80777,15.96393,19.38694,19.10058,19.20337,17.8347,16.80686,10.67767,10.84006,11.23576,10.22274,10.14439,10.56291,11.27542,11.12882,11.83062
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42102,18.3495,17.54861,16.54104,15.65716,13.77089,12.72534,13.43039,18.56385,22.8767,24.13464,25.29978,24.48807,25.05704,23.231,21.67865,19.05676,18.01285,19.43773,24.89725,25.64269,26.32588,26.99163,27.82351,26.51025,25.49465,24.40093,23.2
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.08443,,38.68658447,,,40.1
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.59305668,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64307404,,,17.8
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.782874107,,,7.1
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.654016,,8.599116325,,,15.1
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55496,,9.910824776,,,3.1
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75672,,30.70319366,,,37
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85419,,26.34977531,,,31.2
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.81576,,27.43566132,,,37.9
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57437,9.228105,8.378039,10.55466,7.098713,5.903266,6.550679,7.638216,9.584024,10.20789
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03721,9.859078,8.235351,7.417943,10.14063,6.617225,,8.032499313,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17926,,10.57620716,,,18
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48985,,57.27065659,,,32.8
Singapore,,,,,,,,,,,,,,15.07801,16.6223,18.03404,18.83314,16.82109,22.88059,20.83242,17.83722,20.83575,21.53378,21.92731,15.82168,15.42227,13.77398,13.09673,15.00642,11.84464,11.89191,13.51811,13.72928,14.79643,13.97819,12.14969,10.41525,9.402271,9.480015,9.512966,9.326769,7.65235,7.156556,7.478338,7.207821,6.254829,6.158132,7.334212,5.419407,5.202025,5.414211,5.257355,5.079801,5.440345,4.818168,4.173291,,4.8
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.52022,14.74287,13.79957,14.57192,13.28933,16.08754,16.9986,13.80575,13.33957,12.81325,11.97454,12.72155,11.83753,11.4381,,13.6
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26151,20.1904,21.1012,22.68267,22.91853,21.42966,21.17129,21.18749,22.49251,24.43732,18.33035,17.36812,15.97577,13.61567,14.12667,13.02801,13.36676,11.65131,10.68844,11.90939,11.62198,12.25589,13.46744
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.282787,,7.180696011,,,19.8
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.04236,,20.17230034,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3652,,43.51369095,,,37
Spain,,3.658626,3.305992,3.407594,4.714845,5.179505,5.89878,5.525225,5.79088,6.014378,8.54505,9.614511,9.984486,8.523856,8.962807,9.885604,11.53069,12.00524,10.40734,13.09243,13.50482,13.63471,14.3307,15.3772,13.63346,14.86215,16.6676,17.39296,17.76979,17.35457,16.10002,14.77224,12.12557,13.14353,13.95614,14.12979,15.26373,16.28168,17.95902,19.85067,19.03432,18.38,15.93921,14.56281,13.08113,13.35094,12.90264,13.18252,14.17864,13.71801,13.76124,12.75122,12.00791,12.0266,10.38823,9.536316,8.3,
Sri Lanka,2.938789,4.038816,3.779592,4.223028,4.19668,3.772794,3.441095,3.810159,4.119796,3.456803,2.708897,2.299966,3.926455,2.666711,2.454802,1.788982,2.17897,2.122464,2.132271,,,,,,,,,3.570029,,,5.978727,7.573382,,8.887446,7.687741,5.527471,3.740482,,,,,,,,,,,,,,,,8.996001,,7.939854145,,,13.9
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.69227,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23334,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.190296,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97191,,50.11398697,,,37.4
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5011,,30.96791267,,,19.8
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17135,,30.68395805,,,32.5
Sweden,,10.2783,10.9824,12.89225,12.9151,12.57309,12.74581,12.82659,12.97826,13.17603,13.66895,14.07068,14.58358,15.34244,15.94466,16.27061,16.09562,13.51372,15.4462,15.49485,15.6774,14.80368,14.14936,14.00649,13.96063,13.93935,13.60973,11.76562,11.99727,10.93916,10.13364,9.334033,8.619709,8.873796,9.117846,9.142502,9.491032,8.603276,8.922394,9.453725,8.294978,7.599894,7.515854,6.320961,5.296642,5.261293,5.074862,5.082026,5.114079,5.295601,5.731917,5.853451,5.250961,5.156373,4.617729,4.377877,4.541274,4.195342
Switzerland,,13.92786,15.1943,16.39152,16.54684,18.30735,18.35566,20.64888,20.30449,19.51405,22.08999,22.81244,22.72171,21.58755,22.53908,20.43537,20.6439,23.51761,22.13729,21.57539,24.51199,27.33805,26.09344,21.90313,20.70307,18.50377,17.86669,19.12178,18.50513,18.45382,17.66297,16.90246,17.04221,16.76599,15.65114,13.08112,14.65801,13.36545,13.16084,12.92119,12.82406,11.64009,10.08411,9.216598,8.392704,9.894205,8.294695,8.305386,7.948464,7.569798,7.876447,6.960308,6.509322,7.237045,6.417103,4.845736,4.878201,4.845823
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.71949,,15.92045403,,,42.5
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.320445,,4.796921253,,,19.4
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.58862,,34.0364151,,,43.2
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31304,,24.31255722,,,19.1
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.40064,,16.56348419,,,22.8
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52277,,26.62271309,,,33.5
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.163033,,5.288154125,,,7.7
Trinidad and Tobago,,0.899925,2.020562,15.78207,14.62114,17.00212,13.15195,12.9948,15.77541,,19.18781,20.67702,14.02153,10.15036,,,,18.56254,15.56337,,20.45007,18.93948,24.52344,25.26319,22.9907,20.23008,24.7701,23.67365,20.55895,21.36819,19.42473,16.2778,24.10924,18.32722,20.14339,20.89845,17.00078,16.20914,11.4806,12.13438,12.03453,13.3719,11.35573,13.51183,11.06727,9.678989,14.09747,10.75456,12.10803,14.77977,12.99084,15.0771,13.58739,,16.19576073,,,15.2
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62019,,28.17096901,,,38
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.294822,,12.11808968,,,14.1
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41993,13.0797,,,13.22524,12.02932,15.00274,17.85265,16.17521,17.53902,18.32409,17.08211,16.33193,11.91487,8.555954,7.936588,8.042095,8.043933,,,,10.46622,,9.408333778,,,20.5
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5643,,13.25611019,,10.3,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.68273,,35.31607056,,,29
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.70977,14.25521,,,11.4158,12.59988,12.87311,17.47546,21.81563,22.82222,20.76676,18.97834,15.97248,15.7261,15.16254,13.05397,11.64196,11.01404,10.14941,10.75481,13.939,15.25039,15.12352,15.45118,19.20358,19.39172,19.8
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8019,,29.01392555,,,45.5
United Kingdom,9.472066,10.17717,9.171255,9.82223,10.08042,10.96146,10.88631,10.69659,11.688,12.82353,13.92972,13.87103,12.84939,12.97738,14.71077,14.88706,14.81103,14.15718,12.59824,13.26173,13.48376,13.95897,13.85173,14.07072,12.72437,11.80963,12.20805,11.86933,13.28878,11.81539,11.37519,8.343231,10.34157,9.906594,9.661904,9.254988,9.185266,9.059704,8.62547,9.027619,9.194861,8.415213,7.640994,6.366049,6.161993,5.902825,6.035603,6.046467,5.55323,5.530942,5.413095,5.476059,5.673521,5.717978,5.458889,5.257092,5.362282,4.958282
United States,23.35073,24.5991,24.97512,24.84568,22.98822,24.55019,25.04031,24.00122,22.49042,22.69856,22.48117,22.03526,23.12406,24.24097,25.65904,26.3994,28.08037,27.54143,28.09557,28.11992,26.9765,26.26728,26.72103,26.0411,21.43521,20.66086,20.79695,21.58068,22.56456,22.29733,21.87183,20.91038,18.48295,17.74892,18.3195,18.06841,18.74669,18.79814,18.99423,18.2997,17.8821,16.49964,15.29652,15.4919,15.63944,15.8092,15.7049,15.41721,15.1395,14.99731,14.7273,14.67872,15.03204,14.70394,14.56811,14.49466,13.3,
Uruguay,,,,,,7.034339,7.507703,6.129507,5.778286,5.502145,4.967839,,,7.034991,6.46439,6.976956,7.62153,6.09229,6.153485,6.319452,6.876855,7.03767,7.254061,7.003267,6.203678,7.082826,5.401185,4.68694,7.209812,,12.38723,12.79657,10.90078,9.976523,8.895536,8.179755,9.315627,9.305798,11.91711,15.28633,11.71464,,,12.99913,12.88066,13.38631,12.74004,13.27738,14.45615,13.54412,10.15484,10.99674,10.09932,,10.00336,,,4.1
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2293,15.51145,14.9885,13.12364,12.78463,13.30308,18.01199,22.06618,22.90176,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.307,13.66059,,,14.78946,13.93725,13.82914,16.9309,18.50123,18.81005,17.48432,13.16266,9.744962,7.934925,7.791189,9.47355,8.924073,8.249639,9.17884,8.899754,8.580521,5.725557,8.225363,10.53382,10.32715,11.2,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.144155,,7.808640003,,,22
Venezuela,,,,,,13.12937,13.073,14.88925,22.20646,22.569,20.49614,21.12216,19.3165,22.86654,23.73171,25.52237,27.08028,27.67887,29.49414,30.77113,31.39959,31.46319,33.29945,38.43554,41.47108,43.47162,43.72051,43.02403,45.91814,41.10168,42.15213,38.54021,37.50511,34.36957,,27.49493,28.75923,29.14938,27.59781,24.34076,24.6304,,27.48444,26.29532,25.64525,,17.45584,19.62192,22.43876,21.26432,22.89158,25.69121,24.13526,21.47796,21.80987,21.4396,23.4,27.78122
West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
West Germany,,,14.56179,19.63312,20.81878,22.7565,23.78658,22.97467,20.93997,23.70192,24.56291,24.52619,23.89254,23.71817,26.771,25.27593,26.83537,27.63492,26.29112,26.90528,31.03554,29.9523,29.59814,25.21937,22.23764,22.79732,22.55976,22.74984,21.85858,19.95671,19.37962,17.28382,16.7176,16.99651,14.64517,12.0826,12.74405,11.46628,11.96038,11.44839,11.14417,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59199,,15.51379299,,,18.3
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.14987,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03768539,,,35.8
Yugoslavia,,,,,,,,,,,,,,,,,,,13.44001,15.66477,,,,,,,,,24.31001,23.91894,21.71407,22.27216,20.87621,19.27386,18.39602,16.49244,17.4957,15.33017,15.11664,15.24415,16.28994,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70129,,30.79485512,,,31.8
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.40674,,40.26741791,,,33.2
