,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1775.91,1778.39,1774.14,1788.29,1769.82,1742.51,1721.7,1769.46,1780.85,1799.2,1776.78,1743.02,1786.22,1774.82,1693.9,1758.23,1771.45,1805.45,1730.8,1751.35,1787.85,1742.36,1895.95,1910.23,1923.78,1869.5,2030.45,2218.78,2290.32,2158.23,2193.91,2206.18,2162.71,2233.21,2220.96,2202.46,2221.29,2209.33,2259.21,2252.38,2265.5,2268.8,2309.61,2338.82,2354.81,2333.09,2359.81
Netherlands,3042.24,3043.49,3062.82,3012.44,2991.15,3060.32,3107.38,3072.4,3085.86,3079.2,3078.28,3132.77,3189.43,3218.22,3088.52,3123.35,3151.34,3133.17,3165.1,3161.49,3093.79,3161.65,3149.59,3186.52,3199.17,3125.06,3144.4,3203.65,3138.83,3254.37,3312.36,3287.54,3250.5,3185.91,3302.77,3319.65,3225.09,3273.88,3222.32,3214.92,3234.94,3233.11,3180.64,3220.01,3232.42,3217.65,3277.52
Netherlands Antilles,2126.17,2190.72,2238.19,2229.67,2198.79,2164.84,2216.25,2262.2,2251.35,2345.51,2381.39,2328.38,2341.69,2367.31,2320.23,2487.29,2575.29,2517.27,2632.15,2730.1,2929,2807.23,2700.1,2736.97,2693.07,2782.82,2784.69,2630.17,2632.26,2591.08,2599.96,2760.76,2918.79,2876.95,3027.5,2956.31,2922.67,2985.84,3061.75,3070.73,3041.22,3116.91,3064.41,3065.01,2936.11,2955.62,3004.49
New Caledonia,2848.17,2833.08,2816.02,2861.69,2923.08,2951.71,2984.48,2982.18,3050.58,3143.01,3266.03,3202.86,3199.98,3090.59,3003.62,2969.04,2979.5,2921.23,2880.95,2918.99,2829.33,2895.32,2849.45,2808.01,2774.59,2855.27,2903.21,2748.08,2801.73,2800.75,2888.49,2740.84,2729.48,2745.92,2695.95,2699.06,2825.55,2779.62,2778.91,2730.97,2813.24,2808.46,2778.73,2770.14,2772.33,2797.77,2796.7
New Zealand,2925.97,2962.55,2951.8,2956.62,2965.94,3080.26,2999.31,2971.38,2962.08,2958.3,3024.71,3050.36,3087.23,3093.84,3134.96,3235.14,3114.91,3124.28,3050.87,3062.1,3061.1,3073.94,2965.68,3062.55,3016.02,3149.56,3160.38,3128.9,3083.41,3258.14,3177.49,3186.03,3211.66,3160.36,3178.48,3164.09,3159.71,3150.18,3202.95,3145.63,3108.3,3125.71,3140.28,3156.82,3147.23,3145.13,3159.44
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1909.7,1943.59,1956.66,2013.33,2009.97,2031.93,2071.58,2128.33,2079.05,2068.2,2046.41,1997.35,2048.56,2012.07,2034.78,2047.35,2096.76,2022.8,1959.27,2026.79,2135.32,2011.73,2062.14,2141.82,2163.91,2194.97,2131.99,2112.98,2083.89,1734.02,1801.74,1787.01,1847.4,1927.38,1966,1977.23,1957.62,2067.97,2074.32,2137.33,2310.36,2294.43,2324.79,2364.03,2400.62,2396.91,2403.44
Niger,1578.78,1589.01,1606.6,1637.76,1788.95,1785.01,1859.37,1974.4,1913.3,1880.56,1987.76,1844.2,1902.83,1907.12,1915.17,1987.63,2006.22,2015.7,2017.7,2051.19,2052.1,2099.12,2105.17,2055.07,1997.79,1966.37,2004.58,2022.11,2028.07,2115.67,1890.44,1924.72,1862.83,1846.79,1921.81,1976.92,2039.85,2141.15,2159.16,2134.1,2129.34,2198.13,2213.43,2225.99,2244.62,2296.71,2376.26
Nigeria,1946.88,2024.15,1980.24,1946.09,1872.33,1727.94,1823.61,1815.13,1937.22,1980.76,1855.43,1645.42,1758.06,1868.7,1825.06,1742.4,1765.47,1770.07,1718.52,1838.68,1858.22,1851.86,1703.17,1728.8,1835.67,1980.9,1945.16,1990.41,2073.16,2179.53,2322.4,2414.6,2502.21,2474.55,2530.72,2511.02,2553.1,2586.45,2613.27,2571.04,2565.13,2535.59,2564.04,2610.51,2668.89,2713.5,2740.8
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,3144.52,3213.58,3125.06,3106.02,3130.98,3213.13,3114.09,3150.99,3121.69,3124.76,3131.9,3169.07,3167.23,3098.78,3053.67,3258.6,3231.85,3310.44,3327.79,3401.25,3384.52,3206.87,3218.92,3249.07,3247.25,3280.96,3334.41,3168.62,3228.3,3196.83,3249.33,3242.58,3249.63,3300.34,3236.99,3305.82,3302.94,3353.46,3375.3,3363.36,3384.61,3442.14,3424.88,3458.47,3480.71,3421.47,3464.18
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1767.46,1836.26,1860.16,2003.51,2106.83,2020.42,2025.44,1979.97,2278.58,2273.91,2195.72,2251.28,2230.51,2230.52,2147.2,2167.48,2186.24,2258.89,2215.67,2134.69,2116.74,2177.32,2164.17,2174.95,2107.97,2096.28,2146.34,2088.43,2277.34,2241.91,2134.82,2238.7,2257.04,2313.19,2317.17,2349.48,2347.4,2297.01,2344.7,2316.2,2260.2,2243.35,2223.76,2225.73,2229.06,2230.73,2292.76
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,2119.49,2042.19,2170.26,2172.44,2129.75,2193.4,2250.74,2270.35,2376.37,2216.77,2346.58,2147.75,2224.67,2414.32,2409.25,2115.49,2399.61,2161.81,2133.51,2144.33,2293.48,2333.24,2369.09,2384.73,2532.24,2578.74,2309.42,2256.21,2242.22,2307.16,2268.14,2373.84,2411.71,2413.96,2293.57,2321.33,2243.87,2464.39,2281.01,2195.71,2336.11,2441.83,2433.27,2337.47,2426.04,2441.98,2484.04
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,2135.19,2151.72,2148.65,2250.97,2348.02,2338.97,2334.72,2402.54,2417.34,2454.71,2449.41,2428.17,2445.57,2465.97,2378.01,2457.6,2539.42,2589.25,2524.58,2536.85,2455.59,2520.51,2537.75,2497.04,2602.33,2524.46,2530.39,2498.99,2543.85,2415.09,2383.06,2377.1,2443.77,2543.27,2556.65,2594.92,2620.37,2635.1,2655.55,2606.04,2631.31,2673.69,2694.44,2623.7,2598.31,2633.04,2634.37
Peru,2125.41,2143.46,1983.42,2165.61,2122.22,2140.38,2119.99,2071.45,2308.45,2191.41,2235.45,2162.54,2103.75,2121.31,2188.15,2125.95,2066.74,1916.59,2042.01,2044.79,2199.14,2176.96,2206.81,1986.39,2063.02,2299.87,2259.58,2279.32,2175.72,2019.13,2175.87,2137.9,2146.44,2201.5,2197.3,2263.13,2322.12,2261.78,2276.37,2366.65,2320.78,2335.14,2281.51,2316.78,2402.69,2417.02,2457.04
Philippines,1738.38,1683.57,1754.87,1771.94,1835.27,1801.87,1826.68,1806.84,1813.17,1774.54,1800.66,1862.96,1839.64,1935.8,1975.54,2033.64,2093.39,2137.8,2151.23,2246.13,2197.74,2182.16,2024.98,2122.73,2091.02,2107.09,2129.17,2128.77,2211.89,2254.38,2208.98,2239.54,2200.58,2275.49,2288.44,2389.95,2353.67,2304.05,2370.52,2406.92,2395.43,2403.49,2393.32,2473.35,2483.03,2506.66,2564.91
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,3268.98,3270.74,3288.59,3298.99,3352.64,3374.63,3370.02,3385.75,3401.17,3418.67,3425.93,3466.18,3501.65,3513.15,3538.33,3590.81,3581.83,3589,3591.4,3583.3,3368.55,3287.56,3364.97,3346.88,3364.32,3432.16,3457.24,3477.04,3490.06,3345.6,3285.74,3356.83,3418.78,3290.07,3306.12,3324.49,3302.67,3363.43,3371.48,3409.12,3410.18,3421.6,3383.53,3353.69,3377.45,3394.36,3420.74
Portugal,2472.47,2562.03,2658.53,2522.99,2800.65,2742.4,2916.61,2956.25,3047.92,3001.93,3030.98,3012.34,3007.25,3079.45,3058.25,3033.59,2997.86,2836.38,2767.48,2785.45,2788.89,2819.58,2823.54,2860.36,2991.98,3137.78,3285.97,3294.78,3323.43,3373.45,3412.78,3408.7,3469.04,3507.11,3482.4,3542.1,3430.75,3547.88,3596.67,3586.25,3571.64,3567.8,3556.84,3597.85,3590.73,3574.31,3583.9
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,2840.66,2883.35,2917.66,2922.94,2968.83,3002.91,2988.39,3001.87,3031.26,2874.43,2989.81,3052.4,3092.1,3175.24,3097.38,3270.14,3256.54,3290.26,3222.8,3184.67,3163.97,2995.78,3022.19,3097.43,3052.87,2959.84,2921.13,2938.12,2938.28,3149.25,2944.97,2861.31,3031.97,2965.67,3065.07,3092.82,3082.03,3099.49,3114.37,3177.61,3276.03,3364.86,3424.53,3418.75,3513.69,3561.89,3455.47
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925.99,3031.64,2928.34,2919.26,2827.27,2877.82,2860.17,2907.71,2884.03,2997.86,3047.37,3107.68,3143.33,3225.71,3213.3,3375.93
Rwanda,1746.32,1837.72,1837.77,1846.54,1868.42,2009.55,2185.83,2083.45,2161.77,2183.79,2148,2069.6,2067.61,2031.84,2187.97,2228.86,2245.12,2222.24,2255.91,2248.35,2233.99,2258.26,2245.55,2152.58,2225.95,2090.97,2012.67,1870.27,1888.19,1709.1,1922.31,1864.88,1996.57,1867.24,1800.77,1717.34,1682.78,1710.81,1733.1,1922.87,1977.21,2028.13,1994.19,1970.36,2015.91,2061.1,2085.1
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,1717.33,1781.9,1815.42,1883.07,1930.67,1960.39,2003.85,2042.05,2000.72,2076.71,2028.21,2175.58,2176.92,2284.43,2210.67,2209.69,2227.22,2252.79,2318.35,2368.04,2274.22,2279.53,2332.72,2454.05,2622.54,2630.86,2684.01,2713.96,2625.59,2617.23,2559.28,2561.47,2479.04,2417.98,2467.51,2429.86,2383.03,2379.05,2385.31,2512.79,2494.68,2487.65,2498.92,2525.27,2423.05,2419.57,2512.89
Saint Lucia,1687.82,1747.08,1700.43,1779.9,1746.72,1805.12,1768.38,1818.61,1837.4,1904.42,2026.99,1941.73,1919.13,1906.62,1896.58,1948.99,2137.13,2216.39,2255.56,2183.89,2261.86,2266.58,2256.06,2380.09,2407.18,2463.23,2500.25,2407.78,2453.8,2490.09,2566.38,2669.81,2674.58,2726.14,2671.15,2636.13,2738.22,2697.6,2688.56,2725.23,2611.72,2703.46,2712.08,2719.55,2733.63,2760.13,2737.55
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,1809.42,1981.52,1854.83,1966.83,2006.56,2110.53,2073.19,2142.34,2193.21,2251.17,2295.11,2317.63,2284.52,2146.94,2217.45,2244.54,2266.82,2231.23,2357.47,2407.66,2475.59,2418.92,2406.22,2418.01,2416.42,2407.7,2402.71,2396.71,2310.27,2355.08,2342.65,2374.23,2439.26,2330.63,2371.11,2340.66,2389.7,2442.02,2530.54,2565.05,2593.98,2720.72,2792.13,2759.59,2805.47,2791.95,2821.28
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,1959.68,1964.01,1971.03,1989.15,1996.38,1996.71,2038.58,2117.61,2172.93,2246.19,2253.16,2267.45,2295.99,2362.55,2418.41,2447.03,2423.6,2445.09,2445.99,2448.06,2512.03,2529.43,2532.83,2525.74,2745.69,2525.07,2722.13,2730.96,2656.81,2618.98,2613.53,2407.47,2351.52,2426.84,2499.56,2512.19,2544.68,2580.57,2696.35,2745.29,2825.05,2849.93,2856.79,2895.47,2882.55,2864.16,2885.92
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,2264.95,2224.57,2232.45,2289.38,2259.26,2227.94,2220.15,2193.5,2140.15,2116.25,2107.95,2075.36,2073.27,1903.73,1854.25,1950.5,2056.89,2055.48,2025.87,2057.47,2037.73,2003.35,2059.58,2100.24,2076.91,1952.86,1935.42,1993.99,2153.23,2227.48,2238.2,2222.11,2241.13,2248.22,2231.83,2241.69,2208.66,2255.42,2267.99,2372.65,2460.54,2508.35,2568.2,2594.86,2621.21,2681.99,2683.97
Saudi Arabia,1718.5,1756.82,1798.23,1827.89,1869.02,1868.65,1895.84,1895.62,1885.8,1906.61,1917.01,1785.69,1704.53,1706.68,1826.82,1949.15,2165.19,2385.22,2705.08,2956.52,2989.41,3005.38,3036.58,2818.36,2788.01,2662.31,2608.03,2819.73,2749.9,2866.15,2870.04,2806.15,2789.49,2761.22,2905.17,2940.63,2960.78,2950.81,2978.45,3015.55,3013.79,3007.28,3053.05,3072.17,3102.86,3153.5,3143.95
Senegal,2362.31,2383.37,2707.44,2613.77,2577.43,2490.57,2489.63,2409.83,2387.44,2219.7,2208.45,2171.13,2251.13,2272.95,2209.9,2192.49,2061.9,2068.27,2167.06,2156.01,2394.57,2336.81,2169.04,2277.64,2395.12,2296.84,2086.48,2089.02,2091.34,2230.55,2239.83,2114.74,2238.02,2162.24,2179.51,2117.83,2114.16,2103.8,2142.28,2151.03,2154.9,2128.47,2209.79,2244.81,2281.55,2322.93,2347.71
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748.42,2710.16
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984.88,2899.26,2765.24,2878.79,3036.99,2989.22,2889.31,2836.05,2653.55,2613.1,2628.77,2693.55,2700.25,2703.21,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,1746.55,1767.48,1774.64,1689.46,1676.33,1804.06,1678.81,1830.78,1775.45,1963.8,2232.27,2216.29,2226.68,2070.39,2031.3,2020.9,2102.76,2163.16,2195.92,2157.5,2245.98,2176.31,2051.73,2142.98,2176.96,2243.72,2205.35,2285.48,2257.9,2208.99,2314.6,2321.36,2341.34,2337.48,2314.36,2336.28,2295.96,2379.36,2377.61,2397.14,2407.65,2361.2,2368.98,2376.15,2390.57,2423.67,2462.62
Sierra Leone,1735.48,1765.11,1874.05,1890.07,2047.25,2135.18,2180.99,2146.38,2157.74,2181.38,2152.04,2127.59,2092.5,2060.01,2076.91,2041.67,2072.22,2063.85,2050.83,2077.07,2066.47,2061.2,1951.12,1929.34,1947.08,1969.83,1980.39,1935.47,1946.18,1941.63,1960.22,1935.77,1956.71,2032.75,2033.52,2060.08,2076.08,2038.15,2001.47,1965.97,1973.98,2019.91,2041.28,2077.06,2076.33,2137.4,2170.26
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817.61,3015.12,2864,2926.91,2938.63,3037.31,2922.48,2796.13,2801.31,2785.63,2772.47,2815.27,2857.6,2904.1,2892.6
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2669.79,2849.48,2891.54,2945.52,3076.02,2942.76,2855.28,3068.17,3051.81,3057.81,3079.41,3106.42,3182.19,3225.91,3212.38,3223.47
Solomon Islands,2185.11,2179,2203.87,2295.62,2237.54,2255.61,2293.71,2277.41,2262.89,2270.21,2222.72,2203.14,2188.22,2229.72,2184.37,2184.76,2206.12,2199.48,2265.87,2217.74,2186.86,2236.94,2218.54,2235.88,2242.63,2222.49,2220.35,2201.21,2178.46,2080.73,2145.99,2144.27,2124.89,2207.77,2338.08,2271.92,2353.92,2350.86,2321.29,2320.38,2341.6,2409.39,2435.17,2417.46,2434.94,2445.75,2422.27
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2668.87,2612.9,2721.98,2754.65,2864.24,2758.02,2703.14,2752.33,2793.12,2817.52,2786.82,2859.22,2902.21,2876.05,2897.17,2850.75,2840.79,2849.61,2817.99,2862.02,2831.04,2912.83,2839.83,2844.64,2889.01,2823.12,2929.63,2877.26,2831.19,2834.84,2822.53,2800,2842.54,2828.64,2814.26,2799.78,2816.99,2847.29,2834.04,2886,2913.15,2902.73,2938.86,2949.66,2964.61,2993.39,2998.5
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2631.63,2727.45,2698.56,2665.38,2638.02,2707.69,2729.5,2721.47,2640.15,2732.14,2771.03,2796.5,2876.85,3014.32,2987.54,2999.32,2980.29,3023.46,3080.01,3061.91,2998.95,3087.72,3054.05,3079.67,3124.57,3068.94,3165.92,3237.08,3238.35,3282.83,3380.59,3361.06,3312.35,3279.89,3266.17,3353.98,3324.84,3354.91,3382.88,3378.13,3361.89,3372.53,3347.32,3345.3,3307.79,3231.84,3271.77
Sri Lanka,2050.54,2077.07,2122.21,2228.52,2234.91,2286.32,2318.1,2318.17,2282.42,2263.73,2200.7,2160.4,2186.56,2178.31,2163.46,2174.99,2193.93,2257.05,2311.03,2280.45,2241.53,2257.25,2316.39,2297.48,2318.16,2293.91,2234.87,2250.28,2208.53,2171.58,2191.28,2155.65,2097.09,2291.54,2221.47,2241.82,2277.82,2301.75,2393.97,2330.76,2379.76,2363.61,2369.06,2283.63,2403.61,2410.5,2360.61
Sudan,1581.52,1790.28,1718.64,1758,1597.24,1603.18,1720.9,1764.04,1803.23,1928.03,1928.59,1914.01,1973.19,2015.86,1873.94,1924.14,1997.02,2130.53,2053.94,2037.27,2035.49,1922.05,2002.3,1767.12,1967.73,2010.6,1931.79,2010.65,1917.75,1889.51,1994.97,1979.2,2049.38,2087.18,2109.18,2107.05,2090.57,2085.23,2085.14,2105.32,2147.69,2171.35,2187.28,2189.86,2237.23,2279.86,2282.06
Suriname,1909.93,1933.58,1980.17,2229.4,2175.7,2117.3,2181.81,2211.49,2278.71,2225.83,2215.87,2224.64,2220.8,2227.74,2220.27,2252.03,2276.46,2294.62,2281.14,2403.82,2309.57,2335.46,2465.94,2650.03,2617.93,2426.73,2473.02,2425.86,2413.32,2390.94,2491.74,2446.94,2468.22,2431.52,2484.55,2513.64,2472.64,2501.4,2412.36,2447.63,2394.45,2437.69,2456.94,2462.81,2481.77,2429.44,2492.45
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,2232.5,2188.91,2135.66,2118.68,2173.25,2162.42,2097.62,2241.74,2242.13,2296.65,2270.61,2274.83,2372.22,2385.66,2429.96,2491.68,2359.44,2401.54,2376.95,2372.96,2384.81,2446.39,2404.76,2454.64,2379.68,2431.26,2417.81,2415.89,2409.56,2397.42,2376.51,2368.45,2254.31,2269.42,2148.56,2190.55,2237.17,2227.78,2291.91,2267.73,2326.21,2277.82,2287.56,2337.14,2325,2305.17,2292.25
Sweden,2829.2,2804.23,2800.43,2867.41,2861.34,2877.85,2861.4,2825.97,2807.46,2876.49,2907.23,2863.08,2862.57,2886.38,2931.33,3009.32,2968.42,2933.85,2967.41,2989.34,2965.36,2980.56,2984.27,3054.42,2982.21,2960.77,2901.48,2954.68,2978.14,2972.82,2940.82,3050.67,3135.07,3092.37,3085.06,3055.36,3088.85,3073.03,3119.19,3099.86,3121.34,3112.77,3113.63,3104.17,3126.26,3111.68,3110.22
Switzerland,3544.57,3459.58,3380.64,3422.75,3420.04,3420.06,3286.25,3402.57,3408.79,3482.97,3439.09,3514.47,3536.49,3416.3,3228.27,3312.43,3486.59,3434.21,3382.52,3491.08,3499.77,3458.64,3432.07,3389.29,3383.61,3398.18,3409.98,3405.15,3385.74,3403.26,3312.93,3385.17,3336.82,3317.41,3296.76,3348.95,3328.2,3321.64,3276.46,3434.76,3373.02,3404.86,3412.23,3393.71,3369.19,3427.98,3465.33
Syria,1998.4,2131.23,2118.76,2205.59,2144.92,2162.07,2256.28,2310.83,2374.44,2352.48,2452.92,2493.16,2414.13,2536.43,2571.07,2653.23,2741.77,2785.15,2840.37,2960.41,3034.18,3099.97,3030.42,2985.81,3000.06,2974.3,2880.3,2878.26,2752.4,2806.46,2818.05,2867.87,2819.22,2819.89,2911.88,3009.16,3013.73,3062.43,3064.45,3055.22,3012.51,3036.04,3013.18,3032.79,3061.41,3052.94,3034.26
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092.06,2101.97,1953.39,2006.63,1835.56,1968.94,1915.77,1972.63,1911.99,1852.82,1945.24,2046.73,2097.73,2081.39,2180.69,2117.52
Tanzania,1746.36,1758.13,1775.07,1699.93,1746.79,1820.93,1713.99,1706.7,1707.96,1711.36,1678.43,1697.65,1816.46,1900.7,2170.35,2222.45,2217.16,2207.66,2232.39,2220.23,2189.53,2219.61,2215.43,2250.51,2260.07,2224.82,2243.58,2187.62,2242.46,2121.22,2154.88,2043.49,2014.77,1986.15,1933.37,1944.52,1906.97,1975.84,1979.61,1929.21,1945.6,1977.76,1931.9,1927.7,1984.52,2034.46,2032.39
Thailand,1843.18,1875.53,1934.81,1962.28,1966.11,2052.04,1986.54,1998.13,2038.62,2062.06,2061.57,2112.08,2147.81,2128.73,2145.31,2184.83,2198.94,2189.68,2205.36,2230.58,2262.01,2155.92,2217.51,2206.75,2135.32,2105.52,2106.1,2202.54,2120.65,2175.32,2242.67,2316.35,2297.6,2353.58,2410.15,2427.75,2452.54,2467.55,2424.45,2443.08,2450.69,2468.47,2489.03,2508.29,2512.84,2535.8,2538.62
Timor-Leste,1741.89,1749.44,1690.62,1659.45,1693.34,1766.2,1725.59,1743.64,1797.7,1713.11,1697.39,1674.24,1698.85,1697.63,1721.73,1759.54,1884.98,1997.75,2115.73,2077.62,2138.7,2152.03,2131.06,2160.74,2121.93,2113.54,2103.81,2113.05,2102.43,1836.83,1965.5,2015.24,2066.82,2040.95,2077.62,1954.39,1983.29,1870.11,1910,1932.45,2000.74,2126.73,2079.49,2080.36,2014,1968.31,2065.67
Togo,2053.8,2206.93,2143.85,2216.8,2270.29,2225.78,2299.24,2178.84,2052.07,2074.82,2173.52,2146.91,2026.23,1904.03,1854.99,1783.17,1756.56,1853.86,1992.17,2002.32,1975.7,1923.8,1812.68,1842.07,1981.8,1799.28,1707.45,1874.23,1897.76,2010.09,1855.53,1815.95,1878.12,1946.8,1966.44,2024.04,2049.09,1998.46,2021.01,2012.04,2029.23,2060.73,2072.45,2121.16,2132.93,2144.62,2161.06
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,2295.83,2386.59,2409.1,2424.52,2456.53,2459.73,2400.74,2287.98,2424.09,2395.12,2459.78,2459.57,2526.81,2634.43,2585.09,2701.72,2689.95,2816.26,2807.22,2991.62,2970.14,2988.23,2994.11,2997.32,2872.18,3011.29,2922.9,2771.34,2679.92,2631.25,2670.59,2542.92,2514.85,2517.41,2561.02,2591.82,2562.79,2597.97,2599.32,2689.02,2726.93,2690.67,2715.57,2716.4,2710.33,2704.17,2725.15
Tunisia,2091.64,2156.79,2212.64,2214.21,2293.62,2217.19,2363.59,2355.66,2282.18,2318.59,2402.39,2557.8,2555.02,2639.45,2623.72,2574.96,2671.64,2744.6,2757.97,2883.47,2796.49,2794.54,2929.88,2986.52,3003.02,3077.06,3059.57,3109.77,3110.89,3121.5,3093.59,3133.7,3162.74,3122.42,3148.97,3228.61,3282.25,3336.03,3412.83,3238.03,3297.03,3228.05,3270.96,3291.7,3295.68,3314.19,3326.45
Turkey,2880.9,2836.44,2924.35,2914.38,2898.81,2994.12,2961.88,2974.62,2945.07,3016.55,3077.57,3122.67,3031.72,3034.17,3138.12,3204.26,3140.95,3137.86,3209.14,3277.66,3182.17,3256.37,3274.23,3271.47,3476.47,3472.54,3542.6,3580.74,3583.81,3634.18,3581.79,3564.7,3577.01,3570.76,3551.96,3518.65,3434.66,3482.13,3440.85,3480.55,3439.93,3430.27,3413.11,3434.2,3434.3,3494.58,3516.73
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2788.14,2550.19,2549.57,2556.81,2524.33,2598.22,2512.49,2609.4,2604.86,2608.98,2671.81,2727.47,2749.44,2760.54,2771.27,2731.4
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2312.87,2274.42,2298.93,2262.78,2315.04,2178.2,2372.34,2387.25,2357.43,2416.51,2377.03,2422.36,2309.06,2349.45,2349.44,2388.69,2356.31,2265.94,2127.22,2029.79,2086.52,2208.84,2308.65,2167.92,2062.89,2073.51,2118.78,2181.74,2300.05,2330.94,2284.42,2234.43,2260.92,2253.18,2259.62,2158.23,2181.17,2293.21,2231.42,2249.84,2257.89,2315.66,2320.98,2296.66,2287.62,2242.99,2211.3
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367.47,3242.89,2980.08,2883.38,2800.18,2854.35,2829.92,2781.59,2896.79,2989.32,3048.39,3051.89,3190.82,3215.82,3251.21,3223.72
United Arab Emirates,2890.58,2774.76,2757.97,2642.16,2622.85,2993.74,2655.36,3026.64,3024.93,3057.9,2848.48,2910.42,3147.64,3144.6,3159.45,3171.58,3161.65,3214.83,3219.83,3306.67,3369.72,3442,3309.83,3421.98,3193.2,3267.09,3325.92,3256.4,3252.37,3231.1,3107.88,3154.06,3187.86,3268.09,3150.8,3122.16,3120.64,3150.39,3220.42,3166.68,3061.64,3131.05,3151.3,3079.4,3066.25,3176.56,3171.2
United Kingdom,3240.67,3206.02,3229.6,3209.61,3240.22,3242.23,3222.19,3222.52,3238.21,3277.5,3244.9,3170.67,3237.49,3120.42,3126.18,3169.98,3157.43,3094.72,3163.59,3116.05,3099.19,3118.93,3130.81,3128.47,3193.51,3211.44,3226.72,3247.21,3217.65,3242,3207.87,3268.76,3216.36,3233.23,3183.8,3267.53,3328.47,3355.13,3407.93,3370.08,3415.54,3434.04,3417.62,3451.13,3431.27,3437.22,3458.41
