Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,26.43938243,25.87851878,21.98798942,21.61187583,22.68898147,22.39396965,24.3674545,24.1004021,24.16433146,25.71135478,25.74191355,19.69466836,16.83734656,15.3791427,29.79051329,42.58050025,40.03926799,35.39934509,38.21790482,41.97952545,38.08894109,33.74802532,31.61126885,34.9765269,37.5609565,41.70808499,43.03560005,46.02409134,50.09554716,53.63388905,51.06003679,47.07863178,45.40349092,42.63010681,42.46999981,44.74331733,47.28318459,46.7630408,45.61088489,45.41389105,50.14857512,52.06633912,52.43557346,55.39480586,59.91862158,62.58116819,66.14735799,70.06984919,75.13293646,60.03705181,61.09978643,
China,8.504261942,7.361818709,7.072571716,6.9235295,6.757005855,6.899352324,6.804030763,6.325032055,6.296756181,5.521424162,5.01174709,4.982679852,5.83384517,8.103874851,10.47349283,9.688718049,8.971699663,8.510574062,14.22993811,16.5509301,20.08447809,22.67824825,20.47708518,19.09164563,20.8012094,22.69630479,24.79452502,30.57008137,33.20726552,32.46760041,32.34073015,35.76079283,39.16259888,44.42737812,42.31232936,38.57983822,33.86125112,34.13227112,31.77657285,33.2906256,39.57504546,38.46983243,42.69873672,51.85919566,59.77057895,63.00254188,64.89019055,62.29356468,56.68637559,44.2280424,50.16226801,
Colombia,24.30122649,21.75969,20.21697052,19.71959628,18.92803609,17.12534705,21.65874453,17.58273784,20.3076218,20.17191574,21.80631509,20.65631722,19.21725892,21.61834752,25.10742603,22.59624952,23.04678293,21.99889467,25.70892998,24.24697778,25.93657278,22.3065659,21.82302339,20.56296525,20.80875977,22.04650516,25.6535857,24.64444255,25.6015003,27.11425726,30.67968722,29.4329099,27.25875208,30.36779324,24.8471618,25.84553407,24.97938671,25.22044262,25.88991354,25.79880677,24.48990771,25.44319938,25.06599314,28.41263047,28.13354879,28.92427348,31.05077885,30.32074003,31.59455723,27.87975709,27.86647774,
Comoros,,,,,,,,,,,,,,,,,,,,,30.76800016,42.00521748,49.49151514,47.52539533,46.5162446,45.41871909,35.07966582,32.58107856,35.66683619,30.69455535,27.99629815,33.22230648,34.18615487,30.73250616,34.45306719,31.91115744,27.39341523,28.58486849,27.85599614,28.75361055,28.23168322,30.89289757,28.66663112,29.80233602,28.76051508,28.60531736,31.04243047,32.71841114,34.7079142,34.74451431,38.44039105,
"Congo, Dem. Rep.",20.86174735,15.96345367,11.4638407,9.617451349,14.07710286,9.977969979,11.65256126,15.48551975,17.2248799,16.13688015,19.67941786,15.9140044,15.32664426,16.06667759,18.03372077,11.382338,12.10564259,9.653945175,7.334500433,11.3686355,26.31482515,24.71721354,21.22817617,26.33847264,39.50250669,43.08522083,38.62703118,46.81774139,45.93005553,48.12753317,43.47703052,32.49352202,26.57737794,16.41795007,33.03906116,43.12972794,45.6730591,36.43175339,40.59309487,29.22777106,34.59057497,35.59175698,39.90644758,50.65669359,60.9459076,71.69946664,65.50494415,65.24400639,74.56081551,66.04667879,74.55451706,
"Congo, Rep.",66.87242668,65.0488804,66.93569528,61.19561487,61.48205721,57.62802416,52.32955677,55.77940376,53.73219883,46.77918837,32.82941457,37.89927226,39.97643818,40.17198251,60.95961196,45.43336184,52.07864226,62.0910548,64.58057201,65.64044514,87.40759961,63.05420159,81.45701408,61.41287788,82.10286437,77.97741914,74.29946636,65.36785142,59.43380956,59.75888655,57.23975433,59.56264316,55.70647785,85.93150738,89.86196506,87.05115508,113.9843496,111.6795737,104.8996628,101.1510177,91.74215573,97.95100718,97.84813768,100.3470175,94.69425709,99.36887669,104.6455529,97.26388196,95.70777866,93.8131605,92.43929768,
Costa Rica,38.36327587,39.03539205,43.07347372,42.76204384,46.53701721,48.90543265,48.50877001,47.82283722,49.71302264,50.93540486,55.63395826,53.39074952,52.79217645,52.31156639,69.60508974,60.54985359,56.50854438,60.19996325,57.6349583,57.76703635,52.61363539,84.49554139,67.48199431,46.80049162,45.71270587,43.23870436,41.4210167,43.50183461,43.8012104,45.61340841,46.43776349,48.51626464,49.93228768,63.70423556,63.06399007,63.88646936,67.8024586,71.65030113,83.29359782,81.64432112,76.7381152,70.65520906,73.9237713,78.57954496,78.34579106,84.40014846,87.66635409,84.67973673,83.38695482,68.97173754,64.06213225,
Cote d'Ivoire,52.78414705,58.5784713,54.12758757,52.57451994,57.74790957,56.23780165,55.42526944,54.54580146,56.9735466,57.65451868,59.13255474,54.45350196,54.52362528,62.42160284,70.99739066,59.26660908,62.813122,62.46277894,58.820048,54.75169492,59.96285054,58.28545859,59.8668316,57.45736627,61.41849796,70.88298959,59.06015903,54.31453562,47.27352399,50.402511,47.87866467,45.64141895,46.86629288,41.95532925,56.0405168,61.24483331,60.53071353,61.69489894,59.43247411,63.01945544,61.1518395,61.58085539,68.54912153,66.00186902,75.14800603,82.88171716,82.32381275,77.55210928,78.04593361,77.92893924,79.67417248,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.49669713,78.70266459,65.08950561,53.83838959,53.24152318,55.66760378,50.95421759,52.44032247,57.25031733,59.92093158,58.9091085,59.73518919,60.02737482,60.98201889,63.94333476,64.38442571,64.1386726,49.93446268,52.35803745,
