Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Saudi Arabia,,,,,,,,,59.63905381,62.15192162,61.10346115,68.53784938,64.00655392,75.89029503,85.38292514,72.82900046,73.59337978,78.51171969,76.36157928,78.66899209,84.74867583,84.34571573,78.29642871,66.00826185,59.7192795,49.1858121,45.18874182,50.53802774,52.30348229,51.95477431,58.64626413,58.53387455,61.61074811,53.41827405,49.0980582,54.84505947,56.08675431,54.22262425,47.22074365,48.93975991,57.21711578,54.2515542,55.55339982,62.89220566,69.25520175,76.10420909,78.82254065,84.0608917,89.98357963,77.24564621,79.78003654,
Senegal,35.94365454,34.34812273,33.42444133,33.02694247,32.96997524,30.84432136,31.65103101,31.00532471,32.66845254,32.38763557,33.90446838,32.74345808,38.80584904,37.77660876,53.59052758,46.71190533,49.43773839,59.8019533,46.4696646,45.4319178,43.64486904,49.60984952,49.52488493,59.22492091,59.69287827,46.85675641,37.85264343,32.33709331,33.5197348,38.95755939,34.63509482,33.36196814,28.42666123,31.59073582,46.76019021,49.2909457,47.8499868,47.94254803,47.9021802,50.30287645,51.98399887,56.03166947,56.71310809,53.19245513,54.14875337,58.42559648,56.19213121,57.82125895,64.97728093,52.70783497,54.01172546,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3665708,59.21676285,67.07599081,71.85416355,73.91677766,60.75693101,69.0455443,
Seychelles,33.29989627,25.45279381,25.1660094,26.87771745,24.97949832,25.20859967,36.47504353,43.13817749,57.4132809,58.98249633,66.23040252,78.04392499,76.80914459,77.09154948,82.12189947,79.70159546,97.08964067,88.13375277,85.30513569,83.93738271,81.43475953,71.47985182,76.47562694,73.61316547,75.34043442,75.19793427,59.65588909,54.15870406,67.294625,64.53177944,65.65654008,58.93035705,55.34305781,60.98151857,52.77100106,56.07647612,103.1686005,80.46836214,83.17461604,92.94095544,87.17151396,111.2071662,92.96301591,97.22195235,112.5214347,114.7996297,117.5209432,119.6639848,161.0656709,152.529725,112.12881,
Sierra Leone,48.66813267,52.88136743,41.64195935,47.24012399,52.33319343,54.59293185,48.81806576,46.02352687,56.48939663,53.24816194,50.0181434,50.2729849,50.20100691,49.84508366,56.38055584,44.57617987,42.31343772,45.762963,46.68916127,46.48726845,59.14493995,42.87647317,31.57418759,28.03726235,26.66735697,32.79298825,56.30567951,38.07173903,24.83214733,34.40608828,44.1779859,39.48742848,43.38018133,34.46851278,29.05980909,20.09720136,27.395718,12.93765623,15.16995518,12.99685854,25.4766304,26.18958685,33.44141546,39.9202528,38.78123175,40.59917592,43.60286413,41.46787277,38.35661785,40.45296526,58.14684628,
Singapore,380.0261452,318.7880051,323.9336147,298.8914612,238.7610004,228.3553869,221.7413472,208.4748959,205.7170951,216.2756974,209.1731162,203.2875269,205.2924441,237.6862601,271.996592,239.9044564,247.6835408,283.1334793,309.1767397,343.5728213,365.7597122,343.4651008,305.6391624,282.2967961,268.6400371,257.810385,258.9420787,293.8185313,328.7078994,309.9465698,314.476822,290.3921792,276.578217,265.4808941,288.1602173,300.5050474,270.7317942,246.1914537,220.8505779,262.5996368,283.9256345,260.8393728,266.7371194,317.1710533,340.4499456,347.9125676,367.9935772,334.4076251,370.0705939,273.5666467,317.4182041,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2666626,72.99169929,67.49468757,68.70308311,73.13695119,78.99690602,81.29575449,71.89072311,85.61364373,90.2245466,89.40742862,96.77643838,102.7340824,108.4954843,125.8614744,141.6407753,147.9527238,127.8696309,151.146203,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3993839,99.51835399,98.23777048,85.04142576,83.85379195,86.82073123,88.093429,83.65066878,94.68201314,94.76928017,92.10664716,91.28067899,100.8338111,110.8255612,121.6346247,130.3423321,130.3193004,107.3958101,126.8078185,
Solomon Islands,,,,,,,,64.5006626,64.25608029,63.77724121,,50.64538295,67.62256438,58.31259323,62.75090963,64.72176254,64.68613365,70.48071579,72.24030824,92.18973252,96.61242857,83.81680982,68.45459016,75.46357488,68.03614907,65.86116279,65.48419619,60.76956067,57.9366306,56.87858268,53.22049673,61.18210877,56.49746641,64.73228491,60.46175067,62.00247626,55.382179,55.46560709,52.20967827,48.94091727,37.0028843,34.21026537,36.58575273,50.44437194,58.28588362,69.69021212,74.06782281,78.15432047,83.42251549,72.01299645,93.1242709,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,49.21777288,46.61838003,44.80844905,45.14681625,47.39668163,46.57422462,42.98268489,43.44079823,41.55954773,40.33368862,40.25559406,39.69977349,39.02587113,39.47845914,46.30496874,46.2322136,42.66304208,41.05017209,44.97498051,48.70965046,55.90742132,50.1934743,45.0512617,39.90206285,38.88403194,41.17124086,39.46711798,35.08484587,35.41273816,32.57509353,37.44891527,35.02423393,33.08328513,33.9041273,35.84603081,38.64589121,41.32900046,43.02346221,41.40419939,40.09728498,44.91199299,48.53688013,53.09591404,45.31560822,45.46540911,46.11587918,52.44674639,55.29376905,65.86575192,47.69117384,48.32546352,
Spain,11.98353124,13.02320989,14.2929054,14.10141617,14.87624677,16.05809926,16.86682045,15.1773372,16.18580214,17.01819995,17.92771668,17.61601649,18.5423846,19.4678901,23.84241102,21.49555854,22.77405247,21.81884032,20.40975888,20.94694633,24.24653018,26.6531195,27.30557371,29.47694277,31.32154476,30.88180307,25.51567736,26.917186,27.37558385,28.79546765,27.51742039,27.38831896,26.7868609,27.87813686,32.13824087,35.42283034,36.70524595,37.79459082,41.38144725,38.80668547,46.73770001,44.54204284,42.37427005,41.27674359,42.22484688,42.59804795,43.92835409,44.56482878,44.06116664,35.55495794,39.78647451,
Sri Lanka,56.16745488,50.69714919,49.94413791,54.48821449,61.1805934,42.32596239,43.24765743,38.31155693,38.93199869,37.736177,31.66189037,29.43310128,27.6628664,29.20523364,34.87768478,34.96156064,32.14052342,35.61538767,66.28935685,72.28760435,77.12525741,66.64637374,59.99456861,55.84459009,54.90218933,52.45497152,47.96095256,51.27079193,53.60849528,53.42574764,57.26698655,56.01996535,61.37269771,66.39145657,68.05998784,69.87115363,68.62267617,69.59348088,67.83170888,67.41676944,77.1976391,68.51801244,63.17077472,62.47874458,66.44773267,62.20023753,60.64839216,58.85592893,55.02827605,41.72200777,44.42101005,
Sudan,32.42458495,33.35821381,35.34438963,37.83911071,33.95385769,27.83111893,28.67413719,26.53300821,29.24581985,27.29194113,27.89761473,28.98773038,27.41719194,28.42617257,25.20106548,27.61611191,25.65539358,23.35355028,21.20162769,19.563098,27.80559634,23.15996863,19.23411394,23.35426681,17.67171818,9.181857868,8.104392913,6.659818633,10.1222901,13.11485271,7.994424464,10.50159648,16.19754181,15.32484227,13.52217975,12.8195304,24.02887855,18.61110441,22.40845797,20.54849984,27.17096832,27.36798549,29.34768769,30.50566829,36.21437103,42.28621998,37.72959037,37.93901355,36.22491591,32.65893998,34.63150905,
Suriname,98.54025412,91.00606209,88.40582378,90.09091192,100.1654754,104.3995125,97.55989128,99.47823022,92.45238485,97.14288322,99.06183093,99.08556569,98.07910743,98.27877749,120.9332638,101.5902984,100.6063767,98.51097384,93.98442694,97.47775418,114.2992901,105.2066796,91.96606966,84.74507559,72.5030365,64.1843677,66.31144674,54.65122125,58.4288043,178.4737966,236.5469783,198.0735959,230.5981164,195.5449668,144.1439584,153.1120456,108.6062307,146.1907301,104.5502661,93.51239121,103.6804511,113.1681715,89.11332205,105.5820428,108.9033605,114.1126433,102.6034011,99.32209282,99.40494759,83.03586555,,
Swaziland,96.55929572,87.70981596,94.32586333,105.2181225,90.43624346,113.2875359,113.9897586,140.9371797,128.8604264,106.2689013,116.9062044,106.0926664,102.8011546,92.06009219,119.3305637,129.2994221,140.5666201,114.0096905,149.0403972,161.8414307,182.8301052,171.1304845,157.7004638,153.7014622,135.4243442,136.9137866,139.7015302,146.8117176,141.4056026,155.3139179,109.3291192,113.0179926,117.0521741,114.2863701,120.2675469,110.3022585,118.8489808,118.0324098,130.3749627,129.5210369,128.3083652,161.7809639,162.0661856,170.2680581,160.0393733,142.0235805,125.8513546,121.9782416,112.591331,103.3995046,87.89468942,
Sweden,36.83256602,35.13354644,34.53340853,34.79721399,35.62952915,35.88948806,34.97137939,33.60292938,34.43707901,36.66446095,39.0751605,37.61093437,37.09652585,41.85276341,53.16936862,45.21754354,45.82772049,44.66782553,43.65685304,49.12639076,48.72164818,47.70325873,51.18238977,54.80828417,54.94931554,55.50129542,49.71449167,49.68184721,49.21832514,49.19374547,45.74365237,40.81510543,39.7464529,45.85627083,55.74902716,57.34628025,54.92588797,58.59634512,60.13208399,59.29731818,64.71412317,61.06821374,59.15427269,58.98845661,61.78017735,65.48087217,68.99440694,69.62904071,72.36935072,62.103196,66.9550734,
Switzerland,42.69440446,43.68762828,43.43743678,42.76632222,42.64338853,42.89939938,43.30445739,42.47567307,44.3939184,47.62223628,50.02559497,,,,,,,,,,60.0559037,57.37871867,53.04257182,53.31746824,56.44062248,58.43559731,55.05423969,53.8502883,55.41879537,58.82042306,56.02766467,53.11246588,52.35471157,50.80629782,51.20140708,51.21005903,51.83599284,57.49023527,58.30194042,59.71293686,65.2296042,65.19713145,64.20482722,63.08797087,65.74357232,69.13290604,73.93427794,76.76699871,76.37536701,66.60119503,70.33733802,
Syria,41.1028545,32.67745465,35.81291425,35.3249125,30.73167264,25.94086414,34.45126169,26.54031723,27.42220919,25.67416597,26.323738,24.46418073,27.02349314,29.74386609,38.93787651,38.30872078,45.28796622,49.00876335,37.93307768,50.08538949,47.70937935,46.88688349,37.1435986,36.75554136,34.10256358,34.18163674,30.48925144,33.58513167,33.58216674,51.45434005,53.71843228,47.72823561,49.66965154,53.19086013,84.1136453,72.58237226,68.01521878,54.76643821,44.63567316,45.96230948,43.71854467,47.39373828,51.07955181,49.66659859,62.93753586,67.81332127,67.22393569,64.84552928,63.73816863,48.47791367,51.39733682,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.89024866,126.6724102,137.9451643,162.1751006,98.85415049,124.520581,169.658881,123.8001648,119.4810841,107.9706854,101.4474536,96.82917622,110.2946871,105.47124,90.69938181,71.91219381,72.60641166,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52769873,30.65496387,31.88735762,37.82837009,41.85669257,45.72888959,44.84746343,44.85049969,33.43514372,27.19978615,21.85081054,21.6440049,22.16520121,24.6861361,24.43075797,28.65788488,32.78843715,35.11659581,43.00970306,44.95342583,49.04927714,43.69584374,50.26051833,
Thailand,31.07834509,31.70675713,30.3422913,30.64622461,32.87266957,31.0811889,29.69091626,30.99760494,29.87076444,29.20738909,28.34532007,28.72812194,31.37331691,33.33135363,40.77472488,36.87525851,38.57833078,40.9851458,39.32803036,45.50646322,48.58513902,48.74585669,42.34516645,41.59299725,42.61244627,42.06349821,41.87088294,48.83107227,58.76376425,63.4581673,65.74982778,67.182972,65.64037471,66.43111829,69.10216583,75.72080253,70.37904185,79.67847111,87.09753317,88.70768094,106.7270203,109.861476,104.6313241,109.4698636,118.1717165,129.9187075,124.8231338,118.9718513,130.9726356,108.5711231,118.5849569,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33982539,49.61817006,35.30864201,33.42801084,48.03809852,56.5519854,50.76655518,44.90057061,
Togo,33.57127796,35.53970083,33.57795283,33.01114525,43.24192374,38.73420242,38.68171675,33.38067394,35.34556364,37.67468938,47.15682768,42.14053099,40.24900649,39.78364213,54.93490712,48.7044252,46.89045938,57.06708184,82.95691017,82.65971914,78.23644436,66.71153766,69.4970442,58.11383102,64.47178979,62.69964221,48.63658055,53.47914829,52.87002605,52.99510189,52.13603436,43.43773187,39.51648909,25.53692072,55.97208846,74.23368021,75.41056486,71.31661673,63.50203273,62.68668675,69.59542281,68.52248452,68.9644636,78.05806708,71.85798604,81.33443699,77.85491744,75.84859476,76.16488327,73.13299432,74.52271616,
Tonga,,,,,,,,,,,,,,,,70.39518684,60.60930176,78.19029666,74.61560387,80.88348976,84.49105253,77.11832801,74.11207164,70.64935834,77.82300474,76.5917812,68.9191441,66.12207104,58.13012234,59.24122987,64.28103509,54.4624647,54.71804898,55.5997287,42.83297436,44.92784082,39.16504316,39.12231681,40.80832336,44.17743884,41.88242778,47.99000481,57.22911079,53.52686492,50.1825919,50.32254273,42.67948385,49.51987852,50.83761982,48.92244585,51.38799232,
Trinidad and Tobago,108.4177767,117.45121,112.7720422,110.6994228,117.1419979,118.6901775,121.9311027,112.3022087,117.4990167,122.7605236,124.7247089,133.0420058,122.1548253,114.2875845,190.1085289,132.6492439,168.9183688,127.3986882,112.4743157,102.4461833,116.3429399,100.5377847,84.73312735,63.27126142,52.75802151,49.78308193,57.06703831,55.88035859,56.4622922,64.76930392,60.55559098,68.09845713,50.52315093,68.16229434,60.66050234,78.22916998,80.63146945,96.41407735,86.9829925,81.43662025,92.98143794,88.9417883,83.5121179,80.71948973,88.28456343,97.83065689,112.351289,96.87458973,104.0868613,81.59543754,83.30938081,
Tunisia,,37.0520093,37.76403595,33.99115695,36.78469718,36.89802518,37.49499085,37.79825,30.94396268,33.48200679,33.90682901,33.36665169,34.90647996,40.42119753,57.79848708,52.65394129,51.40280299,53.88983059,54.69789714,64.5400613,65.62923598,74.63949543,66.46553451,59.361389,60.18482066,53.44709545,51.55362089,53.39939368,60.25974182,72.30349931,73.54419964,67.97818569,67.43116053,68.56072564,71.88246468,74.18940464,67.47221223,64.94151128,64.61385802,62.52700711,67.13931078,73.23473528,70.86911982,68.97840447,72.16261237,73.32227126,77.67246806,88.00758926,97.94681629,77.0674262,87.25104043,
Turkey,5.637177419,10.65097854,11.21869211,10.19804515,8.486297159,8.670384136,8.561430852,7.705427162,7.2004,6.873441781,8.98978117,11.3639859,11.97963179,13.22947253,14.91514846,13.75592658,13.82369618,12.86572928,10.57187226,8.200542515,15.72919283,19.19481438,22.60236859,24.25975558,29.8233489,28.70679683,24.51140603,27.93073404,28.61441364,25.58908261,23.4018237,22.93479458,23.62613485,24.67377995,31.65961087,33.8352548,36.83746822,39.41324745,27.06962196,26.93037193,30.86572449,37.10767216,37.67741006,38.47886453,40.97930145,39.39087816,42.40176303,42.85440251,45.73101781,39.55243395,40.78660956,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.1492614,130.7293055,126.5087658,91.01725153,60.25279929,108.7450323,147.7624283,140.0373219,111.3843055,102.7864671,105.1423056,97.36739447,94.53570626,99.10720444,91.03950859,63.26899199,60.49787727,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.35877046,48.80701123,53.06596186,70.50132317,75.98815224,53.23018065,45.27681235,60.47510565,78.80136988,59.57608668,35.93963742,25.73859607,75.35568109,42.38300925,52.48573102,58.49691867,54.84333672,55.83622746,89.76283081,54.75016047,51.99228681,
Uganda,52.09038063,52.12028035,50.99718544,56.24040246,58.19575188,41.5077478,41.42259065,39.11301554,36.69217278,34.87866798,36.04900573,35.95949646,29.84479288,26.65302773,25.16935877,19.67120456,21.9096964,28.24683494,24.86343549,29.54177721,51.26103759,43.96919165,33.34098737,33.43252492,20.54956982,20.28584746,18.93840844,18.61385966,17.79093808,10.32885378,10.22209947,11.92150158,22.64250423,22.17088914,32.1769791,26.33856371,29.41475558,29.84368363,29.11243146,31.0240956,31.30545439,35.00600469,24.60733807,30.08823388,29.96767403,31.03651085,35.27539545,40.53385457,43.28112639,36.79555242,36.22508683,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06313659,59.34392132,71.82536043,62.53190427,65.21224011,74.18469259,91.25913673,84.29506048,82.40508026,91.9293538,95.03697777,81.68452699,77.40531248,77.01433753,84.72007432,72.73788468,81.48304405,
United Arab Emirates,,,,,,,,,,,,,,,,67.56844658,66.99955596,59.06763823,60.97107537,66.0307908,70.45156521,64.91744815,60.52843093,58.85991567,56.05631859,57.45542554,50.26571707,53.88497786,56.682613,66.57663752,68.52467596,74.06478385,77.74086251,83.79921686,82.92261718,79.31053099,92.28710106,94.53362054,87.77823152,80.75588488,81.31708481,82.95994631,86.34009645,95.86833941,110.319425,111.8062573,110.5979734,120.5230723,132.19615,123.9203534,127.667376,
United Kingdom,32.68884059,31.03591946,30.18785914,30.69574414,30.8880412,29.76029344,29.35156247,29.04482497,32.87478554,33.37472756,33.09544686,32.55330317,31.84060081,37.24015076,46.72418509,40.92788693,44.50669863,46.40477721,44.19857165,44.02529393,41.64508444,39.79417557,40.05032026,41.16567341,45.25798947,45.27746527,40.92035971,40.77725067,39.30089465,40.73425511,40.30797285,37.40237212,37.69667393,39.82263621,41.40681961,43.66043715,44.75936824,43.26486202,40.87685451,39.73064834,42.88400246,41.92174551,39.97300261,37.89840314,37.1636069,39.38321826,42.95532289,37.75652994,41.45143209,38.48810004,42.7005103,
United States,7.104723273,6.861911862,6.816077106,6.870899962,7.152205109,7.128870011,7.457510839,7.327840516,7.776842691,7.862283327,8.355776737,8.309945198,8.868979592,10.56035931,14.15384615,13.22754712,13.77989055,14.08387962,14.58224956,16.06412424,17.43631436,16.49806689,14.60253431,13.55946848,14.62260281,13.65126171,13.77294915,14.4409117,15.44813212,15.74965531,15.83395354,15.68268501,16.00316203,16.22705798,17.18562052,18.47262346,18.66958238,19.23577787,18.60760783,18.87148694,20.62086313,18.64665475,17.87816094,18.28644988,19.81455771,20.93681089,22.07558375,22.64095748,24.1795711,18.94453277,22.26301367,
Uruguay,27.8892205,24.88668932,22.46110526,22.22977876,19.10903368,18.09880909,19.35452752,20.65388355,21.11688177,19.83992017,21.69291142,15.4801191,19.44140034,15.29477239,21.24220951,26.57553218,30.91383022,32.50471251,29.39460001,27.77301156,26.95065019,25.85004763,23.2383256,35.92510535,35.27659438,34.17146856,33.29868011,31.63897968,31.19249015,33.17947743,32.64923488,28.93043078,29.10354262,26.46288321,26.89049123,25.76995968,27.88140443,26.92143576,25.92775001,23.32393589,25.24179744,24.50381284,28.11157548,36.4945706,44.1681467,42.04887706,44.92141458,43.33610553,49.43418532,40.45350252,39.31811224,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96410798,46.29053449,63.94773049,55.68138775,45.50012075,37.15204871,40.07158384,48.43285499,50.97053001,57.7337499,63.77377375,58.81526621,58.69920103,64.40111741,70.12451161,60.20696082,51.93106832,
Vanuatu,,,,,,,,,,,,,,,,,,,,86.51761932,95.21862985,91.14255488,83.55015298,84.45042726,83.36176031,80.84171827,63.18907648,66.49640214,59.91435162,64.36780379,72.6021989,53.47594003,54.04231743,53.70044662,51.99298617,52.58610002,52.20704694,50.41224403,48.41761161,46.26879047,41.54187361,42.64774546,41.9111829,42.12540326,45.42829562,47.52439574,61.10494395,52.9198259,62.39715803,59.41118673,47.80900957,
Venezuela,40.58239198,38.3543582,36.9308525,33.58251799,40.83652874,40.36053663,36.44265625,43.18195748,38.74444379,40.26192869,38.77461239,36.12029902,35.34928688,31.42122337,52.60459116,47.11346465,46.7630469,48.39457786,45.05672594,44.8194643,46.24702939,45.14771991,38.50905625,25.90266663,42.48437222,38.91207591,29.13344396,44.62793772,39.31307077,50.09930195,52.80313768,50.84048293,48.31507919,46.80286386,44.71261776,41.53628315,48.25766332,44.82545647,36.70301613,35.75127199,42.4609585,36.60409824,42.78628132,43.63195867,50.10813541,54.80131099,54.06329825,50.81127708,46.52075138,30.10784086,27.20088867,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,18.1273961,11.17835257,9.026652398,14.92301755,71.67934987,79.67630981,46.0317267,51.9046837,49.44406902,60.6645994,65.60712027,74.61836009,77.39990806,76.6677881,81.17165529,96.62678101,95.59984519,103.9756271,114.7970038,128.6739169,130.7757656,139.2806074,156.6462005,157.4181253,130.731366,147.512594,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.07258817,45.25855608,49.60045806,63.93120329,72.49200628,82.81697514,81.45966721,66.0619128,57.91103126,58.21150474,66.44637371,59.26501939,58.51664243,62.89695081,58.08608127,65.56956906,66.70157489,68.38416509,67.35408426,61.45542208,58.84223748,
Zambia,81.86167277,82.50780355,75.07952905,74.53789811,83.79853934,77.77487547,83.58581492,81.588838,77.27295296,78.3522168,82.63842132,107.7716527,70.69433377,68.90750914,75.37318357,71.23457027,65.45131041,62.31817725,52.43655001,63.28278581,67.89525755,58.38116412,57.47633019,50.8052814,50.8181402,63.84061926,69.99508072,74.56146789,54.01071781,56.40134955,76.90712928,56.29604142,48.73051021,49.94646,45.44945712,50.033901,57.24238941,44.34347113,65.85930531,60.19789101,54.98687412,56.89549533,55.40302359,58.3933608,68.53425633,60.84472173,63.95532436,74.72587883,69.38947742,63.29309275,77.32484044,
Zimbabwe,40.36124229,41.67249427,40.08583982,37.94700675,60.27344678,63.87472297,43.13596457,41.04439378,40.30488248,36.9482515,39.74033949,39.47838525,37.09168611,39.10966176,43.38771854,42.63326008,36.9213444,36.37323599,36.15136568,38.30011692,42.85157162,38.7324331,34.12297587,30.13884351,35.46844057,38.01492663,39.14741823,39.04340631,37.65938995,38.18340312,40.67707849,41.50908518,54.03265971,51.58586705,59.86351129,67.18911742,60.90156343,66.04083161,75.16438502,58.51549076,56.62218239,43.1139756,59.3335062,59.01258559,70.46260675,72.97728808,78.98754137,93.53829695,116.629226,88.56594746,84.26970901,
