"Murdered men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.61717796
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.364447117
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.49683952
Netherlands,0.5537645,0.4678625,0.4674892,0.3370966,0.2750001,0.2603075,0.2868564,0.3438275,0.3887258,0.4446009,0.3888922,0.5146009,0.3200646,0.4916857,0.4509838,0.4753603,0.5122143,0.5833256,0.5969287,0.6958875,0.6954179,0.7300121,0.7436297,0.8135363,1.092837,1.008193,1.041344,1.180652,0.987783,1.240269,0.9980158,1.072427,1.164958,1.197199,1.290458,1.19342,1.321665,1.162322,1.068158,1.332578,1.177026,1.453888,1.739661,1.704087,1.440759,1.456775,1.788913,1.839626,1.609957,1.772433,1.457808,1.59543,1.626985,1.555602,1.646974
New Zealand,1.577614,1.529101,0.9423153,1.059954,0.900469,1.725738,0.5044407,0.6305474,1.268163,1.095613,0.9520875,1.094645,0.6706135,0.7926774,1.494236,1.339291,0.6461784,1.527585,0.9210022,1.600281,1.291476,1.122268,1.450284,0.8140664,1.99036,1.50009,1.451123,2.160931,2.515304,1.94261,1.789259,1.382429,1.301465,2.191831,1.703684,2.372026,2.823087,2.836749,2.269994,3.417819,3.214651,2.349659,3.100525,1.811083,2.366091,1.822405,2.46875,2.24255,1.745876,2.084152,1.834728,1.677545,2.015108,1.983137,1.817212
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38375664
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.07884216
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86672211
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.788364649
Norway,,0.3743908,0.3552376,0.4616106,0.349787,0.4112688,0.3984036,0.6322734,0.5537971,0.5256296,0.6354673,0.4674709,0.5304219,0.6374286,0.5865231,0.4021232,0.4977353,0.5865814,0.8148175,0.9748618,0.9051903,0.9247529,0.9117227,1.054691,0.671209,0.8785339,0.8865768,1.30517,0.984879,1.275741,1.298507,1.884743,1.196652,1.568739,1.634887,1.169002,2.151624,1.382202,1.784761,1.51211,1.706336,2.061292,1.563622,1.093646,0.7762262,1.215806,1.008589,1.289167,1.299604,1.082841,1.257166,0.9810762,1.16197,1.131527,1.14153
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.418557405
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.089199543
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.531196237
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3724,10.6932,11.02659,13.22989,13.12319,9.675017,,,,,,,14.05685,19.33291,15.6054,15.79171,17.46351,18.75274,21.54007,20.4284,18.71176
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.24187851
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25256,23.58356,25.98394,21.85822,23.53102,21.22899,26.59127,26.35099,25.45374,26.9024,27.10999
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.604457855
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.807431,25.97556,,,,33.89112,34.38611,33.12165,34.56459,36.6975,36.95525,35.88599,44.88519287
Poland,,,,,,,,,,1.729409,1.684146,1.754513,1.58368,1.237439,1.163138,1.268552,1.383918,1.379124,1.515063,1.512795,1.498488,1.621976,1.277189,1.415015,1.160694,1.353126,1.703848,1.693202,1.730959,1.332835,,,,1.952207,2.303637,1.975025,2.046772,2.227372,2.28794,2.796561,4.031863,3.958823,4.376495,3.912564,4.320908,4.015155,3.625839,,,3.348104,2.970874,2.409523,2.367557,1.991434,2.097945
Portugal,,,,,,2.157461,2.333875,2.229333,1.783513,1.414391,1.493181,2.451503,1.508909,1.636984,2.09805,1.472655,1.582232,2.34297,1.457072,1.296061,1.102982,1.869093,1.036764,1.372362,2.308649,3.62751,2.959648,2.884472,2.568858,2.612702,2.153694,1.999452,2.125724,2.578961,2.783149,2.408138,2.171718,1.831886,2.052274,2.346663,2.375146,2.659668,2.291324,2.002705,2.146856,2.318855,1.87145,1.838896,1.904121,1.543582,1.263122,1.949015,2.291269,2.313738,2.482643843
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8443307877
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.323974,7.980592,6.916401,7.2524,6.126017,6.145167,5.862401,5.093146,4.903128,4.479661,4.837129,4.984376,0,4.67457,5.154785,4.022603
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73684,18.7239,17.94892,,,14.72379,10.46116,11.1344,14.45276,19.29096,22.08603,23.80174,35.90256,47.33921,50.00955,47.08439,40.0485,35.82213,34.00103,38.26659,41.26615,43.06627,44.81748,41.89146,39.21301
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.23154449
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21193695
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6436882
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45675087
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.890834451
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.884960175
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.963818312
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21849632
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.050103,4.159123,3.928155,3.875241,3.120844,2.854665,2.372071
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.288171,4.127065,3.464772,3.326383,4.007374,3.231705,,3.872155905
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.472403526
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.17311096
Singapore,,,,,,,,,,,,,,1.544422,4.131209,4.870624,4.285925,3.576518,2.827966,3.278995,2.818164,3.737745,4.517527,2.953959,3.609475,3.616009,2.082233,2.565997,2.679683,2.111298,2.926891,2.56446,1.979113,3.187629,3.916275,3.08044,3.059195,2.458044,2.310103,3.478317,1.666991,1.646893,1.972203,1.959968,1.290996,1.100152,0.4587705,1.315234,0.8105785,1.535415,1.622688,0.8583258,0.8770856,1.223217,0.8365436
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.862546,3.207687,3.16511,2.868191,2.650952,4.010828,2.73154,3.22095,3.206985,2.757238,2.821872,2.541749,2.149382
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745209,2.196923,1.679509,1.842165,2.71997,3.032573,3.520275,2.734766,1.759259,2.74866,3.354463,2.74046,2.628386,1.483378,1.857377,1.208431,1.091416,1.758594,1.096828,2.44314
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.717048407
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.370224237
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1436768
Spain,,0.8688582,0.6237528,0.5534325,0.5799468,0.5182548,0.6971139,0.8223068,0.8320588,0.7735457,0.3947361,0.2950583,0.1486159,0.1747579,0.1003014,0.2028965,0.2915625,0.1782507,0.1502835,0.3634937,0.9589621,0.3105232,0.4267912,0.4734272,0.4675861,1.008007,0.7920012,1.120778,1.559398,1.852195,1.706359,1.386321,1.318016,1.724271,1.979805,1.722477,1.628753,1.69685,1.312173,1.34146,1.382673,1.282567,1.254182,1.280775,1.275193,1.261065,1.140462,1.15666,1.205365,0,0,1.427764,1.476901,1.352858,1.613463
Sri Lanka,6.868492,6.677679,6.995971,7.314501,10.09901,8.03875,7.376883,7.295039,9.761404,8.216391,6.732885,5.64325,6.199738,4.752843,5.139725,6.023973,6.92623,5.323905,4.318589,,,,,,,,,13.63407,,,4.651881,5.847578,6.81336,12.87825,10.90288,13.642,13.87597,,,,,,,,,,,,,,,,,,12.12545776
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9930954
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30738831
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64889908
Sweden,,0.7138417,0.7865052,0.6654858,0.7086431,0.6154388,0.961129,0.7325,0.6405672,0.6986614,0.6918853,0.65873,0.428016,0.9231381,0.7155454,0.9188712,0.873966,1.120077,0.596133,1.066021,1.114224,1.161449,1.083312,1.089045,1.501139,1.471191,1.489568,1.627196,1.336079,1.54761,1.31686,2.098404,1.61359,1.463412,1.365824,1.600472,1.888531,1.508655,1.852136,1.850863,1.58038,2.013075,1.701281,1.670589,1.572398,1.3031,1.505097,1.353346,1.428947,1.624272,1.295269,1.215173,1.415169,1.207589,1.340096
Switzerland,,1.699996,1.37386,0.8053392,0.9200602,1.292008,0.8205443,0.7192087,0.8863328,1.073359,0.6159621,0.6308435,0.8519936,0.5343971,0.817492,0.5710129,0.5745847,0.8746672,0.7302645,0.6328414,0.9004729,0.9639634,0.917846,0.8455315,1.231931,0.9713053,0.8864866,1.018114,0.8164604,0.8170325,0.7770082,1.184717,1.648476,1.651517,1.151556,1.297357,0.7846567,1.086376,1.513223,1.269045,1.578374,1.480292,1.598777,1.921794,1.282256,0.9987454,1.36388,1.541596,0,0,0,1.31851,0.8122746,0.6310921,0.8713275
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.163823128
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.139714241
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.01192474
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6702795
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.24912453
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04844475
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125645399
Trinidad and Tobago,,7.589921,6.940784,11.93046,9.978857,11.7634,13.14592,13.39361,6.521176,,8.363926,9.637865,11.75826,8.44949,,,,16.94247,10.30112,,9.085274,7.054005,6.327033,8.596514,12.79206,10.19929,9.056919,11.54902,7.905993,6.276065,3.134631,4.559944,5.399423,7.119178,8.802029,14.80815,11.98115,14.62216,13.68577,12.65562,10.22992,12.88097,15.76723,14.03803,17.06631,17.61796,16.15051,13.13392,14.13741,13.36899,20.7356,25.55339,24.08071,,19.11725235
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.966651917
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.748538971
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18069,8.203944,,,7.558723,6.546294,6.275021,10.7855,12.71709,13.75533,11.43442,11.41356,11.0904,8.76381,6.813148,12.24904,10.38709,14.51596,,,,,,17.01570892
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.283766508
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5644455
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.902203,9.097388,,,6.665537,5.663176,6.234925,7.462881,10.59891,11.76461,12.90716,17.38239,17.87976,20.75301,22.73796,22.30155,19.14922,17.57497,17.84427,18.20369,17.14614,16.13257,14.87665,13.77886
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6098120809
United Kingdom,0.5034522,0.4784735,0.4878557,0.451571,0.5060431,0.5012702,0.4139447,0.5811863,0.5709582,0.4684097,0.6248797,0.6884788,0.622458,0.6249988,0.6201329,0.7075056,0.8392465,0.8221091,0.799642,0.8367996,0.9531966,1.029193,1.168399,1.712158,2.007226,1.902432,2.068291,1.937753,1.849899,1.503118,1.209991,0.9020336,1.146947,1.078532,1.128847,1.043493,1.04843,1.248558,1.405302,1.401643,1.042287,0.91621,1.177815,1.698487,1.393636,1.449359,1.204259,0.990546,0.9886064,1.172034,1.254872,0.6021261,0.702569,0.7082148,0.7994704
United States,8.196151,7.639011,8.365354,7.843788,7.84166,7.386043,7.460617,7.416509,7.416504,7.658474,7.845292,7.839429,8.192144,8.36205,8.783665,9.653543,10.25088,11.90662,13.15484,13.64804,14.54476,15.94976,16.46707,16.32002,16.93036,16.24934,14.57102,14.48393,14.61149,15.59921,16.58369,15.94232,14.63493,12.95355,12.32158,12.20163,13.28052,12.58415,13.25292,13.96936,15.45306,16.44464,15.82649,15.99507,15.47831,13.91784,12.60714,11.88107,10.70282,9.950575,9.555816,11.32669,9.91566,9.996101,9.665808
Uruguay,,,,,,8.096601,8.474422,9.039061,8.403866,8.095636,8.408644,,,8.09143,7.325348,6.21158,7.230621,8.902473,7.462381,6.342978,6.12528,6.606424,6.825457,5.695789,6.75697,5.111828,4.866026,3.908801,3.264341,,3.753334,4.956291,4.841958,3.397807,4.276851,4.898982,4.624007,4.252132,5.460579,7.54867,7.07182,,,7.052097,7.270054,7.767129,6.998822,8.034656,9.846519,9.199336,8.914936,7.824645,,,6.616706
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96008,13.51127,12.86957,11.20709,8.250698,8.800108,11.26059,15.32137,17.71667,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.278712,9.052164,,,6.901182,5.645941,4.980268,7.721092,11.9232,12.8162,11.92426,10.81386,9.13874,9.078773,10.06178,9.165081,7.194085,6.170814,5.583184,5.60105,5.49324,5.698206,3.649049,4.20057
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.766842961
Venezuela,,,,,,11.20331,10.34937,8.234807,16.68637,14.57749,16.16561,18.24849,21.96637,24.84477,22.99192,21.1369,19.08337,18.37128,17.29399,18.35055,17.0388,18.19623,18.309,20.54754,20.41661,17.61254,18.39301,18.8561,20.03425,21.45518,24.7282,20.12876,23.45016,27.05632,,19.1537,16.24762,15.39776,17.0658,22.77802,24.83249,,24.95566,27.98645,29.66629,,27.80443,23.28858,22.26163,31.56038,48.46741,49.26326,53.1626,63.17302,51.77234
West Germany,,,1.156242,1.207039,1.223288,1.284487,1.195843,1.187643,1.113337,1.258685,1.160164,1.27591,1.177706,1.219409,1.254496,1.370759,1.304853,1.429385,1.288711,1.557039,1.707308,1.650157,1.790143,1.598657,1.373093,1.454879,1.437391,1.409239,1.396398,1.193649,1.331302,1.418734,1.343699,1.300045,1.238963,1.200528,1.273585,1.076392,1.063505,1.048297,1.112856,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.796694756
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.478632927
Yugoslavia,,,,,,,,,,,,,,,,,,,6.077182,5.500956,,,,,,,,,3.199049,3.060646,2.401165,3.1415,3.000228,2.796407,2.651067,2.243059,2.237628,2.239642,2.138803,2.353607,2.792312,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67977905
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48028564
