Road traffic total deaths,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Sao Tome and Principe,,,,,,,,,,,,,,,,,,34,,41,,,52,
Saudi Arabia,,,,,,,,,,,,,,,,,,5636,,5644,,,7166,
Senegal,,,,,,,,,,,,,,,,,,3064,,2699,,,4023,
Serbia,,,,,,,,,,,,,,1350,1101,1004,1243,871,847,964,961,1023,962,1022
Serbia and Montenegro,,,,,,,,,,,,,,,,,,907,,919,,,,
Seychelles,,,,,,,,,,,,,,,,,,9,,9,,,16,
Sierra Leone,,,,,,,,,,,,,,,,,,3061,,2660,,,1661,
Singapore,,,,,,,,,,,,,,,,,,223,,305,,,214,
Slovak Republic,,,,,,,,,,785,837,767,936,999,819,796,781,60,795,769,702,,815,
Slovenia,445,487,497,504,515,492,462,472,493,527,402,374,366,333,353,323,315,283,289,287,274,283,293,236
Solomon Islands,,,,,,,,,,,,,,,,,,27,,28,,,84,
Somalia,,,,,,,,,,,,,,,,,,3637,,1776,,,,
South Africa,,,,,,,,,,,,,,,,,,13558,,18566,,,16113,
Spain,,,,,,,,,,,,,6636,6996,7024,7078,6681,6489,6454,5047,5374,4104,,
Sri Lanka,,,,,,,,,,,,,,,,,,1627,,1464,,,2603,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,10116,,16803,,,13362,
Suriname,,,,,,,,,,,,,,,,,,96,,129,,,84,
Swaziland,,,,,,,,,,,,,,,,,,241,,277,,,300,
Sweden,,,,,,,,,,,,682,616,596,631,659,675,558,593,543,515,525,471,
Switzerland,,,,,,,,,,,,,,,,,,430,,466,,370,,
Syria,,,,,,,,,,,,,,,,,,2275,,2264,,,6552,
Tajikistan,,,,,,,,,,,,,,,,,,255,,226,,,951,
Tanzania,,,,,,,,,,,,,,,,,,10136,,10142,,,13886,
Thailand,,,,,,14574,16696,18348,,24249,26347,23740,21155,11450,16052,17398,,18709,,15614,,17277,16240,
Timor-Leste,,,,,,,,,,,,,,,,,,128,,119,,,186,
Togo,,,,,,,,,,,,,,,,,,1526,,1354,,,1851,
Tonga,,,,,,,,,,,,,,,,,,6,,5,,,7,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,164,,218,,,207,
Tunisia,,,,,,,,,,,,,,,,,,3042,,2559,,,3568,
Turkey,,,,,,,,,,,,,,,,,,6224,,8307,,,10066,
Turkmenistan,,,,,,,,,,,,,,,,,,452,,407,,,926,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,1,,1,,1,,
Uganda,,,,,,,,,,,,,,,,,,6879,,8438,,,7634,
Ukraine,,,,,,,,,,,,,,,,,,6252,,9021,,,9921,
United Arab Emirates,,,,,,,,,,,,,,,,,,1485,,935,,,1626,
United Kingdom,,,,,,,,,,,,,,4068,4105,,3917,3864,4144,3743,3818,3298,4039,
United States,,,,,,,,,,,,,46332,46250,46111,46068,46559,45077,47208,45611,47532,42642,,
Uruguay,,,,,,,,,,,,,,,,,,357,,364,,,145,
Uzbekistan,,,,,,,,,,,,,,,,,,2189,,3128,3203,2644,,
Vanuatu,,,,,,,,,,,,,,,,,,14,,14,,,42,
Venezuela,,,,,,,,,,,,,,,,,,6895,,7004,,6031,,
Vietnam,,,,,,,,,,,,,,,,,,12398,,11442,,,14104,
Virgin Islands (U.S.),,,,,,,,,,,,,,,15,16,21,18,9,,4,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,896,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,7560,,8715,,,6553,
Zambia,,,,,,,,,,,,,,,,,,1424,,2790,,,3056,
Zimbabwe,,,,,,,,,,,,,,,,,,1946,,4342,,,3669,
