Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Chad,7.386363636,6.916850625,6.901128069,6.781677573,6.784188034,6.543385491,6.367521368,6.160241875,5.829015544,5.557099194,5.263157895,5.033690052,4.804701002,4.901365706,5.029427501,5.143329008,5.297943768,5.542463946,6,6.6484375,7.498741822
Channel Islands,19.23076923,19.64285714,20.33898305,22.58064516,21.875,22.72727273,22.72727273,22.53521127,21.62162162,20.54794521,20.27027027,20.77922078,22.36842105,25.64102564,29.48717949,32.46753247,35.52631579,38.15789474,37.83783784,38.66666667,38.66666667
Chile,7.361563518,7.8477306,8.173823073,8.226691042,8.537842854,8.767278924,9.21284857,9.665851671,10.26370992,10.8594179,11.61447639,12.99332119,14.55615837,16.45527738,19.07587961,22.02990578,24.40772447,26.3886182,27.64180823,29.19597035,31.04068117
China,8.648561946,8.431892791,8.794744986,8.225439237,8.010171326,7.949326462,8.284874856,8.782965515,9.119930835,9.803445641,10.58712031,11.47668144,13.05304435,15.81757455,17.96949995,21.16623141,25.33084447,28.70280345,30.04653026,31.47630595,33.94637633
Colombia,5.93993695,5.66119274,5.68690891,5.71060541,5.873015873,6.083271005,6.237037037,6.570310946,6.845220303,7.122708039,7.514393488,8.165040985,9.377392192,11.11509359,13.08727355,15.37884203,17.74193548,19.57859222,21.53301127,23.39458231,25.14470654
Comoros,6.329113924,5.747126437,5.154639175,5.607476636,5.882352941,5.185185185,5.487804878,5.18134715,5,4.918032787,5.415162455,4.918032787,4.941860465,5.263157895,6.19047619,7.300884956,8.41889117,9.423076923,11.35135135,13.3105802,14.95934959
"Congo, Dem. Rep.",6.253860408,5.699119989,5.422885572,5.327462851,5.282261916,5.27059606,5.229793978,5.16799099,5.052172061,4.932735426,4.785247432,4.703634169,4.647899676,4.603239697,4.631726762,4.766046973,5.036917903,5.460340771,6.048579384,6.873614191,7.97079077
"Congo, Rep.",6.326034063,6.194690265,6.066536204,6.335616438,6.389301634,6.274007682,6.243154436,6.109022556,6.107491857,6.025824964,6.233595801,6.191588785,6.170212766,6.15530303,6.25798212,6.438947782,6.871345029,7.629148135,8.8358594,10.24151636,11.87281214
Costa Rica,8.245243129,7.761732852,7.633587786,7.078507079,7.119021135,6.923837784,7.279029463,7.250755287,7.412309729,7.786885246,8.229813665,8.830436825,10.15317287,11.91158412,14.28571429,16.92307692,19.41135249,21.22132254,23.34643091,25.84664537,28.32025118
Cote d'Ivoire,4.372469636,4.335664336,4.435245417,4.423918328,4.378698225,4.327375353,4.311199207,4.323570432,4.501236603,4.734874706,5.070388929,5.488194001,5.794639487,6.163637886,6.51570818,6.853308026,7.23025584,7.798034872,8.808371897,10.05348118,11.51682803
Croatia,12.40079365,12.24096386,13.25757576,14.69767442,16.93735499,17.79391739,17.32388126,18.77710321,20.44577797,22.87014061,24.95719178,25.1845419,26.70753065,28.50818946,30.53811659,32.2095672,33.51903435,34.75580844,36.20940378,37.50620964,38.19479857
Cuba,6.531610199,6.259830135,6.643757159,7.607581967,8.776844071,9.931212382,11.11339782,11.42172524,12.4050152,12.99705449,14.90245665,15.81211904,18.22086988,20.84300768,23.42632332,27.9361664,33.0255296,36.85277317,38.19247495,39.16780621,41.23522218
Cyprus,9.2,9.665427509,9.688581315,10.70234114,14.33224756,14.93506494,15.03267974,15.38461538,15.83577713,16.30434783,16.54135338,17.94871795,19.51219512,21.26315789,23.34004024,25.19379845,26.86567164,28.33935018,29.75352113,31.16438356,32.55033557
Czech Rep.,13.79686138,14.72559698,16.56154629,18.71251499,20.6289557,21.42167278,19.56234673,20.3204524,20.76183292,20.99905749,21.32927062,22.87519142,25.25023607,27.39366685,28.5288085,29.58403283,30.62792877,32.86713287,35.26947248,36.16532721,36.98076923
Denmark,14.02042711,14.93071077,16.37781629,17.63969975,19.17808219,20.57902973,21.66538165,22.76579353,22.92944785,22.33560091,22.05337287,23.18364367,25.26239595,26.70986321,28.17304255,30.00355492,31.56592435,32.66171792,32.89613612,32.21548341,31.99281867
Djibouti,0,2.857142857,2.325581395,3.448275862,3.703703704,3.539823009,4.093567251,3.980099502,3.956834532,4.792332268,4.904632153,5.198019802,5.89569161,6.302521008,7.184466019,7.927927928,8.739495798,9.636650869,10.76233184,11.9828816,13.85869565
Dominican Rep.,4.201680672,4.028776978,3.951367781,3.911477097,4.022988506,4.203625145,4.515908313,5.12195122,5.753424658,6.534161491,7.302601552,8.124076809,8.917697898,10.11070111,11.64132145,13.52568379,15.48325052,17.27724309,19.05554715,21.00178359,23.0226404
Ecuador,8.957845433,8.212809917,7.570977918,7.209664848,6.823529412,6.517311609,6.338383838,6.339739342,6.609307783,7.082452431,7.877997064,8.873196193,10.00290782,11.55427632,13.19480519,14.92741035,16.83180136,18.74132346,20.66900215,22.65807312,24.71144333
