Colon & Rectum Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
Sweden,15.67,15.85,15.4,15.67,15.43,16.76,15.8,16.65,16.15,16.24,15.15,15.54,16.25,16.7,16.06,16.73,17.7,17.43,18.48,18.7,17.95,18.51,17.62,17.07,16.71,16.27,15.63,14.92,14.99,14.19,14.37,14.5,14.39,14.69,14.72,14.53,14.76,14.71,14.32,13.26,13.93,14.07,12.9,13.83,13.66,13.24,13.66,13.42
Switzerland,19.74,19.52,18.92,18.31,20.05,17.83,19.28,18.6,18.43,18.82,19.14,18.04,19.55,19.57,20.93,19.45,20.09,20.56,19.1,19.39,19.16,19.07,18.15,17.91,17.98,18.47,18.15,18.56,18.6,18.35,18.84,16.39,18.32,18.79,17.73,17.55,16.74,17.35,18.3,16.71,15.74,14.93,14.39,14.58,14.2,14.64,13.51,12.38
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,3.72,,,5.51,5.7,5.96,5.63,6.34,6.21,4.8,4.19,5.66,3.35,3.34,1.95,4.16,2.97,3.6,2.72,2.44,3.71
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Thailand,,,,,,,,,,,,0.87,1.22,0.83,0.77,1.35,0.95,1.18,1.11,1.32,0.9,,0.77,0.83,1.22,1.51,1.66,1.6,1.7,1.31,1.1,1.26,1.52,,,2.05,2.04,2.25,,2.45,2.34,2.83,2.81,3.9,3.61,3.87,,2.39
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,8.96,8.82,8.69,6.82,7.78,8.79,9.18,12.72,9.21,8.69,8.4,13.62,11.47,11.41,9.4,9.3,14.9,13.14,11.71,9.05,11.48,11.43,13.26,10.44
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,12.93,,,14.23,15.61,15.9,16.54,16.1,16.63,17.19,17.53,17.39,18.17,17.58,17.45,17.04,17.53,18.35,18.2,18.09,18.36
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
United Kingdom,25.16,,,23.47,22.6,22.42,22.19,22.1,,,,,21.7,22.21,21.72,21.61,21.53,21.78,21.44,21.66,21.25,21.91,21.04,20.55,20.77,20.28,20.39,19.74,20.23,21.16,20.69,20.21,20.33,20.56,20.39,20.28,20.13,20.59,19.35,18.55,18.41,17.86,17.53,17.21,16.41,16.06,15.89,15.71
United States,,,,18.15,18.2,18.24,18.39,18.3,18.06,18.2,18.5,18.34,18.14,18.29,18.48,,,18.34,17.93,18.58,18.23,18.43,18.5,,18.04,18.14,17.75,17.68,17.78,17.81,17.62,17.19,17.17,16.66,16.46,16.42,15.95,15.84,15.57,15.48,15.24,14.75,14.48,14.21,14.01,13.84,13.53,13.48
Uruguay,,,,,,,,,,,,18.68,17.33,,,,,,,,,,,,,17.19,17.71,15.73,17.99,17.39,17.85,17.73,18.31,17.69,18.59,16.73,,,17.68,16.9,17.22,18.63,17.63,16.15,17.63,18.25,16.69,17.34333333
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,5.15,,,5.44,4.78,5.58,5.08,4.86,4.77,4.47,4.76,4.82,4,3.33,3.75,3.58,3.48,3.3,3.31,,3.5
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Venezuela,5.12,4.66,5.91,4.59,5.1,4.62,4.79,4.29,5.15,4.47,5.03,5.02,5.41,,,4.24,4.03,4.95,4.26,4.19,,4.91,4.43,4.76,4.47,3.96,4.75,4.5,4.96,,4.48,4.91,4.99,5.42,5.96,5.85,,5.19,5.74,5.71,,6.03,6,5.49,6.33,6.45,5.85,5.7
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
