Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,963960718.2,1042836025,1572110108,2591374437,4185726552,11776780602,22585466030,24135514243,22707915534,18442880564,6195728875,23057008788,59490783701,60310423082,17796220285,-11894063461,-12800511675,-6827443989,-7899001459,-5373831854,-3423497059,-4130041222,10541522796,2535381422,4279304060,1194925187,10720158713,13809616845,21247799951,21789583192,4662134921,18576266581,35333332446,28922133436,32810930449,47213066667,66962133333,104406074031,112011748999,104025346852,146168000000,41324533333,92840533333,
Senegal,19796427.45,20319446.97,18764764.64,-3434603.734,-7096245.083,5349349.073,4243462.869,-12623227.32,-55348690.66,-60004433.3,-30062502.31,-55877863.29,-35626025.95,-113742953.9,-68375627.88,-80501093.24,-130633750.5,-143864189.5,-275390589.1,-248301801.2,-506498488.3,-628620296.2,-443207967.1,-460461323.7,-411474742.6,-337644118.6,-339012428.9,-388533961.1,-364042295.7,-316635832.4,-387313583.4,-439544881.2,-503977784.8,-517246638.3,-283550000,-315250150.3,-292834302.8,-291418538.2,-332108402.9,-360437385.9,-435949408.1,-440837390.6,-555594931.3,-830866722.7,-1038324719,-1353720418,-1635245579,-2528654278,-3520782707,-2379804374,-2343435098,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1582833296,-1189814778,-1826603852,-1012090319,-2056364806,-3099813062,-3819961755,-6295665243,-5295927725,-6299004829,-9429406129,-12681217055,-7088818329,-6340757609,
Seychelles,,,,,,,,,,,,,,,,,-7885287.267,-2603560.205,-1064369.929,-7627138.718,-16473846.01,-23990802.73,-34734621.99,-12190364.74,5000800.411,8704391.302,14797330,28089235.55,17999208.7,8094627.435,-15701999.29,-13465909.09,-15599375.24,-48209698.68,-14277227.72,-36350463.83,-47324102.36,-61734760.7,-96461708.76,-109759704.1,-20126728.16,-133614457.9,-8429918.639,78700414.49,13834773.78,-190854575.1,-174376292.1,-320506022.4,-179956344.1,-63344139.36,,
Sierra Leone,,,,,-1633266.694,-8679996.528,-14419994.23,-14774781.24,-10440004.18,9960003.984,7560003.024,-4693739.514,-5869262.796,7104865.363,-13209252.09,-63604646.79,-43941626.83,-48495420.85,-40208588.02,-79661674.41,-168984568.5,-186437753.4,-131837080.7,-109105567.7,-19362935.52,-15312131.92,-15162813.82,61542310.52,151227169.6,58281646.6,-8583932.407,-6771770.955,-6207449.451,-2643179.475,35227294.18,-68485153.59,-166350000,-10310000,-19102142.59,-104040277.7,-134792648.5,-146919324.6,-171297191.6,-174302168.5,-119648827.1,-160178664.7,-107916945.1,-116797229.1,-255101098.9,-242750003.6,-236895705.4,
Singapore,,,,,,-107865494,-79184117.93,-90976802.16,-78138783.04,-156800233.5,-365017877,-461123353.4,-423869938.5,-334720000,-784375151.7,-525469125.7,-438999708.1,-97011543.53,-280027880.6,-525808929.9,-823752824.6,-483791856.8,-294695392.3,103877539,-38617165.05,57428604.91,489850647.9,620919285.1,2425802673,3356845597,3633621187,5721880977,5967410495,5942171929,11264075917,13541933090,15763480183,15405593248,20806016557,14817831908,12326912298,14191816314,15813196780,26029506213,28056576518,36313494646,41345348593,54270244189,37221279160,44528958916,58577809352,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,-352108944.6,-188222887.9,-321632409.2,-1053641471,-389840818.1,-562608794.5,-737284900.2,1047289314,558848366,-2949525982,-2616637589,-3177774919,-1345139570,-740114243.6,-2451160626,-2521496330,-876199774.3,-1558678917,-2860956349,-2783722243,-928820147.8,-2332891460,-727081133.6,-1136589404,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125706822,1176822250,871189421,137831051.1,372004946.2,-405822044,-203988415.9,-176253644.3,-324588907.9,-934288182.6,-693315827.4,-169049844.9,270346473.7,-66822757.91,-436795402.6,-145786853.6,-201478169,-814734203.4,-1758588629,704483264.8,264868255.6,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,-79407032.87,-50046339.2,-60682570.09,-45379602.73,-67801188.55,-80447889.75,-55158987.67,-85378151.26,-127202162.9,-104792787.1,-137321349.6,-107441685.7,-124070646.5,-148812055.7,-115857776.2,-120878196.5,-152896230.7,-77664257.83,-30941898.68,-63274587.64,-77605374.71,-35576842.18,-17532771.95,-42900599.41,-84994488.64,-96359574.19,-115553477.1,-132129406.6,-87951409.81,-206500000,
Somalia,-7994059.622,-13580088.76,-29960163.01,-21840127.37,-33180195.49,-8497983.237,-19599992.34,-23379990.86,-18997992.57,-23001991.01,-16520006.98,-22024110.13,-20056952.13,-65748613.07,-105321657.2,-102494072.1,-111485329.9,-194202886.6,-170994347.9,-302427805.1,-333831292.1,-304470466.2,-325891969.6,-360031811.4,-366490406.7,-113728919.1,-208682723.3,-247643149.5,-180270967.3,-406520839.6,-256356581.6,,,,,,,,,,,,,,,,,,,,,
South Africa,391005263,674572641.2,758170264.9,519645430.8,209226890.4,-121451746.1,263604526.7,47416346.18,447700124.3,89129402.6,-630920552.6,-829122712.1,522755116.1,739071492.9,-201625574.9,-911416860.1,-433549351.8,1974550286,3044050173,5282518559,6482035465,-1744871471,-332149750.5,3204410248,1547321117,5933036965,6998932692,10315432165,7437977997,6630152896,6132597587,5137769235,5274167135,6080039596,3045795581,1026444620,2204054165,1723320829,1534113234,3454792356,3927188724,4797434424,4261934691,3932714133,-654675125.8,-1162072410,-6387903113,-8397009949,-8339079725,-2434245124,-720234959.1,
Spain,176905941.6,-87037891.14,-292991012.2,-585174142.7,-548936071,-1226165597,-1339379067,-1054637619,-639518864.9,-647133296.7,-363281886.7,354259990.8,103103673.5,-579601027.2,-4281074273,-4018566845,-4822034978,-2480536847,1138215511,564606278.8,-4944817252,-3793054613,-3155642011,-1029370240,3522620938,3316313550,4722175747,127475734.3,-4335617680,-13058354328,-17029815632,-17193364590,-16546084943,-3085024202,117795554.1,14678409.39,3325889925,4957954545,-1329769462,-11437246964,-18162889257,-15383445190,-14560511952,-20989841986,-41718972143,-59687608815,-78801617280,-96885188014,-91725931080,-31481864796,-30455629139,
Sri Lanka,-41723724.37,-13785546.22,-20546317.7,-21547627.56,-27840925.04,6932773.109,-60924369.75,-52880658.44,-53445378.15,-122352941.2,-72268907.56,-47386172.01,-40201005.03,-34843750,-266917293.2,-283166904.4,-83828775.27,150169109.4,-130493273.5,-405202312.1,-908771929.8,-709922077.9,-901345507,-780492987.7,-358962264.2,-714617083.9,-743718772.3,-701902173.9,-750895944.7,-663550624.1,-633150274.6,-910273144.8,-898790782.6,-986879139.1,-1383265884,-1360273171,-1240691153,-1065689100,-948859581.1,-1218700453,-1731889365,-981970221.5,-1113119381,-1138427269,-1822670224,-2179492537,-3110580993,-3356951727,-5572316071,-2731224987,-4526764550,
Sudan,17417149.04,-12637998.96,-5529806.683,-17934771.31,-33277550.19,-11918437.58,5456634.073,-6892590.407,-29006317.96,5313038.439,-1292360.701,-35142858.4,-15857143.42,-66428573.8,-315571439.8,-509142875.3,-473714302.6,-541142876.4,-589078928.4,-789651189.4,-957113695.3,-1338517643,-1340307183,-900901997.5,-804540717.6,-764347437.9,-555942271.1,-1157804946,-604399930,-612199970.5,-377800007.3,-955999975.2,-645400028.6,-266899997.8,-669000017,-668500067.6,-748200008,-837699996.8,-953000073.8,-977999853.6,-297000000,-1046400000,-927409106.8,-753760086.7,-827990794.2,-2709606880,-3979134354,-1754418082,437015358.1,-3158263861,534666575.4,
Suriname,-8590245.299,-11082523.97,-13150568.71,-13468727.63,-34838401.78,-36164064.29,-1484741.642,2810403.823,14317151.55,20150065.14,15430298.2,25160570.81,18879552.12,14005602.47,5042016.888,-29691877.23,-1120448.197,-49299720.68,-19047619.35,-2801120.493,-48179272.48,-138935576.5,-157983265.8,-145434176,-52493033.06,-30924370.25,-1064390.773,59775911.33,64089636.89,54451204.48,-9568346.192,-43607041.54,-20666667.13,-7964178.906,-20940948.03,-30221596.04,-63732866.1,-89255718.67,-202004177,-56687292.08,-120176758.9,-235571545.1,-224283902.1,-328057879.5,-326691928,-264301702.4,,,,,,
Swaziland,4899997.839,3079998.641,979999.5677,3079998.641,5039997.777,9379943.42,-419997.4666,-7979951.865,2799983.111,11339931.6,10639787.55,17617449.49,12358527.33,31556195.71,58866815.24,46247465.37,22079116.89,-9889604.439,-80841766.52,-149643704.1,-214019104.9,-176386847.7,-190262072.3,-213086690,-188940177.4,-132885610.6,-49766332.6,-1523324.307,-23663007.99,-19415710.72,-109929173.7,-131774657.4,-240997462.5,-259425198,-130462582.8,-233296206.7,-343379941.5,-254307185.1,-277596623.4,-251810860.7,-208668989.6,-175920544.1,-65107672.53,-17647058.69,-61488995.03,-106567858.2,-70545157.13,-39415984.84,-281411106.6,-384071884.2,-495300000,
Sweden,-63134666.27,105239091.6,89724330.36,80328378.79,90929406.48,-159868549.1,-131265806.2,31259927.88,-5639787.905,-62301326.84,-24742905.74,622524824.9,893457080.5,1794472557,-56313916.29,290448437,-898092242.7,-939396644.1,1528162001,-421497049.3,-1649092113,487814512,56664438.29,2554029555,4208394787,2238403515,5031304397,3918364772,3978815772,1865237556,1679394472,4564200083,4850613002,7513426009,9666018663,17208585087,18284372204,18964622981,17033296016,16825256584,15711401192,15252538943,16938718920,21488814415,29625834650,28994298209,32310507234,34507906024,32823200983,26641990535,27722557064,
Switzerland,97623696.7,-156007583.9,-236428914.5,-217496523.7,-249939640,75868658.49,226237504.3,311898552.7,532749282.5,532025706.9,-47283516.26,-35165040.6,149278436.6,117869895,-231439526.1,2345034595,2767952178,2595710205,3449685284,1037103300,-1931025231,525066542.6,2455059550,1754731683,1516859497,2119897493,3741059212,4215838376,3998313679,2605141306,4092621492,5943778525,10819957751,14439275924,14637725071,16075318837,14744706456,14029037178,13147079219,14857420665,14535252004,12597287617,18262726317,21357384426,25007892140,25063531054,32322491619,44601934017,56945064269,54203543699,59882931120,
Syria,-55258316.26,-45217449.01,-6992598.266,-20925353.25,-33482790.11,1032.910237,-71571319.26,-53751829.03,-55309449.9,-102820351.5,-76761461.05,-130731764.3,-172086528.6,-120868902.5,-505304445.9,-870748458.2,-1145686695,-1761593604,-1545919503,-1703393409,-2286193269,-2735615282,-1825028688,-2400941329,-2060936906,-2105008182,-1485030563,-1532620768,-990228904.4,-480714697.3,47798166.81,-995541666.7,-1507596242,-1785766357,-1248100000,-786047904.2,-863532934.1,-200389105.1,-55711538.46,51608527.13,1315616496,1296177021,1625172834,1070006096,60831683.17,-356929751,260418514.2,327447948,64048716.53,-1116597024,-253707346.2,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-194048634.5,24747270.96,-54800000,-215490000,-155900000,-78200000,-36100000,-61380000,-120058000,-15560234.08,-18507238.81,-112078113.6,-129817194,-157164723.8,-240707548.8,-619622955,-961402537.7,-1787891617,-2850442714,-2137198258,-2586109991,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1057593718,-1158708153,-1238320738,-1265580858,-1037990208,-916144114.2,-779951059.1,-727772338,-1179565800,-1001270208,-688664586.3,-444117775.7,-244161187.1,-495328953.7,-822714948.1,-1259790895,-1882424356,-2836434866,-2826492945,-2547992005,-2678622606,
Thailand,-36701564.04,9407201.946,-65229930.59,-112193973,-56067305.66,-51355766.1,-18490387.67,-112221144.5,-224721132.1,-257523987.4,-312499987.4,-211538412.3,-81730641.04,-156161640.7,-323924720.9,-686967839.1,-421566626,-1073524058,-1012977020,-1836530643,-2024090812,-2186206648,-626605055.6,-2867898591,-1783296278,-1061199455,876045466.9,283017479.8,-856887216.5,-1852420071,-6416533384,-6427020169,-4468915995,-5299288193,-6989079895,-11327234431,-11416471137,2136061334,17772168624,15416656753,10594959954,7498667399,8490276594,9673419022,7835403236,-1973918025,7227342307,20716467605,6986650210,27789461377,23450480306,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,-506113.8277,11401187.14,6114664.163,-6301603.086,-842723.1032,1617970.878,16482317.12,23834834.09,31348613.03,36312852.54,27419933.98,19760402.52,2683041.521,506463.8776,208224562.6,-63503440.01,4815482.419,-85472835.06,-106364102,-233943177.3,-60104117.71,-64770158.59,-69989675,-9709520.143,-15104356.5,-66331311.45,-124169812.7,-117122482.2,-123217618.5,-124103872.7,-193154382.9,-129638309.2,-156042288.4,-95112312.71,-36415711.48,-65110702.81,-159108717.8,-237291651.3,-216119994,-159818106.7,-265456935.9,-257830445.4,-264997273.1,-238644174.6,-277691147.3,-356082585.9,-433442207.4,-512496561.7,,,,
Tonga,,,,,,,,,,,,,,,,-9585665.663,-8919222.779,-7958305.611,-16245850.98,-19530628.21,-20055795.95,-26060675.71,-22988132.67,-30744144.14,-23352347.52,-25285983.66,-30117647.06,-27504551.18,-46942664.27,-40094557.01,-35460719.25,-49780965.6,-34742038.45,-38299855.49,-56033176.79,-77702415.61,-83497037.1,-59278986.94,-75215817.69,-57716215.37,-59344327.55,-59546995.67,-67737791.55,-71394491.13,-83399776.83,-103693789.5,-105953467,-127235422.3,-152410896.6,-153364520.6,-162078152.2,
Trinidad and Tobago,-6125451.271,28466035.12,10849412.73,23507882.25,13066036.49,-35233244.78,40483231.59,64898450.4,71400016,33099968,9050016,-46180021.53,-72191438.05,75693369.85,500723285.9,434510084.5,392521447.1,397208304.2,156291620.5,263999989.5,715125091.6,662583227,-572874857.2,-770999862.7,-125624955,304530697.7,-203777854.3,68277761.81,209795122,333552941.2,850117692.2,407000003.8,495000033.9,223299973.3,663386733.9,774992440.3,590532778.8,-200196695.2,-323518197,396344516.9,1113639594,946640558.7,498599697.4,1598052547,1979520626,4280811480,5516674731,6308190476,7518111111,,,
Tunisia,,59498887.57,49835839.65,60618259.04,55358539.97,46095238.1,78666666.67,72571428.57,122476190.5,122095238.1,-39619047.62,-5545781.381,13624549.34,-9724857.685,112024925,-81040097.45,-222258500.9,-430819442.8,-463993079.8,-214781282.3,-468946783.6,-713649250.7,-856456009.1,-697732663.5,-938171800.8,-507130018,-642041232.7,-95938020.42,36372114.71,-334976614.8,-866136363.6,-647826087,-1073948440,-1098635082,-459568999.6,-704240245.3,-294123690.2,-471471199.9,-640994116.1,-446720620.5,-722039833.7,-864669493.3,-873019054.9,-939774932.1,-781453231.6,-124826522.7,-647633358.4,-740749414.5,-1362876390,-1265496556,-2352410901,
Turkey,-216024523.7,-143192955.8,-217791389.4,-296592561,-118791391.8,-106590609.8,-226690020.2,-136888848.9,-246888846.2,-227333290.7,-326608717.9,-472682161.8,-516325115.5,-529540722,-1973576442,-3035036876,-2976764747,-4042162014,-2046618979,-2380441994,-4653502025,-3315764278,-2034788521,-2519500020,-2439609235,-2088000767,-2112398489,-1897406582,1000386684,-1690547114,-6347675417,-4219717054,-4697907084,-10229009663,1278685811,-7558089520,-11403921376,-11023485846,3116501726,384355300.9,-7987432821,8086263871,3800863190,-3161714305,-10329895475,-16885590205,-26073262863,-33397289124,-32374103726,-6793181033,-40556066799,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381099968,926800128,741499968,-8900000,-5800000,-19700000,-633550000,-994000000,-670400000,423000000,160000000,698000000,340500000,145000000,1398000000,3923000000,4647000000,4564000000,-1807000000,-574000000,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,23328141.46,12253847.94,11946767.23,22771671.7,40078489.47,10779784.75,2239955.274,8819823.89,13719726.05,13859723.26,40739186.54,-58658828.73,38919224.91,57819249.57,-6843456.085,-53444444.44,43600000,39764705.88,-126086956.5,40000000,-82000000,-80000000,-199000000,-111666666.7,-59033911.68,-44693323.92,-95262955.16,-614174469.8,-664216666.7,-534973279.8,-522041965.6,-480765203.4,-443762235.2,-454558181.5,-413340614.5,-520277738.9,-692906552.2,-466409535,-708909866.2,-691128206.7,-708892309.6,-718020516.3,-855807396.4,-875242031.2,-799302691.8,-982380181.2,-1305264305,-1588081231,-1111620970,-1803888630,-1746440383,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53920829.98,-877295839.3,1681537695,1472159750,-205438156.6,-1663879013,-1486528760,-1137470083,-1534082531,-952439110.1,1723000000,1572910505,618194002.3,1856906845,1288090461,4874976499,721408082.4,-3067920792,-7876039604,-14377468104,-1963240579,-3844128024,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733832789,6517631228,11870388358,15540640335,28208305775,39503336731,20556025094,29091083200,14819061009,27314908881,
United Kingdom,-1001551225,-264311281.8,-159731641.5,-340416771.4,-1584944453,-886780127.2,-156901716.4,-1154804656,-834236539,463230179.8,1304299927,2226814514,134784637.9,-3958367690,-9161318512,-3437500272,-1935906588,2503638633,5146379895,2661624160,13346502440,16105305466,10726764500,5742003941,920457568.5,6523357290,-2103488713,-5056381762,-26974386339,-30854057592,-21420454545,-6897707231,-11753246753,-7336532693,-4537802265,-1353952975,920436817.5,7182383759,-11381252070,-21671250607,-27261310334,-34506981431,-42017386091,-42963265306,-59766011205,-77643918705,-74943834903,-85336913633,-71923612873,-39938060721,-56766335715,
United States,4186869760,4891660288,4061632512,4934936576,6892742656,5572626432,3811106816,3536510976,1281204224,1421787136,3900000000,700000000,-3400000000,4100000000,-800000000,16000000000,-1600000000,-23100000000,-25300000000,-22600000000,-13000000000,-12600000000,-20000000000,-51600000000,-102700000000,-115200000000,-132600000000,-144900000000,-110100000000,-87900000000,-77600000000,-26900000000,-32800000000,-64400000000,-92700000000,-90700000000,-96300000000,-101400000000,-161800000000,-262100000000,-382100000000,-371000000000,-427200000000,-504100000000,-618700000000,-722700000000,-769300000000,-713100000000,-709700000000,-391600000000,-516900000000,
Uruguay,-57354544.73,-5800218.132,-50004090.41,2477995.953,14891497.57,131355085.8,101963753.2,23008326.82,47840451.32,25641129.03,-28125000,-32245967.74,12003933.49,36166323.09,-102625804.6,-123748227.7,-19043149.13,-113649129.4,-113311075.4,-311230836.2,-568972168.6,-422845654.2,-272144543.2,106382978.7,252463175.4,267665783.5,349657276.4,179969173.7,354985104.9,488967735.5,505463966.9,317407789.2,105872104.4,-64949544.42,-107505868.5,-20079067.57,-38666905.84,-668924119.7,-710855303.4,-765361941.5,-757170703.3,-564307854.4,165220624.3,374093905.4,376087193.7,335163050.8,-269524395.3,-241005234.8,-1458196732,164357479,292954610,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2533622869,-533066583.2,-2092048138,417365806.5,-487152915.1,-14000000,-905000000,-437000000,-45000000,-45000000,421500000,49000000,142000000,679000000,909000000,1315300000,962500000,701000000,764547810.7,-19370882.13,213469087.4,
Vanuatu,,,,,,,,,,,,,,,,,,,,,-9781526.413,-2334160.094,-2484198.898,-14008261.91,-6187644.656,-25171646.85,-35666256.94,-37251135.98,-36542622.61,-36848727.24,-40961900.73,-28581661.81,-18960773.53,-17371135.11,-18323955.35,-20426184.75,-17552967.44,4436005.763,-26647322.53,-44160371.88,-23931422.74,-30589247.31,-36128314.79,-15083166.11,-18114321.5,-27973615.46,-28608933.32,-28300000,-71300000,-46800000,-44250966.49,
Venezuela,941510359.4,1191979272,1390124642,1619944359,987198613.5,848085998.6,935069306.4,913323451.6,587136576.2,478407469.3,521899234.5,805184432.8,461851288.8,1618620987,6391032058,2167982818,270689666.5,-2885592877,-5185050175,721399070.5,4666545619,3719709205,-2006386449,6530109933,4494483326,3506514457,-251758618.3,-877192542.8,-3892308329,5493484888,9060290379,2652093526,-1494350855,-129492443.7,4841255339,3962474726,10366365191,6242940027,-1606115174,3677152862,13625694158,4092888156,11417458978,14324290262,19149631829,27924003350,26368750349,13413139730,29877655333,-7235789474,45124021779,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,-2626712958,-3224355531,-2811845849,-642278757.6,-597889875.3,-491903978.7,-403134977.9,-1155534903,-1538569713,-1886069295,-2704621714,-2184827720,-1987563953,-818893985.9,-767798208.6,-745798010.2,-1811839393,-3306858663,-3429442398,-2212509261,-2778373478,-11257410296,-13852566364,-10059312143,-10935792796,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1630254153,-1676299947,-1920650258,-2051421390,-2151956659,-2668635639,-2270129828,-1806595875,-1574148218,-1767252659,-1952030441,-2174387750,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-279903671.8,-1140067340,-1260473479,-1376249229,-695071207.4,-834029090.3,-516483345,-602743297.8,-1304189360,-177672442,711062925.1,88829587.98,-77858741.08,-177208635.2,127402646.8,841099317.2,84181624.59,-1584540574,-1499550361,-2908476918,-1274573607,
Zambia,105279953.6,84279962.83,67479970.24,104719953.8,197819912.7,154839066,168418984.1,82459502.61,103739329.4,611516356.1,300853992.7,-35139298.35,29959312.19,385346403.3,277233890,-479875701.9,129260222,-65079686.96,-94405591.4,301021061.5,-156188595.1,-501506454.4,-340676606.6,47252249.91,50022078.18,-17135920.29,-28426469.38,85876324.07,266223096.9,-280403872.9,-23199986.54,-89099533.51,-368285958.1,-223587140.6,-27418811.95,-130378507.7,-246901164.6,-151920873.7,-248164669.1,-329980434.3,-465796543.9,-591064985.5,-521893256,-540184447.5,-240127156.3,-148983211.3,898834296.7,733981494.8,357213349.1,441500375.5,1469957099,
Zimbabwe,,,,,,,,,,,,,,,,-72941772.02,102049680.9,51387358.1,88609176.89,-44584708.89,-210760412.7,-519152294.2,-452102734.8,-235329316.3,-15490167.73,11154627.9,157208101.6,184764901.1,264166509.2,134406063.1,6538618.645,-283839031.4,-625049094.2,-113411636.9,-132269897.7,-190874016.4,16295915.53,-598308454.8,-110617732.6,267085320,150664401.1,136900000,-199000000,-324059655,-412198055,-514885211.2,-593837198.8,-455221861.7,-1174044395,-1863710081,-2222518315,
