Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,-12235157.32,-11416456.26,-16325598.91,-17141719.04,-17549080.34,-15795873.21,-22276225.74,-33616809.26,-10227431.6,-19319321.39,-18114340.58,-15262429.92,-20411320.52,-21339079.95,-43896320.96,-71149091.18,-32211200.41,-46268299.84,-63900000.35,-89000002.91,-126406095.8,-67231597.28,-90147696.99,-82119499.47,-77225602.37,-103436538.3,-157100203.3,-155672728.5,-133176335.3,-116765288.8,-191305641.8,-137989597.5,-180833673.7,-108410300.2,-48741016.94,-81936253.96,-39871474.69,-54326874.26,-86268093.86,-35900000,-41730563.22,-43386207.03,-48270468.85,-51414429.28,-78354573.9,-118438897.5,-116317570.2,-127183791.1,-256358723.6,-159245205,,
Chad,-11441438.97,-15518596.39,-20026307.35,-23290881.27,-29823679.37,-17850592.54,-17447393.11,-17044424.17,-17046093.62,-21206722.66,-27042188.22,-25656828.49,-28160531.71,-50297218.78,-54895491.37,-98979583.67,-89205390.22,-121770912.5,-128600651.7,-169318508,-123142164.3,-66304362.11,-57845870.14,-59290247.52,-55470183.18,-200627096.7,-234727310.5,-244125799.4,-223652145.6,-252720397,-250822516.1,-233634512,-258248002.8,-234137041.7,-221541786.7,-171174997.5,-185215521.5,-188844723.9,-193232949.2,-213195515,-246414128.2,-598105260.3,-2007174631,-933559014.4,10998800.78,910004360.4,1342538584,175407438.4,217285714.3,-1914915254,-1881742944,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-94522577.33,-188865117.1,-93718507.65,-122261629.9,-42979707.47,63357304.74,77899818.73,78921929.19,58169127.94,185666533.7,53205637.82,-106478826.5,-393568530.4,-297311647.4,105089202.2,-142566243.6,426743250.9,-240715112.3,-514845206.3,-586845850.6,-1146461578,-3374230607,-458770343.9,532186589.4,-213241553.2,401361351.5,542150002.6,607542956.1,1723525570,1344764937,1084480157,1685009450,730564289.3,-951842046.7,917578180.8,1569786022,-1279282994,-1754976032,-2592398271,1658632415,1401594098,1051636375,1625661161,3042446493,8775156709,10068214458,22098744231,23009575119,6180500858,12475199742,14620865104,
China,,,,,,,,,,,-86800000,-253000000,-272600064,749400000,-405200000,37600000,518200000,647400000,-688400000,-1627199616,-692000128,983750064,4812000000,2571000000,54000000,-12501000000,-7390000000,291000064,-4061000000,-4928000000,10668000000,11600999808,4998000448,-11792000000,7357000000,11958000000,17550995072,42823000128,43836150000,28697000000,28873485000,28084221000,37382672000,36078977000,49283643000,124797700000,208912000000,307477000000,348870000000,220100000000,232100000000,
Colombia,37777807.59,-38069187.95,-188590.7531,-17774819.56,-41462556.44,58952380.95,-161562963,29565716.91,-77334015.35,-73439815.26,-108435312.5,-301003293.1,-45731683.9,84847584.36,-115111613.9,226335735.6,489984073.8,707018032.8,665046864.5,493556239.4,211513529.8,-1303011274,-1654031558,-1077894026,-228134899.9,449716939.8,2391413606,1467395540,952624817.8,1654613665,2313543192,3066108774,961623286.2,-1300418991,-4837511886,-5947981643,-5484866863,-6307822611,-5802492158,468747705.1,-367484420.1,-2708705218,-2942113511,-2927374805,-2493924728,-2599885814,-4674448893,-6749758703,-5507155717,-4832680669,-6391308242,
Comoros,,,,,,,,,,,,,,,,,,,,,-53408051.65,-42799839.49,-40857570.4,-37754812.34,-50000571.56,-37851054.85,-40707010.16,-53537855.36,-49350840.56,-48503632.84,-57243076.47,-44912196.12,-63379563.34,-46760887.68,-50479943.71,-57516675.08,-53145460.61,-52772130.21,-55792614.02,-47191916.39,-31900071.16,-33615264.29,-37745341.85,-44367974.31,-64735251.52,-83639829.02,-98429252.62,-123652802.9,-182224207.2,-179330208.4,,
"Congo, Dem. Rep.",-17155314.73,14741341.99,11469692.96,6996671.927,-109568644.1,-52981777.12,-312818235.5,-27763695.52,-30732773.59,-52678281.68,-134807757.6,-357907823.1,-279441107.8,-191616831.3,-273453177.7,-524950077.1,-723256676.9,-1153531819,484449606.2,392882867.1,18218955.24,-376269450.8,-246140355,-115857699.1,-8195231.282,135031600.4,55005942.97,-220682698.7,-205850424.5,58736822.72,27977851.09,-340316826.2,-69444428.53,237590816.5,159122477.3,268404527.7,-17933674.99,228406523.4,-192697909,281818112,43478268.29,-95666667.52,-272216000.2,-409001042.9,-574230059.8,-585805604.1,-1168604923,-1073037418,-1779389846,-1505213673,-1684601255,
"Congo, Rep.",-85844743.44,-97396906.94,-54066625.63,-36821265.03,-33981764.57,-33623249.46,-46586429.98,-59954750.4,-67651679.34,-65842670.67,-63015375.75,-64229320.32,-96243761.98,-63709082.59,-36559342.6,-213707118.6,-197530822.3,-150603877.4,-152446832.6,-14573079.29,-1893231.225,-360284105.5,-286057728.9,129636676.2,351065899.2,16916669.82,-255843837.1,71539088.63,4364657.022,327265529.8,220374342.5,-52462549.54,81604587.99,-113325931.3,-277917867.4,23239507.16,222851244.8,358513612.1,71226215.85,310384927.7,1181175173,673660932.6,832724630.2,166506614.3,1380242377,1804965447,1433353487,2099206967,3338194794,1939098280,3653006798,
