,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Grenada,,,,,,,,,,,,,,,,,,,,,1.615257962,0.8720263651,1.417424565,1.732675654,2.447017677,3.02190239,3.140685984,0.8985531697,0.6942651985,1.570193674,1.732142988,2.64545462,2.471649078,1.858549482,1.016431798,0.7365194646,0.7154715458,3.191435276,3.534099684,3.419982686,3.443882618,3.277001806,3.022898562,3.25846032,
Guatemala,0.9192542887,1.229088848,1.018725113,1.343856537,1.590721986,2.125415235,2.277422426,2.092736027,2.167773291,2.291660631,2.373895735,2.144608736,2.866328981,2.79101295,2.812581409,2.782077127,2.425899246,2.790070873,2.461525242,2.433538646,2.5821936,2.201010847,1.127011005,0.6109261329,0.25586537,-0.05725581507,-0.247657738,-0.8475948504,-0.8817808526,-1.215846242,-1.490153143,-1.246907888,-0.9962994956,-0.5398976938,-0.1614562589,0.213838255,0.5200822332,0.7100195652,0.8331984482,0.9524201654,0.9818751943,0.9252722805,0.9338205543,0.813802524,
Guinea,,,,,,,,,,-0.1918650492,-2.754913738,-2.997284151,-2.773439138,-3.028102037,-1.636810388,-1.763534164,-1.071660516,-1.207690332,-0.804212305,-0.6811779851,0.9359855397,0.3744097892,0.5796806019,-0.056594811,-0.9487383995,-1.285601555,-1.747173897,-1.251172381,-1.100313656,-0.9755361021,-1.464030936,-1.319020636,-1.220569078,-0.4011759566,-0.1559605018,0.7074176246,0.7936501291,1.090351194,1.217919528,1.348539643,1.488086989,2.345188688,2.688309554,2.725450664,3.254361181
Guinea-Bissau,,,,,,,,,,,3.68857234,3.695629138,2.950107314,1.46677226,1.23284729,1.911435681,2.386191063,0.9745360518,-0.1531675938,-1.066139257,-3.066744105,-0.6479876442,0.09333556619,-0.002475051037,-0.1364864748,-1.893928996,-1.243315792,-1.2931021,-0.7563878857,-0.2554788305,2.419242764,0.1276975044,-3.238491972,-1.546363289,-0.4931135024,0.04114969764,0.4993711466,0.8019997443,-2.022695178,-1.612919577,1.736223936,-1.096098712,1.895521718,0.7457158298,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,3.979312427,3.471617218,2.784856318,2.415531971,2.156007125,1.927129917,0.4311272505,-0.1015251935,-0.5029453792,-1.830126723,-2.878342995,-2.899506177,-2.646552411,-1.805324672,-2.83995506,-1.676516927,-1.593046621,-1.181366426,-1.115606983,-0.05554647613,0.5937107593,,,,
Honduras,-0.2572431247,-0.265034641,0.2930895173,-0.4154439723,1.031480002,1.805510451,0.554662648,0.6200056567,0.6076689721,0.1672289325,0.723896562,1.57845572,1.981907874,2.29766493,0.9390808029,0.8418769728,1.435651283,1.696975277,1.833828326,2.433704697,2.228156405,1.863032551,1.658247211,1.21893669,2.132551257,1.832564011,1.104704543,1.104773146,0.5663077215,0.4553547013,0.2678157163,-0.4216708583,-0.3468388494,-0.06176120541,-0.5785510505,-0.5948319559,-0.2487357397,-0.2187454953,-0.2034500514,-1.214661029,-0.5462130499,-0.2063109669,-0.2917131183,-0.1668982649,0.647646459
"Hong Kong, China",,,,,,,,,,,7.909396343,8.339145125,8.180162084,7.271520828,6.053998191,4.71866924,4.98402635,6.292278832,7.023511638,6.573471791,6.66792917,6.623642963,6.041655337,5.459728114,6.336048937,6.389636629,6.183805432,6.090215416,5.862539642,5.549454656,5.142333022,5.03110815,5.412009821,5.518790669,5.244469405,5.273783353,4.544939814,3.731513376,2.074388971,1.81818847,2.156424949,1.539678149,1.037729939,0.7685993094,1.080472289
Hungary,,,,,,,,,,,,,,,,,,,,,4.034122049,4.10424412,3.529139868,2.945759122,2.994548178,2.819191013,2.676625167,2.430797989,2.737387826,1.936945664,1.723316698,0.2684883412,-0.05040117797,0.3675880433,-0.07155558305,-0.02176860966,-0.1793465162,-0.1545891632,0.07033680474,0.4711358243,1.216125119,2.853776372,3.318104692,3.154358312,3.785671129
Iceland,2.765134235,2.824758984,3.763469428,3.397613614,3.552404961,3.255852783,3.950204184,4.01997669,2.494111082,2.496433743,3.031721481,4.713096521,4.237346794,4.049891558,3.932811104,3.180771523,2.537393558,3.707286271,5.026130822,5.359467744,5.250593294,4.099877062,4.124925984,3.040220585,2.576596994,2.958963133,3.407490556,3.162435282,2.534745868,2.047728324,1.592958164,1.168085489,0.6382198956,0.9784293426,0.9699982648,0.6585420412,0.5956729136,0.2850926002,0.910661678,1.309488005,1.727010986,2.035098463,2.147081945,2.498090864,2.798360704
India,1.609792845,2.104286497,1.759619816,2.107695852,2.370112171,2.078814262,1.922294702,2.410019257,2.316120718,3.098902722,2.864756123,2.870069306,2.346807943,1.686177163,0.9640991968,1.729835463,2.227334876,2.090782042,2.177416042,1.092797945,1.576012165,1.60554753,2.105064716,2.2719975,3.035809935,2.980451592,3.090930682,3.117403214,3.091634506,3.664697155,3.462644359,2.97787966,2.885045975,2.873379148,2.666625251,2.89940744,2.937006686,2.803479819,2.868680939,3.483508121,3.37418705,3.853234929,4.144738495,4.458443373,
Indonesia,,,,,,,,,,,1.53427302,2.051399658,3.614324229,5.139190782,4.853779299,5.461248947,5.844102341,6.870842803,6.325338093,5.756854959,4.995622792,4.282049502,2.615698934,2.153791572,2.728040124,2.475027111,2.203134612,2.021488276,2.363044839,3.057530521,3.427308851,4.173513253,5.387756986,5.16172931,4.761121876,5.255589909,5.36307729,5.058204941,3.276224181,2.558584474,2.601977312,2.051118351,1.839335073,1.743180856,1.289266721
"Iran, Islamic Rep.",,,,,,4.191526929,4.964983303,5.043997092,5.60661137,5.769083242,5.894535631,7.419680309,7.739416894,8.425489477,7.50561734,5.823059758,7.08195151,4.858389757,3.38276386,2.287528254,-0.6463256166,-3.564428457,-3.946721757,-4.374944469,-3.425322903,-3.009889911,-5.732904884,-4.805654969,-4.722841093,-4.509347689,-2.042783756,0.1444131053,0.5697713168,0.310858961,0.5358394081,0.09947170288,1.602845702,2.379642491,3.404321643,3.851756593,3.181979918,2.672626947,2.31179113,2.210282229,
Iraq,,,,,,,,,,,,,,,,,,,,,5.388193915,-0.3169778388,1.094667799,2.778646084,2.04499469,0.6877069965,-0.7267670751,0.939303691,-0.8929671105,-2.939272818,-2.841022984,-7.524253565,-5.931763509,-5.179613456,-4.494315918,-5.560542434,-2.815489687,-7.823127732,-3.376910024,-0.2611425551,-0.3721398086,10.26032919,7.078883674,-2.908569293,
Ireland,1.849391071,2.026792003,2.400610581,2.468141023,2.673630167,2.371517686,2.594302846,3.25215978,4.045515033,4.068989119,3.721217089,3.498360765,3.777995797,3.811847473,3.631268596,3.483911391,3.644497629,3.752170151,3.574306234,3.334735436,3.192644534,3.139262432,2.435990003,1.791237672,1.839392487,2.032530878,1.847228936,1.511842416,1.307652647,1.58527281,2.404730555,2.348773984,2.691409541,3.087629718,3.411192135,4.143729327,4.933171802,5.713931842,5.999900735,6.420031277,6.3629306,6.702402969,6.883066983,7.056947473,6.756794589
Israel,3.514214569,3.710547636,5.353377691,6.381176038,5.596506139,5.041364742,3.816114372,3.946944694,5.226794878,5.638286938,5.787754182,5.594465034,5.694968598,5.846938168,5.493788301,5.235903171,5.185377325,4.82971913,3.668139672,2.796656994,2.037189179,1.758682592,1.1731847,0.7162512504,0.315697985,0.1488522142,0.8391704907,1.840728118,1.506338601,1.040290033,1.668935273,1.644474631,1.857544653,1.831258068,2.508956333,2.942496758,2.982327718,2.390057896,2.473658547,2.795696889,3.00544124,2.326319075,1.710860064,1.416961845,1.215579331
Italy,5.211105294,5.168373223,5.371498993,5.248140476,5.05422966,4.724302982,4.915310528,5.19002213,5.406465972,5.348478321,5.020285394,4.370946064,4.056767639,4.164850774,4.471445101,3.90730118,3.970499406,3.520282832,3.235510217,3.220463148,3.096142869,3.027270654,2.829019453,2.329703383,2.140015932,2.746973991,2.395250245,2.522165001,2.594903362,2.3533346,2.191321887,2.279002566,2.284166159,2.022817246,1.944016121,1.925400419,1.760491464,1.657657355,1.44788852,1.325605756,1.419015256,1.444246318,1.418742587,1.586408379,1.493816217
Jamaica,,,,5.339584124,4.742440307,4.08590067,3.113017808,1.937663182,1.800334806,1.864522906,2.653876762,2.464127999,3.155827562,2.589099861,1.871994554,1.200777613,1.063196646,1.048518239,1.002462386,0.2553122467,-1.664015224,-1.772197357,-2.618929225,-2.133260442,-2.058677505,-2.049363187,-1.826701901,-0.7452430698,-0.525679601,0.5283942149,1.774170166,1.623520692,2.049316211,1.942951577,2.183657692,2.607570292,2.450728068,1.407103881,1.54469183,0.6794269156,0.1680382666,0.3582396574,0.007048142883,-0.3392438,
Japan,6.832959368,7.107023508,6.902986641,7.147678695,7.806475852,7.611112067,7.983056658,8.393335648,9.215744807,9.542173589,9.352926764,8.530034345,8.453464359,8.379435212,6.993803601,6.706906476,6.022901804,5.335587907,4.627326298,4.00830082,3.200186792,3.091003968,2.596875905,1.991514343,2.535237585,2.847154241,2.820593698,2.833081352,3.026684522,3.043332081,3.380722505,3.470677787,3.324455287,3.227645391,3.04803562,2.754042095,2.82389528,2.63022047,1.830915708,1.292748375,1.0279903,0.7209036671,0.5931264455,0.727251385,0.9206479284
Jordan,,,,,4.346165432,7.150946914,4.295824199,4.282817788,2.290660707,1.48725983,0.1471389558,-1.291863049,-0.8991602656,-1.919044277,-2.863987749,-4.580466023,-3.690498422,-4.403390126,-2.129087912,-1.407241698,0.4150749942,0.5396637848,0.9233599287,1.861202706,3.144126159,4.448971082,4.12507132,4.537201521,2.165691203,-0.3959398624,-2.220310408,-2.172277256,-2.727857057,-2.886224597,-3.165599694,-2.86266269,-3.478577373,-2.992219152,-2.341369853,-0.4287689882,0.9830165026,1.371473589,1.488684502,0.9288698839,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.551461472,
Kenya,0.5537694668,-1.280063454,0.222509813,1.100232192,1.000782507,1.024756692,1.395838069,1.231382447,0.6760274377,1.639708453,-0.2125641232,0.4092204761,0.2474731349,-0.1824848606,0.0510744816,-0.5092147579,-1.482841681,-1.28958537,-0.1430112158,-0.3440559538,1.060929067,0.6721893009,0.2558841503,0.2888689728,-0.2815533264,-0.2730123146,0.7859569522,0.7539492782,0.5481717788,0.6359261862,0.6932468968,0.7715552618,0.3405213598,0.5151888,0.537427713,1.091680243,0.5123336121,0.2993124332,-0.1651445455,-0.6137607985,-0.6324865403,-0.6039173201,-0.5076480693,-0.321907882,
Kiribati,,,,,,,,,,,,,,,,,,,,,-5.021502146,-4.5026856,-4.629702027,-7.383160662,-10.08394227,-10.96944392,-8.116059926,-8.077579562,-6.752341054,-6.780894339,-0.7988235143,-0.5556430358,-1.78457709,-0.7148809021,-0.7687436698,0.1167461755,0.2795753792,1.184115141,0.02702382781,1.868040015,1.854543328,1.399138102,1.697100077,1.932969025,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,9.433167591,9.241493019,8.679811198,8.941405233,9.316095111,8.990035757,8.357216804,8.112535919,7.333428843,6.572650767,5.861241355,4.450967128,4.291254025,2.29769689,0.8093620863,-0.3270589027,-1.116550402,-2.490031282,-2.815335706,-2.395209036,-2.566875062,-1.606925551,-1.905090553,-1.041085581,
"Korea, Rep.",,,,1.415867364,1.981375321,1.734522765,2.586060644,2.490310069,3.342965135,4.638918605,5.434547575,5.850645132,6.229738417,6.506408606,6.7147138,6.762025392,6.65517312,7.208649622,7.289849108,6.827328663,5.684710998,5.41803527,5.723250946,5.710560661,5.771006729,6.000561274,6.019536377,6.155819104,6.171603275,6.142327611,7.726761013,8.204053079,7.998889526,7.641247613,7.665340273,7.917617332,7.6690625,6.966946159,5.001695647,5.305116593,5.053044473,4.51032155,4.713850139,4.439646553,4.103339068
Kuwait,,,,,,,,,,,,,,,,,,,,,-7.518373063,-8.973946044,-9.534060108,-9.049464883,-7.667876814,-6.400427716,-6.746130174,-6.137008211,-6.059081721,-5.566160706,-5.716488254,-1.381436381,0.8287267467,3.829092987,3.822684606,4.361148443,4.467130644,3.768256137,3.647421581,1.223225923,4.348742184,1.152949949,-0.8902080936,-1.705401502,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,-1.127859251,-0.4851438671,-0.2919234127,-0.1110989058,0.1395308538,1.408469866,2.208332253,1.862411085,3.070621756,3.923407057,3.912100514,3.10237205,2.976511335,2.949374205,2.990447752,1.993491846,2.108659977,2.82383351,0.8452703874,-0.09921704444,-0.4049389332,-0.3984548655,0.5498011079,0.6407960431,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.553028078,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51296094,5.63806596,5.984527561,
Lesotho,,,,,,,,,,,1.780987598,1.656878023,0.9097841582,2.374509908,2.469232289,0.9365449028,1.962472207,2.133648953,5.080418229,3.340629082,5.61294668,5.353325323,5.143144511,3.220289511,2.432550641,4.240830494,4.550708034,3.440846928,1.165033532,2.7017003,0.6967332015,0.3301857438,0.1940006176,1.200236137,2.043934539,2.157787604,1.947328214,2.53898227,3.141133004,3.330780371,3.359561962,3.92040215,3.791996857,3.963841966,
Liberia,,,,,,,,,,,,,,,,,,,,,-1.562535314,-1.582538356,-0.9921577713,-2.75133278,-1.808945635,0.1563754811,-1.07958644,-1.464648422,-2.659686244,-5.987442195,-10.60864177,-10.91525317,-15.49406385,-18.08737959,-20.37862417,-20.21052082,-18.88057292,-13.56041081,-12.01165235,-8.172713273,-1.537126331,-1.169076348,3.844782103,4.596818914,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84062891,5.770119456
Luxembourg,1.616629094,2.667065991,2.145212455,1.902363481,2.909180643,2.560582258,2.108705114,1.479288618,1.883218547,2.939373005,2.698008952,2.550554434,3.033468344,3.69896285,3.212760467,2.369295823,2.566216506,2.809997691,2.743166947,1.977565077,1.939683427,1.69871512,1.263535443,0.8639443075,1.136742038,2.212045647,2.959705656,3.162996365,3.615091695,4.242346877,4.62479789,5.483114425,5.408523412,5.374741201,5.012805105,4.697278543,3.921927144,4.30660735,4.087443774,3.834858758,4.174324677,3.40291896,3.458149498,3.332229097,3.373799198
"Macao, China",,,,,,,,,,,,,,,,,,,,,7.39086465,7.237468541,6.848439483,6.322173064,5.989762334,5.084711762,4.624080968,4.882501368,4.643052988,4.295424374,4.345233493,3.749678786,4.041047185,4.064115081,3.828588454,4.246929472,3.913551535,2.677418131,1.714401907,1.035606386,1.029013799,1.336645173,1.488738135,2.452812426,4.491697404
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.465059948,-0.2813000079,0.3145759238,0.7139794981,
Madagascar,,,,,,,,,,,0.9257000931,0.906039192,0.6122512984,0.3953910545,0.2051015236,0.2534842033,-0.6008973297,-0.7023993264,-1.402625437,-0.9969742255,-1.605308489,-2.737438536,-3.021096593,-2.578892532,-2.523623365,-2.379021567,-1.772013548,-2.120042261,-1.92154463,-2.336244445,-2.456447765,-1.19280916,-1.453625733,-1.478466914,-1.672476627,-1.665204849,-1.434648527,-1.02612784,-0.9478832421,-1.60129513,-1.070812961,-1.161634675,-1.885625175,-1.392587852,-1.195657496
Malawi,,,,,0.8286311989,1.39725762,1.889319136,1.872837111,1.359519505,1.529242554,0.2878231616,1.162307719,1.895466134,2.585625715,2.891070209,2.195807383,1.828752363,1.728072597,2.622124804,3.056598172,4.150331871,3.130263798,2.200391892,2.099521222,1.625675374,1.939467005,1.601363762,1.027177489,0.2461036688,-0.3629660342,-0.3585990649,-0.2159376045,-1.474359871,-0.6398385409,1.36535136,1.104469782,0.9051139921,1.533978104,1.969368609,1.970696786,2.089160038,0.9819137362,2.212667697,1.424204041,-0.193442694
Malaysia,,,,,,2.551773858,2.874560135,3.094665751,3.943546555,3.50253772,3.465277296,4.906201453,5.333916238,5.732341446,5.935499001,5.481004468,5.919249868,6.304982897,6.255525507,6.607617697,6.895032283,5.377513652,4.976041279,4.499783719,4.434331021,4.218629221,3.235779147,3.119994173,3.263916055,3.270103743,3.289492403,3.423401671,3.841537463,4.071504969,4.250932776,5.078866675,5.934616175,6.037774246,5.211975789,5.169760011,5.11743417,4.512692757,4.025437038,3.903603348,
Maldives,,,,,,,,,,,,,,,,,,,,,8.881946414,9.001896099,7.543730764,7.911560449,9.207958854,9.372046826,9.165958171,8.874152816,8.230439092,8.03584652,7.776318332,7.338482199,8.300734303,7.31274838,5.463050635,4.875881727,4.997412791,4.747648104,4.832236253,3.981306905,3.855516105,3.300959766,3.461261174,4.260943429,3.807638732
Mali,,,,,,,,,,,-1.591509869,-0.837319659,-0.2248705748,-1.656755538,1.061032333,1.088656297,1.566506992,2.363366178,2.102225236,2.573964642,2.026068203,0.9171901774,0.07134040129,1.618759477,1.407881974,0.6285749247,1.796334048,1.410595767,0.798902614,0.9415407341,0.5398976352,1.367258466,2.53159909,2.437133033,1.983727412,2.269911381,1.416549026,1.261901089,2.907843905,2.499398409,1.938193406,2.885879534,2.116736926,2.239269546,2.527392661
Malta,,,,,,,,,,,,,,,,,,,,,11.00855878,10.68773318,9.42364111,8.916022095,8.280223634,6.280152011,5.28563546,4.414966685,3.564274984,3.272652685,3.388590538,3.844555554,4.862970851,4.678366797,4.838008328,4.821891839,4.60964569,4.810373545,4.741387503,4.458142301,4.662778881,3.955945013,3.499695841,2.93589859,2.460809182
Mauritania,,,,,,,,,,,,,,,,,,,,,-0.03761600143,0.4583101358,-0.6952693011,-0.5585201044,-1.299161994,-1.708516136,-2.072669409,-2.23852301,-1.32295677,-1.092927205,-0.2793358283,-0.5814556993,0.2795288503,1.302311888,1.415716818,1.802613669,1.437502944,1.728603876,1.643996562,1.770839523,2.093320769,1.933209734,2.338176387,0.7789165127,
Mauritius,-4.559474472,-2.827681699,-2.110973478,-0.8345182101,-0.1594395339,-0.8066254268,-0.8606707756,-0.7601532055,-1.058571909,-1.06843816,1.793878452,0.3404480555,0.2996197779,0.4264296125,0.7520491954,2.45311889,3.306409754,3.801267281,5.002673326,5.045321186,4.04398842,3.584748285,4.155872699,3.05988523,2.938690687,2.402725153,2.37081749,2.806693357,3.076373058,3.553215297,4.632611618,4.996953205,4.772136028,5.193603413,5.22199132,5.342240352,5.022501053,4.261204309,4.388617125,3.984892442,4.357123129,4.63607202,3.962565378,3.876692209,3.883648439
Mexico,3.192047775,2.53221161,2.538462074,3.474386706,3.664096951,3.357255899,3.227458057,2.988515991,3.310117396,3.514836852,3.291576807,3.461762655,3.866916014,3.755265325,3.056969905,3.167267303,3.021067362,2.781524325,2.781708448,3.27905902,3.492497495,3.94343316,3.135827191,1.98628431,1.849972347,1.622102118,0.9032504431,0.7952706697,0.1409750669,-0.2287150881,-0.4589173913,-0.8008393651,-0.3536112208,0.3060352611,0.4180639493,-0.4521792722,0.4019130824,0.9673466002,1.433120343,1.437375201,1.627595417,1.261216758,1.0401122,1.04934217,1.092061029
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,1.944921555,2.649427806,3.032899186,1.364738738,0.04872418295,0.8300122291,1.374362579,1.170402043,1.149277093,0.9545179848,2.088197719,1.79620913,1.714750569,1.198195456,2.627813746,2.251157251,1.395804914,0.9813599853,0.6489120633,0.1849350344,0.9964575193,0.703378523,0.6891446641,0.3615619195,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.048744047,-0.5281773945,1.391452954
Mongolia,,,,,,,,,,,,,,,,,,,,,2.777168804,3.138132392,3.613115182,3.33042007,3.538771025,3.48792182,4.029431001,3.601228057,3.376386498,3.230867805,2.34164337,0.588553052,-1.127879145,-1.862014182,-2.080902985,-1.837450436,-2.440866722,-2.265647359,-2.285867429,-2.102545818,-1.626683624,-0.473068923,0.9793907968,1.850906465,
Morocco,0.08436076988,1.927964908,2.830916951,3.772360557,4.375996166,4.480491541,4.305776343,5.224756929,5.859582502,5.794079455,5.700276917,4.425708217,3.493862021,2.51991397,1.96354695,2.513378718,3.509209714,3.093563932,2.840849725,2.865811973,3.064059968,2.591715685,2.983904125,2.584368021,2.597056565,2.487073039,2.494583591,1.826272012,1.95794038,1.607868417,1.634537021,2.306426378,0.999817764,0.9882791895,1.741369726,0.6110304467,0.8204577286,0.805876435,0.5867964953,0.3897629926,0.2289085489,0.1735545666,0.9752309135,1.484943195,
Mozambique,,,,,,,,,,,1.884977295,2.315563651,1.861975653,1.94922831,2.170036925,2.401221463,2.776449107,1.483798869,1.050977597,0.6440880104,1.236672311,0.8634068671,0.164017526,-0.7598685458,-1.679935522,-3.097004688,-3.20400453,-2.040291118,-0.8597385416,-0.08258182858,-0.1554466815,-0.4755764922,-0.9576016668,0.2898267775,1.273606133,0.6825601901,0.9884928193,1.050291922,0.7585101298,-0.4645693565,-0.1993774851,1.40001377,2.908737008,3.394495388,
Namibia,,,,,,,,,,,,,,,,,,,,,-0.5244073383,0.6393079559,1.050961247,0.9087635358,0.5743361045,-0.34582351,0.1913741722,0.4698131975,-0.08849204022,-0.4874686186,-1.065449423,-0.8409028308,-0.8966430733,-0.7097822639,-0.4543692764,0.07502634693,-0.3322616141,-1.378524119,-0.8285362198,-0.08531097948,1.663074679,0.3521399408,0.6156976925,1.317139489,
Nepal,,,,,,,,,,,0.7644162392,0.7493192013,0.8134916811,0.6805587275,0.3533123746,0.8010145142,0.1638592844,0.7237660818,1.295236938,0.9771145678,-0.1168819121,0.7561546358,0.9457686006,0.8770443633,1.180564471,1.245888382,1.480256145,1.18796799,1.238046933,1.571696183,2.443124038,2.237279348,1.790006263,2.392855194,2.283447943,2.219895623,2.303047315,2.658181608,2.199248158,2.17672373,2.499371847,2.453171081,2.225426918,2.018040379,
Netherlands,2.931400392,3.025500696,3.723329135,3.130685097,3.066760058,2.901929952,2.524379495,2.858108116,3.960274477,4.080839115,3.670952466,4.001799304,3.608843341,3.764365345,3.353771746,2.894113904,3.138922887,2.972115591,2.654992436,2.273132598,1.88780607,1.365492526,1.078890847,0.8433420219,0.7765810994,1.089797505,1.009900237,0.8886111634,0.8943912279,1.218347382,1.46856109,1.894189769,2.159443471,2.003958253,1.993610633,2.014965813,1.993845049,2.202091555,2.364948948,2.306131228,2.286333244,2.19562781,2.068886529,2.008399873,1.913474641
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,2.455036889,2.352998019,1.97945551,1.172619552,1.132697435,1.237478145,0.1115042989,-0.1211374865,-0.916213499,-0.5658937719,-1.107021969,-1.050478712,-0.5091124427,0.07166768611,0.8267646066,1.134140412,1.897093972,1.665166391,1.580290844,0.7990488902,0.2229358478,0.2044606881,-0.1094056255,-0.4809686612,
New Zealand,1.894688962,2.787824461,2.862042277,3.292106922,2.753641175,3.057135065,3.586496177,2.64840918,2.557569636,3.217976463,1.720842354,1.582438879,1.886160076,2.046364103,2.190460525,1.405604048,0.9768095581,1.20799755,1.296315538,0.4761783064,0.8192473037,0.906327618,0.6122072819,0.4551729417,0.4101547435,0.6505696224,0.7807013951,1.194404238,1.33698244,1.163465633,0.9799514972,0.5152502371,0.4373511881,0.4969990651,0.468184965,0.7876530499,0.826153457,1.013733049,0.9412639468,1.506653029,1.749392494,2.209237029,2.644693828,2.407201364,2.309950805
Nicaragua,2.461750482,2.023123429,1.61393331,1.876409596,1.811864573,2.324201388,2.397909941,2.415313976,2.549604473,3.262466043,3.060829895,2.937324518,2.390921215,1.990649741,1.599302032,1.583924385,1.887558248,1.233138039,1.253088503,-1.002369589,-1.360688288,-1.508081347,-1.905445654,-1.216713142,-1.476749321,-2.902447608,-3.149413235,-4.071087964,-4.542147067,-3.56569387,-3.031390544,-4.289470803,-4.199963677,-5.183704222,-5.316423771,-4.368651582,-4.249621522,-3.440931977,-2.756096345,-1.701378218,-1.236372747,0.09475643056,-0.08675813362,0.4533268019,0.6677607793
Niger,,,,,,,,,,,-0.5448658375,-1.298713191,-1.807814308,-3.287953524,-3.742335387,-1.930252511,-0.5846014294,-1.260014468,-0.7761424101,0.3730153477,1.022755218,1.874831569,1.816148205,3.29760871,2.092305874,-0.03404749426,-0.2273430919,-0.6552365328,-1.208833939,-1.762978329,-2.02935929,-3.032547874,-3.040177053,-3.406668437,-1.800611488,-2.049124776,-3.092461519,-1.806291945,-1.108436009,-1.034784683,-2.091144566,-1.297399757,-0.9716686332,-0.4244784619,-0.6189393996
Nigeria,4.390345049,3.148914357,2.574647546,3.12000898,2.779442266,1.759564031,1.206135136,-0.5926369838,-1.071924554,0.1160789902,-0.6082060614,0.628379621,0.8873707916,0.5075734479,1.374081841,1.5346074,2.780299414,5.301732237,4.853596277,1.533823184,-0.4344545796,-0.4397938992,-0.968474106,-1.673639253,-3.34846298,-2.185634377,-2.54362639,-3.586786418,-2.530564548,-0.5354549511,0.715867196,0.3803964731,0.6644917426,1.230220718,1.699871154,-0.0736997627,0.9923068865,1.336106053,0.6135509514,0.4179071686,0.1286402945,-0.08335330771,0.06269939886,1.252724843,1.32033263
Norway,2.545014434,3.005906285,2.80147709,2.553110749,2.677691831,2.98598806,3.127687956,3.38077054,3.444889567,3.619128606,3.497733556,3.459064495,3.547605834,3.614696374,3.615129654,3.607800254,3.844280135,3.648261486,3.667669878,3.72973751,3.973258677,3.538370178,3.273357402,3.076884084,3.221637663,3.235207936,3.100950516,2.830059356,2.642619362,2.348243349,2.083412069,2.32561663,2.55420514,2.568526814,2.529647891,2.440528569,2.531891017,2.935534231,3.188972738,3.217281949,3.268234292,3.160468939,2.925801434,2.739988673,2.458772081
Oman,,,,,,,,,,,,,,,,,,,,,-0.3181006101,2.085372915,2.481543228,4.766755763,4.874679365,3.909557989,1.815782218,1.465415558,2.563941892,2.552250427,3.854751933,3.124252243,3.015779522,2.755087062,1.973529885,1.474420602,1.793755965,2.490316406,1.910756959,1.845567722,1.580553115,1.78765871,1.206835276,0.6007718701,
Pakistan,-0.4481693148,-0.1085347952,0.04231487935,0.2937479818,1.280956908,2.077873688,2.111887508,2.617729293,3.019863465,2.911651979,4.399733887,4.339165684,4.615760813,3.885859445,3.230660075,3.047784737,2.72054525,2.988708239,2.647791517,3.23221536,2.566539339,2.776970548,2.796600538,3.125893038,3.624580246,3.527956847,3.868535299,3.878185941,4.248506651,3.697399134,3.283037565,3.273492385,2.952788389,2.70245867,2.535253892,2.521070984,1.909503871,1.492913674,1.262128298,1.401605778,1.206636251,0.8330338149,0.9598410056,1.220955449,1.290536477
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1549802382,1.17459232,0.8243315878,0.9810110153,1.318184977,3.218562975,4.2014078,4.58537911,2.838107961,1.512142454,0.8962053322,1.002873375,1.028602039,1.049622718,
Panama,1.812858748,3.231712232,3.175292751,2.880784846,3.229723141,3.236519013,3.700931973,3.876456816,5.059704043,5.471360448,4.286146114,3.883300254,3.162503803,3.584629232,2.952583642,2.925813733,2.750029096,2.85724938,2.627111851,2.746845378,4.159172513,4.410444226,4.785517285,3.949639493,4.326043248,4.298476709,4.230752774,3.507871816,2.168482321,2.216695283,0.6456881936,1.122840175,1.090573959,1.387325388,1.215808105,0.7052121376,0.5780960493,1.046273601,2.566839065,2.558308975,2.587618672,1.547260188,1.493280923,1.619673575,
