Arms exports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Saudi Arabia,,,,,,,,4000000,3000000,,,,2000000,,,,1000000,13000000,,,,33000000,,,3000000,9000000,,,,,,,,13000000,,,2000000,,,,,,,,,,,,,,58000000,
Senegal,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,5000000,,,,9000000,,,,,4000000,4000000,36000000,1000000,5000000,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,2000000,,,,15000000,,,30000000,71000000,,15000000,,24000000,93000000,,,106000000,30000000,111000000,68000000,4000000,80000000,29000000,29000000,,0,87000000,42000000,10000000,10000000,,2000000,,66000000,3000000,,,,46000000,27000000,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000000,10000000,91000000,54000000,54000000,10000000,126000000,37000000,53000000,33000000,,48000000,,7000000,18000000,8000000,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,68000000,68000000,,,,,,4000000,4000000,,3000000,5000000,12000000,1000000,2000000,18000000,16000000,0,,,39000000,39000000,1000000,,,48000000,48000000,50000000,50000000,0,,52000000,69000000,49000000,10000000,16000000,28000000,7000000,24000000,22000000,19000000,32000000,16000000,43000000,71000000,26000000,137000000,153000000,164000000,165000000,80000000,
Spain,4000000,14000000,18000000,18000000,21000000,35000000,35000000,21000000,21000000,18000000,70000000,140000000,4000000,4000000,84000000,264000000,46000000,25000000,38000000,22000000,10000000,130000000,307000000,249000000,262000000,76000000,138000000,137000000,151000000,223000000,114000000,100000000,82000000,101000000,204000000,82000000,114000000,638000000,164000000,30000000,46000000,7000000,120000000,150000000,56000000,108000000,843000000,590000000,610000000,998000000,513000000,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,52000000,34000000,35000000,23000000,31000000,32000000,41000000,40000000,60000000,36000000,262000000,530000000,130000000,16000000,76000000,125000000,64000000,46000000,50000000,278000000,151000000,144000000,126000000,114000000,226000000,205000000,332000000,273000000,522000000,405000000,267000000,185000000,176000000,117000000,127000000,193000000,336000000,98000000,321000000,377000000,379000000,880000000,191000000,526000000,314000000,538000000,432000000,366000000,454000000,383000000,806000000,
Switzerland,432000000,500000000,528000000,328000000,370000000,482000000,359000000,253000000,87000000,100000000,13000000,25000000,17000000,21000000,37000000,308000000,337000000,279000000,232000000,421000000,524000000,552000000,395000000,308000000,499000000,329000000,238000000,274000000,296000000,236000000,365000000,393000000,356000000,174000000,133000000,139000000,179000000,113000000,207000000,273000000,174000000,193000000,157000000,181000000,243000000,246000000,285000000,301000000,482000000,255000000,137000000,
Syria,,,,,,,,,,,14000000,,,,2000000,2000000,,0,,,,,177000000,46000000,2000000,29000000,31000000,,15000000,,,,40000000,40000000,,,0,0,,,,,,,,,3000000,,,25000000,25000000,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,8000000,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,18000000,9000000,,,,,,,,,,,,,,3000000,3000000,0,3000000,38000000,15000000,5000000,23000000,38000000,25000000,47000000,61000000,37000000,65000000,46000000,31000000,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216000000,209000000,287000000,208000000,193000000,561000000,721000000,775000000,280000000,700000000,311000000,442000000,200000000,290000000,553000000,728000000,330000000,320000000,201000000,
United Arab Emirates,,,,,,,,,,,,,,,8000000,,,,,,,,,14000000,,,,1000000,,,2000000,,,,,28000000,5000000,32000000,,,,,,,3000000,11000000,12000000,3000000,,,37000000,
United Kingdom,1942000000,1083000000,1167000000,986000000,1270000000,1425000000,1357000000,2225000000,1582000000,1893000000,908000000,2247000000,2378000000,2714000000,2388000000,2191000000,2360000000,2232000000,2028000000,1427000000,1659000000,2351000000,2453000000,2411000000,2464000000,2090000000,1929000000,3327000000,2339000000,3325000000,1900000000,1495000000,1203000000,1469000000,1516000000,1520000000,1636000000,2411000000,1374000000,1331000000,1606000000,1368000000,1068000000,741000000,1316000000,1039000000,855000000,1018000000,982000000,1022000000,1054000000,
United States,6096000000,6679000000,5742000000,9364000000,12570000000,11467000000,8528000000,7435000000,8385000000,11589000000,9069000000,11156000000,10199000000,12288000000,11968000000,15950000000,15819000000,15726000000,14896000000,10081000000,11083000000,13895000000,14209000000,13726000000,11497000000,10493000000,11544000000,12310000000,11811000000,11320000000,10647000000,12632000000,14113000000,14456000000,11781000000,11400000000,11197000000,14612000000,16176000000,11599000000,7398000000,5908000000,5229000000,5698000000,6866000000,6700000000,7453000000,8003000000,6288000000,6658000000,8641000000,
Uruguay,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252000000,126000000,4000000,,,,90000000,90000000,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,17000000,,,,,,12000000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1000000,,7000000,,3000000,40000000,,
Vietnam,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,
