Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Pakistan,,28.38444375,28.76971773,28.92797841,30.80375675,31.47441885,32.0309257,31.47182441,31.43809672,31.43809672,31.56392694,31.49517435,31.27464716,31.62749066,31.85320672,32.20994188,32.11913657,32.57316314,32.4045247,32.72882939,32.8196347,32.87152345,32.98827314,32.87152345,32.85855127,33.22177252,33.31257783,33.62391034,34.79140722,33.75363221,33.64985471,33.67579909,33.80552096,34.24657534,34.38926941,34.44115816,34.6097966,34.99896222,34.98599004,34.86924035,34.96004566,35.2324616,35.37515567,35.32326692,35.06382316,35.10273973,35.40110004,34.86924035,34.09090909,34.09090909,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,,
Panama,,21.84557439,21.98009147,22.11460856,22.16841539,22.30293247,22.43744956,22.45090126,22.58541835,22.69303202,22.65267689,23.04277643,23.44632768,23.71536185,24.01129944,24.29378531,24.57627119,24.87220877,24.88566048,24.9125639,24.95291902,25.31611515,25.74656981,26.10976594,26.44605865,26.83615819,27.1724509,27.50874361,27.84503632,28.24858757,28.57142857,28.70594566,28.92117299,28.92117299,28.71939736,28.67904224,28.67904224,28.78665591,28.90772128,29.01533495,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,29.99730966,,
Papua New Guinea,,1.093053041,1.093053041,1.093053041,1.11513492,1.11513492,1.128384048,1.227752506,1.291789957,1.360243784,1.415448483,1.477277746,1.499359625,1.521441505,1.541315197,1.576646204,1.598728084,1.623018151,1.669390098,1.695888354,1.704721106,1.717970234,1.70030473,1.693680166,1.71134567,1.784215872,1.832796008,1.868127015,1.90566621,1.921123526,1.936580842,1.947621782,1.958662721,1.971911849,1.982952789,2.062447556,2.108819503,2.124276818,2.150775074,2.192730645,2.219228901,2.230269841,2.208187961,2.219228901,2.25235172,2.2744336,2.296515479,2.296515479,2.627743674,2.539416155,,
Paraguay,,26.20437956,26.48376542,26.7807702,27.11301284,27.42260257,27.73722628,27.99144224,28.23307324,28.48477221,28.73647118,28.99068714,29.24238611,29.61490058,30.28693682,30.84319154,31.39692927,31.92549711,31.22325698,31.75182482,32.80896048,33.87113013,34.96853763,36.32016109,37.67178455,39.01082306,41.6586962,42.90964007,43.00276869,43.09589731,43.18902592,43.27963755,43.65718601,43.65718601,40.35237856,41.42461616,47.87566071,48.25320916,49.33803171,50.54870375,51.15781525,50.84319154,49.28517493,48.69368236,49.43367732,50.18877423,50.93128618,51.67379814,52.44651397,52.60508432,,
Peru,,13.246875,13.35859375,13.6171875,13.803125,13.8671875,13.80859375,13.815625,13.890625,13.92109375,13.99453125,14.0015625,14.275,14.31171875,14.31171875,14.31953125,14.38984375,14.4859375,14.5265625,14.5546875,14.59296875,14.6125,14.6515625,14.6890625,14.72890625,14.73828125,14.7609375,14.78046875,14.78828125,14.79609375,17.059375,17.10625,17.153125,17.1609375,16.69375,16.58984375,16.51484375,16.41875,16.43828125,16.4921875,16.55078125,16.5234375,16.53125,16.578125,16.625,16.6796875,16.71875,16.734375,16.7421875,16.75,,
Philippines,,25.85998793,26.12485751,26.39307986,27.33185811,27.26480252,27.25809696,27.84483337,27.76436666,27.67048884,27.86159726,27.7576611,28.2639308,28.82339134,29.71930648,30.82805111,32.4445786,33.83975584,34.00744542,34.85930845,35.63403428,35.78495489,36.01972029,36.15387195,36.28802361,36.58986484,36.82463024,36.9587819,37.09293356,37.22708522,37.36123688,37.41825133,37.27739209,37.10970252,36.94201295,36.94201295,37.24385418,38.01522621,38.85367408,38.68598451,37.5088037,37.34111413,37.34446792,37.46185062,38.06553309,38.06553309,38.5686018,39.07167052,39.57473924,40.07780796,,
Poland,,66.69948799,66.50256006,66.24655376,66.06931863,65.46540633,65.46868846,65.04857555,64.91072601,64.18865695,64.1427071,64.02783248,63.57818039,63.43464846,63.21646642,63.11435044,63.03020355,62.90507929,62.74748005,62.54268453,62.41216261,62.09568844,62.0353343,61.99796394,62.19704433,62.1169825,62.00610898,61.97530053,61.81639021,61.77774858,61.73378884,61.60239143,61.56954208,61.47756389,61.45734091,61.18010382,60.6978578,60.64200289,60.59401386,60.56972007,60.49743725,58.44586824,55.17320187,52.79845873,53.65428853,51.92439526,52.44355342,53.17009039,53.09973046,52.98816568,,
Portugal,,42.34972678,42.41530055,42.48087432,42.54644809,42.61202186,42.67759563,42.7431694,42.76502732,42.87431694,42.93989071,43.00546448,43.07103825,43.12568306,43.18032787,43.23497268,43.28961749,43.3442623,43.3989071,43.45355191,43.4863388,43.51912568,43.55191257,43.58469945,43.61748634,43.65027322,43.68306011,43.72677596,43.7704918,43.7704918,43.31147541,42.84153005,42.38251366,43.26775956,43.19125683,42.8852459,40.76502732,39.14754098,41.20218579,42.21857923,41.8579235,41.47540984,42.03278689,41.66120219,41.71584699,41.59833825,41.1829015,40.22083743,40.80026238,40.27550016,,
Puerto Rico,,69.4475761,67.75648253,68.20744081,65.95264938,68.6583991,65.50169109,64.03607666,63.81059752,63.35963923,62.23224352,59.75197294,58.06087937,55.46786922,55.69334837,55.58060879,55.58060879,55.35512965,55.80608794,54.79143179,53.55129651,52.64937993,52.64937993,52.53664036,52.31116122,51.9729425,52.19842165,52.08568207,52.08568207,50.73280722,49.04171364,47.35062007,46.22322435,35.06200676,34.83652762,34.83652762,34.83652762,32.80721533,30.66516347,29.19954904,27.84667418,26.38105975,25.02818489,24.23900789,24.23900789,22.77339346,22.66065389,21.30777903,21.08229989,21.4205186,,
Qatar,,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.400345125,4.486626402,4.486626402,4.486626402,4.486626402,4.486626402,4.572907679,4.745470233,4.83175151,4.918032787,5.004314064,5.090595341,5.090595341,5.176876618,5.263157895,5.263157895,5.176876618,5.263157895,5.263157895,5.522001726,5.608283003,5.608283003,5.608283003,5.69456428,5.69456428,5.69456428,5.69456428,5.69456428,5.69456428,5.69456428,5.69456428,5.69456428,5.608283003,5.608283003,5.608283003,5.522001726,5.608283003,,
Romania,,63.38890336,63.76660589,63.92289659,64.00104194,64.21377095,64.40479291,64.41781714,64.99956586,64.98220023,64.81722671,64.83893375,64.87366502,64.70435009,64.8128853,64.88668924,64.92576192,64.94746896,64.969176,64.97785882,64.96483459,64.89537206,64.96049318,65.03863853,65.08639403,65.20795346,65.28609881,65.52487627,65.5943388,64.3470678,64.39502943,64.49054301,64.45567855,64.46875272,64.4764934,64.47775502,64.40397351,64.47087527,64.23189163,64.3771777,64.67720169,64.4203561,64.4625223,64.36181779,61.43478261,61.65753544,61.04443865,58.92383314,58.92127012,58.78031818,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52237194,13.35241038,13.29019072,13.21253995,13.19523311,13.30933868,13.26433189,13.22817022,13.25666887,13.23902166,13.22579779,13.20293413,13.18460213,13.16615989,13.15737092,13.15584446,13.15843626,13.16252739,,
Rwanda,,53.30360762,53.70895825,54.11430888,54.51965951,54.92501013,55.33036076,55.73571139,56.05999189,56.62748277,56.91122821,58.69477098,61.12687475,61.00526956,64.20753952,65.34252128,66.43696798,67.49087961,68.09890555,68.78800162,69.51763275,71.34171058,71.94973652,72.55776246,73.2873936,73.73327929,74.17916498,74.66558573,75.11147142,75.19254155,76.16538306,76.08431293,74.46291042,70.12565869,60.1945683,60.1945683,62.62667207,64.65342521,65.46412647,67.32873936,67.69355493,70.89582489,74.98986623,76.20591812,76.20591812,76.20591812,76.00324281,77.62464532,81.07012566,81.07012566,,
Saint Kitts and Nevis,,57.14285714,57.14285714,57.14285714,57.14285714,57.14285714,57.14285714,57.14285714,57.14285714,51.42857143,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,57.69230769,57.69230769,53.84615385,53.84615385,50,50,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,38.46153846,38.46153846,34.61538462,34.61538462,34.61538462,38.46153846,34.61538462,34.61538462,30.76923077,30.76923077,30.76923077,19.23076923,19.23076923,19.23076923,19.23076923,19.23076923,,
Saint Lucia,,27.86885246,27.86885246,29.50819672,29.50819672,29.50819672,29.50819672,31.14754098,31.14754098,31.14754098,31.14754098,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,32.78688525,34.42622951,29.50819672,27.86885246,27.86885246,27.86885246,26.2295082,22.95081967,21.31147541,21.31147541,21.31147541,18.03278689,19.67213115,18.03278689,18.03278689,18.03278689,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,25.64102564,25.64102564,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,28.20512821,25.64102564,25.64102564,25.64102564,25.64102564,28.20512821,28.20512821,30.76923077,30.76923077,30.76923077,28.20512821,30.76923077,30.76923077,30.76923077,33.33333333,33.33333333,33.33333333,33.33333333,30.76923077,30.76923077,30.76923077,30.76923077,30.76923077,30.76923077,28.20512821,28.20512821,28.20512821,28.20512821,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,,
Samoa,,25.08833922,25.08833922,25.08833922,25.08833922,27.20848057,27.20848057,27.20848057,27.20848057,27.20848057,27.20848057,27.56183746,27.56183746,27.56183746,27.56183746,27.56183746,28.97526502,29.6819788,29.6819788,30.38869258,30.38869258,31.44876325,31.44876325,31.80212014,31.80212014,31.80212014,31.80212014,31.80212014,31.80212014,23.67491166,23.67491166,23.67491166,22.2614841,22.2614841,22.2614841,22.61484099,22.61484099,22.61484099,22.61484099,22.61484099,22.2614841,22.2614841,22.96819788,22.96819788,22.96819788,23.32155477,23.32155477,23.32155477,23.32155477,23.67491166,,
San Marino,,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,,
Sao Tome and Principe,,36.45833333,36.45833333,36.45833333,36.45833333,37.5,37.5,37.5,37.5,37.5,37.5,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,38.54166667,39.58333333,39.58333333,39.58333333,39.58333333,43.75,43.75,43.75,43.75,43.75,45.83333333,46.875,46.875,47.91666667,48.95833333,51.04166667,54.16666667,54.16666667,55.20833333,56.25,57.29166667,57.29166667,57.29166667,57.29166667,57.29166667,58.33333333,,
Saudi Arabia,,40.08484944,40.09415311,40.10438714,40.11787746,40.12764631,40.13788035,40.14718401,40.16393061,40.18021203,40.20114528,40.2230089,40.24626807,40.27092278,40.30348562,40.32395369,40.35465579,40.37977569,40.40396522,40.42861994,40.45327466,40.47699901,40.50258409,40.59655113,42.99364094,45.41352474,47.81154492,50.23049835,52.62619261,55.02653871,57.44130549,57.53015551,57.56457908,80.84188883,80.84188883,80.84188883,80.70931158,80.84188883,80.84188883,80.84188883,80.84188883,80.84467993,80.8456103,80.84793621,80.8065349,80.81025636,80.79025348,80.79071866,80.72326708,80.67907466,,
Senegal,,44.91248117,44.91248117,45.43188075,45.43188075,45.95128032,45.95128032,46.47067989,47.35365917,46.24214408,46.03957825,46.4654859,46.4654859,46.72518569,46.98488547,46.98488547,46.97969148,45.93569833,45.93050434,45.92531034,45.92011635,45.91492235,45.90972835,45.90453436,45.89934036,45.89414637,45.88375838,45.87337038,45.86298239,45.84740041,46.06554823,45.23450891,45.55134265,45.54095466,45.6084766,45.08388303,44.92806316,44.94883914,44.9955851,45.25528489,45.47343271,45.75910248,45.70716252,45.09427102,45.37994079,45.84220641,44.86573521,44.86573521,48.32493637,49.36892952,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.92362223,57.77498285,57.80928424,57.79785045,,
Seychelles,,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,13.04347826,13.04347826,13.04347826,13.04347826,13.04347826,13.04347826,10.86956522,10.86956522,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,6.52173913,6.52173913,6.52173913,,
Sierra Leone,,36.4702597,36.54007261,36.63781067,36.70762357,36.77743647,36.84724937,36.91706227,37.05668808,37.12650098,37.19631388,37.26612678,37.33593968,37.40575258,37.47556548,37.54537839,37.61519129,37.68500419,37.82462999,37.96425579,38.0340687,38.1038816,38.3133203,38.3831332,38.59257191,39.29070092,39.36051382,39.43032672,39.4442893,39.4442893,39.4442893,39.4442893,39.3046635,39.24881318,39.2348506,39.2348506,39.2348506,39.22088802,39.22088802,39.15107512,39.2348506,41.77604021,44.76403239,45.65763753,48.28260262,50.61435353,53.29516895,46.64898073,47.66824909,47.68221167,,
Singapore,,20.89552239,20.89552239,19.40298507,19.40298507,19.40298507,19.40298507,19.40298507,17.91044776,17.91044776,17.91044776,14.92537313,16.41791045,16.41791045,13.43283582,11.94029851,11.94029851,11.94029851,11.94029851,11.94029851,11.94029851,10.44776119,8.955223881,8.955223881,8.955223881,7.462686567,5.970149254,4.47761194,4.47761194,2.985074627,2.985074627,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,0,0,0,0,0,0,0,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.85239085,50.85239085,50.85239085,50.81081081,50.83160083,50.79002079,50.79002079,50.72765073,46.88149688,46.50727651,46.47682395,40.20790021,40.35343035,40.31185031,40.12474012,40.27027027,40.1330838,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00397219,27.80536246,27.2591857,26.71300894,26.06752731,24.57795432,24.32969215,24.82621648,25.71996028,25.32274081,25.07447865,25.32274081,24.42899702,25.27308838,24.37934459,24.72691162,24.42899702,23.23733863,,
Solomon Islands,,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,1.964987496,2.000714541,2.036441586,2.107895677,2.107895677,2.107895677,2.215076813,2.215076813,2.286530904,2.286530904,2.357984995,2.322257949,2.39371204,2.429439085,2.429439085,2.465166131,2.536620222,2.536620222,2.572347267,2.608074312,2.608074312,2.608074312,2.643801358,2.715255448,2.715255448,2.750982494,2.822436584,2.965344766,2.965344766,2.965344766,2.965344766,3.001071811,3.036798857,3.001071811,,
Somalia,,69.98597252,69.99394268,70.00191284,70.009883,70.01785316,70.02582332,70.03379348,70.04176364,70.0497338,70.05770396,70.06567412,70.07364428,70.08161444,70.0895846,70.09755475,70.10552491,70.11349507,70.12146523,70.12943539,70.13740555,70.14537571,70.15334587,70.16131603,70.16928619,70.17725635,70.18522651,70.19319667,70.1995728,70.20116683,70.2043549,70.2043549,70.20594893,70.20754296,70.21710715,70.22667134,70.2346415,70.24261166,70.24420569,70.24420569,70.24420569,70.25058182,70.49765677,70.57735837,70.7383556,70.7383556,70.40360889,70.18044442,70.18044442,70.18203845,,
South Africa,,84.01030902,83.01893007,82.06872134,81.03617216,80.08596342,79.94269105,79.70884419,79.54086968,79.36466113,79.19668662,79.02047807,78.85250356,78.67629501,78.51655455,78.33211195,78.15755021,78.10320551,78.05380125,77.99616294,77.95499271,77.90558845,77.85042035,77.85042035,77.85042035,77.85042035,78.05874167,78.4704439,78.79980568,79.29384835,79.70555057,80.19959324,80.61129546,81.02299769,81.51704036,81.94932769,82.09342347,82.05225325,82.07530857,82.0440192,82.0440192,82.0440192,82.0440192,82.0440192,81.99296813,81.99296813,81.82828724,81.82828724,81.82828724,81.70477657,,
Spain,,66.48925527,66.49325703,66.3031734,65.53483533,65.41678338,64.34030974,64.7925087,64.34631238,65.08263636,64.26627716,65.39677458,65.16467246,64.5884189,64.18809405,63.88927807,63.08625418,63.23817912,63.01523432,62.76774633,62.54229483,62.47947784,62.4494454,61.6522836,61.32468365,61.49287202,61.28864328,61.2706231,61.22457152,61.47084735,61.01233381,60.81010732,60.62590101,60.13334935,60.43368573,59.5046452,60.34558706,60.18540766,59.98318116,59.62277751,59.65130261,59.21527722,58.95118628,58.39826927,58.23750952,58.43435052,57.34297968,56.10787201,56.41940658,55.49318364,,
Sri Lanka,,27.47568171,27.22053899,32.84962526,33.53532132,34.38048158,35.16185616,35.95917716,37.01164089,37.12326583,37.20299793,37.29867645,37.39435497,37.49003349,37.58571201,37.61760485,38.20762239,38.79763993,39.37171105,37.61760485,37.45814065,37.45814065,36.61298039,36.80433743,36.85217669,36.91596237,37.09137299,37.21894435,37.26678361,37.31462287,37.29867645,37.34651571,37.37840855,36.99569447,37.04353373,37.09137299,37.10731941,37.12326583,37.13921225,37.39435497,37.47408707,37.49003349,37.56976559,37.79301547,36.83623027,40.02551427,38.90926487,38.11194387,42.17828098,41.62015627,,
Sudan,,45.80808081,45.85016835,45.89225589,45.93518519,45.97727273,46.01851852,46.06481481,46.10563973,46.14772727,46.18897306,46.23021886,46.27146465,46.31649832,46.34048822,46.38257576,46.42255892,46.46380471,46.47979798,46.4793771,46.48569024,46.4983165,46.52356902,46.54461279,46.56776094,47.43265993,48.71632997,49.58122896,50.86069024,51.70875421,51.72979798,51.75294613,52.19486532,53.33880471,53.92045455,54.56397306,54.94065657,55.06397306,55.17760943,55.28282828,55.3766835,55.59469697,55.81397306,56.62037037,56.60648148,57.23779461,57.15909091,57.19107744,56.83712121,57.54671717,,
Suriname,,0.2628205128,0.2692307692,0.2628205128,0.2948717949,0.3012820513,0.2820512821,0.2756410256,0.2756410256,0.3012820513,0.3076923077,0.3333333333,0.3397435897,0.358974359,0.3653846154,0.3717948718,0.3782051282,0.391025641,0.3974358974,0.4102564103,0.4423076923,0.4679487179,0.4807692308,0.4807692308,0.4935897436,0.5192307692,0.5384615385,0.5641025641,0.5641025641,0.5641025641,0.5641025641,0.5705128205,0.5705128205,0.5705128205,0.5705128205,0.5705128205,0.5705128205,0.5641025641,0.5641025641,0.5641025641,0.5641025641,0.5512820513,0.4743589744,0.5128205128,0.4935897436,0.4615384615,0.4615384615,0.4487179487,0.4551282051,0.5192307692,,
Swaziland,,85.34883721,85.93023256,85.69767442,85.87209302,86.27906977,86.80232558,87.03488372,87.09302326,86.86046512,86.86046512,86.86046512,87.96511628,87.96511628,86.1627907,76.3372093,79.70930233,80.98837209,80.98837209,77.90697674,75.05813953,74.65116279,74.76744186,74.88372093,73.77906977,74.65116279,77.26744186,75.98837209,74.70930233,73.48837209,71.97674419,71.3372093,71.10465116,71.04651163,71.04651163,71.04651163,71.04651163,71.10465116,71.10465116,71.10465116,71.10465116,71.1627907,71.1627907,71.1627907,71.1627907,71.1627907,71.1627907,71.1627907,71.1627907,71.04651163,,
Sweden,,10.32558366,10.16717844,9.701710776,9.609104645,9.38002632,9.25330214,9.224058098,9.068089877,9.12657796,9.146073987,9.158259005,9.099770922,9.060778866,9.102207925,9.080274894,9.102207925,9.07052688,9.085148901,9.043719842,9.026660818,8.955987718,8.919432666,8.860944583,8.800019496,8.514890091,8.471024029,8.419846956,8.375980894,8.329677828,8.317492811,8.183457621,8.149339572,8.178583614,8.178583614,7.961690306,8.034800409,7.942194278,7.873958181,7.783789053,7.683871911,7.686308915,7.72530097,7.708241946,7.759419018,7.837403129,7.708241946,7.644879856,7.537651703,7.503533655,,
Switzerland,,54.125,54.125,54.125,54.45,54.45,54.475,54.475,54.425,54.375,54.35,54.35,50.45,50.425,50.5,50.5,50.525,50.525,50.525,50.525,50.5,50.5,50.5,50.525,50.525,50.525,50.525,50.525,50.525,50.525,39.525,39.575,39.525,39.525,39.525,39.525,39.525,39.525,39.5,39.5,38.3,38.125,38.125,38.125,38.1,38.1,38.125,38.1,38.125,38.125,,
Syria,,81.29829144,81.4560888,81.84242029,80.82489934,77.80498422,74.16476222,74.16476222,73.02753292,73.15812384,73.23430188,73.22886059,77.05408641,78.77897486,78.99118511,76.76025683,77.33703341,76.3956905,76.22701056,75.96038742,76.51539885,76.80378714,76.79290456,76.12906736,76.03112417,75.91141582,75.74273588,75.67199913,74.72521493,73.4138644,73.43018827,73.52269017,74.07226031,74.23005768,75.01360322,75.02992709,75.03536838,75.11154641,74.83948199,74.91021874,74.60550658,74.67080205,74.86668843,75.23830274,75.74767119,75.32821267,75.57044056,75.67523415,75.68067959,75.73925829,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07344956,32.45927408,31.93769648,32.73792512,32.75935982,32.59502715,32.48785367,32.63789654,32.67362103,32.67362103,32.65933124,32.8379537,33.22377822,33.38096599,33.8310946,33.78822521,33.77393541,33.93826808,,
Tanzania,,29.35199819,29.35199819,30.4809212,30.4809212,30.4809212,32.73876722,32.73876722,32.73876722,32.73876722,33.86769022,36.12553624,36.12553624,36.12553624,36.12553624,36.12553624,36.12553624,36.12553624,37.25445925,37.25445925,37.25445925,37.25445925,37.25445925,37.25445925,37.25445925,38.38338225,38.38338225,38.38338225,38.38338225,38.38338225,38.38338225,38.38676902,38.38338225,38.38338225,38.38338225,38.38338225,38.38338225,38.38676902,38.38338225,38.38338225,38.38338225,38.49627455,38.72205916,39.19733574,39.23007451,39.23007451,39.28652066,39.34296681,39.45585911,40.07676676,,
Thailand,,22.80921529,23.44927479,24.38881168,24.83900644,25.32834857,25.85683807,26.3461802,26.81594864,27.24656971,27.88858658,28.18414923,29.81072246,31.4744857,33.04625262,33.70588581,34.34790268,35.16412535,35.96860381,36.60670594,37.06864491,37.85746442,38.71479183,38.94771869,39.24719607,40.27677191,40.66433087,41.57450723,41.7506704,41.76437198,41.85441093,42.11474094,41.83679461,41.58429408,41.33962301,41.51578618,40.8365793,40.01252716,39.24915344,39.18064554,38.8224471,38.81070289,38.53862867,38.27438392,38.27634129,38.36442287,38.36442287,38.4622913,38.62475288,38.74610973,,
Timor-Leste,,15.46738399,15.46738399,15.46738399,15.46738399,15.46738399,15.46738399,15.60188299,15.60188299,15.66913248,16.34162744,16.34162744,16.47612643,16.81237391,16.81237391,17.14862139,17.35036987,17.61936785,18.22461332,18.56086079,18.76260928,18.96435777,19.09885676,19.23335575,19.43510424,19.63685272,19.83860121,20.10759919,20.37659718,20.51109617,21.38533961,22.19233356,22.19233356,22.52858104,22.86482851,22.86482851,22.99932751,23.066577,22.93207801,22.66308003,22.66308003,24.34431742,24.34431742,24.5460659,25.89105582,25.89105582,25.89105582,25.21856086,25.89105582,25.21856086,,
Togo,,56.4441993,56.4441993,56.4441993,56.4441993,56.53612796,56.53612796,56.53612796,56.53612796,56.53612796,56.53612796,52.95091009,52.95091009,52.95091009,52.95091009,52.95091009,52.95091009,52.95091009,54.78948336,55.70876999,55.80069866,55.80069866,55.80069866,55.80069866,56.71998529,56.81191395,56.81191395,57.17962861,57.73120059,57.73120059,58.65048722,58.74241589,58.74241589,60.67291782,60.67291782,60.67291782,62.51149108,63.43077772,64.90163633,66.7402096,66.7402096,64.717779,64.25813569,63.79849237,63.52270638,63.33884905,63.33884905,62.87920574,62.60341975,62.14377643,,
Tonga,,37.5,38.88888889,40.27777778,40.27777778,41.66666667,43.05555556,43.05555556,43.05555556,45.83333333,44.44444444,44.44444444,45.83333333,45.83333333,47.22222222,47.22222222,45.83333333,45.83333333,45.83333333,45.83333333,47.22222222,47.22222222,47.22222222,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,45.83333333,45.83333333,43.05555556,43.05555556,43.05555556,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,43.05555556,41.66666667,43.05555556,,
Trinidad and Tobago,,18.90838207,18.90838207,19.10331384,19.10331384,19.10331384,19.10331384,19.10331384,19.10331384,19.10331384,19.10331384,19.68810916,19.68810916,21.44249513,21.6374269,20.66276803,20.66276803,20.66276803,20.66276803,20.66276803,19.68810916,18.51851852,17.1539961,14.42495127,14.42495127,13.84015595,13.84015595,13.84015595,14.03508772,14.03508772,15.00974659,15.78947368,15.78947368,15.78947368,15.78947368,14.81481481,14.81481481,13.84015595,12.86549708,13.06042885,13.06042885,11.69590643,11.69590643,11.69590643,10.72124756,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,,
Tunisia,,55.66426365,55.52909372,55.39392379,55.79943357,55.66426365,55.52909372,55.39392379,55.25875386,56.10195675,57.17044284,57.08032956,57.58882595,58.03295572,58.21961895,58.53501545,58.85041195,59.01776519,58.14881565,57.61457261,55.99897013,56.3208033,56.74562307,57.27986612,57.27342945,56.78424305,56.03759011,55.97322348,54.66014418,55.80587024,55.63851699,59.28166838,60.21498455,60.64624099,59.7515448,60.16992791,60.01544799,60.16349125,60.63336766,61.31565396,61.47657055,61.14186406,62.84114315,62.97631308,63.27239959,63.23377961,63.11791967,63.11148301,63.60066941,63.0084964,,
Turkey,,47.44747476,47.61768642,48.55579954,48.45445214,48.45964944,48.70392266,48.46484674,48.85594377,50.20984109,49.60565467,49.78236295,50.44761769,50.39694399,49.80055351,49.32500032,49.24834011,49.41205514,49.43284435,50.53337318,50.12668425,50.17086132,48.32322025,47.70863922,48.87153567,49.54328703,50.00194899,51.2285124,51.015423,51.83919546,51.55334381,52.06008082,51.84829074,51.85998467,52.16662552,51.31426789,51.14665489,50.98813716,51.86778062,52.36542235,52.59540299,53.23077323,53.52701948,52.80979172,53.54521004,53.56210127,52.61359354,51.3298598,50.83221808,50.55806037,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5506352,68.69108165,68.86983168,68.91877514,68.93367097,68.93579895,68.97835848,68.91451918,68.91451918,68.87195965,68.97835848,69.0847573,69.0847573,69.40395378,69.48907284,69.40395378,69.39969783,69.3933139,,
