Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cambodia,,19.929753,20.01472921,20.06571493,20.3659642,20.54724677,20.54724677,20.55857693,20.26399275,19.6974847,19.36891004,13.87944709,13.87944709,13.87944709,14.16270111,14.16270111,14.44595513,14.44595513,14.72920915,14.72920915,15.01246318,15.01246318,15.18241559,15.23906639,15.24473148,16.93859053,18.63811466,20.96079764,23.51008384,25.12463177,25.23793338,25.5495128,25.57783821,25.66847949,25.88941763,25.88941763,25.94606843,25.94606843,26.22932246,26.28597326,27.02243372,27.70224337,28.32540222,28.89191027,29.62837072,30.34217086,30.90301382,30.90301382,31.46952187,31.46952187,,
Cameroon,,15.88711895,16.01404667,16.11981976,16.24674748,16.37367519,16.50060291,16.64868524,16.75445834,16.86023143,16.87715513,16.98292822,17.12466417,17.26216919,17.51602462,17.75930274,18.00258086,18.28605276,18.34317023,18.85299655,18.89107487,18.95453872,19.06031182,19.16608491,19.27185801,19.37763111,19.52571344,19.4834042,19.4834042,19.44109496,19.39878572,19.35647649,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.37763111,19.38397749,19.38397749,19.38397749,19.48975059,19.80706987,,
Canada,,7.678553166,7.692629139,7.706705112,7.720671116,7.734857057,7.748823062,7.709234388,7.669535746,7.629837104,7.590138461,7.550549788,7.545271298,7.540102777,7.534934255,7.529765734,7.524597213,7.468843164,7.413089115,7.357225098,7.301471049,7.245717,7.288274825,7.330942617,7.373500442,7.416168234,7.45861609,7.457186499,7.455646939,7.453887443,7.452347883,7.450698355,7.457406436,7.464004548,7.470602661,7.477200773,7.483908854,7.471702346,7.459605807,7.447399299,7.43530276,7.423096252,7.424855749,7.426725214,7.428594679,7.430464144,7.432443578,7.433873169,7.433873169,7.433873169,,
Cape Verde,,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.12903226,16.62531017,16.62531017,16.87344913,16.87344913,17.12158809,17.12158809,17.12158809,17.36972705,17.36972705,17.86600496,17.86600496,17.617866,17.617866,19.10669975,19.10669975,19.10669975,19.10669975,19.10669975,20.5955335,20.5955335,23.07692308,21.83622829,,
Cayman Islands,,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,,
Central African Rep.,,7.60538059,7.62143247,7.634273973,7.656746605,7.672798485,7.688850364,7.704902244,7.720954124,7.737006003,7.753057883,7.769109763,7.785161642,7.801213522,7.817265402,7.849369161,7.865421041,7.88147292,7.8975248,7.91357668,7.937654499,7.937654499,7.961732319,7.977784199,7.997046454,7.998651642,8.032360589,8.033965777,8.035570965,8.035570965,8.035570965,8.038781341,8.058043597,8.058043597,8.058043597,8.041991717,8.061253973,8.223377958,8.265112845,8.265112845,8.265112845,8.265112845,8.265112845,8.338951491,8.371055251,8.371055251,8.363029311,8.363029311,8.363029311,8.40315901,,
Chad,,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.01587302,38.02380952,38.04382344,38.11944091,38.19885642,38.19885642,38.23856417,38.23856417,38.23856417,38.23856417,38.23856417,38.23856417,38.23856417,38.24253494,38.28224269,38.28224269,38.30209657,38.31797967,38.35768742,38.39739517,38.41327827,38.43710292,38.45298602,38.47681067,38.51651842,38.54034307,38.55622618,38.55622618,38.55622618,38.61975858,38.61975858,38.77858958,38.77858958,39.09625159,39.17566709,39.01683609,39.09625159,39.1772554,,
Channel Islands,,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,42.10526316,36.84210526,36.84210526,36.84210526,36.84210526,36.84210526,36.84210526,36.84210526,42.10526316,42.10526316,42.10526316,42.10526316,,
Chile,,18.00330854,18.2319476,18.46058666,18.69191559,18.92189959,19.14919371,19.44507955,19.74096539,19.96960445,20.30852824,20.64476215,20.98099606,21.30109074,21.85520423,22.25868492,23.13289309,22.99839953,22.86390596,22.7294124,22.66216562,22.52767205,22.3259317,22.25868492,22.19143814,22.15377994,22.10536226,21.73819483,21.72609041,21.74626444,21.38313182,21.2351889,20.92181889,20.81556898,20.77925571,20.61786344,20.48605974,20.47261039,20.46857558,20.25473081,20.32197759,20.37577502,20.93392331,20.74563232,21.4315495,21.36430272,21.24998319,21.16390731,21.16525224,21.17197692,,
China,,36.79976843,37.09491876,37.40079014,37.70655431,38.11427561,38.50055481,38.88683402,39.27257718,39.76735335,40.25944926,40.75765617,41.25253955,41.85366847,42.56565299,43.05972485,43.69794928,44.33504191,44.96372527,45.71709463,46.55301621,47.37735904,48.15908365,50.48587927,51.34335111,53.16550557,54.1411237,55.08436417,56.03950503,56.92924732,56.97159558,57.0245577,57.07730541,56.91155754,56.95840865,57.112532,57.0615,56.96651186,57.12378906,57.06439467,57.05753322,56.95707737,56.86037386,56.66064146,57.29489637,56.91558706,56.91515822,56.02445677,56.02199093,56.21250327,,
