"0-4 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Kenya,1056000,1361000,1611000,1912000,2282000,2785000,3347000,3969000,4454000,4626000,5131000,5948000,6879000,7307000,7433000,7545000,7794000,8096000,8275000,8276000,8188000
"Korea, Dem. Rep.",1537000,998000,1695000,1759000,2294000,2178000,1524000,1878000,1890000,2090000,1914000,1656000,1553000,1572000,1633000,1615000,1517000,1414000,1368000,1369000,1368000
"Korea, Rep.",3043000,3038000,3646000,4298000,4321000,4269000,3836000,3757000,3241000,3415000,3105000,2438000,2266000,2209000,2127000,2072000,1987000,1871000,1746000,1657000,1620000
Kuwait,23000,34000,44000,81000,138000,182000,215000,250000,304000,182000,209000,230000,258000,261000,257000,257000,263000,276000,289000,295000,297000
Kyrgyzstan,167000,264000,362000,428000,417000,470000,488000,565000,629000,597000,546000,507000,576000,581000,544000,491000,452000,451000,453000,438000,413000
Laos,272000,328000,354000,393000,446000,513000,548000,625000,728000,806000,851000,761000,801000,842000,881000,892000,867000,838000,826000,824000,815000
Latvia,150000,155000,165000,170000,160000,178000,173000,192000,208000,139000,96000,101000,114000,119000,116000,105000,91000,85000,90000,96000,99000
Lebanon,196000,255000,322000,360000,373000,388000,383000,385000,364000,390000,398000,337000,322000,330000,335000,333000,319000,300000,288000,285000,285000
Lesotho,119000,127000,142000,158000,176000,199000,225000,251000,264000,267000,278000,274000,271000,272000,270000,264000,256000,248000,242000,234000,225000
Liberia,138000,153000,203000,238000,264000,276000,349000,407000,392000,345000,492000,559000,657000,709000,746000,772000,791000,807000,818000,822000,819000
Libya,172000,196000,238000,292000,382000,481000,573000,703000,588000,545000,590000,663000,717000,723000,673000,602000,561000,573000,612000,629000,613000
Lithuania,222000,262000,270000,286000,269000,274000,259000,277000,290000,240000,186000,154000,153000,156000,155000,149000,137000,123000,120000,124000,129000
Luxembourg,19000,21000,25000,26000,24000,21000,20000,21000,23000,27000,28000,27000,28000,29000,32000,35000,37000,38000,38000,39000,41000
"Macao, China",24000,30000,23000,29000,24000,24000,20000,36000,40000,34000,24000,18000,23000,24000,25000,23000,20000,19000,19000,20000,21000
"Macedonia, FYR",175000,193000,186000,189000,173000,179000,176000,169000,164000,154000,134000,118000,109000,110000,109000,105000,99000,92000,89000,89000,89000
Madagascar,631000,816000,929000,1053000,1205000,1408000,1600000,1669000,2041000,2400000,2724000,2933000,3146000,3350000,3519000,3646000,3736000,3797000,3836000,3854000,3851000
Malawi,556000,585000,670000,769000,888000,1035000,1244000,1424000,1775000,1883000,2232000,2467000,2680000,2945000,3212000,3408000,3519000,3590000,3662000,3736000,3783000
Malaysia,1020000,1278000,1515000,1714000,1776000,1873000,1868000,2398000,2477000,2644000,2657000,2732000,2723000,2716000,2663000,2559000,2448000,2448000,2450000,2424000,2367000
Maldives,10000,15000,16000,17000,19000,23000,28000,35000,40000,39000,31000,26000,28000,30000,31000,30000,28000,26000,26000,27000,27000
Mali,688000,727000,852000,942000,1048000,1128000,1236000,1412000,1576000,1717000,1841000,2047000,2309000,2499000,2613000,2691000,2739000,2814000,2898000,2955000,2976000
Malta,47000,43000,42000,32000,23000,25000,27000,28000,27000,26000,23000,20000,18000,19000,20000,19000,19000,18000,17000,17000,18000
Martinique,34000,42000,45000,51000,49000,40000,26000,29000,30000,29000,28000,27000,25000,24000,23000,23000,22000,21000,20000,19000,18000
Mauritania,115000,128000,156000,181000,208000,237000,271000,305000,340000,375000,413000,454000,487000,506000,506000,507000,513000,519000,521000,513000,500000
Mauritius,89000,107000,123000,135000,115000,102000,109000,104000,98000,111000,103000,96000,88000,92000,92000,91000,87000,84000,82000,81000,80000
Mayotte,2000,3000,4000,6000,7000,9000,11000,13000,17000,22000,25000,25000,24000,25000,26000,27000,27000,26000,25000,25000,26000
Mexico,4773000,6100000,7165000,8192000,9486000,10920000,10998000,10794000,10983000,11427000,10976000,10593000,10042000,9398000,8782000,8470000,8315000,7996000,7572000,7148000,6791000
"Micronesia, Fed. Sts.",5000,7000,8000,9000,11000,11000,13000,15000,15000,16000,15000,14000,13000,13000,12000,12000,11000,11000,9000,9000,8000
Moldova,203000,321000,398000,393000,340000,371000,378000,419000,427000,328000,255000,188000,214000,215000,201000,175000,152000,145000,150000,152000,143000
Mongolia,127000,143000,164000,189000,216000,248000,273000,305000,354000,288000,238000,218000,238000,245000,245000,237000,218000,203000,201000,206000,207000
Montenegro,52000,56000,61000,59000,55000,54000,54000,51000,50000,42000,44000,40000,37000,38000,37000,37000,36000,35000,34000,33000,33000
Morocco,1598000,1814000,2096000,2455000,2828000,3208000,3124000,3496000,3461000,3291000,3087000,2964000,3113000,3198000,3146000,2987000,2819000,2719000,2676000,2669000,2613000
Mozambique,1100000,1197000,1339000,1501000,1681000,1893000,2177000,2370000,2360000,2781000,3166000,3687000,3862000,3958000,4069000,4202000,4327000,4394000,4403000,4384000,4364000
Myanmar,2403000,3245000,3533000,3812000,4219000,4782000,4993000,5309000,5067000,4797000,4535000,4604000,4633000,4606000,4428000,4206000,4040000,3943000,3887000,3851000,3753000
Namibia,76000,88000,100000,115000,134000,165000,188000,203000,234000,259000,263000,270000,281000,289000,297000,301000,299000,296000,294000,292000,288000
Nepal,1219000,1396000,1568000,1757000,1969000,2221000,2513000,2794000,3086000,3438000,3686000,3644000,3486000,3561000,3730000,3792000,3725000,3618000,3544000,3496000,3427000
Netherlands,1207000,1110000,1155000,1215000,1188000,1028000,885000,869000,938000,974000,982000,997000,929000,898000,914000,947000,956000,946000,922000,902000,900000
Netherlands Antilles,16000,22000,22000,20000,18000,18000,16000,17000,17000,18000,14000,13000,13000,12000,11000,10000,9000,9000,9000,9000,9000
New Caledonia,9000,9000,12000,14000,16000,18000,18000,18000,19000,21000,22000,20000,20000,20000,21000,21000,20000,20000,20000,20000,20000
New Zealand,232000,253000,289000,303000,297000,303000,257000,252000,274000,293000,280000,283000,291000,296000,296000,293000,288000,286000,288000,291000,293000
Nicaragua,211000,306000,365000,392000,445000,529000,608000,674000,692000,736000,705000,670000,682000,686000,672000,646000,618000,593000,568000,541000,513000
Niger,495000,524000,629000,758000,894000,1029000,1202000,1392000,1606000,1882000,2234000,2662000,3421000,3925000,4492000,5166000,5940000,6686000,7251000,7606000,7843000
Nigeria,6130000,7104000,7941000,8891000,9978000,11631000,13974000,16004000,17715000,19428000,21360000,23635000,25776000,26695000,26763000,26621000,26748000,27070000,27197000,26895000,26289000
Norway,319000,304000,308000,312000,330000,310000,261000,254000,280000,304000,299000,286000,297000,294000,302000,312000,317000,316000,314000,315000,319000
Oman,78000,94000,107000,123000,145000,179000,229000,292000,321000,319000,314000,291000,301000,327000,340000,341000,333000,323000,318000,318000,317000
Pakistan,5656000,6402000,7320000,8565000,10484000,12522000,14287000,16874000,20238000,20828000,21540000,22814000,24472000,26066000,26333000,26163000,26011000,26136000,26322000,26175000,25565000
Panama,139000,163000,194000,226000,256000,272000,272000,283000,302000,309000,331000,343000,344000,342000,342000,343000,340000,332000,323000,312000,307000
Papua New Guinea,275000,321000,349000,457000,431000,488000,521000,583000,655000,747000,861000,918000,971000,1009000,1030000,1062000,1086000,1093000,1088000,1075000,1060000
Paraguay,269000,319000,351000,391000,429000,442000,511000,608000,658000,689000,711000,729000,741000,748000,745000,733000,720000,708000,697000,684000,671000
Peru,1282000,1519000,1758000,2046000,2261000,2488000,2724000,2811000,2975000,3033000,3006000,2983000,2958000,2862000,2791000,2735000,2676000,2605000,2528000,2448000,2372000
Philippines,3500000,4378000,4988000,5666000,6343000,7003000,7818000,8551000,9386000,9993000,10243000,10415000,10879000,11022000,11114000,11082000,10945000,10779000,10582000,10323000,9997000
Poland,2950000,3525000,3511000,2830000,2549000,2866000,3242000,3423000,2953000,2485000,2003000,1777000,1850000,1850000,1757000,1589000,1436000,1362000,1363000,1372000,1344000
Portugal,885000,885000,902000,946000,822000,832000,810000,714000,558000,550000,536000,553000,524000,495000,467000,446000,442000,446000,447000,440000,432000
Puerto Rico,367000,355000,356000,360000,319000,329000,341000,327000,303000,316000,296000,260000,256000,256000,250000,242000,232000,221000,216000,214000,211000
Qatar,4000,6000,7000,11000,16000,22000,27000,40000,52000,51000,57000,60000,87000,88000,97000,92000,92000,94000,99000,104000,107000
Reunion,42000,56000,57000,65000,76000,62000,58000,63000,64000,66000,68000,74000,75000,73000,73000,72000,71000,70000,68000,67000,66000
Romania,1626000,1859000,1811000,1440000,2040000,1928000,2006000,1723000,1805000,1230000,1137000,1070000,1052000,999000,938000,863000,809000,788000,783000,772000,749000
Russia,10041000,12637000,13462000,12125000,9363000,10102000,10676000,11691000,11536000,8051000,6465000,6998000,7584000,7764000,7278000,6477000,5906000,5904000,6213000,6368000,6232000
Rwanda,414000,479000,573000,642000,761000,890000,1004000,1321000,1440000,905000,1315000,1513000,1743000,1964000,2015000,1988000,1996000,2074000,2173000,2217000,2187000
Saint Lucia,12000,13000,16000,18000,19000,17000,17000,17000,18000,18000,16000,14000,15000,15000,15000,14000,14000,13000,13000,13000,12000
Saint Vincent and the Grenadines,14000,15000,16000,17000,17000,16000,15000,14000,13000,12000,11000,10000,9000,9000,8000,8000,8000,7000,7000,7000,7000
Samoa,15000,19000,22000,25000,25000,24000,23000,25000,23000,24000,26000,25000,20000,19000,19000,20000,21000,19000,16000,14000,13000
Sao Tome and Principe,10000,10000,10000,12000,14000,16000,19000,19000,19000,20000,22000,23000,23000,23000,24000,24000,25000,24000,24000,23000,23000
Saudi Arabia,551000,628000,724000,878000,1053000,1311000,1819000,2175000,2663000,2773000,2766000,2844000,2874000,2980000,3039000,3027000,2952000,2837000,2742000,2782000,2809000
Senegal,408000,441000,545000,646000,787000,936000,1085000,1228000,1388000,1570000,1724000,1897000,2134000,2233000,2257000,2272000,2311000,2368000,2404000,2392000,2346000
Serbia,747000,804000,714000,718000,683000,734000,746000,761000,722000,682000,606000,592000,565000,555000,542000,523000,508000,503000,497000,485000,472000
Sierra Leone,311000,308000,341000,381000,425000,479000,546000,605000,671000,642000,701000,879000,980000,1055000,1102000,1153000,1199000,1242000,1275000,1299000,1316000
Singapore,165000,236000,302000,283000,235000,225000,194000,216000,229000,299000,275000,214000,197000,198000,217000,236000,236000,214000,191000,185000,195000
Slovak Republic,381000,486000,476000,428000,380000,450000,481000,456000,409000,359000,288000,259000,273000,279000,267000,245000,225000,215000,217000,221000,220000
Slovenia,149000,153000,138000,139000,134000,141000,146000,134000,120000,98000,91000,89000,97000,101000,97000,90000,86000,85000,89000,93000,95000
Solomon Islands,14000,18000,22000,25000,27000,40000,44000,49000,53000,60000,65000,70000,74000,76000,77000,79000,80000,81000,81000,79000,78000
Somalia,389000,472000,526000,590000,678000,781000,1228000,1080000,1175000,1147000,1340000,1530000,1667000,1854000,2026000,2218000,2397000,2526000,2598000,2643000,2688000
South Africa,2088000,2496000,2841000,3180000,3652000,4142000,4504000,4896000,5095000,5059000,5075000,5239000,5156000,5112000,4929000,4788000,4676000,4567000,4435000,4261000,4133000
Spain,2742000,2779000,3016000,3074000,3209000,3290000,3120000,2504000,2059000,1909000,1861000,2187000,2465000,2554000,2427000,2243000,2189000,2290000,2454000,2524000,2489000
Sri Lanka,1289000,1403000,1621000,1678000,1776000,1800000,1913000,1911000,1764000,1739000,1584000,1747000,1781000,1723000,1590000,1451000,1387000,1377000,1349000,1294000,1208000
Sudan,1654000,1827000,2085000,2365000,2720000,3180000,3694000,4246000,4630000,5140000,5590000,5717000,5919000,6056000,6201000,6313000,6369000,6347000,6278000,6192000,6097000
Suriname,37000,47000,59000,64000,64000,56000,46000,50000,47000,46000,50000,52000,48000,47000,46000,45000,44000,42000,39000,37000,36000
Swaziland,49000,55000,63000,73000,85000,101000,118000,139000,167000,166000,159000,158000,161000,168000,172000,170000,166000,164000,164000,163000,159000
Sweden,606000,536000,504000,555000,581000,551000,487000,427000,553000,594000,459000,491000,543000,545000,563000,568000,553000,543000,555000,573000,584000
Switzerland,420000,415000,444000,515000,502000,424000,356000,368000,390000,421000,393000,364000,367000,369000,386000,402000,409000,411000,417000,432000,453000
Syria,582000,753000,880000,1037000,1230000,1472000,1791000,2152000,2274000,2197000,2271000,2587000,2913000,2927000,2750000,2602000,2535000,2531000,2494000,2469000,2403000
Tajikistan,172000,280000,394000,498000,501000,585000,632000,769000,934000,918000,883000,860000,888000,952000,967000,930000,867000,816000,785000,765000,761000
Tanzania,1461000,1619000,1899000,2212000,2583000,3025000,3532000,4045000,4637000,5289000,5931000,6894000,8012000,8975000,9529000,10002000,10482000,10959000,11346000,11576000,11673000
Thailand,3388000,4232000,4973000,5759000,6268000,6315000,6137000,5845000,5411000,5379000,4966000,4842000,4850000,4815000,4681000,4551000,4438000,4354000,4298000,4239000,4161000
Timor-Leste,71000,76000,83000,92000,99000,111000,78000,117000,119000,145000,163000,166000,201000,238000,274000,295000,302000,307000,320000,338000,352000
Togo,224000,247000,272000,305000,391000,461000,530000,622000,698000,748000,842000,914000,970000,1029000,1058000,1078000,1095000,1108000,1114000,1110000,1097000
Tonga,9000,11000,13000,16000,17000,15000,15000,14000,13000,13000,13000,14000,14000,12000,11000,11000,12000,12000,11000,10000,9000
Trinidad and Tobago,106000,119000,140000,146000,126000,124000,128000,154000,141000,109000,93000,91000,95000,97000,92000,85000,79000,76000,75000,74000,71000
Tunisia,576000,637000,765000,858000,874000,907000,1003000,1086000,1105000,968000,819000,766000,797000,834000,830000,809000,749000,706000,699000,707000,707000
Turkey,3425000,4150000,4735000,5080000,5672000,6355000,6783000,7065000,6634000,6885000,6927000,6549000,6569000,6474000,6329000,6148000,5975000,5888000,5807000,5715000,5596000
