Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Estonia,355.8287421,400.3282177,438.8496058,403.7350904,415.3761584,403.9886335,408.4166592,447.1987892,514.0864812,572.6321839,636.8366977,703.2419874,841.8753379,1035.97147,1048.634052,964.8011335
Ethiopia,4.65922305,4.91636287,5.65810345,6.7499462,8.02886982,10.76278774,13.63290913,12.91492885,14.06118228,13.95926585,15.92821278,16.45223875,21.64922429,19.78143516,22.54365727,27.10718295
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,73.26854534,82.96192597,89.52900917,82.12978099,86.51061903,111.4487906,94.10334858,106.9559637,104.2629389,120.4774873,126.9345243,136.1156216,126.9454883,126.649043,137.2921318,139.1299291
Finland,1057.684082,1107.900103,1165.234293,1201.940478,1244.138917,1320.417492,1417.967815,1557.522269,1678.142636,1838.656534,1951.432116,2068.488958,2163.985573,2351.331413,2409.731666,2462.455624
France,1670.326651,1716.510583,1771.532142,1835.434466,1904.763716,2020.788336,2157.527301,2328.219954,2354.354905,2452.609442,2598.612006,2743.538183,2875.466679,2953.326507,3093.413786,3130.101688
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,136.7025986,147.1489699,131.2365335,188.6379915,127.7381803,123.0022828,144.1160318,138.3005792,178.460943,170.8323858,142.948035,159.0205922,179.4633262,167.661096,244.9546832,276.1115905
Gambia,15.85763276,14.53857194,14.07111827,19.14887874,19.69961337,20.05629881,23.44777617,22.64164945,32.08507482,42.30333883,39.31204299,39.31149353,31.47291173,32.80579407,44.56079725,40.50507667
Georgia,5.4198951,13.41473327,26.13641091,22.18301585,22.35715527,24.37792913,31.11941129,34.0792959,35.14017641,40.21411126,57.98235368,70.91979237,67.51769339,87.10235207,108.3619792,123.3835436
Germany,1851.309034,1967.959348,1949.051633,1988.652476,2067.377137,2129.923917,2225.566321,2326.690534,2429.611751,2432.043118,2577.063543,2725.368821,2846.138609,3033.489331,3242.668572,3339.321031
Ghana,23.87425117,24.2142189,24.72428492,25.56179738,22.84614863,21.82836767,31.34268727,24.02423605,26.54805834,42.95984034,56.25655913,38.91443072,51.96204684,48.6095992,43.48282784,50.49545882
Gibraltar,,,,,,,,,,,,,,,,
Greece,655.889244,687.3931128,715.2159368,719.2068347,783.9874641,870.5172621,1065.921616,1139.624852,1212.301691,1236.363218,1414.122556,1617.740169,1643.7241,1797.123762,1882.911936,1694.741844
Greenland,,,,,,,,,,,,,,,,
Grenada,124.5454416,131.63358,146.4346042,157.6082027,206.791718,267.3618021,349.4600539,283.4471416,270.1883398,237.345694,290.8757862,318.471836,309.9580537,289.8681771,314.4744979,267.1572839
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,39.30372501,37.564492,44.27705482,64.66903825,79.48288582,77.09789675,85.72382564,81.05669345,88.16593587,85.0025435,87.29729525,104.9315383,110.5884555,113.6242305,120.2123164,113.9496932
Guernsey,,,,,,,,,,,,,,,,
Guinea,7.32153964,7.08522708,7.86973162,6.93731405,7.92112,8.2902851,10.29114582,10.87456295,11.89643533,8.3340947,5.4772751,6.84063826,4.48172214,8.37558973,4.9237031,6.35699294
