Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Equatorial Guinea,,,16.50858984,17.35692771,18.90911445,18.63625833,18.35238509,20.42784106,20.79983072,6.715117515,19.87853205,20.39097478,20.83135166,18.0367372,16.63352848,14.98171129,13.16855812,13.48761251,,,,,,,,,,,,,17.38458325,50.69860234,24.20612012,21.97469147,74.10361423,76.32274923,113.5778554,65.68018619,91.59313854,,61.3492001,71.88887226,31.67529498,59.67865864,43.73415866,39.85952818,32.47553582,35.27687426,25.86032149,46.65098845,29.21003316,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.810856542,16.99501349,25.13739619,22.53669613,27.58925736,31.28072738,32.28685945,45.5141791,23.78385578,36.69748362,29.84431774,24.895594,18.88621761,19.73769139,13.29453777,11.01187434,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.52592865,32.88765228,32.68452196,30.22439635,26.23623154,26.85740011,26.20780621,27.04804558,28.20643859,28.13528999,30.89086156,31.00932914,25.30798436,28.38863811,27.91142747,32.28857735,33.14758251,33.06636375,33.78496825,38.69797633,39.64062185,29.48237208,18.66743516,19.97443695,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,14.50556319,14.69082112,13.02580999,17.76891354,11.42974715,16.96942202,16.1337415,23.38364447,13.54478752,12.93534051,11.06835527,10.71359547,16.52987789,16.37967509,17.95807832,16.60465852,19.7504154,21.15280729,21.91433626,20.27967831,21.45324651,23.92655274,21.8438174,25.46706404,22.99423932,24.22768205,23.45764022,19.86931961,22.4752515,21.4765582,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,19.7309417,19.69860065,15.67622951,17.12062257,19.87410072,19.77739726,20.55137845,19.95412844,25.92592593,24.9215317,22.15849844,24.82302973,23.95713739,22.22878471,18.91111111,20.62588435,21.49158972,23.17831643,22.75704927,31.04904952,31.83897219,34.28327968,25.56364036,21.14340627,18.92103819,19.06570452,18.21851269,16.03194103,12.88107836,13.43001883,14.28282828,15.71498531,12.76549537,15.97858418,13.48974704,22.65689848,16.70013387,18.3123284,28.1799678,22.78514103,17.26179119,16.12959132,19.74052194,21.99496145,19.13145763,22.9782072,22.47665112,21.14640195,24.41720929,,,
Finland,,,,,,29.63855887,28.08335813,25.41315628,25.37787939,25.91562615,30.71864649,30.82270676,28.38278387,29.81208088,35.72891225,34.8984349,28.20124187,27.00485891,23.53984441,26.80054199,30.1500436,27.33439745,27.44917258,27.01297047,25.9125681,25.42269372,24.34965942,25.06346607,27.43392173,30.43859961,28.47530118,22.13642818,18.77281544,16.3167052,17.50260169,18.1899567,17.77748636,19.17396163,20.36594044,19.5583751,20.86463179,20.47197174,19.14567757,19.41648171,19.99198771,21.84667374,21.30365276,22.88828338,22.38164485,18.52212523,18.64167237,
France,,,,,,,,,,,26.45364671,24.93191046,25.21338319,25.88593823,26.81458581,22.56280759,24.20027615,23.35573029,22.0906439,22.57844951,23.43883515,21.0423955,21.30265714,19.20235517,18.56427855,18.5109058,19.15292041,19.57588938,20.70280838,21.57866944,21.68321424,20.86747657,19.24451698,16.81629014,17.65183783,17.9146467,17.02931589,16.83457806,18.15769373,18.80866153,19.89173546,19.55559452,18.591326,18.46037263,19.21669437,19.96995542,20.8628738,21.9641097,21.94817376,19.10052291,19.35274719,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,31.95530012,31.96954329,48.11059908,37.55431409,51.7621738,62.67301038,73.49464609,58.0701246,35.0148368,32.91964009,27.53815528,36.35064316,35.0155606,35.18532848,32.96491454,41.99266911,46.36463901,26.36114776,37.47482714,26.30475477,21.67715661,26.46803177,22.42511447,22.44852419,21.86759487,23.30316662,24.8489416,30.76131384,39.55765673,26.16858187,21.90205643,25.70939011,24.51185415,23.95510111,24.39313895,21.31041185,25.8745903,25.90147887,24.37988701,27.03550034,26.68223841,
Gambia,,,,,,,8.178087397,9.187747958,10.59035569,10.04110521,6.88981184,5.593104803,7.226608953,8.11996875,5.957077486,8.545018007,11.75145724,13.27858168,23.13291071,29.08966524,26.69547387,25.33390221,22.46033057,18.88316547,18.31340466,15.0861832,16.59925327,17.12583291,16.35596285,20.36525845,22.34319423,21.89449681,22.1738284,21.00038928,18.11787944,20.18485776,21.56743011,17.19999989,18.39999894,17.79999988,17.4,17.39989384,21.19994191,20.3,30.01570289,26.81586762,28.36396748,22.93536067,24.73164474,25.93441088,25.9,
Georgia,,,,,,,,,,,,,,,,,,,,,29.10381544,25.36585366,26.42526965,31.45896657,32.8113879,34.30397727,29.88338192,28.55133615,30.94751193,28.01393728,30.72812291,28.19843342,23.38828575,5.999914618,2.646569783,4.032903957,19.59585734,17.83735273,27.17043795,26.45301458,26.58150602,30.3277558,28.50108381,31.32071123,31.90818392,33.48728072,30.85815361,32.05590516,25.95885438,13.02602688,19.53039022,
Germany,,,,,,,,,,,30.50529713,29.67075223,28.53401566,27.30951807,24.67617613,22.78036582,23.84272153,23.50223739,23.78331202,25.58460135,25.37632861,22.95167984,21.59440762,22.32959799,22.10824137,21.56109442,21.57991794,21.02773252,21.71022072,22.61864731,23.15892455,24.03948912,23.48823101,22.1627674,22.45875884,22.337571,21.27786667,21.33117223,21.84722151,21.79682032,22.2998779,20.34587754,18.07241347,17.85285215,17.63082388,17.26892645,18.13475085,19.26086061,19.375859,16.54032428,17.34334625,
Ghana,24.38463308,20.11185201,17.12259372,18.72386839,19.49522731,17.88052373,12.85563751,10.31044318,11.10457635,11.79087301,14.15039997,14.11717675,7.10378648,9.025477309,13.04693005,12.72572509,8.884190142,11.0638337,5.374986374,6.537453032,5.624007949,4.572742206,3.377635754,3.749769202,6.876999737,9.570000231,9.361999788,10.43399963,11.29599975,13.20899983,14.44400089,15.8789992,12.80000014,22.21017019,23.95773295,20.02141466,21.2,24.80621254,23.10938945,21.0005345,23.9986005,26.5994216,19.7,22.93692854,28.37750713,29.00214024,21.6357464,20.10768382,21.45229834,22.86199488,26.702597,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,53.31139039,9.720062571,24.29093991,2.388235314,17.12782105,29.91664808,33.81561907,37.13250024,42.94655727,34.02463515,32.39233082,33.98677928,30.01411845,29.15873386,28.54530463,27.22995984,22.25458147,26.49447362,25.47694008,26.51074389,27.87945685,26.98067863,20.52962555,23.65280673,23.88982952,24.51077664,25.26528821,22.60109704,21.50901288,20.27015229,19.98769223,20.92060201,21.22559186,22.58122751,23.82614901,25.27511981,25.15329988,24.18042993,26.53102505,24.39611557,21.40471732,24.2197668,25.69147574,23.67715703,18.31324954,16.19241166,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,15.76717372,11.29509815,26.53109482,27.06413891,41.34007585,41.65370255,37.17934426,27.48343109,26.54765123,29.96167868,33.22111977,33.69861914,34.13989709,38.11422642,37.88482767,29.44779773,31.15287997,35.90831919,32.07774799,35.24561315,37.79726333,36.60000174,39.88093995,34.51995764,27.52993475,24.79290682,31.47369696,31.9753922,40.01589715,32.39139584,31.7347834,26.9029629,23.55570042,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,10.3008822,8.916133422,8.779293459,10.55590751,12.81656626,13.30929912,10.7571724,12.94117619,15.1443654,11.40841829,12.82563025,14.38432084,12.12582705,13.68519315,18.59876697,16.09479127,21.40517151,20.03831685,21.61894914,18.74511002,15.86556151,17.03165861,14.14477436,11.07182273,11.57233353,11.49741929,10.33274395,13.91056459,13.69919727,13.51511106,13.60261471,14.29528044,18.32531872,17.24628543,15.68129958,15.0551087,12.68678211,13.68454175,17.39551622,17.35399323,17.83538743,19.65915941,20.55390913,20.30060197,20.8465549,19.73591542,20.82414381,20.83105867,16.40208672,12.90089523,14.66361126,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93001653,16.25847244,17.08733976,17.18292446,24.52581653,22.38414273,21.22030612,21.69626366,20.99290156,21.39362807,20.78250622,21.00870923,19.4380518,19.84738873,19.70316575,16.14214459,14.04351933,21.6155769,20.72765608,19.53442137,17.22913437,14.24378955,15.57571234,21.26501369,20.09577315,
Guinea-Bissau,,,,,,,,,,,29.5729573,28.00028375,22.75215012,20.88986142,16.8152449,15.39739868,16.25866361,19.78042613,21.69513359,21.83707726,28.18096136,25.74570806,28.25951848,22.66194452,37.7245507,35.10014279,23.77964577,35.21446483,44.70130371,38.98193216,29.92581883,30.98937433,48.39673911,30.85746914,21.77070413,22.30105481,23.05207553,23.99925484,11.33500821,16.8,11.3,15,9.645685417,,,,,,,,,
Guyana,28.27278958,23.97991212,16.63674446,16.89346167,16.05271039,22.23448276,23.86831276,25.8170703,22.26332971,20.81829122,22.75952203,18.63144938,19.83981417,27.21774194,26.40620002,33.06105174,37.45269008,29.07441902,20.5095848,30.99313852,32.75862069,31.37132248,24.96542185,21.38964578,27.42032366,35.79487179,40.13825122,31.10791125,21.14548156,22.23620599,31.13309837,41.15957034,52.4949309,41.5093323,27.22287785,33.2286832,31.85720689,31.88794197,28.92075509,24.99795473,23.77598247,22.06248582,20.96648326,20.98416079,23.60247223,24.7847737,28.63777726,24.05154592,21.36677692,25.65690259,26.73256622,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36798141,22.12021647,13.83731975,10.20056948,26.08951852,28.13102946,24.52921026,26.00441291,27.6980391,27.33694251,25.85530922,25.06700132,30.69356536,27.3429876,27.41809742,29.34380753,30.48112307,28.84432739,27.41097923,24.99868929,
Honduras,13.89840674,12.1841662,14.89361641,15.9556314,14.61706783,14.61712376,16.03782115,19.65390456,18.49876268,19.37125656,20.88520055,17.0998632,15.94022479,19.06849382,26.19623006,18.95017794,19.21365076,23.06079709,26.56128575,26.78214562,24.76617272,21.06756517,14.10366783,13.84465403,17.414884,17.32380852,13.85059723,17.41119821,20.99232515,19.14070098,22.97997926,24.65367169,25.96276596,33.55811186,37.63079482,31.55677607,31.12869795,32.16842517,30.92648854,34.67365363,28.28842304,26.00096544,24.25839451,25.28089752,29.66555104,27.62352097,28.34192448,33.66529613,36.06587332,19.84578915,22.95565735,
"Hong Kong, China",27.68868619,25.06479788,26.73807056,31.68165424,34.3075378,34.90823057,27.65480527,20.11635423,16.61927521,16.36719353,20.41125541,24.37422599,23.45187764,22.90717954,24.22135058,22.95680594,25.38762452,26.54393488,28.75796401,32.68108022,34.84679433,34.99841008,31.00436011,26.69664438,24.44652383,21.50905091,23.42465668,26.03871007,28.27972359,26.39818151,27.02829952,26.78553838,28.04981356,27.12748762,31.21998721,34.05984733,31.57820251,34.00702112,28.85909571,24.84597385,27.45600121,25.32169351,22.83581015,21.92221815,21.83644072,20.57074042,21.7277581,20.93416953,20.44303824,21.30717576,23.71357072,
Hungary,27.83294526,27.66604051,26.96260056,28.58963198,29.49477191,25.51931217,26.22699483,30.22550237,30.92358143,30.55290261,33.5960523,37.66582513,31.74442398,29.65156664,35.75313845,37.78165935,36.16567976,37.20936641,41.31038171,34.27628941,30.68605927,29.66257732,28.51919691,26.45735508,25.73186735,25.00082232,26.88638868,26.70352341,25.31846117,26.59009898,25.38791459,19.73071165,15.50837613,19.24960668,21.4067935,21.80161105,23.7736742,25.03148046,27.65015606,26.09193449,27.10020829,25.24386089,24.67003691,23.64922826,25.90483105,24.53596404,24.14014703,22.43102321,23.54211042,17.93261925,18.40314118,
Iceland,,,,,,27.86855653,29.48427575,33.01708796,33.49657078,26.25401175,24.98067461,33.40698115,28.47428673,32.37336392,36.34654948,35.47881642,28.77936781,30.02875053,24.79890987,25.06737767,27.05295766,26.79271562,28.04197618,21.02082149,23.17156743,20.76970833,18.43147696,20.70358518,20.83553593,18.80489241,18.97692031,20.03110825,18.10412662,16.91151925,16.00556642,16.34202006,18.95000612,19.6891429,24.13837417,21.80308742,23.23490497,21.27328289,18.19705773,19.77595219,23.49740766,28.19340361,35.60740611,29.01530169,24.68167079,14.03264446,12.78493368,
India,15.12708006,14.78688983,15.66631992,15.78185044,15.59417909,16.13006853,16.37286746,15.0055207,14.16437799,15.1115525,15.59168847,16.70940775,15.97149713,16.47799121,18.13811746,18.78985051,18.91769788,18.46861746,20.51701071,21.20993819,18.54853133,22.1872896,21.42374868,19.49075219,21.35252018,23.46568087,23.02710155,22.00016207,23.63737866,23.72212334,24.15593444,21.97626804,23.77280621,21.22036717,23.52623247,26.5934337,22.12079207,23.90093232,22.63500607,26.10188854,24.16427803,24.17957903,25.23832164,26.77217664,32.81839635,34.66205008,35.67035395,38.1421082,34.51974099,36.47502523,34.76938474,
Indonesia,9.223300971,11.89516129,6.529453217,9.539279025,14.05419766,7.785771303,5.265636681,9.316455987,10.24144399,13.57840033,15.83171336,18.37376471,21.84273113,20.80875088,19.52148391,23.66430628,24.10430413,23.383722,23.88792843,24.82600703,24.06827847,26.69408814,27.75663845,31.32082225,26.83359001,27.9574169,29.54619372,30.19350782,28.84452852,32.56399193,30.66824692,31.55396205,30.47788733,29.47842335,31.05729336,31.92813907,30.69149842,31.75126178,16.77496379,11.36740113,22.24569693,22.53926632,21.40407021,25.5984989,24.0563656,25.0814094,25.40021729,24.92028385,27.81624458,30.99851865,32.48723922,
Iran,,,,,,27.23923127,27.33818962,26.5237611,32.33914921,30.22563733,29.92904206,24.5566716,31.18005029,25.47048276,16.9472159,23.05141004,28.36469598,29.59494686,22.24516755,13.72150359,31.14012067,27.14384236,19.88565832,27.42804154,24.30359059,21.10787367,17.47860399,21.37613218,17.32526493,21.67295318,37.18270512,45.7036996,46.26824901,33.2775313,22.73578789,29.19564001,35.88149276,35.74561036,32.84225246,29.74449294,32.97658584,32.86023302,35.09779703,36.28602008,36.01845477,32.6937838,32.55676059,33.15896991,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,23.13578763,22.72475666,23.7364836,25.41558308,27.48763155,22.10564124,24.0572009,26.44451244,27.50539335,31.2807211,26.35677929,26.87606492,26.30912086,22.56858996,21.55818852,18.90349186,17.74652082,16.1599774,15.75269394,17.77450508,20.78406174,18.99367526,16.06266825,14.93524112,15.94396527,18.22155759,19.71086905,21.43294182,23.3337124,23.74353796,23.87276654,22.62173519,22.04362197,23.26805455,24.62295543,27.12847193,28.03351776,26.06209067,21.57555447,14.3394232,11.04054734,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,19.10183816,20.47811217,22.81700256,21.06699463,23.5089608,26.05095541,21.08040201,16.86517783,23.2517861,26.58869152,28.42631495,31.96479686,31.28564282,25.79446967,35.74939673,31.26559122,27.28587465,24.40583739,27.04990524,27.09822432,22.39902519,21.12027999,23.47787944,23.34217058,21.68674772,19.35858177,19.12606645,19.60333773,18.3653686,17.32868383,25.09661677,25.39023394,24.85872247,25.18544798,24.12136882,24.70616704,24.55472629,23.59045683,21.75391542,21.99110413,20.96571249,20.53328181,18.86369579,17.83748846,17.95570878,19.18174274,18.79356775,19.5463623,18.45850456,16.38508523,15.57259536,
Italy,,,,,,23.14670744,22.62348846,23.52983352,24.14562939,25.23907986,25.97065969,23.80179247,22.90412229,26.32306879,29.73045586,23.74499026,26.56153302,24.40865086,23.85521294,24.38804527,26.73121433,24.65968601,23.70194988,22.21793449,23.27996661,23.13930234,21.71844873,22.09827988,22.54828084,22.29838143,22.34459973,22.0201375,21.53838648,19.04649112,18.98174345,20.01503307,19.30259997,19.45603083,19.69109463,20.18153204,20.8246946,20.71802603,21.31806394,20.88194628,20.99515588,20.89294286,21.80563319,22.11556135,21.63848286,19.16066852,20.39605718,
Jamaica,29.72405945,28.31202813,26.71761809,24.16798811,26.92313603,26.51209677,28.01889201,29.27592013,34.87599646,35.15664236,31.53938324,32.08827199,27.33652917,31.50183092,24.32382364,25.76911248,18.21317398,12.22624689,15.0452192,19.21863622,15.90580534,20.29810259,20.86891252,22.25876617,23.12229461,24.30381151,16.94417289,20.6490653,23.62214149,26.61116531,25.88439225,24.3642758,29.82855884,28.33054121,26.82756341,28.72821938,29.07355809,29.16117356,,,,,,,,26.83429287,28.31630336,26.64064795,24.02360656,20.47227475,20.6042748,
Japan,,,,,,,,,,,39.12346663,35.84971976,35.62193681,38.17085122,37.41585797,32.86356262,31.92774924,30.93375983,30.99138109,32.58085855,32.32903158,31.24639462,29.94258019,27.95863162,27.83375785,28.36012943,28.12515875,28.65825527,30.84215096,32.01728656,32.72021609,32.44444549,30.753908,29.42669581,28.24915861,28.34003985,28.87429561,28.34158289,26.25602737,24.84762733,25.43997404,24.75419398,23.06899768,22.84851538,23.03820131,23.56645269,23.79341255,23.69396051,23.55451551,20.1966209,20.22400955,
Jordan,,,,,,,,,,,,,,,,,35.330654,41.08515671,33.76106762,31.59021407,36.68558841,45.38215477,38.25759802,32.25241975,28.82810134,20.53757054,20.53521908,23.3451055,23.51616322,23.74267527,31.85923622,25.86599419,33.47828522,36.630074,33.29477658,32.96356014,30.52338005,25.71968153,21.81386626,21.56436321,22.35331367,21.04502693,20.08564617,20.70978092,27.37595789,34.14874844,29.62325734,26.14657475,23.98463764,14.78217027,15.3319661,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50912106,20.02508233,28.70407454,19.88853173,20.52549261,19.62815968,20.46085895,13.70422954,18.53155135,29.73267065,33.84198242,28.88667682,26.26090855,30.07799983,33.42439343,35.52669949,27.5064843,29.41456452,25.10594638,
Kenya,19.71726891,15.19068209,14.55296511,12.93949162,13.06420312,14.39394343,18.61024061,20.1726488,20.04882893,19.37218009,24.39667517,23.91598703,22.32261493,25.81123762,25.75656642,18.1415643,20.23939873,23.65719125,29.76001717,18.1327783,24.50714062,22.91344169,21.86021484,20.92506552,19.81103195,25.32482373,21.76803717,24.28943287,25.44904102,24.86207759,24.1640929,20.97051486,16.92083908,17.61043506,19.29324297,21.8197611,15.00382269,15.14098814,16.69271641,15.52141487,17.41409062,18.79034052,15.13821589,16.48214939,16.96249556,17.64968479,18.48987386,19.02631724,19.20624222,19.40068139,19.29795885,
Kiribati,,,,,,,,,,,,,10.99797622,9.398902187,6.001644286,4.800722485,6.599284994,6.398992645,20.69873418,14.61917751,33.11458036,49.67650865,63.31178824,59.33578206,48.82210581,57.52000525,73.19751763,73.16573502,61.30462318,61.02193686,93.12930963,45.54924291,38.40211576,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",11.42533958,13.36736962,13.35706675,18.71777275,14.39592651,15.63596168,22.52807897,22.95326248,26.99462014,29.97878075,25.35547596,25.53875844,21.65058441,25.60327123,31.99017704,28.67678917,26.65385019,28.69423577,33.08358187,36.09490765,31.81001112,29.57407335,28.67756848,28.99460182,30.27585583,29.9654656,29.11794175,30.29998854,31.37658037,33.92944263,37.51368573,39.73182306,37.29154483,35.73170081,36.95484118,37.66695074,38.87282644,35.97112239,24.99696345,29.12342143,30.56233381,29.1619385,29.19679978,29.88833337,29.93268655,29.6872051,29.62195726,29.42705379,31.21128532,26.27683851,29.15261842,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.59682963,26.16813261,28.63225916,27.4175966,30.45141449,
Kuwait,,,13.01684533,13.99116348,13.37837838,15.75433912,17.68149883,21.33027523,17.98107256,19.11021234,12.12121174,9.379071212,9.303278689,9.513122813,6.776816269,12.7244047,16.54295922,23.3159721,20.2354422,13.65098386,13.92068174,16.63087841,25.19356902,24.78597583,21.02413152,18.85428376,22.10997518,17.54423374,15.69580191,12.29892537,17.62511305,41.85571049,22.36334064,17.19154166,16.15176208,14.75228001,15.10186355,13.64253517,18.45177104,14.5597712,10.66551426,14.30707411,17.12683348,16.63278895,18.1880459,16.4286017,16.15880556,20.4567079,18.41664374,13.91746032,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.27035831,31.08504399,35.46666667,24.19362378,15.37655321,19.91838748,11.66657329,9.013578275,18.340097,25.19733496,21.68013114,15.44407192,18.02621085,20.0099688,17.99933138,17.60671864,11.82998704,14.48838801,14.27206559,23.79611266,26.64299703,28.94896003,27.27035541,28.38370156,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,6.178861969,7.042253914,6.931279721,10.18907514,13.50085182,,,,,,,,,,,,13.89763114,14.09430966,17.53832313,16.72725077,22.69690798,23.46279307,25.60677043,32.53207182,30.00918478,30.68688001,26.0599721,
Latvia,,,,,,,,,,,,,,,,,,,,,25.55668016,30.0094518,30.69630967,31.37606455,32.93155402,35.43743079,36.46112601,36.99006553,36.35998393,35.68814056,40.08648302,33.73451945,41.23529852,9.176550784,19.12362301,14.30564707,17.35639284,19.53184204,24.07953061,23.43256888,23.70991059,26.60776903,26.67442355,28.75275819,33.03403317,34.38972966,39.68992803,40.39200097,31.17413316,20.27773117,20.66850216,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.76989423,19.28848047,25,29.09999958,36.65279338,36.45508364,34.79249868,29.21649485,28.40261578,22.83110247,20.41122214,22.81354531,18.74826822,19.16102395,22.17858556,21.90562889,22.85815645,27.69967967,30.45539751,34.30834394,32.68340778,
Lesotho,2.024291498,3.921568627,7.023411371,8.630952381,9.703504043,11.47959184,10.12345679,11.57571462,12.30348599,11.67232598,10.18329939,9.140767824,11.25401929,14.26872771,12.68292683,18.08318264,34.26791277,23.7953599,25.02157032,32.746623,37.0427413,37.59910945,43.48404663,28.92566073,36.16177823,43.47637403,40.30745307,40.21116305,45.58910374,52.04680848,56.05274114,71.99360913,72.57062975,65.42455145,66.49961551,76.36622313,76.6944948,62.505461,48.94055693,56.58425871,44.15852576,37.76728251,32.94308834,32.38862177,26.6129175,21.97734974,20.65417151,24.21078501,27.85445032,28.01507167,28.01917625,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.949100439,4.740478881,9.375191024,13.19547893,16.44312779,20,20,20,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.61576054,13.1121256,12.15071795,16.28054008,16.33089194,12.16104869,15.50164204,12.36129762,11.96044577,11.18891011,13.36866054,12.89834845,13.95238095,21.1314755,11.54749772,9.922241877,21,25.4,27.9,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6119403,24.28915663,15.73399883,19.16652342,18.41812627,21.29258219,19.85260959,23.87744725,25.1927084,22.1840927,18.88938448,19.28515181,20.69210545,21.87768832,22.70271046,23.90813817,26.33526104,30.87035354,26.70927677,10.60865065,16.7706228,
Luxembourg,,,,,,30.29748397,29.32157946,35.24930781,30.83925266,29.66760522,21.07990874,24.23793822,23.2854318,22.10940557,17.29829409,18.70485505,18.59273253,16.66619204,20.3744545,18.01958555,20.60602013,20.04867876,20.29679301,19.88918957,20.20353895,16.57054373,19.8348835,22.57367645,23.31110538,23.01723208,23.69289252,25.32452792,22.02786486,22.1928537,20.993799,19.60450818,20.19105377,22.2396122,23.33616621,23.94301748,23.15482305,24.42861383,22.02873422,22.16781566,21.76836308,22.53611822,20.32417262,20.922367,20.76223803,17.10900018,18.67216001,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,24.80775556,27.37644415,24.73012692,25.51974815,28.24899977,27.40915442,27.7777546,27.0383073,24.98069042,30.26342077,34.65348844,34.61369587,34.68972653,28.51839823,21.41941424,20.5216794,17.74301229,17.67562219,11.62293754,9.738534741,10.53795988,14.39121702,16.8842654,26.55339053,34.54915728,37.56529321,31.07167773,18.874208,12.39487178,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6681048,17.68151537,15.4851171,15.99319863,15.46557931,20.75787562,20.08816559,20.97339169,22.26285817,19.69809093,22.25390245,19.08048631,20.60714072,19.13815412,21.98545118,21.32261432,21.49884865,24.63844116,26.81500717,25.89937726,25.41623768,
Madagascar,6.961362626,5.835514228,5.044498602,6.758229779,7.070196459,6.500633979,8.532813147,9.26474201,10.31932146,10.78345465,9.912717356,11.21947331,8.819759308,9.097383563,8.660184036,8.13715832,8.134726157,8.078257058,9.586574374,16.09393069,14.9624297,11.47824609,8.485740466,8.365155605,8.61949947,8.546173721,9.039490141,10.10653084,13.29437769,13.38945389,16.97190721,8.243237511,11.20868275,11.4475837,10.90312524,10.94240116,11.63700426,12.81397167,14.78140183,14.92042787,15.0449648,18.49970244,14.26292655,17.89299106,23.37860039,22.19812842,25.29433982,32.38428505,40.3926039,32.95569919,,
Malawi,10.30927835,12.75060144,8.333333333,9.831254585,7.692307692,13.97193411,17.41935484,13.51074719,16.10376897,18.37471783,25.73316811,19.16996047,24.39324117,22.39010989,27.32394366,33.71719841,26.25816993,24.68406593,38.44136227,30.23713241,24.7438058,17.62476362,21.40333976,22.7974958,12.87923206,18.58707419,12.46992619,17.27067447,21.41806247,24.55676623,23.0404651,20.23570508,19.93461147,15.17122593,29.09818189,17.39213909,12.32708613,11.59881209,13.4650222,14.65000726,13.56469857,14.89652951,16.13728215,17.10343239,18.21469074,22.68482148,25.67148245,26.95725734,26.27640155,24.88804349,24.77208507,
Malaysia,13.77000256,16.11213079,18.80757005,18.29461522,17.96600019,17.76148154,17.71300485,18.28583141,18.26633835,15.56052841,20.18863674,20.19317404,20.9484915,23.00707071,27.72705652,22.77976634,21.25947717,23.20885635,24.01781591,26.03909666,27.39662298,31.50825202,33.58566414,34.07809997,30.2232889,24.83870249,23.40176532,20.87293448,23.54316187,28.14689208,32.36032596,37.79075361,35.36255264,39.18393709,41.20229269,43.64009785,41.4790355,42.97308418,26.67533078,22.38199956,26.86748915,24.39821997,24.77734315,22.76338506,23.0495646,19.98583583,20.45310136,21.55645441,19.32276691,14.44480999,21.41568203,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29192309,30.53763441,33.16678285,30.05392192,33.63959623,26.32300879,22.25592441,20.07973871,20.16447063,25.67408016,40.94606881,,,,,,
Mali,,,,,,,,17.39216375,17.0813259,17.34084557,15.27731725,16.00582569,17.08612919,16.88687406,13.53295455,15.52187211,13.36337962,15.58858409,15.91783594,15.47452633,15.46789382,15.9724993,16.28448853,12.14856245,12.30895341,15.77458044,20.71522659,20.74074139,21.3221819,21.70179707,22.96723329,22.76517918,21.85377206,21.80759614,27.32836009,22.90012801,22.89998408,20.59998948,20.9,21.2,24.56493225,31.0100173,18.6137584,24.23115484,20.98976963,22.64505327,22.87232395,22.35842336,,,,
