"Suicide, age adjusted, per 100 000 standard population",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Japan,24.59151,22.29591,22.08236,23.71347,26.39625,28.07184,27.20567,26.59276,27.66998,24.61028,23.21706,21.11743,18.91668,17.30252,16.28279,15.84236,16.12502,14.90673,15.12224,15.03189,15.5977,15.73448,16.93228,17.40054,17.45248,17.71988,17.25519,17.36071,17.03292,17.21527,16.62432,15.94026,16.10316,19.1621,18.27207,17.23945,18.65963,16.91342,15.85286,14.41714,13.47138,13.14442,13.60945,13.2138,13.42681,13.55417,13.8193,14.50057,19.48383,19.21572,18.35094,17.73354,18.02855,19.64956,18.53678,18.94693
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4132,,0.2014487237,0.2014487237
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95578,25.19905,,,25.35711,18.90608,18.45182,19.10512,21.81671,20.99151,19.86248,21.39656,25.45937,25.91698,30.82395,32.14676,31.42593,30.33114,27.94533,30.73418,30.30312,28.98491,29.28847,28.99517,25.4046
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.247238,,10.93771839,10.93771839
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.166117,,4.735673428,4.735673428
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.882329,9.032893,8.468999,7.340459,7.436526,7.594887,7.238297,8.208565,9.543824,9.590639,10.65248,12.66524,12.823,17.89061,14.63078,13.15629,13.95559,17.10887,21.20205,21.88241,22.40456
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0.3344417,,,0.5039009,0.2114564,0.3212973,1.210655,0.3448732,0.9172871,0.9992955,0.1200728,0.4176624,0.69339,1.075324,0.7646793,1.038386,,,,,,1.153198,1.377272,1.446493,1.521961,1.604368,1.308118,1.526372,1.235284,1.152414,1.564255,,1.508789182,1.498057424
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47066,17.13514,,,15.18141,11.66019,14.29389,14.31887,15.29714,16.08053,15.4267,13.81654,16.42881,16.70971,17.27548,13.68134,13.46826,12.96068,13.98882,12.68084,13.07456,13.28607,11.00537,9.828025,9.875281
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.75632,,26.21919823,26.21919823
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.73946,30.21741,30.77425,29.75416,30.19956,26.26718,22.45244,20.57013,20.63623,22.74245,23.40659,25.41869,31.31146,37.87399,36.34945,36.20045,32.74305,31.48581,30.4372,26.96423,27.64352,25.62863,24.55983,21.85237,20.02737,20.36959
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.259573,,5.83831501,5.83831501
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.874297,,7.858619213,7.858619213
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03827,,7.1848526,7.1848526
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.083238,,4.667024612,4.667024612
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5018,32.52202,,,32.62048,24.06269,27.33072,25.06441,25.68806,24.39866,29.01119,32.62127,39.87783,43.71309,43.22044,44.35212,42.48084,39.97705,40.51219,42.39795,39.38716,40.14809,37.27885,35.41642,33.34186
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37934,,12.40591812,12.40591812
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.765689,7.501061,7.622634,6.485308,6.490004,7.150447,7.442236,7.267076,7.848403,6.824161,6.719395,6.791909,6.100502,7.876878262,7.876878262
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.373168,,5.767406464,5.767406464
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96042,,10.17173481,10.17173481
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.963536,,8.2110672,8.2110672
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.300285,,22.35347939,22.35347939
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.259055,,8.262892723,8.262892723
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.507131,,4.551121235,4.551121235
