"Proportion of the population using improved sanitation facilities, urban",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,
Nicaragua,59,59,59,60,60,60,60,61,61,61,61,62,62,62,62,62,63,63,63,63,63
Niger,19,20,21,22,23,23,24,25,26,27,27,28,29,30,31,32,32,33,34,34,34
Nigeria,39,39,39,39,38,38,38,38,38,37,37,37,37,37,36,36,36,36,36,35,35
Niue,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,85,86,87,87,88,89,89,90,91,92,92,93,94,94,94,94,94,,,,
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oman,96,96,96,96,96,97,97,97,97,98,98,98,98,98,99,99,99,99,100,100,100
Pakistan,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
Palau,78,78,78,78,79,81,83,85,87,89,91,93,95,97,98,100,100,100,100,100,100
Panama,73,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,
Papua New Guinea,78,78,78,78,78,78,77,77,76,76,75,75,74,74,73,73,72,72,71,71,71
Paraguay,61,63,65,67,68,70,72,74,76,77,79,81,83,85,86,88,90,90,90,90,90
Peru,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,78,79,79,80,80,81
Philippines,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79
Pitcairn,,,,,,,,,,,,,,,,,,,,,
Poland,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Portugal,97,97,98,98,98,98,98,99,99,99,99,99,100,100,100,100,100,100,100,100,100
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Reunion,,,,,,,,,,,,,,,,,,,,,
Romania,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,
Russia,80,79,79,79,79,78,78,78,77,77,77,77,76,76,76,76,75,75,75,75,74
Rwanda,69,68,67,66,65,64,64,63,62,61,60,59,59,58,57,56,55,54,54,53,52
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
St. Lucia,67,67,68,68,68,68,69,69,69,69,69,70,70,70,70,71,71,71,71,71,71
St. Martin,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,
