Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"Hong Kong, China",,,,,,,,,,,21.17,19.36,16.1,18.96,22.6,18.73,21.48,15.48,17.47,20.11,17.23,18.57,16.86,16.22,16.72,15.71,17.17,16.35,14.9,15.3,14.78,12.7,12.58,12.81,11.04,10.05,12.48,11.38,10.79,12.18,11.42,11.9,10.57,10.4,9.79,10.14,9.09,9.71,9.67,9.87,8.73,9.3,7.94
Hungary,,,,,,46.26,48.35,47.89,47.95,49.79,46.8,45.71,45.7,42.61,43.75,41.75,43.27,41.11,41.75,41.13,41.24,39.96,38.72,37.25,36.67,35.34,35.45,34.42,33.12,32.53,30.76,30.65,29.46,27.9,27.72,25.49,24.73,24.36,24.91,23.91,24.34,23.46,23.6,22.26,21.72,20.43,18.78,18.35,18.8,18.08,16.72,17.49,16.48
Iceland,,72.62,78.34,92.51,71.95,61.48,60.18,76.11,55.71,64.16,50.96,61.65,55.97,43.47,54.73,43.55,36.39,44.79,45.39,28.43,32.4,35.15,30.01,32.93,40.21,28.93,29.69,27.16,18.96,20.28,22.95,21.14,18.66,23.89,21.8,24.4,19.83,19.76,15.51,20.95,13.47,22.06,15.11,10.54,10.3,10.47,9.65,14.7,7.71,7.63,10.14,7.67,7.67
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Ireland,29.12,28.37,28.37,29.77,26.9,29.29,26.91,30.72,24.83,26.41,23.77,24.33,26.59,25.63,24.74,23.99,23.1,24.46,21.47,23.97,21.44,22.27,23.01,19.34,20.72,18.28,18.62,20.7,16.42,17.65,17.33,14.97,14.33,14.36,13.67,14.78,14.3,13.98,12.61,11.55,11.82,11.65,12.63,11.84,10.22,11.02,9.77,9.64,8.29,8.27,8.35,7.43,7.55
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,14.33,14.4,13.63,11.17,12.3,12.56,9.55,10.95,10.43,10.74,11.27,9.27,9.68,8.58,7.28,9.2,8.83,9.36,9.08,8.96,9.14,8.13,8.11,8.88,7.68,7.49,8.1,7.68
Italy,,36.25,36.82,36.8,35.04,35.88,36.3,35.28,34.42,34.63,34.94,34.32,34.4,34.85,34.54,33.34,33.23,31.39,31.22,30.56,29.9,29.33,28.66,27.88,26.31,25.84,24.84,24.49,23.95,23.77,23.09,22.76,22.3,22.39,21.59,20.54,20.02,19.05,18.5,17.21,16.65,16.31,15.33,15.12,14.84,13.95,13.42,12.52,12.46,11.75,11.26,10.99,10.37
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Japan,64.71,65.89,67.67,67.97,68.53,69.31,69.77,70.22,70.8,70.72,70.69,69.77,68.44,68.72,69.49,68.71,67.8,66.59,66.87,65.64,62.39,61.26,60.63,59.33,57.72,55.65,54.19,52.38,50.57,50,48.55,47.19,44.39,43.67,42.69,40.35,39.07,37.99,36.56,35.77,34.22,33.53,32.66,30.94,30.59,30.93,30.36,29.13,28.88,27.84,26.9,25.6,24.33
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.09,42.56,,,40.48,43,40.1,41.32,39.45,38.6,37.5,37.1,33.9,34.26,32.85,31.6,30.46,29.39,29.37,28.32,28.1,26.52
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.61,54.5,53.21,50,49.49,48.1,45.54,48.61,48.18,48.63,43.31,40.65,39.17,36.4,34.58,34.52,32.9,32.72
Kuwait,,,,,,,,,,,,,,,,,,,,,,,9.41,,,10.34,9.77,6.09,7.43,10.5,6.45,4.95,8.59,7.88,6.23,9.93,6.06,4.84,,,,,,7.57,4.54,4.21,6.49,4,3.06,1.18,2.58,2.41,1.91
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.85,38.34,,,35.78,37.23,36.56,31.56,32.32,29.28,28.76,32.48,27.46,30.53,28.18,27.43,27.77,25.79,24.45,23.03,22.76,21.09
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.04,34.85,31.71,34.33,33.99,33.67,30.98,32.15,30.64,31.27,26.93,29.45,32.02,28.18,26.67,27.14,26.12,23.92,23.27,22.35,20.41,21.36,19.6
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46,35.44,,,32.89,33.64,30.13,28.14,29.53,29.91,27.25,29.74,28.38,25.71,26.44,26.23,24.78,22.96,22.79,22.66,20.15,20.85
