Colon & Rectum Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,6.15,,,5.59,6.92,5.53,5.87,7.28,6.16,6.87,6.45,6.6,4.27,4.01,5.08,4.96,4.95,4.92,4.99,4.89,6.05
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,10.47,8.85,10.78,10.37,11.1,12.26,10.92,11.24,11.99,12.02,12.8,10.88,12.99,10.17,12.26,11.41,12.53,12.98,12.27,11.12,10.8,10.96,11.04
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41,8.88,,,10.17,9.97,9.52,10.19,10.66,10.44,11.34,11.14,11.57,12.35,11.64,11.21,10.21,11.32,10.87,10.01,10.72,11.15
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,13.69,17.08,19.43,16.22,16.11,15.91,15.99,13.99,16.09,12.93,13.65,12.05,11.31,15.93,13.02,14.14,11.33,10.01,13.88,11.37,10.83,9.85,10.41,9.73
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,7.57,6.83,6.74,6.9,7.67,8.55,7.65,7.21,9.55,8.49,7.26
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
Malta,,,,,,,,,,,,,,,,,,,,,,,,12.06,9.98,9.73,13.72,12.25,12.51,9.35,12.1,9.73,8.8,5.9,11.36,13.32,8.36,11.98,11.13,11.3,11.54,10.49,9.83,8.43,12.08,11.35,9.06,11.22
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Mauritius,,,,,,,,,,,,,,,6.58,5.27,5.42,5.13,5.06,5.7,9.25,5.85,5.07,4.57,3.07,5.69,1.43,4.64,5.11,2.18,3.37,4.25,3.81,4.09,1.95,5.02,4.67,5.58,2.58,3.77,3.68,3.8,3.66,3.36,4.33,3.71,3.83,4.47
Mexico,,,,,,,,,,,,2.93,3.27,,,,3.2,3.23,2.76,2.83,,,,,2.31,2.27,2.41,2.43,2.54,2.39,2.94,2.98,2.68,2.95,2.88,2.79,2.66,2.96,3.1,3.21,2.93,2.97,3.17,3.11,3.23,3.13,3.23,3.1
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88,9.4,,,9.46,10.3,10.91,10.35,10.95,9.55,10.28,10.13,9.72,11.64,10.19,9.57,6.57,8.46,8.14,8.97,7.69,8.76
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Netherlands,15.24,15.9,15.76,15.29,15.77,16.27,15.22,16.23,16.59,16.16,15.72,16.72,16.32,16.83,16.63,16.46,15.67,16,15.63,15.06,15.77,15.02,14.99,14.84,15.64,14.73,14.84,13.92,14.44,14.03,14.28,13.59,14.33,13.37,13.28,13.15,12.7,12.65,13.12,12.45,13.05,12.41,11.85,12.13,12.08,11.47,11.73,11.66
New Zealand,19.98,19.18,20,20.56,18.32,16.92,19.71,20.69,19.39,19.09,19.4,19.93,19.68,18.8,20.98,18.53,18.73,21.11,20.61,23.86,22.7,23.84,22.47,22.21,21.12,19.79,21.55,21.49,21.55,19.11,19.46,21.7,20.94,20.02,20.33,19.18,19.71,16.61,17.84,18.58,18.02,17.75,15.67,16.38,16.62,16.27,15.84,14.39
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.12,2.02,1.99,3.51,2.92,3.09,,3,2.01,3.15,3.03,3,2.45,3.74
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
Norway,10.56,10.05,9.97,10.69,9.81,9.75,10.34,10.95,10.03,11.22,11.15,11.29,11.92,12.56,12.68,11.92,12.59,13,12.42,11.56,12.35,14.01,13.75,13.73,14.07,14.44,13.57,15.14,13.9,13.69,14.17,14.47,14.81,14.61,13.53,14.47,13.01,12.96,15.41,13.84,15.51,14.43,15.01,12.93,13.89,13.96,14.46,13.53
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Panama,,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.19,5.79,4.86,5.62,4.86,4.07,5.66,4.5,6.15,5.43,,,,,,,6.28,4.72,4.71,5.12,5.03,5.49,6.25
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
Poland,,,,,,,3.89,4.29,4.95,5.67,6.09,5.97,6.24,6.29,,6.89,6.98,,,,,,,,,8.81,9.05,8.99,9.62,9.67,9.68,9.98,9.98,10.02,10.15,10.23,10.48,10.31,10.75,10.83,11,11.13,,,10.31,10.98,11.38,10.89
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,8.87,9.37,9.04,9.52,9.35,9.55,9.26,9.89,9.58,10.34,10.21,9.61,10.33,9.66,10.36,10.12,10.23,10,10.39,10.23,10.92,10.63
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,6.48,6.44,6.55,6.66,7.03,7.49,6.96,7.23,7.02,6.91,7.49,7.3,7.61,7.55,7.93,8.21,8.28,8.13,8.58,8.38,8.92,8.93
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,10.31,10.61,11.13,11.21,11.45,11.6,11.77,11.91,11.88,12.16,12.35,12.41,12.53,12.6,12.51,12.4,12.27,12.46,12.8,12.86,12.73,12.57
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Singapore,,,,,,,,,,,,8.3,8.07,9.4,6.94,9.47,7.49,12.48,11.36,13.55,11.23,14.58,11.21,13.79,14.98,15.1,16.7,15.65,14.19,13.29,16.3,14.86,13.57,11.85,13.52,14.49,13.11,15.44,13.35,13.22,12.8,13.93,12.76,13.04,11.71,12.31,10.96,11.19
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14,13.7,13.01,12.39,13.47,15.28,15.13,15.66,14.39,13.67,15.22
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27,12.23,11.37,11.93,11.31,12.97,13.38,14.12,13.03,13.63,15.49,13.98,13.83,12.5,12.91,12.1,10.98,11.56
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
