"Crude death rate (deaths per 1,000 population)",1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Polynesia,14.594,12.272,10.762,9.243,8.046,7.45,6.67,6.153,5.633,5.912,5.461,5.415,5.461,5.612,5.859,6.172,6.55,6.995,7.489,7.985
Portugal,11.75,11.37,10.9,10.99,10.73,10.26,9.384,9.432,10.219,10.016,10.105,10.141,10.532,10.934,11.343,11.807,12.39,13.044,13.757,14.467
Puerto Rico,8.71,7.05,6.93,6.58,6.64,6.46,6.53,7.14,8.06,7.668,7.518,7.804,8.242,8.719,9.253,9.851,10.482,11.084,11.604,12.038
Qatar,22.2,19.4,16.7,14.1,11.6,9.38,4.85,3.5,3.159,3.4,2.532,2.032,2.055,2.047,2.045,2.388,2.892,3.559,4.363,5.274
"Korea, Rep.",16.379,14.58,12.834,10.594,8.831,7.163,6.609,5.933,5.583,5.554,5.253,5.473,6.304,7.25,8.263,9.348,10.557,11.919,13.396,14.838
Moldova,14.4,14.4,11,9.9,10.2,10.6,11.615,10.1,12.012,11.078,12.588,12.946,13.276,13.42,13.591,13.904,14.381,15.012,15.497,15.708
Reunion,13.263,11.916,10.324,8.718,6.98,6.3,6,5.48,5.202,5.229,5.246,5.479,5.769,6.116,6.559,7.095,7.691,8.396,9.149,9.829
Romania,12,9.74,8.6,9.21,9.389,9.74,10.29,10.83,12.205,11.37,12.166,12.329,12.576,12.725,12.856,13.12,13.626,14.258,14.815,15.45
Russia,9.54,8.7,8.79,8.32,9.05,10.28,11.446,11.174,14.409,13.275,16.015,15.136,15.062,14.894,14.711,14.833,15.224,15.751,16.103,16.195
Rwanda,24,22.85,21.64,20.74,20.31,20.1,19.154,19.875,22.218,41.577,16.773,14.67,13.473,12.06,10.703,9.698,9.082,8.649,8.298,8.065
Saint Lucia,14.655,14.496,11.826,8.37,8.014,7.12,6.244,6.19,7.379,7.049,7.035,6.555,6.242,6.151,6.287,6.618,7.096,7.735,8.491,9.286
Saint Vincent and the Grenadines,16.664,16.037,13.281,11.171,10,8.557,7.851,7.409,7.655,7.392,7.824,7.508,7.224,7.164,7.373,7.867,8.579,9.395,10.142,10.668
Samoa,17.68,15.18,13.05,10.99,9.42,8.27,7.56,6.83,6.195,6.814,5.72,5.349,5.196,5.176,5.234,5.348,5.491,5.723,6.057,6.434
Sao Tome and Principe,26.7,24.1,18.5,15,12.1,11.3,11,10.78,8.865,9.39,8.239,7.527,6.832,6.161,5.605,5.278,5.198,5.309,5.538,5.896
Saudi Arabia,25.9,23.7,21.3,19.2,16.9,10.7,7.539,5.687,4.023,4.543,3.822,3.646,3.63,3.735,3.978,4.372,4.908,5.531,6.215,6.903
Senegal,25.266,24.599,23.971,23.21,21.67,19.347,16.765,14.645,12.444,13.349,11.628,10.95,9.784,8.822,8.091,7.501,7.045,6.789,6.692,6.747
Serbia,14.076,11.62,10.12,9.34,9.34,9.21,10.02,10.29,10.694,9.944,11.087,11.612,11.973,12.109,12.113,12.157,12.373,12.714,13.012,13.239
Sierra Leone,31.209,30.534,30.187,29.138,27.286,23.993,22.164,22.312,23.695,24.852,18.67,15.998,14.472,13.073,11.853,10.817,9.984,9.294,8.736,8.309
Singapore,10.56,8.57,7.07,5.63,5.15,5.118,5.4,5.182,4.877,4.732,4.879,5.127,5.972,6.998,8.193,9.657,11.405,13.279,15.08,16.498
Slovak Republic,10.66,8.74,7.99,8.52,10.56,10.4,11,10.5,9.823,9.99,9.762,9.962,10.145,10.414,10.853,11.544,12.358,13.191,13.923,14.517
Slovenia,10.58,9.61,9.54,10.09,10.19,10.37,10.972,10.233,9.666,9.934,9.542,9.455,10.16,10.69,11.228,11.789,12.404,13.053,13.678,14.057
Solomon Islands,19.31,16.67,14.18,10.95,9.23,7.38,5.9,11.789,8.7,10.168,7.342,6.247,5.587,5.303,5.186,5.203,5.34,5.609,5.982,6.452
Somalia,31.846,29.711,27.446,25.451,23.562,22.65,19.995,18.498,17.93,20.602,16.196,15.906,14.467,13.088,11.871,10.777,9.783,8.924,8.233,7.724
South Africa,20.3,18.11,16.66,14.746,13.143,11.664,10.037,8.71,9.918,8.399,13.436,15.138,15.085,14.726,14.672,14.4,14.462,14.452,14.199,13.818
South America,14.914,13.482,12.247,10.992,9.855,8.921,7.997,7.261,6.402,6.762,6.239,6.209,6.311,6.482,6.784,7.196,7.722,8.336,9.019,9.728
South-Central Asia,24.911,22.35,19.807,17.401,15.486,13.6,12.267,11.108,9.34,10.262,8.633,8.147,7.767,7.539,7.474,7.56,7.801,8.168,8.611,9.112
South-Eastern Asia,23.255,21.057,18.684,16.146,14.072,12.245,10.033,8.596,7.036,7.715,6.686,6.533,6.414,6.446,6.621,6.964,7.494,8.146,8.812,9.475
Southern Africa,20.496,18.292,16.778,14.939,13.339,11.811,10.154,8.82,9.973,8.411,13.541,14.846,14.743,14.376,14.319,14.054,14.112,14.078,13.81,13.425
Southern Europe,10.568,9.817,9.499,9.422,9.36,9.179,9.141,9.158,9.724,9.454,9.62,9.661,10.061,10.425,10.741,11.1,11.538,12.073,12.665,13.284
Spain,10.21,9.37,8.74,8.63,8.57,8.09,7.94,8.252,8.928,8.614,8.895,8.725,8.897,9.065,9.245,9.554,10.019,10.608,11.315,12.067
Sri Lanka,19.834,15.065,12.053,9.734,7.84,7.017,6.246,6.72,7.723,6.628,6.219,6.477,6.804,7.266,7.887,8.639,9.457,10.234,10.815,11.303
Sub- Saharan Africa,26.285,24.497,22.803,21.274,19.711,18.201,17.218,16.389,15.519,16.068,14.852,13.868,12.607,11.45,10.536,9.735,9.128,8.657,8.294,8.045
Sudan,22.774,21.81,20.672,19.204,17.892,16.709,15.518,14.435,11.958,13.189,11.005,10.324,9.481,8.816,8.347,8.002,7.795,7.729,7.798,7.975
Suriname,12.6,11.4,10.3,8.8,7.5,7.3,7.312,7.13,7.2,7.052,7.527,7.565,7.616,7.729,7.895,8.116,8.648,9.396,10.162,10.836
Swaziland,22.59,20.827,19.629,18.552,16.446,14.254,11.945,10.044,10.423,8.791,15.428,15.658,14.202,12.962,13.175,13.045,13.056,12.991,12.806,12.303
Sweden,9.75,9.62,9.99,10.22,10.42,10.9,10.97,11.12,10.7,10.89,10.39,10.051,9.818,9.761,9.933,10.263,10.647,10.913,10.989,10.936
Switzerland,10.14,9.86,9.52,9.28,8.97,8.97,9.234,9.084,8.854,9.228,8.395,8.265,8.494,8.735,9.01,9.362,9.814,10.263,10.654,10.913
Syria,20.529,18.455,16.54,13.865,11.354,9.024,7.131,5.726,3.884,4.61,3.576,3.404,3.284,3.258,3.39,3.691,4.124,4.667,5.302,6.013
Tajikistan,12.2,13.42,13.14,11.13,9.388,8.85,8.03,6.976,8.246,9.409,7.133,6.411,6.238,6.037,5.882,5.829,5.958,6.295,6.76,7.301
"Macedonia, FYR",17.23,13.152,9.57,8.05,8.241,6.97,7.09,7.829,8.251,7.971,8.575,9.148,9.731,10.261,10.8,11.38,11.952,12.629,13.316,13.93
Thailand,14.894,13.91,12.488,10.796,9.056,7.603,6.15,5.937,7.753,6.838,8.459,8.928,9.133,9.366,9.709,10.211,10.939,11.701,12.366,12.815
Timor-Leste,34.5,31.15,28.25,25.32,23.02,45,22.99,20.4,12.95,15.775,10.07,8.84,7.816,6.845,5.946,5.232,4.753,4.466,4.302,4.235
Togo,24.37,21.99,20.266,18.586,16.666,14.632,12.941,11.797,9.961,10.94,9.218,8.211,7.619,7.127,6.795,6.551,6.445,6.408,6.467,6.635
Tonga,8.669,7.753,6.931,6.061,5.493,5.546,5.753,5.916,6.087,6.056,6.122,6.083,5.99,5.96,5.981,6.024,6.097,6.232,6.457,6.779
Trinidad and Tobago,11.23,9.42,7.6,7.15,7.44,7.14,7.463,7.067,7.175,6.91,7.883,8.002,8.267,8.572,9.06,9.751,10.734,11.733,12.714,13.617
Tunisia,22.6,20.3,17.9,15.5,12.3,10.059,7.941,6.932,5.907,6.178,5.833,5.911,6.018,6.15,6.381,6.829,7.467,8.279,9.151,10.029
Turkey,23.456,19.756,16.351,13.5,11.552,10.16,9.3,8.614,6.255,7.212,5.797,5.952,6.14,6.28,6.501,6.91,7.505,8.23,8.972,9.716
Turkmenistan,16.2,15.5,13.9,11.7,10.34,9.57,8.74,8.22,7.717,8.649,7.652,7.71,7.406,7.168,7.122,7.336,7.814,8.443,9.123,9.781
Uganda,24.482,21.957,19.519,17.418,15.297,15.9,16.157,16.133,17.25,17.324,15.213,12.857,11.093,9.722,8.695,7.773,7.046,6.533,6.215,6.054
Ukraine,10.541,8.93,8.33,8.2,9.723,10.752,11.819,11.991,15.208,13.8,15.792,16.041,16.08,15.857,15.652,15.598,15.855,16.3,16.676,16.822
United Arab Emirates,22.8,20.7,17.3,12.3,9.9,7.35,4.01,3.237,1.675,2.288,1.556,1.508,1.547,1.702,2.001,2.441,3.007,3.602,4.14,4.686
United Kingdom,11.65,11.636,11.78,11.68,11.829,11.869,11.76,11.356,10.891,10.976,10.258,9.932,9.849,9.81,9.86,9.991,10.201,10.423,10.606,10.723
Tanzania,22.404,21.003,20.06,18.912,17.476,16.081,15.279,14.668,14.65,14.961,13.27,11.512,10.03,8.976,8.286,7.695,7.272,6.956,6.71,6.535
United States,9.473,9.41,9.434,9.506,9.229,8.649,8.749,8.776,7.886,8.682,7.949,7.841,7.836,7.95,8.236,8.69,9.24,9.791,10.261,10.459
Virgin Islands (U.S.),14.111,11.673,9.446,7.516,6.206,5.522,5.309,5.087,5.535,5.256,6.14,6.936,7.886,8.993,10.218,11.501,12.77,13.873,14.738,15.304
Uruguay,10.46,10.025,9.527,9.619,10.033,10.09,9.828,9.862,9.441,9.672,9.413,9.303,9.244,9.215,9.211,9.305,9.526,9.844,10.226,10.619
Uzbekistan,14.68,13.76,12.18,10.32,9.07,8.51,7.82,7.18,6.633,7.348,6.416,6.503,6.49,6.461,6.529,6.78,7.263,7.951,8.741,9.522
Vanuatu,22.31,19.46,16.84,14.53,12.57,10.38,9.34,7.68,6.704,7.06,5.742,5.043,4.593,4.366,4.313,4.395,4.571,4.822,5.136,5.484
Venezuela,12.265,10.606,9.236,7.704,6.486,5.843,5.483,4.974,4.907,4.838,5.045,5.104,5.237,5.43,5.722,6.108,6.583,7.113,7.678,8.288
Vietnam,23.943,22.931,21.124,18.764,16.566,12.88,11.045,9.008,5.714,6.845,5.343,5.401,5.457,5.577,5.811,6.246,6.952,7.888,8.945,9.946
Western Africa,27.212,26.083,24.872,23.662,22.15,20.017,18.966,18.283,16.586,17.569,15.351,14.394,13.188,11.892,10.817,9.939,9.266,8.734,8.324,8.046
Western Asia,22.039,18.822,15.725,13.803,11.895,10.21,8.943,7.88,6.003,6.918,5.546,5.507,5.264,5.213,5.236,5.405,5.731,6.174,6.668,7.2
Western Europe,11.454,11.413,11.376,11.581,11.45,11.201,11.073,10.644,10.024,10.315,9.649,9.41,9.883,10.366,10.815,11.228,11.701,12.226,12.758,13.211
Western Sahara,28.064,26.207,24.591,22.479,20.018,17.267,14.561,11.234,7.634,9.129,6.495,5.827,5.469,5.321,5.439,5.876,6.549,7.396,8.297,9.175
WORLD,19.46,17.322,15.516,13.238,11.426,10.724,10.257,9.732,8.919,9.361,8.635,8.471,8.335,8.272,8.328,8.507,8.818,9.212,9.624,10.022
"Yemen, Rep.",34.155,31.909,30.013,27.907,25.03,20.94,16.819,13.694,10.14,11.85,8.56,7.354,6.337,5.527,4.947,4.597,4.44,4.435,4.545,4.79
Zambia,21.759,20.141,18.841,17.689,15.963,14.851,14.428,14.35,18.985,15.622,20.212,17.486,14.53,12.612,11.711,10.806,10.12,9.57,9.062,8.569
Zimbabwe,17.449,16.259,14.966,13.755,12.647,11.468,9.735,8.62,14.762,9.531,18.709,16.19,12.944,10.935,9.648,8.756,8.256,7.824,7.451,7.324
