Suicide women age adjusted,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0800848
Netherlands,3.744579,4.227506,4.422934,4.562708,4.202166,4.493865,4.742193,5.203328,4.85878,5.18896,4.930501,4.54734,5.07273,4.33125,4.747222,4.985938,5.025103,4.292456,4.444892,5.425861,5.844768,6.256476,6.132082,7.13018,7.009837,6.755897,6.569001,6.404231,7.609007,8.34603,6.768595,7.055374,7.512334,8.236408,8.413709,7.089713,7.230734,7.297407,6.42893,6.523096,6.01471,6.40885,6.017884,5.763029,5.500875,5.538633,5.657825,5.608297,5.297546,5.338056,5.102808,4.81331,5.074299,4.740516,4.820316
New Zealand,4.481789,4.672656,5.083133,5.456119,4.08312,4.86399,6.256191,5.678879,5.049273,4.172358,5.637225,4.213583,5.705343,7.09114,6.523703,6.486658,7.067789,6.267512,6.611498,7.370731,6.69521,6.462817,6.371082,5.389634,5.982979,6.664862,6.122365,7.341437,7.50095,5.64398,7.007597,4.823435,6.611544,6.228209,5.417628,4.880707,6.580908,5.825074,5.668206,5.311521,5.137218,5.128064,5.231815,4.999377,5.328048,6.067229,5.941496,6.336947,6.807942,6.696422,4.168914,5.886771,5.621368,6.62168,5.336744
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.211092949
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.039722919
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.225975037
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.615885019
Norway,,2.511076,3.233227,3.739577,2.320111,2.835984,2.458401,2.591909,2.396795,3.491517,2.268944,2.481758,2.784527,3.785133,2.76714,3.257871,3.103798,3.112187,3.539284,3.067463,4.704581,3.96741,4.859923,3.832234,4.290132,5.209936,5.316265,5.847558,5.967258,6.941861,6.125055,6.097747,7.106333,7.45241,6.493855,7.075398,6.891037,7.194898,8.539811,7.523332,7.021215,7.08075,6.815001,5.635677,6.18733,5.659612,5.425931,5.889028,6.086514,6.462259,5.419983,5.784705,5.360832,5.2304,6.822908
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5105498433
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0262146
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.798904896
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5404561,1.320754,1.417001,2.05939,1.931315,0.8963737,,,,,,,1.198894,1.678765,1.868072,1.375172,1.323197,1.664682,2.152816,1.405318,2.161664
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99246788
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.436651,1.499484,1.304838,1.73492,1.782107,2.292752,1.923762,2.041138,2.415609,1.44981,2.680549
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100675225
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3531852,1.117274,,,,0.6920957,0.6745756,0.8156066,1.070988,0.818037,0.8554534,1.090869,0.9789193869
Poland,,,,,,,,,,2.747147,3.093132,3.454455,3.917751,3.069671,3.544581,3.45191,3.494119,3.588097,3.730314,4.121762,3.980076,3.948938,4.001822,4.150195,4.003276,3.546349,3.812861,3.852462,3.962742,3.860626,,,,4.08059,4.651175,4.246272,4.181237,4.44194,4.055269,3.455828,4.15857,4.081217,4.548273,4.538097,4.06301,4.197458,4.055182,,,3.801051,4.231325,3.653028,4.133393,3.708668,3.808252
Portugal,,,,,,3.702455,3.940488,3.718987,4.296834,3.593614,3.828558,4.325647,3.634641,3.943712,3.662016,3.698461,4.279377,4.116631,4.191739,3.755364,3.451541,3.051788,3.389121,3.84974,4.067813,3.812816,3.584012,4.169503,4.579728,4.602372,3.716932,4.197906,4.521269,4.759202,5.48386,4.810634,4.44743,4.137074,3.085557,3.051861,3.523117,3.671722,3.683841,2.952558,2.548767,3.395956,2.22119,2.068861,1.814767,1.79163,1.389155,2.32396,3.671439,3.534476,3.381770134
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.045888662
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.014796,4.192598,3.973474,4.349811,4.347254,4.401498,4.051436,3.588795,3.560557,3.631034,3.619731,3.615755,,3.855283,3.69424,3.121014
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74176,11.10731,11.11159,,,10.43172,9.077941,8.884953,9.290985,8.938926,9.153014,8.857314,9.652694,10.85074,11.25802,11.46194,10.38183,10.09711,9.408822,10.43329,9.611029,9.607494,9.507463,8.762399,8.535518
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.442500114
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.418027878
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.656747818
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.327689648
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48657012
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.831316948
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565913439
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.915722847
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27764,8.78235,8.410382,7.373667,6.859787,6.705021,6.408779
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.296897,7.301694,7.754066,7.298211,7.597809,6.965185,,7.888039589
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1813494861
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.969195366
Singapore,,,,,,,,,,,,,,8.783051,6.314593,9.557222,12.75478,12.00578,13.36652,9.926293,10.17527,12.70751,10.04345,12.3076,11.04292,12.11277,13.04941,10.16335,11.37953,11.69068,11.12292,7.922733,9.559989,10.14531,8.15266,11.86326,11.81259,10.68006,11.93868,14.02505,11.16215,8.649853,8.135537,7.110344,8.529442,9.003538,5.782323,6.473236,8.096891,5.253664,6.083872,6.494368,7.102538,6.3655,6.623429
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.573492,3.821248,3.597469,4.147551,3.37746,3.290371,2.69374,3.184771,4.106474,3.365531,2.965688,3.029095,3.281882
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53832,11.278,14.18022,14.21275,13.43268,10.27987,11.83989,11.20632,10.36683,11.13168,9.963476,11.27626,9.36951,10.72607,10.64391,11.61877,8.804616,7.833283,8.426601,10.38242
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.040680885
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.97296906
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15562439
Spain,,2.915054,3.295042,2.903252,2.741883,2.602778,2.761642,2.79407,2.625093,2.562132,2.803123,2.385278,2.371431,2.402251,2.240458,2.283824,2.059052,2.123657,2.122182,1.938205,1.93455,1.917329,2.058717,2.115611,2.00362,1.77509,1.929668,1.910029,1.954299,1.853791,1.883753,2.020587,2.28023,2.525702,2.763804,2.842288,2.970881,3.256647,3.251727,3.022854,3.133903,2.96489,2.581168,2.883488,2.781699,2.815258,3.340948,3.125757,2.807407,,,2.681486,2.882634,2.899261,2.90705
Sri Lanka,5.011446,5.744753,6.003711,5.24056,6.659508,5.416183,5.432433,5.603672,5.405377,6.397889,7.043905,7.529852,7.576896,7.620313,10.14845,9.222506,9.719633,11.24375,10.70995,,,,,,,,,13.8749,,,19.61821,20.28778,20.90057,22.912,22.64383,21.2685,18.22672,,,,,,,,,,,,,,,,,,11.60693264
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.942135334
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.536875725
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95679283
Sweden,,6.732965,6.355847,8.111773,7.265455,7.44846,8.021605,7.768376,7.471743,8.108604,7.636769,7.284967,8.2514,9.054564,9.76568,9.071277,9.653698,10.20974,10.59062,11.44526,12.03901,10.92553,10.18762,10.68142,10.09709,10.09,10.32404,9.669584,10.30105,11.4315,9.911782,8.982367,9.636292,9.449626,10.33465,9.789674,8.991082,9.136179,9.808012,9.041406,8.702847,8.587622,7.952881,8.081827,6.964609,7.473848,6.875292,6.559667,6.12134,6.816168,6.059021,6.287191,5.752751,6.393465,5.873864
Switzerland,,10.56031,10.23782,9.007576,10.58802,10.81122,10.37492,9.359056,10.11771,8.415977,9.792006,9.92152,9.488377,8.777312,8.980412,8.868424,9.2642,8.265817,8.602951,8.789406,8.986479,10.31645,10.10586,9.492155,11.08497,11.43602,11.17744,12.54905,12.59602,13.63322,13.08645,12.42186,12.3916,11.6622,11.83314,12.83876,10.98364,10.70665,10.14532,10.74188,10.18671,9.104451,8.590002,9.120775,9.546003,8.803282,9.073054,7.795402,,,,7.853479,9.060589,7.772471,7.944855
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4469333887
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.107353687
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.750602245
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.488035202
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.960760593
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.514622211
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.062223911
Trinidad and Tobago,,2.726427,3.557668,2.513744,3.52006,2.951571,2.004345,1.002481,1.997751,,1.929697,2.060731,1.422584,0.6129742,,,,1.817805,5.748702,,4.756058,1.656986,6.732993,5.951644,6.169045,6.241136,5.048275,5.142674,1.132487,3.493548,1.637456,2.97772,3.640255,4.719494,3.369459,0.7385139,5.986737,4.617908,7.859989,6.960498,7.57019,5.057765,4.470154,4.523787,5.045835,6.311679,5.349893,4.776528,4.401545,4.499389,4.841399,5.463157,3.737824,,7.175161362
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.971736789
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.639457464
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.226524,6.27384,,,4.886627,7.469977,7.609131,6.029309,5.757218,5.822345,5.606867,5.243183,4.095586,4.861675,2.616967,3.076711,3.446744,4.092763,,,,,,4.012059212
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.446298599
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.046066284
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.436482,7.745018,,,7.111,6.966435,7.1759,7.015817,7.286044,6.774807,6.531469,7.356577,7.255165,7.740508,7.520094,7.687284,7.998254,8.130715,7.55036,7.670717,6.383736,6.361105,6.256175,5.39009
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2742145658
United Kingdom,5.367217,5.466589,5.059583,5.663029,6.053491,6.340184,6.697222,6.864992,6.803025,6.780856,6.661391,6.950402,7.493289,7.807155,7.645912,7.214386,6.986245,6.294775,6.129091,5.7487,5.405731,5.371745,5.229085,5.33337,5.380699,5.148705,5.041883,5.316658,5.232867,5.512966,5.566744,5.229814,4.948067,4.734631,4.635503,4.682991,3.999975,3.807797,3.846012,3.181611,3.194811,3.013177,3.054398,2.900457,2.795025,2.725696,2.828773,2.762585,2.856035,2.861329,2.871172,2.635219,2.755822,2.660466,2.879764
United States,4.960009,4.561817,4.287655,4.190372,4.078955,4.496099,4.375252,4.237473,4.739722,4.696201,4.97594,4.965976,5.601066,5.965665,5.833147,6.312077,6.091924,6.288045,6.063595,6.495037,6.764477,6.994441,6.896132,6.578322,6.579705,6.739123,6.497314,6.599395,6.084483,5.831119,5.254861,5.563645,5.313848,5.124713,5.124178,4.825583,5.030247,4.862983,4.656812,4.476208,4.463702,4.323066,4.237412,4.269796,4.120951,4.027353,4.012577,4.041173,3.971198,3.740543,3.634614,3.722382,3.841498,3.837264,4.175814
Uruguay,,,,,,7.821382,9.487456,7.101563,5.600165,5.789924,7.090849,,,4.748742,3.986283,5.687175,5.505983,5.024784,4.872096,5.634128,5.243791,4.628649,4.473436,4.54467,6.014835,4.083939,5.437172,4.145528,4.677876,,2.957085,2.594344,3.678551,3.279607,3.863088,3.107611,3.52106,3.911052,3.361566,4.188364,3.695709,,,5.488769,4.154894,5.791384,4.79489,4.889874,5.797886,4.640351,5.195457,5.992177,,,5.87522
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.485607,9.808056,10.17777,8.968728,8.041356,8.053088,8.14377,8.102757,8.005068,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.706081,4.700735,,,5.843649,5.153222,5.550764,5.186389,5.754392,5.557875,4.245213,3.858855,3.871968,3.723653,3.704561,3.800148,3.434181,3.408654,3.905299,4.224298,3.965342,3.367691,3.1516,2.460547
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.640526295
Venezuela,,,,,,2.761771,3.440769,2.740319,3.402511,4.563677,3.825712,4.445967,4.279155,4.085367,3.904315,3.980485,4.737731,4.284422,4.133926,5.088382,4.608035,4.265741,4.063846,3.198213,2.95806,3.108485,2.485117,2.247088,2.456438,1.899036,2.16434,2.010783,2.33286,2.257488,,2.101539,2.033747,1.909971,1.672729,2.104551,2.247543,,1.615445,1.602647,2.075771,,1.528837,1.824896,1.777638,1.890461,1.627371,1.898149,1.837916,1.756944,1.579628
West Germany,,,10.05357,10.19366,11.24959,11.23531,10.62746,10.5677,10.54551,10.60355,10.6596,10.97472,10.41092,10.88167,11.36707,11.32999,11.49965,11.43323,11.69543,12.1856,12.59102,12.24174,11.52183,11.98623,12.04591,11.84409,12.11986,12.74571,12.15791,11.39117,10.89978,11.09901,10.52612,10.85313,9.769133,9.466913,8.796329,8.562513,7.769985,7.13517,6.796198,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.281546593
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.373616695
Yugoslavia,,,,,,,,,,,,,,,,,,,6.980638,7.668771,,,,,,,,,8.268257,7.954185,7.97878,8.267892,9.055255,8.625981,8.548234,8.234728,8.31718,9.230215,8.753218,8.518538,7.793037,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.959890842
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.376058578
