"Traffic mortality women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1378994
Netherlands,3.70637,3.424056,3.400079,4.584544,5.239351,5.182768,5.99364,6.874923,5.690461,5.680113,6.973545,6.768298,7.577289,6.63196,8.112256,8.365466,9.375961,10.2626,10.79434,11.69445,12.02562,11.56654,11.58514,11.3169,8.69873,8.498629,9.007728,9.652274,8.279206,6.947011,6.690523,6.064307,6.464593,5.866023,5.483827,4.719549,5.337744,5.175655,4.831069,5.340301,4.766999,4.198698,4.482285,3.803233,4.170444,4.009595,3.882697,3.820855,3.28928,3.385639,3.256994,2.704191,2.890966,3.079665,2.65119
New Zealand,4.909467,5.79862,4.963409,6.465324,5.314212,7.270523,5.878255,8.296064,7.713141,6.70991,8.82589,7.929837,8.126355,7.68036,8.711767,10.48061,10.38421,12.0217,10.58828,11.27666,12.27547,12.90698,14.15465,15.69479,13.19699,12.05284,10.35169,15.87947,12.77246,10.51869,11.31271,13.64354,11.48218,10.83003,10.76972,13.49634,12.13338,14.81243,11.51912,13.59023,11.95303,11.18151,10.54119,9.773719,9.738861,10.33311,8.281145,8.358656,8.617311,8.731806,7.231906,7.09253,6.827566,7.258352,6.663917
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.481358051
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29900932
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31702232
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7830386758
Norway,,2.278611,2.971021,2.018304,2.780167,2.78361,4.382812,3.295898,2.63158,4.661682,3.870925,4.265314,4.521617,4.45239,4.833818,6.135242,6.513681,6.749799,7.132007,6.794568,6.055372,5.835859,5.775501,6.486481,6.56177,7.607909,6.480349,5.800506,5.869692,4.553587,3.932091,4.528189,5.112689,5.231349,4.6126,5.501434,5.506377,4.99417,4.285636,4.364899,3.474157,4.586538,3.718066,3.534172,3.495547,3.773003,3.921552,3.691581,3.942073,3.724959,3.748448,3.213001,3.034762,2.790411,3.014736
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.513696194
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.718610764
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.024464726
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.129831,6.238819,8.775232,7.790989,7.522682,5.746873,,,,,,,6.42441,8.207793,8.609855,8.791322,4.620114,5.770916,6.052751,6.021232,4.25069
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44272614
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.858604,5.195958,4.154014,4.949607,3.230727,4.315998,3.607387,4.888082,2.784993,3.383468,4.276106
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.622890949
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.629489,3.700524,,,,5.012989,4.981307,4.740987,4.911606,4.697535,4.570353,4.709616,7.789607048
Poland,,,,,,,,,,1.443263,1.577034,2.379109,2.151961,2.384218,2.934125,3.488487,3.768445,4.404938,4.240849,4.400889,4.880497,5.179689,,,,,,,,,,,,6.475951,5.486751,5.638347,5.556153,5.234305,5.355353,7.662237,7.811335,8.911275,7.79362,6.78719,7.013031,7.316331,7.063467,,,6.807737,6.387435,6.0303,6.085213,5.753893,5.716767
Portugal,,,,,,2.614618,2.692178,2.75154,3.497462,3.888,3.607356,4.549433,4.113111,3.939776,5.283545,5.159858,5.977973,6.079854,6.574557,7.776827,8.209987,9.538061,10.10422,10.57673,10.22906,12.19578,11.40106,9.464313,10.05314,11.29948,9.165754,12.17089,11.28099,11.3629,10.04096,8.703671,9.769394,10.78461,10.11212,9.604181,10.45157,10.76143,10.02484,9.399291,8.895478,9.330645,8.808223,7.506619,6.96508,5.833179,4.439605,7.046676,7.204399,6.775861,6.877861977
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.918453217
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.521654,10.2231,8.860003,7.3683,7.244802,8.942916,8.720489,9.332218,8.151566,8.324107,5.139359,5.642353,,5.027652,4.737346,5.194921
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.196448,7.60534,7.253871,6.781974,6.437249,6.205733,5.956987,5.951161,7.507322,8.776356,9.526561,10.31396,10.12502,10.82036,10.28924,10.03181,9.245311,9.190712,9.735797,11.64386,12.14767,12.56542,13.04926,13.51635,13.00239
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2673893
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.702934742
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.520036697
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.786880493
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052055955
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825363636
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.90671921
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18603134
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63076687
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.251323,4.19451,3.698042,5.017621,3.050642,2.590669,2.892488
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90694,4.385041,3.55567,3.154169,4.86705,2.873131,,3.41756916
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.049446583
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17699432
Singapore,,,,,,,,,,,,,,6.319451,5.960939,7.164932,7.33356,7.198351,9.33846,8.382823,7.500459,9.322755,9.882522,8.472115,6.589681,5.745618,6.511885,7.129641,6.51611,4.824309,5.466723,6.166817,5.294777,6.987922,5.158659,4.89729,3.696019,4.501367,3.390254,3.474369,3.997401,2.722498,2.98735,3.087623,3.272264,2.256535,2.699147,2.936717,2.484307,2.709679,1.861772,1.581116,1.716749,1.876661,2.087488
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.167317,6.21438,6.05795,6.559843,5.64061,5.946577,6.859811,5.875177,5.093239,5.19559,5.418176,5.682677,4.906859
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.524089,7.351907,7.551754,10.81226,11.58348,10.44448,7.623551,9.875104,8.61909,10.01433,9.974792,7.679979,5.962945,5.914512,5.575427,6.060414,4.18123,5.411141,4.300602,4.671796
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7872076631
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73736858
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.40765762
Spain,,2.178685,1.950928,1.843145,1.910717,1.906452,2.339301,2.091533,2.169736,2.32924,3.522963,3.957935,4.50841,2.74317,3.05325,3.138836,4.702044,4.821451,5.115645,5.605454,5.862989,6.060686,6.723465,7.073378,5.936266,6.885628,7.928421,7.941472,8.173172,8.416319,7.628981,6.929306,5.539949,5.899913,6.561101,6.388891,7.108465,7.45852,8.047076,8.865788,8.241532,7.934487,7.219513,6.474372,5.782047,6.004107,5.83754,5.704637,6.477833,,,5.622503,5.370808,5.316667,4.601492
Sri Lanka,1.558178,1.585356,1.873603,2.221053,2.155776,1.963476,1.65387,1.309178,1.923644,1.138254,1.086585,0.9240236,2.148078,1.175248,0.6235298,0.5492003,0.7058718,0.6563697,0.7089342,,,,,,,,,1.412911,,,2.522804,3.945907,,3.128912,3.150762,2.710592,1.344845,,,,,,,,,,,,,,,,,,2.851870775
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.14879799
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6182785
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58278465
Sweden,,4.162781,3.945643,4.447684,4.966457,4.675848,5.757885,6.036026,5.733069,5.700606,6.678736,6.500381,6.995749,7.984225,8.241005,8.915922,8.842587,7.250798,8.708683,8.884666,9.522253,8.354401,8.242155,8.307633,7.762511,8.103271,8.529305,6.683223,6.947846,6.640762,5.632039,5.241108,4.914317,4.804912,4.445119,5.571214,4.951715,4.688605,5.268488,5.22761,5.325234,4.531322,4.504565,3.953359,3.261308,3.295099,3.209022,2.650421,2.546728,2.930174,2.569958,2.976222,2.517301,2.524297,2.045704
Switzerland,,4.861898,6.383811,6.445946,6.743144,6.901891,6.408265,7.986972,7.590999,7.602154,8.25063,9.138284,9.333846,9.219728,9.399826,8.732481,9.461731,10.98661,10.77308,10.09008,11.93289,12.59153,12.67209,10.77697,9.498082,10.10941,7.859108,9.064837,8.90759,9.513537,8.046582,8.469748,8.485807,8.512424,7.411019,6.493762,6.425467,6.064422,6.191246,5.654963,5.675025,5.205728,4.919129,4.189864,4.337296,4.934078,3.990391,4.027053,,,,3.073562,3.119277,3.16839,2.472736
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.928430557
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.370539427
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.40000343
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39433098
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.756697655
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.69648075
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.150704384
Trinidad and Tobago,,,1.328195,3.631129,6.273984,4.014329,4.44699,4.905331,6.465738,,8.333208,8.718913,6.626408,2.839102,,,,5.335387,8.583279,,6.213055,7.965312,7.479263,9.531492,10.86716,7.692603,9.203086,9.499096,5.989244,7.768119,6.866995,6.059602,9.157143,9.375739,7.779706,7.786946,7.190368,3.860081,4.340215,3.332387,6.78453,7.399604,6.157286,6.223275,5.37023,5.348384,5.739398,4.7627,5.286807,6.28342,7.135334,6.710348,4.949711,,9.48032093
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7766037
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59189558
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.855344,5.48995,,,4.426137,5.669009,6.112203,6.758567,5.513573,7.723588,8.310913,7.460036,5.892491,5.215779,4.062053,4.198816,3.981991,3.936221,,,,,,4.284759998
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.644068122
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0575676
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.742313,5.64839,,,4.811339,5.458843,5.481108,6.926363,8.122938,8.858118,8.172044,7.422947,6.305251,6.678351,6.278034,5.70766,5.495852,4.805233,4.363285,4.621035,6.396803,6.558778,6.883954,7.046877
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34031773
United Kingdom,4.278161,4.498607,3.890001,4.175284,4.459152,4.880422,4.762898,4.480163,5.12255,5.781389,6.638053,6.672041,6.123642,6.04555,7.122354,7.446121,7.29742,7.445239,6.81128,6.924879,7.071648,7.716442,7.66791,7.744259,6.79801,6.054521,6.448507,6.103277,7.133972,5.758395,5.812877,4.189492,5.462035,5.13189,4.941552,4.906822,4.807368,4.797337,4.38575,4.732687,4.580078,4.463899,4.043985,3.42051,3.337126,3.014288,2.970494,2.994923,2.847796,2.793137,2.42464,2.432836,2.38241,2.645396,2.450632
United States,10.81385,11.48584,11.78213,11.7554,10.83925,11.63958,11.70234,11.4239,10.80193,11.03564,11.09733,10.93021,11.82675,12.36554,13.49824,13.71823,14.64789,14.45882,14.54551,14.83863,14.39404,14.27787,14.58545,13.98774,10.90378,10.6449,11.09716,11.58252,11.94383,11.59048,11.47484,10.97372,9.890901,9.716694,10.23765,10.29059,10.45881,10.82729,11.08756,11.02509,10.6072,9.910321,9.336086,9.470201,9.762424,9.886183,10.02843,10.01033,9.646136,9.445134,9.103459,8.848565,9.14506,8.922772,8.881379
Uruguay,,,,,,3.324783,2.396832,1.692408,1.528384,1.360762,2.787938,,,2.74896,2.320465,2.831989,3.031238,2.459111,2.515309,2.201851,2.412962,3.18654,3.077653,2.430432,3.112605,2.715436,2.290604,2.052688,3.222969,,4.675621,5.832044,5.001614,5.008011,4.593233,3.78928,4.983132,4.025719,6.093691,7.408995,6.568794,,,6.061003,5.728492,5.965673,5.540662,6.229997,7.085151,6.254294,4.574864,5.405778,,,4.511679
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.529909,6.300382,6.167867,5.809815,5.848968,5.873837,7.279832,8.468662,8.985875,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.331699,4.73889,,,5.796451,6.168277,5.851023,7.330436,6.93827,7.050792,6.608262,5.327964,3.9677,2.981698,2.959838,3.61275,3.933495,3.66424,4.22178,3.714542,3.738903,2.581625,3.31627,4.125673
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475839734
Venezuela,,,,,,4.275908,4.840106,5.041055,7.352703,8.207868,6.535561,6.39382,7.000054,8.676632,7.915596,9.591409,8.914574,10.49861,10.4957,12.14368,11.18235,11.65694,12.31215,13.32183,15.6419,15.91076,17.13287,14.1285,17.00849,15.41376,15.49359,13.75023,13.59669,12.58665,,10.68776,11.02324,11.04821,11.14897,9.305712,10.08122,,10.86066,10.38686,9.887341,,6.546866,7.826449,8.976687,8.494212,8.987995,9.817243,11.16896,9.453988,8.914954
West Germany,,,5.455377,7.226151,7.564229,8.32478,8.369235,7.927351,7.675071,8.721076,9.106006,9.977774,9.875218,9.880193,11.66082,11.44469,12.52446,12.91267,12.63611,12.56056,14.90683,14.65586,14.76707,12.97148,11.10794,11.95368,11.68004,11.97392,11.66141,10.08382,9.805954,8.79114,8.613029,8.876979,7.942396,6.37567,6.696077,5.972637,6.342108,5.833722,5.839972,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.313698769
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6456871
Yugoslavia,,,,,,,,,,,,,,,,,,,5.981823,6.681189,,,,,,,,,10.34429,10.28889,9.097991,9.396418,8.714734,7.972001,7.723777,6.85546,7.338436,6.724865,7.072321,6.976363,6.951611,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.28393173
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35980225
