Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Burkina Faso,15.637,15.79,15.956,16.137,16.335,16.55,16.781,17.026,17.283,17.548,17.817,18.091,18.37,18.658,18.962,19.285,19.631,19.997,20.383,20.783,21.195,21.62,22.059,22.515,22.99,23.486,24.005,24.548,25.114,25.705,26.321,26.965,27.636,28.335,29.062,29.817,30.6,31.412,32.254,33.126,34.029,34.964,35.93,36.929,37.96,39.022,40.117,41.247,42.413,43.619,44.869,46.162,47.502,48.889,50.328,51.819,53.366,54.968,56.625,58.338,60.105
Burundi,88.248,89.998,91.641,93.245,94.86,96.521,98.246,100.037,101.881,103.758,105.644,107.527,109.413,111.333,113.332,115.429,117.679,120.05,122.392,124.495,126.23,127.537,128.519,129.417,130.57,132.227,134.456,137.21,140.48,144.219,148.38,152.953,157.921,163.198,168.681,174.269,179.931,185.615,191.173,196.429,201.255,205.649,209.638,213.167,216.179,218.68,220.603,222.084,223.594,225.755,229.013,233.515,239.135,245.698,252.911,260.524,268.534,276.92,285.384,293.557,301.173
Cambodia,24.005,24.622,25.165,25.678,26.193,26.735,27.316,27.941,28.606,29.3,30.012,30.736,31.472,32.238,33.052,33.924,34.857,35.826,36.774,37.626,38.324,38.885,39.319,39.563,39.537,39.207,38.515,37.542,36.56,35.939,35.936,36.661,38.023,39.837,41.816,43.747,45.574,47.345,49.083,50.84,52.652,54.51,56.374,58.217,60,61.697,63.296,64.801,66.209,67.525,68.754,69.896,70.954,71.943,72.881,73.784,74.659,75.509,76.353,77.211,78.097
Cameroon,9.394,9.569,9.747,9.929,10.116,10.307,10.505,10.709,10.922,11.144,11.377,11.622,11.879,12.148,12.429,12.722,13.028,13.346,13.679,14.027,14.39,14.77,15.165,15.581,16.02,16.486,16.98,17.501,18.043,18.598,19.161,19.727,20.3,20.885,21.492,22.124,22.785,23.47,24.175,24.893,25.62,26.354,27.096,27.841,28.583,29.321,30.051,30.775,31.5,32.231,32.976,33.736,34.511,35.301,36.104,36.921,37.751,38.596,39.455,40.331,41.222
Canada,1.378,1.417,1.456,1.495,1.536,1.578,1.622,1.667,1.712,1.755,1.796,1.834,1.869,1.902,1.937,1.974,2.014,2.056,2.099,2.141,2.178,2.211,2.241,2.268,2.294,2.321,2.349,2.377,2.405,2.432,2.459,2.484,2.509,2.534,2.561,2.592,2.626,2.663,2.702,2.741,2.778,2.813,2.847,2.879,2.909,2.939,2.967,2.994,3.02,3.047,3.076,3.106,3.137,3.17,3.204,3.238,3.272,3.307,3.343,3.377,3.412
Cape Verde,44.152,45.121,46.012,46.826,47.571,48.268,48.945,49.641,50.401,51.274,52.302,53.507,54.883,56.392,57.974,59.584,61.176,62.754,64.371,66.111,68.009,70.143,72.44,74.615,76.285,77.2,77.214,76.475,75.397,74.566,74.398,75.065,76.427,78.207,79.98,81.448,82.513,83.304,84.021,84.961,86.329,88.186,90.436,92.938,95.487,97.929,100.215,102.379,104.439,106.441,108.415,110.364,112.259,114.067,115.741,117.253,118.588,119.768,120.846,121.9,122.985
Cayman Islands,24.292,23.731,23.663,23.996,24.652,25.538,26.572,27.678,28.769,29.78,30.652,31.352,31.886,32.288,32.621,32.958,33.284,33.617,34.098,34.909,36.155,37.894,40.08,42.625,45.417,48.348,51.432,54.667,57.917,61.023,63.867,66.379,68.621,70.841,73.356,76.409,80.08,84.292,88.92,93.758,98.667,103.648,108.75,113.917,119.08,124.212,129.152,133.943,139.03,145.015,152.254,160.989,170.898,181.117,190.428,197.985,203.455,207.117,209.451,211.223,212.992
Central African Republic,2.13,2.151,2.173,2.196,2.22,2.246,2.275,2.306,2.339,2.375,2.413,2.455,2.499,2.545,2.595,2.647,2.701,2.759,2.818,2.877,2.935,2.993,3.051,3.11,3.172,3.238,3.309,3.384,3.465,3.553,3.65,3.756,3.87,3.989,4.106,4.216,4.318,4.414,4.507,4.604,4.711,4.827,4.952,5.082,5.213,5.342,5.468,5.592,5.714,5.83,5.942,6.047,6.147,6.244,6.344,6.449,6.561,6.679,6.803,6.931,7.064
Chad,1.892,1.926,1.962,2,2.039,2.08,2.122,2.164,2.208,2.253,2.301,2.35,2.401,2.454,2.507,2.561,2.615,2.67,2.726,2.784,2.847,2.915,2.986,3.06,3.133,3.204,3.272,3.338,3.404,3.473,3.547,3.626,3.711,3.803,3.903,4.012,4.131,4.26,4.397,4.538,4.682,4.827,4.975,5.127,5.285,5.45,5.622,5.801,5.989,6.189,6.404,6.634,6.878,7.129,7.379,7.621,7.854,8.078,8.297,8.518,8.744
Channel Islands,524.282,527.897,531.354,534.703,538.01,541.328,544.749,548.338,552.2,556.4,561.005,566.056,571.528,577.344,583.41,589.61,595.897,602.241,608.595,614.923,621.159,627.374,633.508,639.226,644.097,647.872,650.364,651.8,652.815,654.282,656.846,660.656,665.523,671.308,677.723,684.523,691.785,699.456,706.954,713.518,718.651,722.072,723.995,725.046,726.123,727.867,730.503,733.856,737.677,741.574,745.282,748.692,751.928,755.19,758.785,762.887,767.6,772.764,777.974,782.656,786.421
Chile,8.038,8.187,8.355,8.54,8.737,8.944,9.161,9.386,9.619,9.861,10.113,10.373,10.64,10.909,11.177,11.44,11.695,11.944,12.186,12.424,12.658,12.89,13.119,13.343,13.56,13.77,13.972,14.168,14.363,14.563,14.775,14.999,15.235,15.482,15.739,16.002,16.27,16.546,16.829,17.124,17.43,17.749,18.078,18.41,18.734,19.044,19.337,19.613,19.877,20.131,20.38,20.623,20.861,21.093,21.321,21.545,21.766,21.983,22.198,22.41,22.618
