RTI 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
New Zealand,20.08636,27.99637,24.8953,30.04308,26.61059,31.26857,24.84504,27.7255,30.61899,28.7154,24.866,27.50312,27.54907,25.40766,29.75914,33.24022,35.32693,38.03786,32.39558,35.58712,39.00109,38.91833,44.13329,51.65231,45.02152,38.92188,38.02549,56.06588,38.86136,34.759,37.55206,40.98017,44.95527,38.19157,41.76714,44.8866,45.12181,48.5521,47.09276,46.41656,48.82297,35.8271,35.79575,36.32048,28.95802,30.897,29.29694,26.66695,25.06944,23.86407,18.99993,20.87256,17.88318,20.47194,20.80856,18.98493,14.34208,,
Norway,,6.431855,5.967341,6.93875,7.020361,7.995956,11.08314,12.69818,9.735083,12.37375,10.81197,11.3288,11.51455,15.00695,12.50977,12.83027,14.22738,13.70741,16.99687,15.7664,20.33308,18.51584,19.32107,18.90047,18.76675,18.40108,18.26297,16.68047,15.8242,16.72522,16.70189,13.86327,17.8653,19.10797,17.97111,17.95771,21.36507,19.0548,15.20633,15.29655,13.4966,13.25825,12.37184,10.93596,11.11541,13.09904,9.907046,12.89191,15.1867,12.66287,15.20328,11.44893,12.83468,10.39981,11.71175,9.398063,8.612814,7.415549,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42188,16.41096,16.09803,18.77291,15.03569,14.97105,,,,,,,15.51016,20.61734,19.59519,18.09853,16.23782,16.01721,15.82302,17.50513,15.673,,16.77579,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47076,12.93309,10.12086,12.55068,10.89869,11.61418,8.543854,9.210849,8.390177,10.17705,12.4721,13.5156,19.74054,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.606225,5.251947,,,,7.114151,6.415877,6.319212,6.39478,6.239914,7.041386,7.636833,,,,,
Poland,,,,,,,,,,7.104402,7.140987,10.74313,11.34328,9.651798,10.96115,11.95648,13.02371,12.46758,14.27982,13.61651,13.31004,14.48536,,,,,,,,,,,,19.61179,16.98973,15.7517,15.24463,15.48208,15.75521,24.11747,26.41215,28.5618,24.74382,21.84348,23.03547,22.89668,20.39678,,,21.05067,19.55718,16.58721,18.24788,16.45491,15.89581,16.78109,15.40431,17.36301,18.3928
Portugal,,,,,,6.431076,5.829027,5.326514,6.88946,8.025884,8.63482,9.93561,9.694571,10.35204,12.16742,12.56683,14.08416,16.43467,17.89847,19.34991,24.46466,30.69039,25.56564,30.2743,32.20343,42.5563,37.41072,32.85322,32.32573,36.77752,33.18337,47.0296,41.97687,40.82635,34.34365,33.67879,28.54308,34.68803,37.85594,36.39658,38.93502,42.72528,39.65623,34.591,30.94405,34.85048,28.98243,26.13428,26.59446,22.37012,19.44431,25.97798,27.13257,23.83434,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.780025,17.9989,13.41768,13.28915,12.55804,15.69756,15.46339,15.90101,15.66791,15.0015,10.09647,9.787778,10.43297,9.307532,10.64508,10.42646,11.62562,11.91304,14.0037,14.90197
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35,23.44225,22.44514,21.76356,20.65544,18.41795,17.20395,18.56219,27.26531,33.34272,32.9803,32.5857,32.3573,34.24232,32.2765,30.15102,26.83106,25.88713,27.43735,33.29358,34.6968,34.68684,36.63094,38.07669,36.2862,35.09521,34.24397,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2606,11.75115,11.18203,13.07273,9.204702,7.094908,8.004024,9.876158,12.305,14.25647,13.66265
Singapore,,,,,,,,,,,,,,13.6901,14.39145,17.74276,18.93858,12.58967,20.09482,16.87287,16.52407,17.77434,21.35327,19.01228,14.74915,10.3889,12.15533,13.68024,15.6133,10.019,12.28383,12.00931,18.94384,13.09795,18.77971,13.72044,14.34581,10.89294,12.60894,13.59328,12.35317,11.29226,10.6572,11.81105,10.51209,10.49602,10.44722,11.43,7.630591,8.132299,8.293059,9.764132,8.725067,9.646254,8.691928,6.736641,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4734,20.08842,16.6808,16.94602,15.51735,20.89573,22.3425,16.45966,16.7741,15.36352,16.08092,16.12671,15.33012,13.04791,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.11243,28.11699,30.94498,31.11082,34.9267,29.61685,35.53379,27.57153,34.09082,42.18387,27.97827,32.99788,25.22396,21.50715,20.9849,20.08409,27.36909,19.05875,19.1853,18.63645,19.67656,25.09874,25.93011,16.03625
Spain,,3.713123,4.161494,4.233863,5.505855,6.500357,6.828368,6.483819,7.16718,7.492182,10.7563,11.90498,12.00714,10.70059,11.35264,11.90109,12.59848,14.58426,10.09228,14.43175,15.21486,14.31749,16.33286,20.47352,16.2233,17.32607,19.71716,21.94619,23.24246,22.36351,20.59145,19.25091,15.79607,18.39851,19.51995,20.01507,22.4208,25.98219,29.13365,32.66819,32.14381,31.82971,26.48717,23.15057,19.86072,20.2753,19.4887,19.9213,22.49906,21.64556,22.15861,20.38688,18.99274,20.03415,16.82169,15.81503,,,
