"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Guinea,212000,196000,189000,194000,208000,218000,251000,281000,318000,367000,407000,467000,532000,638000,764000,913000,1086000,1298000,1568000,1905000,2324000
Guinea-Bissau,30000,29000,30000,31000,33000,40000,48000,52000,58000,65000,70000,80000,89000,112000,123000,136000,143000,181000,211000,242000,279000
Guyana,28000,28000,28000,34000,37000,40000,44000,46000,49000,51000,53000,62000,71000,85000,103000,121000,137000,148000,148000,150000,141000
Haiti,180000,184000,209000,245000,285000,322000,358000,387000,420000,467000,533000,601000,656000,748000,852000,985000,1132000,1305000,1569000,1976000,2412000
Honduras,92000,93000,103000,113000,130000,153000,173000,209000,248000,295000,349000,402000,473000,573000,694000,842000,1020000,1227000,1496000,1822000,2189000
"Hong Kong, China",75000,104000,148000,209000,254000,388000,506000,615000,720000,862000,987000,1080000,1297000,1607000,2023000,2451000,2747000,2989000,3167000,3313000,3403000
Hungary,1057000,1215000,1396000,1586000,1778000,1927000,1838000,1918000,1965000,2029000,2067000,2145000,2237000,2415000,2504000,2489000,2541000,2668000,2855000,2917000,2953000
Iceland,15000,17000,20000,22000,25000,28000,30000,34000,38000,41000,43000,46000,55000,64000,76000,88000,97000,107000,118000,127000,134000
India,20052000,20645000,23312000,26101000,30210000,34767000,40337000,46192000,52901000,60602000,69789000,79402000,91653000,111992000,134533000,158763000,184611000,212728000,244759000,279395000,315635000
Indonesia,4804000,4804000,4877000,5288000,6084000,7048000,7983000,9186000,10989000,13193000,15767000,18304000,20784000,24420000,29649000,36023000,43386000,51143000,58735000,65915000,71592000
Iran,1396000,1381000,1408000,1513000,1659000,1832000,2127000,2680000,3093000,3917000,4470000,4917000,5352000,6387000,7997000,9985000,12264000,14645000,17924000,22867000,27239000
Iraq,258000,320000,409000,530000,651000,759000,829000,858000,906000,1037000,1252000,1430000,1490000,1972000,2336000,2837000,3637000,4610000,5738000,6951000,8336000
Ireland,439000,434000,448000,445000,464000,493000,505000,513000,532000,550000,576000,634000,738000,850000,969000,1106000,1252000,1433000,1632000,1794000,1895000
Israel,78000,124000,170000,240000,308000,395000,443000,510000,557000,702000,804000,883000,1061000,1248000,1423000,1587000,1759000,1978000,2194000,2393000,2584000
Italy,5577000,6199000,6904000,7716000,8795000,9757000,9777000,10782000,11912000,13007000,13938000,14785000,16016000,16842000,17758000,19153000,20716000,22114000,22794000,22766000,22309000
Jamaica,81000,97000,108000,142000,158000,170000,198000,215000,230000,236000,255000,274000,293000,321000,370000,443000,510000,556000,574000,592000,618000
Japan,6374000,7197000,8223000,9449000,11054000,13059000,14996000,17707000,21456000,25556000,29539000,33785000,38708000,41562000,42668000,43484000,44497000,46328000,46694000,46193000,44914000
Jordan,35000,44000,55000,60000,77000,83000,103000,139000,154000,177000,229000,300000,359000,409000,492000,631000,831000,1083000,1362000,1680000,1954000
Kazakhstan,683000,732000,825000,959000,1075000,1207000,1226000,1311000,1587000,1595000,1669000,1562000,1608000,1846000,2150000,2463000,2675000,2932000,3202000,3541000,3993000
Kenya,385000,424000,475000,535000,598000,665000,744000,843000,976000,1149000,1304000,1439000,1692000,2075000,2506000,2962000,3472000,4173000,5174000,6458000,7939000
"Korea, Dem. Rep.",383000,324000,297000,285000,346000,547000,802000,1166000,1570000,2071000,2662000,3141000,3432000,3320000,3746000,4183000,5036000,5708000,5712000,5928000,6065000
