,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Denmark,139.73,145.21,142.47,139.73,145.21,145.21,145.21,142.47,142.47,147.95,145.21,139.73,147.95,147.95,136.99,145.21,123.29,131.51,126.03,128.77,128.77,131.51,131.51,123.29,123.29,123.29,126.03,120.55,115.07,120.55,131.51,134.25,139.73,139.73,136.99,131.51,145.21,136.99,134.25,145.21,142.47,161.64,158.9,158.9
Djibouti,95.89,84.93,95.89,71.23,93.15,79.45,101.37,90.41,68.49,90.41,90.41,95.89,112.33,109.59,101.37,109.59,112.33,104.11,87.67,93.15,93.15,101.37,95.89,93.15,95.89,101.37,93.15,109.59,93.15,95.89,104.11,101.37,109.59,109.59,106.85,101.37,73.97,71.23,84.93,73.97,71.23,84.93,76.71,76.71
Dominica,93.15,87.67,87.67,90.41,93.15,112.33,112.33,115.07,117.81,120.55,120.55,115.07,87.67,98.63,106.85,109.59,95.89,101.37,41.1,79.45,82.19,95.89,98.63,104.11,109.59,115.07,120.55,123.29,123.29,128.77,126.03,123.29,126.03,120.55,117.81,109.59,112.33,109.59,104.11,104.11,104.11,101.37,104.11,104.11
Dominican Rep.,63.01,90.41,87.67,82.19,71.23,79.45,73.97,87.67,84.93,76.71,82.19,84.93,95.89,95.89,90.41,87.67,90.41,93.15,93.15,101.37,95.89,101.37,106.85,112.33,128.77,120.55,112.33,90.41,95.89,76.71,95.89,104.11,112.33,112.33,112.33,109.59,106.85,101.37,101.37,98.63,115.07,115.07,109.59,109.59
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,71.23,76.71,76.71,79.45,82.19,84.93,82.19,84.93,87.67,90.41,93.15,106.85,104.11,106.85,112.33,112.33,117.81,123.29,128.77,128.77,106.85,104.11,104.11,98.63,98.63,104.11,84.93,82.19,93.15,90.41,93.15,90.41,95.89,98.63,104.11,98.63,73.97,123.29,128.77,134.25,139.73,131.51,101.37,101.37
Egypt,32.88,35.62,35.62,38.36,38.36,41.1,38.36,41.1,41.1,41.1,43.84,43.84,46.58,46.58,52.06,52.06,57.53,60.27,68.49,71.23,76.71,84.93,87.67,90.41,87.67,87.67,84.93,84.93,84.93,84.93,84.93,84.93,79.45,76.71,76.71,76.71,79.45,82.19,87.67,84.93,84.93,76.71,76.71,76.71
El Salvador,63.01,60.27,68.49,60.27,76.71,71.23,76.71,73.97,73.97,71.23,76.71,79.45,82.19,82.19,87.67,98.63,95.89,101.37,95.89,101.37,98.63,104.11,104.11,98.63,101.37,98.63,101.37,109.59,104.11,101.37,106.85,104.11,104.11,93.15,98.63,106.85,115.07,115.07,112.33,109.59,106.85,98.63,93.15,93.15
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.74,8.22,10.96,10.96,10.96,10.96,5.48,5.48,5.48,13.7,13.7
