Mobile cellular subscriptions (per 100 people),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6350810882,0.936099179,1.349572553,2.855908343,3.410987984,3.934744137,3.800266615,8.497666567,13.0730062,17.5317602,20.68580421,43.98223243,48.92073982,59.06532142,,,,,,,
Guatemala,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328360079,0.01337190048,0.0229103287,0.03126120346,0.1068828816,0.2995205016,0.4237671485,0.6124496316,1.039293104,3.078096727,7.625018232,9.95810951,13.36472957,16.81830986,25.54063906,35.46443646,55.07324795,89.06133481,109.1871167,123.3285161,125.5685534,140.3756415
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006112180338,0.01120068286,0.01255744204,0.01217053871,0.03593014668,0.265844083,0.3061217791,0.5046685919,0.6570794677,1.054882918,1.275166818,1.742540291,2.090373135,,21.33647634,28.7683686,35.74349387,40.07377582,44.02352304
Guinea-Bissau,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09697329241,2.94231713,7.225660692,11.27415994,20.79938716,34.40437432,37.75604399,,25.97699767
Guyana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1162220241,0.1419488515,0.1721831335,0.1707466836,0.1646113115,0.1918483631,0.1990531968,0.3848278049,5.433084936,10.24306193,10.75864723,18.61929345,23.08001554,37.7050125,53.45299678,71.83002074,59.57718294,68.1970962,73.61194869,68.61502037
Haiti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1198719815,0.2942783577,0.6361785978,1.040727003,1.566827662,3.526015771,4.341863576,5.351299664,12.65938161,26.01875661,32.86658672,36.98206481,40.02703025,41.48645166
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04049693294,0.2472236393,0.5852080024,1.2904086,2.497060621,3.743797335,5.040628944,5.739789029,10.48772914,18.62795078,31.92974861,58.45704438,85.04628809,112.628748,125.0581013,103.9658854
"Hong Kong, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.0186904953,0.08126132349,0.182255562,0.5042747438,0.9084982142,1.558776698,2.311275546,3.23820724,3.945206332,4.868680565,8.016221496,12.99368392,21.72622072,34.76495332,48.36131484,63.87689395,80.3050484,84.58735993,93.54898208,107.7242891,120.6559669,125.4688974,138.2138915,156.4377443,167.1893408,180.2692368,195.5672675,209.6399322
Hungary,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02549073275,0.08181776153,0.2249848952,0.4417350741,1.382654187,2.564995287,4.586972281,6.858056024,10.42528862,15.90393558,30.12845054,48.77363149,67.78153319,78.39139384,86.3189789,92.3967397,99.02075401,109.8317244,121.9746762,117.8982583,120.3150052,117.2968185
Iceland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1.082236896,2.028869254,2.612553401,3.129919621,3.928679359,5.008179236,5.868455178,6.634881434,8.24622795,11.54599631,17.32754823,23.95871513,37.83634728,62.00148705,76.41833505,87.37253162,90.81361169,96.52980078,98.9979659,95.40511486,100.30298,106.6652274,108.4515203,107.6604456,106.5412825,106.0792438
India,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007950347405,0.03337905594,0.08813470814,0.1173720051,0.1818378973,0.3394156395,0.6104309409,1.194091181,3.04642698,4.650080995,7.906720258,14.35129379,19.89996983,29.1292787,43.47705819,61.4226033,71.99905491
Indonesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.001062493313,0.001206881719,0.002642408605,0.003616807688,0.005060480836,0.007134741351,0.0098163269,0.01308496371,0.01865809908,0.02761287744,0.03970920509,0.1056382357,0.2781198631,0.4467753369,0.5128096884,1.054537209,1.719496677,3.016115387,5.341822661,8.337231689,13.50655605,20.63762286,27.75026888,40.17301023,59.83296554,68.94143553,88.08496671,97.71953762
Iran,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01564395581,0.02661105756,0.0986044949,0.3856657003,0.6177019979,0.7630537002,1.473157082,3.147701949,3.39093343,5.068748288,7.367445463,12.20460068,21.79772499,41.67395879,59.48322276,71.85814793,73.06896255,74.92520816
Iraq,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07926107437,0.3087017386,2.156393125,5.60318056,33.20909467,48.41488505,58.78045692,65.47478839,73.45512892,78.12351236
Ireland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.008488716939,0.04239061596,0.09824032495,0.1783095743,0.3846537352,0.7079708169,0.9045614206,1.239680365,1.713427438,2.453519057,4.37557014,7.931933784,14.85070275,25.52144273,44.7087334,64.69879962,76.82716733,76.2237533,87.27078329,94.47640978,102.6925654,110.9716053,115.8336087,115.972488,106.6252042,105.1807423,108.4084545
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.3386705049,0.4954415073,0.7509771502,1.293259224,2.583580299,8.354264819,19.09285857,29.70175562,37.24123456,48.87680093,73.15102878,89.7135899,100.9358989,104.1916964,111.6008596,117.4489429,124.4054345,128.6382352,126.6439604,124.2537305,122.8162407,121.6578152
Italy,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.01129955624,0.01592003677,0.0290971672,0.05914505488,0.1162696733,0.4680434534,0.9990140189,1.376215626,2.120174886,3.932225496,6.886317431,11.27886724,20.63324796,36.03949249,53.26893142,74.13356983,89.59213237,94.26272695,98.10879697,107.69984,121.8655707,136.1122912,150.9381179,150.8411572,146.1011892,149.6263108,151.8374453
Jamaica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1027958194,0.3180653885,0.6294663535,1.070208831,1.833747983,2.199083018,2.630470248,3.103313532,5.644559447,14.21386649,22.95515799,47.41017408,59.56915189,68.95395957,73.88964941,84.36083957,99.08783253,100.1117899,108.2499321,116.0866339,108.1214042
Japan,0,,,,,0,,,,,0,0,0,0,0,0,0.01136325136,0.01682423529,0.02294140764,0.0338515714,0.05150405723,0.07891200951,0.1245815082,0.2000153548,0.4018273418,0.7100773764,1.123124788,1.390306084,1.723662199,3.49029094,9.408340699,21.55711575,30.58071195,37.74774314,45.28388501,53.12138826,59.430459,64.35491913,68.67344329,72.42630595,76.3365398,78.9358056,84.84257809,87.23798653,91.8955442,97.43251165,102.6650202
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04213063307,0.04061834343,0.03841257789,0.03622535755,0.03429355281,0.2701959491,0.5346465984,0.9776376539,1.760544278,2.492201938,8.057618908,17.62967673,24.3998846,26.00289594,31.17072898,58.73640631,79.03562381,84.19389485,90.84642856,99.81369465,106.9946197,118.2047588
Kazakhstan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002481371568,0.02888385319,0.0623578206,0.07234244207,0.1945603163,0.3281977132,1.319141784,3.906652223,6.89184547,8.895805836,16.25536454,35.57915489,50.78087709,79.62394643,95.24269826,107.7147692,121.0667396,142.5498635
Kenya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004392562513,0.004495784254,0.007469160531,0.008309718031,0.01002426361,0.0233789996,0.03621986631,0.07798857559,0.4076445218,1.870546579,3.605220187,4.705726478,7.337168136,12.94966982,20.08792164,30.27701085,42.39603637,49.07117416,61.63228344,64.84245944
Kiribati,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02713202195,0.2423537395,0.3571003452,0.4617182934,0.5680057833,0.5925024781,0.6803247859,0.7066139062,0.7483909594,0.7891165052,1.035925911,10.10639926,10.64332068,13.63892653
North Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857516648,1.774069405,4.089764607
South Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,0.01726454425,0.02465480212,0.04835604877,0.09333982797,0.1861431377,0.3829795927,0.6218418903,1.070843075,2.164409449,3.674908748,7.076786199,15.20920684,30.81337201,51.24204234,58.31220591,62.85489674,69.67231569,72.04691783,78.1240784,81.50289156,85.04134311,93.410027,95.54412121,99.95892538,105.3621105,108.504517
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.4466671279,0.7381346151,0.8628485045,1.079887692,0.9932044411,2.117179484,2.650621571,3.580838497,5.048437026,7.224535002,9.278370145,12.50884554,14.17480253,16.15320127,24.52614559,43.6865666,59.28063171,66.76741336,91.34568175,100.573583,107.593599,113.3126728,114.0737677,146.4694292,160.7756989,
Kyrgyz Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02798582881,0.05254278287,0.1816402111,0.5413051951,1.061108911,2.760970284,5.24822223,10.74198875,24.81954174,42.19184922,65.21806636,85.13020751,98.89869621,104.8292283
Lao,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006539529199,0.007460695302,0.0133604647,0.0320951836,0.07722149325,0.09797519264,0.126014359,0.231338538,0.2384964623,0.5462281509,1.003511198,2.011365762,3.603123668,11.42862903,17.28241987,24.92519032,33.57908775,52.92156941,64.56157773,87.16314805
Latvia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03930766457,0.1477960881,0.3307375994,0.6020235986,1.157305419,3.161139388,6.920352307,11.41933325,16.82501933,27.74614308,39.023971,52.24646296,66.2596061,81.17888831,95.2298219,97.16504368,101.2069401,101.8670016,102.3995808,102.9359711
Lebanon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.465229597,5.594584216,10.39376207,13.8659794,16.99171796,19.85394657,20.16233388,20.03627242,20.2128311,22.1219537,24.51762157,27.00287032,30.47252732,34.24595894,56.95312593,68.00000095,78.64948273
Lesotho,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06899107927,0.1876456264,0.5171592068,0.6203675988,1.099864656,2.865786183,6.86244224,6.207564801,9.585365163,12.09177094,17.16147358,21.65110573,27.88439663,30.75561569,45.47689468,47.90680099
Liberia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05268167275,0.06804350429,0.166884618,1.555600623,3.051358335,5.0274325,8.449723241,16.19120228,23.36029368,28.28681136,39.34051088,49.16775098
Libya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2019762977,0.3967283401,0.5843028216,0.7646445196,0.9378556231,1.288116044,2.291979408,8.845178767,34.66379327,66.63957577,74.71294043,119.993024,152.2369144,171.5154666,155.6960141
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23.37176691,27.71789344,30.43862052,33.09365504,33.90828526,73.51643828,74.20340463,79.26850357,82.16888127,90.77581807,95.71802596,97.84188751,98.52353464,101.8345086
Lithuania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007235884132,0.03380874269,0.1235339245,0.4076763851,1.414327905,4.622059932,7.53884145,9.421828902,14.9713088,29.25602264,47.52677477,60.98356043,88.90170918,127.4522301,138.8569982,145.3688811,149.4922166,148.4991007,147.1585875,151.2979213
Luxembourg,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.01090762334,0.07924725959,0.1011310497,0.1450233188,0.176290633,0.216145321,0.2952651294,0.2866077415,1.282753503,3.209276164,6.585656725,10.88594673,16.02651691,30.69028447,48.57540927,69.63955627,93.07295186,106.800457,120.7599588,104.2387467,111.5492884,153.1403436,143.8889753,145.2398512,144.6837755,143.265911,148.2675345
"Macao, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3891597765,0.6205015721,1.311797517,2.782055964,3.929199129,5.471975423,9.00568738,11.06401059,12.85610023,19.67108652,27.83484016,32.66098127,44.17225989,61.43608501,79.23087303,91.98578257,110.6707659,129.0066029,157.0711615,179.8770597,195.2917479,206.4285136,243.4980233
"Macedonia, FYR",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05361623244,0.6234007768,1.510085304,2.435215658,5.761212409,11.0747368,18.06626761,38.26771522,48.4791487,55.49291034,61.85926129,87.622136,95.85909836,94.47905915,104.5066324,109.3621617
Madagascar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002356986505,0.009901573032,0.01697758907,0.02932411631,0.08858867172,0.2400724354,0.410654016,0.9308100786,0.9976762302,1.684229201,1.923549219,2.852901384,5.67588527,11.6837003,24.73738484,31.22516479,37.22983676,38.28077561
Malawi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003865086231,0.03674059304,0.0678352089,0.09894129982,0.2060012278,0.4363795954,0.4833755835,0.7271719622,1.112512243,1.780956216,3.284540007,4.699867658,7.732877763,10.76523981,17.21088553,20.92072521,25.0685136
Malaysia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0.06668857766,0.1042465922,0.1587319398,0.2226453457,0.475710273,0.6948982813,1.04442872,1.72588935,2.829534176,4.850515014,7.15542289,9.182104501,9.855549893,13.07521203,21.87387532,30.81626035,36.92792463,44.38913936,57.09551136,74.88436601,73.20962871,86.30689233,100.7671876,107.8520662,119.2175618,127.0351203
Maldives,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007875255946,0.498065652,0.6086399588,1.089352197,2.795385674,6.801516248,14.84379982,23.18594876,38.91775606,68.96761956,90.52631931,103.2944696,141.6065299,146.8439945,156.4971429,165.7233638
Mali,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176091399,0.02740244316,0.04195069513,0.05822388437,0.09205579229,0.2061633716,0.383056431,1.99693799,3.185504152,5.782854236,11.13051355,18.05099229,23.77987813,29.91682726,48.40907912,68.32225788
Malta,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6138024794,0.9320086384,1.39630217,1.956620421,2.791430404,3.211081055,4.518785489,5.726827458,9.495900986,28.79673897,59.89203144,68.82862143,71.64064063,75.16693968,79.15562125,84.35526559,89.31722119,93.1609437,101.6528587,109.3787739,124.8634096
Marshall Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5537427074,0.517565872,0.7102687346,0.9014062712,0.6643558637,0.8506144393,0.8572250455,0.9380215227,1.060192832,1.15017695,1.239224138,1.268328305,1.915341889,2.857850515,3.78214826,5.618398382,7.03208853,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578943923,4.060591825,8.828878566,12.17743354,17.62170411,24.46846319,33.87015613,44.01218052,63.48499994,64.60888256,79.33982952,92.71026164
Mauritius,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2076357088,0.2329373399,0.2674162648,0.3651216153,0.50853802,1.032013072,1.811728996,3.657556685,5.151301588,8.621493157,15.04982747,22.5457862,28.46441457,37.48437492,43.97195403,52.26434702,60.9777182,72.79598636,80.48454296,84.13908544,91.66607655,99.04384916
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001851621131,0.01028228414,0.07582561565,0.1872566179,0.3572156214,0.4333220592,0.627679618,0.7461715484,1.088768074,1.823962141,3.4529982,7.848284842,14.08357061,21.47207848,25.26280506,28.96723372,36.55886045,44.2590939,51.37045296,60.94030683,68.06960457,74.25785259,80.55043081,82.37873746
"Micronesia, Fed. Sts.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09282637754,5.417955227,11.73457209,12.88076111,16.95616136,24.92097518,24.91686827,24.84730203,24.77670532,
Moldova,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003226735811,0.021357189,0.0515419235,0.1658260863,0.4319551803,3.384683116,5.569025722,8.522071592,12.21488812,20.55954352,28.93113551,36.55898406,51.28175098,66.66785876,77.29518801,88.5853309,104.7985198
Monaco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.576537911,7.85595874,9.102199067,16.12662386,21.19267675,33.31204274,37.54305396,39.64869328,40.52935842,42.08709431,42.69456162,44.64032651,48.75496313,51.9097173,57.79855504,62.25945212,65.01399214,66.12816675,85.81025771
Mongolia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03870353479,0.08526537569,0.3815969868,1.44679768,6.411295824,8.009808935,8.784583706,12.83610785,17.04917394,21.87408115,29.98673061,45.51643755,66.09916348,82.93900524,91.09104097,105.078329
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.16649227,86.67403816,102.6483318,111.9494492,184.0527031,205.2815913,185.276093,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0002571712084,0.0004406665749,0.002879404177,0.003647940639,0.005943430194,0.01252735516,0.02575861318,0.05200651495,0.1095898041,0.1571604745,0.2687680853,0.4153627196,1.297878733,8.133854771,16.38128869,21.04530631,24.72217628,31.03793239,40.77590198,52.1291356,64.58731247,72.84366405,80.00993155,100.0966061,113.264873
Mozambique,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014825898,0.03888289922,0.06902912451,0.2805668103,0.8166937833,1.32686834,2.209608038,3.496937488,7.240934322,10.98737623,14.12010897,19.72429017,26.12049369,30.88473592,32.82674824
Myanmar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001568829797,0.004620642929,0.006564894349,0.01698804292,0.01958839866,0.01937545069,0.02559516397,0.0297991488,0.05001996408,0.1052022469,0.1450952612,0.20067615,0.2778427709,0.4596346362,0.5278410744,0.7775355572,1.054601911,1.238454332,2.572822264
Namibia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2119475436,0.3905995091,0.7135224491,1.081783378,1.620715773,4.325261797,5.505063781,7.601063744,11.13709717,14.00134779,21.58017184,28.73741004,37.06697224,47.80901118,54.28000275,67.20691073,104.9602755
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02308463431,0.04190879522,0.06919884978,0.08559779956,0.3131443994,0.4370781733,0.8332103888,4.157203157,11.5208066,14.53017811,19.01922631,30.69344863,43.80556809
Netherlands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,0.03321123362,0.105288033,0.1655903069,0.2244607687,0.3785221656,0.5304961771,0.7669381116,1.099140558,1.419874509,2.095284943,3.49496974,6.547605928,11.00230767,21.35659296,42.75900172,67.80002931,76.47250632,75.40850689,81.79599719,91.21674572,97.10859377,105.6053444,117.2805056,124.987404,121.6780838,115.4458187,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4324896727,1.055782201,2.60625843,6.401319536,12.24216886,23.56426769,31.45557954,36.40649674,43.45178437,51.23824024,58.10325428,65.96418358,73.80946402,80.8831218,84.89064399,88.01809702,89.20554439
New Zealand,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.07248736153,0.3000481877,0.8599068861,1.592120973,2.098081692,2.860303301,4.034191314,6.60149621,9.931810637,13.25678401,15.09009147,20.880303,36.54351285,39.96856428,58.5641044,61.81255928,64.6393762,74.20700002,85.3870367,90.85730302,100.4429102,107.9992117,108.7301521,107.8263131,109.1854156
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007313469289,0.04812820313,0.09488811828,0.1077503336,0.1566904652,0.3727692377,0.8855133311,1.779646586,3.195196397,4.545221165,8.82530415,13.7905591,20.63624009,33.3159371,44.97549632,55.1496679,58.57142357,68.45430925,82.15224591
Niger,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009963455469,0.01324391222,0.02078075929,0.01882366556,0.01880062617,0.4915436989,0.6796733079,1.374207028,2.492349478,3.588373314,6.453619771,13.13236734,17.35877229,24.53328733,27.00770814
Nigeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008623716341,0.01191222621,0.01181660398,0.0124313715,0.01301307124,0.01695154185,0.02069803579,0.02425447092,0.2103007653,1.208519162,2.366830773,6.706192587,13.29320269,22.54949159,27.48908131,41.80678114,48.23561006,55.10417598,58.57504542
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.403347328,1.394662,2.086339691,,,,4.330972792,4.383913958,19.07955597,24.69557448,26.94305767,29.93099819,,,,,,,
Norway,0,,,,,0,,,,,0,0,0,0,0,0,0.04074463629,0.2689729412,0.5690992652,0.9436583981,1.518942532,2.088794082,2.868373925,3.621638022,3.97154999,4.640544526,5.499102496,6.601565234,8.61850076,13.57838877,22.51166297,28.76636294,38.00380862,46.67457191,59.6551823,71.79027442,79.5976387,83.56117902,89.0794444,98.64191464,102.8368277,104.2861959,106.684306,109.044815,110.8737646,115.6777513,116.7548724
Oman,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.003379750743,0.04652860481,0.06945384945,0.09883500619,0.1167617048,0.1461413074,0.1885937746,0.2324039309,0.2657331937,0.3093073047,0.3607497789,0.6640899975,2.33843922,4.330594012,5.35540883,7.1549619,14.17181949,20.10531188,25.42844141,33.90101315,54.87629193,72.99483663,97.61099053,122.0854824,146.3995788,165.5432382,168.9741036
Pakistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001788194144,0.007393226458,0.01143967913,0.01321987213,0.01986919028,0.03216730062,0.05204176381,0.100574312,0.1422962993,0.1880305748,0.2120733126,0.5032641185,1.129291367,1.570067682,3.222703627,8.050153316,21.36452656,38.22340855,52.56722111,55.33439706,57.13688061,61.61096141
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55811577,19.92080414,19.81517952,30.39786999,41.70706112,53.14146535,57.67747676,62.63639045,70.88706526,74.94298607
Panama,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2562490917,0.8421987724,3.02056501,8.031628798,13.88306858,15.77160858,17.13339609,22.15298674,39.59648884,54.00144087,66.00079585,89.8516507,114.9350049,175.2413775,188.9874375,203.8839769
Papua New Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04720398505,0.07759817064,0.1088917201,0.1346993451,0.1591425933,0.1938902465,0.2650201963,0.3015666473,0.8122041615,1.230428598,1.601302564,4.690206396,13.34500283,21.14679487,27.8361615,34.21811396
Paraguay,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03359628022,0.07409640095,0.1634893668,0.3296307997,0.6699081578,1.679877958,4.518300953,8.323329095,15.36079366,21.0857473,29.9569663,31.19136242,30.22459942,31.99489438,53.8036084,76.71408226,92.94597224,88.5956273,91.73156664,99.40262991
Peru,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007608757856,0.02576612988,0.09555153298,0.1579621954,0.2230338127,0.3086519364,0.8287959369,1.710008969,2.961194516,3.977121642,4.925615057,6.837216967,8.679488046,10.88685454,15.02295368,20.25981639,32.72760118,54.73693214,73.60989776,85.86901405,100.1328805,110.4136635
Philippines,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05479289268,0.08667595382,0.1547438495,0.253907309,0.7131026603,1.353952827,1.855133567,2.341480792,3.766348031,8.348676655,15.39828669,19.07840957,27.35261712,39.23894528,40.65511117,49.20884301,64.6848428,75.54041897,82.42540791,85.66905679,91.99208388
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005738904775,0.04097213068,0.101505192,0.1953543282,0.5648593131,2.115703836,5.025337261,10.32057374,17.61506394,26.14448657,36.35440837,45.55514218,60.50028534,76.4217488,96.26705873,108.376622,114.9349364,117.1438859,122.6651202,128.4630552
Portugal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280411889,0.06548803649,0.1266798528,0.3732893451,1.010154294,1.721728341,3.366389322,6.526188696,14.75777623,29.98959066,45.38185999,64.48158121,76.85669104,83.17938272,95.57508603,100.6172229,108.5705509,115.5876978,127.0490975,132.1081296,110.6773606,114.376794,114.9203113
