,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389999986,,0.319999993,,,0.360000014,,0.610000014,,0.620000005,,0.589999974,,0.74,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449999988,,0.449999988,,0.449999988,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230000004,,0.379999995,,0.379999995,,0.610000014,,0.88,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819999993,,0.75,,0.939999998,,,0.790000021,,0.819999993,,0.870000005,,1.100000024,,1.22,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74000001,,0.479999989,,0.529999971,,,0.550000012,,0.560000002,,0.460000008,,0.879999995,,1.15,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,,,,0.360000014,,0.119999997,,0.66,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460000008,,0.419999987,,,,,0.379999995,,0.469999999,,0.449999988,,0.680000007,,0.87,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519999981,,,0.589999974,,0.629999995,,0.660000026,,0.720000029,,0.94,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210000038,,,1.139999986,,1.029999971,,1.120000005,,1.620000005,,1.7,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.610000014,,,0.639999986,,0.479999989,,0.550000012,,0.769999981,,0.98,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689999998,,0.620000005,,,0.469999999,,0.620000005,,0.540000021,,0.689999998,,0.67,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939999998,,0.920000017,,0.790000021,,,0.75999999,,0.680000007,,0.769999981,,1.019999981,,1.14,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.02,,0.129999995,,,0.129999995,,0.270000011,,0.200000003,,0.389999986,,0.51,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.330000043,,,1.210000038,,1.190000057,,1.230000019,,1.610000014,,1.8,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310000002,,0.310000002,,0.310000002,,0.310000002,,0.31,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469999999,,,0.460000008,,0.529999971,,0.519999981,,0.620000005,,1.01,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430000007,,,,,0.409999996,,0.529999971,,0.50999999,,0.540000021,,0.7,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409999996,,0.529999971,,0.529999971,,0.939999998,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430000007,,0.439999998,,,0.469999999,,0.720000029,,0.560000002,,0.620000005,,0.97,
