Crude birth rate (births per 1000 population),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Polynesia,46.215,46.342,45.661,41.94,36.103,33.242,33.487,32.994,28.876,26.651,24.516,21.987,20.219,19.248,18.588,17.681,16.361,14.93,13.742,13.098
Portugal,24.09,24.16,24.17,22.38,19.81,18.34,14.817,12.18,11.194,10.981,10.669,9.873,9.231,8.701,8.337,8.319,8.476,8.58,8.578,8.573
Puerto Rico,36.16,33.49,31.27,26.8,24.41,23.84,20.49,18.77,17.475,15.656,13.774,13.19,12.865,12.33,11.775,11.201,10.665,10.412,10.356,10.297
Qatar,46.3,43.7,40.8,37,31.3,29.9,28.67,25.6,21.2,19.947,15.704,12.197,11.183,10.372,9.629,9.043,8.824,8.82,8.909,8.861
"Korea, Rep.",35.759,45.386,39.932,32.926,30.361,23.09,20.396,15.489,16.032,13.679,10.37,9.488,9.1,8.676,8.419,8.101,7.712,7.336,7.156,7.246
Moldova,29.45,28.2,24.4,19.23,18.5,19.6,21.6,21.2,15.47,12.676,11.522,12.291,12.698,12.127,10.767,9.65,9.547,10.233,10.777,10.495
Reunion,39.429,40.992,39.797,35.171,30.72,25.3,23.6,23.03,21.402,20.054,19.928,18.55,17.143,16.104,15.224,14.476,13.801,13.083,12.456,12.153
Romania,24.94,22.9,16.29,21.85,19.449,19.12,15.81,16.08,11.4,10.482,10.035,10.045,9.691,9.249,8.654,8.28,8.266,8.443,8.567,8.588
Russia,26.455,25.09,20.96,14.418,15.32,15.85,16.802,16.136,10.863,8.941,9.854,10.828,11.278,10.756,9.766,9.12,9.361,10.113,10.632,10.665
Rwanda,51.79,52.79,52.82,52.68,52.61,53.51,55.383,50.749,40.657,40.304,41.042,41.033,40.101,35.927,31.38,28.26,26.587,25.349,23.678,21.575
Saint Lucia,37.361,46.066,45.293,43.191,37.941,33.797,31.061,25.948,25.147,21.523,18.021,18.049,16.798,15.799,14.813,13.75,12.934,12.409,12.019,11.644
Saint Vincent and the Grenadines,49.459,48.924,46.285,42.316,38.217,32.749,29.231,25.86,23.991,21.421,18.645,17.725,16.82,15.799,14.708,13.727,13.211,12.881,12.546,12.119
Samoa,50.87,48.69,47.19,41.57,37.68,34.77,36.89,37.6,31.057,32.055,29.246,23.764,21.542,21.88,22.76,22.413,20.108,16.957,14.677,13.974
Sao Tome and Principe,41.5,48.3,50.5,49.66,43.9,42.9,42,39,36.954,36.017,34.87,32.399,29.406,26.953,25.022,23.203,21.302,19.421,17.801,16.509
Saudi Arabia,49,48.8,48.9,48.1,47.6,45.89,40.692,37.851,33.468,29.453,26.511,23.569,22.018,20.421,18.683,16.922,15.274,14.024,13.614,13.226
Senegal,44.648,48.193,49.178,50.813,50.542,49.28,46.978,44.934,43.53,41.361,39.565,38.776,35.568,31.879,28.811,26.54,24.793,23.104,21.274,19.484
Serbia,26.97,22.87,20.31,18.63,18.54,18.41,17.41,16,13.686,12.22,12.295,11.612,11.408,11.179,10.824,10.593,10.571,10.54,10.396,10.259
Sierra Leone,45.368,45.917,46.558,46.476,46.121,45.291,43.653,42.514,42.446,42.664,41.929,40.441,38.435,35.61,33.252,31.03,29.01,27.049,25.185,23.478
Singapore,44.4,41.55,34.02,24.85,21.201,17.192,16.65,16.98,17.896,13.954,10.172,8.191,7.873,8.385,8.869,8.653,7.748,6.938,6.801,7.316
Slovak Republic,27.41,24.3,20.51,18.01,19.66,20.63,18.22,16.3,13.7,10.822,9.661,10.176,10.341,9.848,9.068,8.376,8.133,8.381,8.719,8.846
Slovenia,21.98,18.72,17.8,17.51,16.69,16.65,14.628,12.622,10.115,9.159,8.864,9.628,9.905,9.41,8.779,8.345,8.349,8.808,9.337,9.603
Solomon Islands,42.63,44.04,43.71,43.87,47.16,45.01,40.35,40.356,38.725,36.326,33.528,30.79,27.744,25.346,23.469,21.832,20.258,18.707,17.306,16.121
Somalia,53.377,52.053,50.976,50.754,50.331,50.314,43.749,45.263,45.549,45.915,45.655,44.239,42.298,39.88,37.873,35.666,33.007,30.121,27.475,25.308
South Africa,43.256,42.51,41.621,38.194,37.696,35.78,33.912,31.142,27.496,25.212,24.201,22.113,20.926,19.659,18.598,17.756,17.016,16.287,15.477,14.881
South America,41.144,40.468,39.721,36.011,33.091,32.029,30.039,26.945,24.126,22.447,20.607,18.246,16.459,15.203,14.061,13.101,12.375,11.763,11.391,11.026
South-Central Asia,43.268,42.508,41.332,39.965,38.849,37.878,36.394,34.255,31.545,28.268,25.993,23.712,21.995,20.129,18.257,16.569,15.315,14.647,13.973,13.228
South-Eastern Asia,44.126,44.957,43.795,41.333,38.231,34.713,32.409,29.183,26.08,22.734,21.004,19.474,17.969,16.575,15.539,14.625,13.876,13.234,12.662,12.147
Southern Africa,43.392,42.721,41.912,38.903,38.521,36.78,34.924,32.162,28.501,26.109,24.882,22.828,21.621,20.348,19.222,18.282,17.472,16.718,15.904,15.254
Southern Europe,21.037,20.602,20.48,19.441,17.927,15.987,13.277,11.561,10.661,10.033,10.022,10.153,9.804,9.195,8.706,8.557,8.754,9.078,9.213,9.15
Spain,20.32,21.29,21.47,20.39,19.47,17.5,13.341,10.78,9.778,9.334,10.297,11.016,10.999,10.113,9.159,8.826,9.147,9.709,9.902,9.711
Sri Lanka,37.453,38.435,35.086,32.793,29.355,27.911,25.512,21.777,20.128,17.816,18.809,18.287,16.969,15.166,13.553,12.81,12.638,12.374,11.935,11.268
Sub- Saharan Africa,47.761,47.755,47.693,47.25,47.138,46.935,46.13,45.012,43.378,41.613,40.167,38.637,36.202,33.343,30.607,28.217,26.153,24.262,22.423,20.673
Sudan,46.398,46.523,46.246,46.194,45.91,44.996,43.59,41.797,40.243,38.056,34.517,31.616,28.849,26.584,24.675,22.878,21.129,19.532,18.151,16.973
Suriname,43.8,44.4,44.4,40,34.6,29.5,30.022,25.37,22.483,23.613,21.04,19.121,17.973,16.943,16.097,15.182,13.994,12.841,12.163,11.858
Swaziland,48.077,47.579,47.847,48.957,49.335,48.458,47.686,46.11,40.009,34.331,31.905,30.014,28.799,27.296,25.184,23.152,21.752,20.852,20.004,18.92
Sweden,15.49,14.48,14.72,14.75,13.63,11.74,11.29,12.92,13.59,10.341,10.838,11.72,11.522,11.635,11.504,10.978,10.628,10.745,10.963,11.044
Switzerland,17.34,17.5,18.88,17.68,14.16,11.56,11.514,11.807,12.042,11.011,9.948,9.69,9.571,9.829,10.049,10.059,9.955,9.993,10.244,10.635
Syria,48.435,48.391,48.198,47.416,46.897,46.933,46.126,40.492,33.286,29.982,29.515,28.231,25.292,21.867,19.123,17.33,16.239,15.14,14.287,13.362
Tajikistan,44.7,46.14,48.45,40.5,39.69,37.24,38.61,40.19,37.156,32.706,29.406,28.139,27.443,25.414,22.51,19.592,17.427,16.002,14.989,14.437
"Macedonia, FYR",37.35,33.84,29.08,25.93,22.53,21.56,20.12,18.12,16.4,13.798,11.906,10.918,10.905,10.795,10.402,9.841,9.323,9.171,9.343,9.588
Thailand,43.647,43.791,42.923,39.573,34.169,28.872,24.617,20.819,18.842,16.477,15.279,14.577,14.056,13.34,12.721,12.221,11.883,11.684,11.529,11.364
Timor-Leste,47.43,47.01,46.76,44.68,44.31,25,44.11,43.3,43.069,45.814,40.02,40.201,39.716,38.485,35.335,31.375,28.074,26.04,24.724,23.315
Togo,46.922,46.704,47.31,48.082,48.576,48.035,46.245,43.706,41.008,38.382,35.844,33.058,30.881,28.263,25.92,23.925,22.201,20.644,19.166,17.789
Tonga,45.137,45.069,44.972,40.49,33.78,32.967,33.679,30.481,29.86,28.011,28.585,28.167,24.377,21.864,21.326,21.32,20.722,19.026,16.919,15.376
Trinidad and Tobago,38.2,38,38,28.85,27,29.33,28.354,24.685,18.159,15.063,14.495,14.828,14.728,13.823,12.594,11.734,11.367,11.343,11.331,11.121
Tunisia,46.4,46.7,46.5,41.8,37.1,36.659,33.968,30.346,23.981,18.364,16.325,16.093,15.992,15.179,14.169,12.675,11.667,11.347,11.347,11.252
Turkey,50.791,48.226,43.807,40.204,37.556,33.482,32.14,26.759,24.912,22.67,19.69,18.426,17.062,15.795,14.632,13.665,13.031,12.514,12.076,11.665
Turkmenistan,43.2,43.3,44.55,37.95,37.11,35.34,35.19,35.66,32.552,24.488,23.338,22.014,20.79,18.907,16.56,14.755,14.108,13.807,13.422,12.777
Uganda,51.267,49.98,49.248,48.978,48.555,48.659,49.022,49.362,49.406,48.317,47.37,46.345,44.088,41.15,37.722,34.256,31.111,28.323,25.77,23.355
Ukraine,25.38,23.264,18.6,15.435,15.7,14.95,15.169,14.591,11.383,8.62,8.44,9.879,10.774,10.625,9.745,9.005,8.996,9.758,10.51,10.605
United Arab Emirates,47.8,47.5,43.6,38.6,33,30.51,29.5,29.685,23.173,18.221,16.513,14.027,13.107,11.517,10.467,10.233,10.341,10.234,9.867,9.413
United Kingdom,15.917,16.45,18.375,17.368,14.514,12.37,13.501,13.656,13.188,12.161,11.62,12.195,12.048,12.04,11.878,11.486,11.139,11.091,11.181,11.228
Tanzania,49.023,49.331,49.112,48.724,47.951,47.402,46.042,44.924,43.293,41.89,41.824,41.648,39.755,36.345,33.299,30.801,28.698,26.718,24.74,22.847
United States,24.28,24.26,21.772,17.67,15.726,15.055,15.533,15.884,15.698,14.485,14.195,14.191,13.549,12.976,12.402,11.953,11.759,11.674,11.574,11.402
Virgin Islands (U.S.),37.097,37.485,41.452,45.572,41.379,35.803,30.845,24.48,23.427,17.8,14.846,13.536,12.66,12.423,12.06,11.187,10.353,9.774,9.452,9.302
Uruguay,21.227,21.93,21.903,20.466,21.124,20.208,18.343,18.229,18.163,16.928,15.935,15.089,14.382,13.744,13.084,12.502,12.109,11.711,11.352,11.045
Uzbekistan,42.433,45.78,44.938,38.888,34.968,34.847,35.79,36.044,32.623,25.555,21.635,20.36,20.198,19.184,17.357,15.287,13.635,13.014,12.928,12.674
Vanuatu,50.39,49.16,47.33,44.26,42.47,41.01,38.81,37.04,36.46,33.939,32.05,30.443,28.074,25.617,23.509,21.794,20.368,19.017,17.666,16.385
Venezuela,46.406,44.784,44.988,40.067,35.051,34.173,32.027,30.26,26.94,24.481,22.868,21.439,19.876,18.292,16.875,15.677,14.642,13.704,12.863,12.414
Vietnam,42.651,45.512,45.937,42.465,38.91,36.719,34.837,33.334,28.54,21.295,19.134,17.312,16.007,15.103,14.293,13.172,12.279,11.732,11.437,11.205
Western Africa,47.44,48.032,48.171,48.049,48.301,48.484,47.697,46.161,44.471,42.693,41.15,40.022,37.135,33.778,30.844,28.544,26.674,24.856,22.973,21.166
Western Asia,47.166,44.711,42.838,40.729,38.767,36.741,35.608,32.63,30.205,27.673,25.173,23.873,22.28,20.557,18.919,17.517,16.397,15.435,14.652,13.873
Western Europe,17.291,17.509,18.225,16.53,13.478,11.837,12.144,12.137,11.395,10.966,10.644,10.048,9.643,9.611,9.541,9.436,9.378,9.356,9.371,9.47
Western Sahara,49.012,50.703,51.489,49.434,44.517,43.41,42.261,37.407,32.349,28.273,25.08,23.34,21.908,20.114,17.933,15.704,14.174,13.506,13.337,13.092
WORLD,37.153,35.287,34.922,33.423,30.816,28.434,27.863,27.26,24.724,22.523,21.208,20.286,19.411,18.224,16.913,15.795,15.019,14.522,14.01,13.409
"Yemen, Rep.",54.776,54.595,54.567,55.403,56.347,56.17,55.815,53.372,48.627,42.881,38.576,37.1,34.739,31.876,28.622,25.655,23.293,21.38,19.594,17.778
Zambia,46.822,47.594,48.603,49.243,48.452,47.529,45.089,44.203,44.033,45.058,44.582,43.152,40.14,37.013,33.872,31.011,28.648,26.622,24.736,22.917
Zimbabwe,48.332,48.074,48.215,47.487,47.605,47.63,44.975,39.615,35.579,32.008,30.256,30.028,29.211,27.723,25.023,22.278,20.353,19.207,18.269,17.077
