Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Polynesia,124212,127664,130903,134090,137360,140799,144468,148392,152560,156946,161505,166214,171077,176130,181431,186985,192861,198960,204966,210450,215126,218844,221733,224109,226440,229064,232098,235444,238983,242502,245859,249019,252063,255082,258223,261576,265176,268979,272907,276842,280704,284465,288141,291744,295297,298820,302307,305741,309122,312444,315705,318907,322049,325113,328076,330926,333658,336285,338839,341355,343868,346385,348908,351452,354042,356690,359404,362182,364991,367809,370602,373365,376095,378789,381438,384034,386566,389033,391439,393808,396148,398461,400734,402933,405017,406954,408734,410364,411844,413187,414401,415491,416459,417310,418043,418669,419199,419647,420036,420393,420750
Portugal,4043001,4041759,4058197,4084238,4113641,4142000,4166831,4187485,4204909,4221242,4238607,4257820,4277263,4292398,4297140,4287885,4262408,4224155,4182188,4149003,4133704,4138570,4161222,4200209,4252427,4314833,4387906,4470491,4555706,4634665,4700842,4751708,4788341,4812438,4827299,4835688,4837629,4833085,4824867,4816502,4810691,4808770,4810789,4816528,4825194,4836225,4849508,4865468,4884612,4907602,4934680,4966086,5000988,5037216,5071882,5102832,5129232,5151362,5169586,5184723,5197413,5207613,5215124,5220296,5223573,5225324,5225731,5224881,5222933,5220023,5216270,5211798,5206706,5201048,5194857,5188162,5181008,5173440,5165469,5157098,5148324,5139156,5129589,5119586,5109090,5098057,5086476,5074338,5061600,5048213,5034142,5019374,5003917,4987789,4971019,4953632,4935653,4917103,4897999,4878356,4858182
Puerto Rico,1114200,1109149,1108777,1111373,1115700,1120995,1126994,1133907,1142342,1153179,1167196,1184662,1204988,1226577,1247251,1265503,1280632,1293237,1304715,1317139,1331999,1349626,1369496,1391208,1414069,1437501,1461423,1485813,1510192,1533982,1556728,1578331,1598757,1617729,1634957,1650315,1663511,1674773,1685139,1696030,1708428,1722778,1738695,1755316,1771358,1785888,1798668,1810000,1820150,1829576,1838629,1847345,1855642,1863630,1871419,1879098,1886724,1894311,1901842,1909273,1916567,1923730,1930765,1937630,1944270,1950639,1956715,1962494,1967975,1973165,1978067,1982673,1986967,1990927,1994528,1997751,2000594,2003056,2005126,2006790,2008043,2008886,2009334,2009425,2009203,2008710,2007960,2006965,2005755,2004366,2002823,2001141,1999326,1997373,1995277,1993032,1990631,1988068,1985341,1982448,1979388
Qatar,12671,14491,15988,17214,18239,19142,20021,20987,22159,23663,25610,28077,31091,34621,38600,42985,47712,52809,58423,64756,71910,80153,89365,98821,107525,114870,120323,124363,128618,135339,146047,161331,180413,201750,223105,242796,260464,276433,290535,302756,313170,322024,329559,335938,341360,346280,350917,356264,364532,378521,400430,429510,465555,511690,571842,647799,742198,851507,963800,1062942,1137618,1182945,1202819,1205561,1203863,1207079,1217560,1232721,1251126,1269826,1286701,1301896,1316620,1330970,1345115,1359179,1373169,1387033,1400762,1414339,1427750,1440994,1454074,1466984,1479714,1492257,1504603,1516743,1528671,1540380,1551860,1563098,1574079,1584782,1595186,1605272,1615017,1624398,1633395,1641985,1650146
"Korea, Rep.",9568311,9605397,9735209,9945713,10224356,10558070,10933158,11335405,11750415,12164165,12564677,12943801,13298773,13632884,13953585,14266921,14570534,14862880,15152133,15449109,15760921,16092568,16440434,16792518,17131710,17446269,17730870,17990797,18237746,18488781,18755859,19042225,19342766,19650859,19956380,20251448,20535187,20808574,21067802,21308670,21528595,21724711,21898421,22056776,22209781,22364465,22524253,22686668,22845734,22992527,23121028,23228980,23319739,23399648,23477773,23560576,23650195,23744406,23839972,23931788,24016040,24091962,24160541,24221753,24275960,24323415,24363780,24396701,24422452,24441472,24454056,24460208,24459720,24452410,24438019,24416317,24387232,24350680,24306401,24254088,24193506,24124614,24047410,23961760,23867525,23764663,23653272,23533569,23405825,23270384,23127626,22977950,22821782,22659583,22491866,22319206,22142246,21961699,21778349,21593050,21406725
Moldova,1093453,1111487,1134849,1162483,1193421,1226780,1261765,1297668,1333865,1369819,1405080,1439280,1472137,1503449,1533103,1561068,1587060,1611151,1634119,1657050,1680692,1705461,1731066,1756697,1781166,1803669,1823835,1842082,1859336,1876929,1895779,1916049,1937287,1959026,1980553,2001235,2020884,2039298,2055789,2069539,2079889,2086614,2089599,2088474,2082873,2072600,2057773,2038667,2015520,1988663,1958582,1925254,1889365,1852991,1818786,1788676,1763552,1743049,1726250,1711611,1697961,1685100,1673314,1662468,1652486,1643273,1634672,1626490,1618572,1610766,1602939,1595009,1586897,1578484,1569648,1560312,1550414,1539983,1529146,1518094,1506978,1495839,1484676,1473558,1462552,1451712,1441065,1430621,1420382,1410339,1400476,1390773,1381204,1371738,1362336,1352945,1343506,1333945,1324181,1314117,1303649
Reunion,118929,124366,129013,133193,137163,141119,145193,149452,153909,158530,163273,168120,173110,178354,183995,190096,196762,203855,210899,217252,222471,226388,229184,231195,232929,234781,236823,239011,241480,244368,247762,251763,256350,261335,266441,271469,276346,281134,285927,290873,296076,301557,307259,313111,319014,324892,330712,336486,342240,348018,353846,359731,365640,371509,377254,382813,388161,393315,398309,403201,408033,412812,417525,422173,426749,431249,435676,440031,444311,448509,452622,456647,460584,464429,468182,471839,475398,478857,482217,485481,488649,491722,494695,497560,500306,502925,505417,507782,510017,512120,514089,515928,517642,519241,520734,522132,523448,524692,525879,527020,528130
Romania,7866999,8022575,8154279,8271762,8382142,8490000,8597253,8703284,8805333,8899159,8981000,9049680,9108439,9165728,9232968,9318001,9424498,9549211,9684523,9819189,9945026,10059054,10163556,10261883,10359520,10460121,10564911,10671454,10775447,10870880,10953637,11020668,11073538,11118220,11163326,11214312,11274764,11340762,11401257,11440870,11449144,11421965,11364385,11286407,11202643,11123978,11053688,10989522,10930203,10872645,10814649,10756667,10700216,10645242,10591630,10539291,10488167,10438275,10389680,10342480,10296703,10252351,10209265,10167110,10125446,10083933,10042358,10000696,9959020,9917491,9876183,9835093,9794016,9752586,9710325,9666887,9622127,9576107,9528944,9480851,9431996,9382410,9332072,9281049,9229414,9177239,9124531,9071338,9017807,8964121,8910397,8856655,8802829,8748793,8694394,8639482,8583919,8527585,8470381,8412224,8353050
Russia,44078085,44932174,45863206,46838955,47833241,48825934,49803196,50757239,51685580,52589817,53471925,54330322,55156413,55933119,56639056,57260864,57792121,58242379,58634632,59001345,59367864,59741627,60121750,60515126,60927269,61362015,61824350,62315207,62828629,63355177,63887530,64417817,64945585,65478901,66029977,66603611,67204939,67818971,68405965,68913153,69302804,69558816,69691216,69721009,69681857,69599018,69481671,69324392,69121349,68861812,68540900,68157667,67724723,67267043,66817340,66399766,66024332,65687412,65382357,65096448,64819874,64552121,64295807,64047394,63802794,63558559,63312826,63064316,62811000,62550959,62282747,62005620,61719322,61423735,61119078,60805935,60484354,60155455,59822347,59489070,59158905,58833130,58512265,58197860,57891388,57593932,57306237,57028435,56760078,56500275,56248160,56003057,55764422,55531708,55304218,55080962,54860606,54641448,54421407,54198032,53968504
Rwanda,1068882,1099724,1128853,1158861,1191447,1227407,1266591,1307947,1349685,1389530,1425511,1456787,1484384,1511502,1542632,1580950,1627557,1681326,1740457,1802152,1864291,1926788,1990159,2053619,2116320,2177859,2237535,2295966,2355710,2420270,2492116,2568422,2647494,2733766,2833192,2947713,3088403,3248902,3393417,3473518,3459036,3328032,3102491,2849582,2662999,2607756,2711245,2947220,3261419,3573043,3823652,3996480,4110355,4185181,4254144,4341521,4450660,4572522,4704714,4842097,4980843,5121255,5265093,5411443,5559177,5707379,5855642,6003785,6151413,6298184,6443854,6588209,6731216,6873087,7014178,7154803,7295011,7434873,7574770,7715172,7856444,7998692,8141929,8286291,8431895,8578778,8726933,8876215,9026322,9176852,9327430,9477754,9627580,9776683,9924819,10071681,10216889,10359982,10500413,10637555,10770697
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,40794,41817,42554,43029,43280,43352,43300,43191,43097,43093,43243,43585,44118,44796,45545,46307,47079,47873,48663,49419,50125,50760,51335,51893,52498,53196,54007,54914,55876,56836,57753,58606,59412,60218,61089,62069,63179,64392,65645,66850,67943,68898,69739,70514,71298,72144,73069,74053,75061,76043,76964,77812,78603,79361,80120,80907,81728,82574,83435,84294,85140,85970,86787,87593,88391,89184,89970,90747,91514,92269,93010,93737,94449,95143,95817,96466,97091,97690,98266,98818,99348,99856,100341,100803,101244,101663,102061,102437,102791,103123,103433,103720,103984,104226,104445,104642,104817,104969,105098,105205,105288
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,31522,32043,32603,33206,33854,34539,35250,35969,36674,37340,37947,38484,38957,39388,39813,40257,40728,41219,41730,42252,42783,43321,43869,44429,45004,45595,46204,46827,47450,48058,48637,49179,49686,50171,50652,51140,51643,52149,52634,53062,53409,53667,53847,53964,54044,54105,54151,54181,54209,54248,54310,54402,54520,54653,54781,54890,54977,55046,55099,55140,55171,55193,55205,55214,55228,55253,55291,55340,55400,55466,55536,55609,55686,55767,55851,55937,56025,56116,56210,56309,56414,56525,56641,56764,56898,57043,57201,57370,57541,57705,57855,57987,58102,58203,58294,58377,58454,58524,58585,58634,58663
Samoa,42344,43306,44360,45506,46745,48072,49481,50964,52510,54108,55745,57409,59090,60780,62473,64157,65832,67482,69068,70539,71861,73015,74013,74884,75672,76411,77116,77781,78400,78959,79451,79872,80240,80594,80989,81460,82031,82689,83396,84093,84742,85319,85840,86356,86937,87627,88449,89369,90310,91167,91862,92374,92725,92944,93076,93160,93197,93187,93166,93173,93241,93386,93605,93877,94169,94460,94742,95025,95317,95632,95978,96358,96766,97191,97619,98037,98438,98823,99206,99605,100033,100494,100974,101445,101868,102212,102469,102644,102744,102780,102763,102698,102586,102427,102222,101976,101697,101400,101102,100827,100604
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,33320,32752,32328,32143,32248,32641,33272,34043,34816,35430,35746,35695,35322,34803,34393,34275,34511,35041,35780,36593,37382,38119,38840,39580,40402,41343,42420,43604,44832,46016,47097,48046,48888,49685,50530,51487,52577,53774,55041,56320,57568,58774,59953,61113,62275,63451,64643,65844,67053,68267,69484,70705,71933,73164,74395,75625,76855,78089,79337,80609,81913,83250,84623,86046,87539,89111,90770,92509,94304,96124,97946,99760,101569,103376,105187,107006,108831,110656,112478,114292,116095,117884,119658,121413,123147,124855,126536,128189,129814,131409,132975,134511,136017,137491,138932,140339,141713,143053,144361,145636,146882
Saudi Arabia,1624811,1659621,1698187,1738794,1780345,1822365,1865027,1909126,1955983,2007290,2064650,2129078,2200569,2277914,2359226,2443481,2530877,2623097,2722493,2832159,2954749,3091333,3242748,3411134,3598840,3807701,4037472,4288205,4562088,4861744,5188171,5540500,5915233,6307096,6709208,7115084,7524874,7935426,8333215,8701311,9028560,9308574,9546838,9759032,9967828,10190130,10430136,10684305,10952339,11231739,11520075,11819367,12129599,12443496,12751231,13045865,13324344,13588863,13844215,14097790,14354985,14616949,14881941,15149030,15416420,15682721,15947798,16211983,16474806,16735741,16994292,17250084,17502758,17751855,17996898,18237448,18473221,18703910,18929044,19148117,19360744,19566815,19766314,19959116,20145135,20324414,20496844,20662722,20823014,20979003,21131651,21281382,21428157,21571658,21711482,21847343,21979126,22106931,22231084,22352123,22470802
Senegal,1208777,1235050,1262181,1290939,1321865,1355272,1391230,1429583,1469980,1511944,1555051,1599134,1644452,1691766,1742130,1796268,1854343,1916013,1980865,2048265,2117659,2189113,2262524,2336968,2411277,2484693,2556803,2628023,2699468,2772737,2849035,2928658,3011398,3097334,3186416,3278562,3373971,3472617,3573896,3676976,3781273,3886576,3993092,4101176,4211376,4324114,4439569,4557696,4678443,4801680,4927375,5055388,5185924,5319685,5457602,5600268,5747873,5899998,6055856,6214329,6374516,6536114,6699042,6862877,7027196,7191659,7356017,7520142,7683998,7847630,8011083,8174294,8337240,8500081,8663043,8826309,8989884,9153765,9318113,9483117,9648886,9815417,9982590,10150237,10318127,10486028,10653811,10821307,10988191,11154082,11318646,11481630,11642854,11802176,11959465,12114565,12267288,12417405,12564647,12708703,12849226
Serbia,3269793,3326621,3381663,3434270,3484025,3530751,3574516,3615625,3654581,3692032,3728589,3764638,3800177,3834744,3867619,3898411,3926911,3953696,3980107,4007943,4038492,4072161,4108573,4147239,4187330,4228143,4269668,4311849,4353853,4394649,4433501,4470456,4505772,4539260,4570758,4600432,4626783,4650373,4675800,4709269,4754529,4814116,4884806,4957535,5019755,5062528,5083074,5084346,5070295,5047328,5020605,4990528,4956846,4923401,4894774,4874154,4863558,4862224,4867023,4873168,4877131,4878034,4876845,4874061,4870730,4867606,4864621,4861327,4857694,4853673,4849230,4844368,4839109,4833464,4827450,4821085,4814369,4807316,4799975,4792406,4784653,4776734,4768639,4760352,4751843,4743086,4734082,4724830,4715303,4705468,4695302,4684795,4673951,4662783,4651305,4639531,4627473,4615138,4602528,4589642,4576476
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,952099,964509,977557,991192,1005369,1020054,1035222,1050855,1066946,1083492,1100498,1117971,1135920,1154352,1173278,1192718,1212703,1233277,1254498,1276431,1299147,1322646,1346979,1372322,1398895,1426845,1456308,1487231,1519345,1552261,1585723,1618800,1651471,1685394,1722888,1765128,1813910,1867476,1919231,1960216,1984502,1989853,1979663,1960680,1942603,1932918,1932903,1941744,1962204,1997023,2047643,2116086,2200887,2295535,2390962,2480521,2561814,2636307,2705958,2774304,2843957,2915066,2986615,3058772,3131595,3205139,3279591,3355082,3431508,3508679,3586457,3664828,3743860,3823589,3904069,3985334,4067377,4150162,4233660,4317832,4402637,4488046,4574024,4660510,4747436,4834738,4922369,5010287,5098443,5186784,5275262,5363830,5452443,5541059,5629636,5718133,5806509,5894724,5982737,6070506,6157992
Singapore,529301,555830,585104,616981,651125,687002,723870,760788,796672,830368,860901,887730,910975,931514,950709,969598,988358,1006790,1025116,1043516,1062100,1081286,1101105,1120824,1139396,1156200,1170757,1183666,1196690,1212248,1232004,1256934,1286386,1318427,1350232,1379894,1406616,1431410,1456356,1484439,1517776,1556590,1600000,1647603,1698656,1752294,1809316,1869135,1927853,1980337,2023275,2054086,2074619,2091372,2113540,2147381,2195626,2255277,2319883,2380071,2429135,2464982,2489890,2506833,2520570,2534641,2549684,2564697,2579677,2594277,2608242,2621783,2635161,2648167,2660477,2671826,2682167,2691499,2699652,2706435,2711704,2715403,2717534,2718096,2717115,2714634,2710677,2705305,2698654,2690897,2682193,2672674,2662446,2651605,2640257,2628523,2616555,2604533,2592665,2581190,2570376
Slovak Republic,1681399,1711367,1743194,1776876,1812212,1848801,1886026,1923070,1958966,1992670,2023299,2050383,2074080,2095275,2115309,2135199,2155219,2175191,2195151,2215025,2234781,2254417,2274070,2293987,2314475,2335696,2357761,2380443,2403143,2425040,2445519,2464403,2481772,2497585,2511874,2524700,2535929,2545598,2554160,2562228,2570228,2578404,2586601,2594361,2601008,2606084,2609482,2611458,2612353,2612670,2612807,2612854,2612809,2612872,2613251,2614095,2615495,2617431,2619777,2622335,2624941,2627546,2630132,2632585,2634782,2636611,2638005,2638912,2639266,2639005,2638077,2636453,2634107,2630999,2627090,2622363,2616811,2610466,2603405,2595732,2587540,2578865,2569740,2560249,2550488,2540532,2530426,2520192,2509853,2499423,2488910,2478321,2467659,2456924,2446106,2435189,2424149,2412951,2401553,2389901,2377934
Slovenia,704200,710510,716489,722122,727415,732399,737128,741681,746153,750654,755281,760098,765114,770275,775491,780702,785898,791134,796507,802143,808135,814461,821087,828068,835471,843306,851643,860367,869084,877268,884548,890761,896032,900646,905036,909523,914159,918854,923618,928433,933266,938173,943133,947937,952307,956051,959101,961541,963527,965292,967019,968740,970441,972205,974119,976239,978607,981203,983942,986699,989374,991937,994389,996700,998841,1000787,1002517,1004013,1005263,1006258,1006994,1007466,1007672,1007609,1007276,1006676,1005813,1004702,1003375,1001876,1000239,998484,996621,994669,992645,990564,988439,986285,984117,981955,979810,977691,975602,973540,971503,969486,967485,965494,963509,961525,959535
Solomon Islands,49494,50438,51508,52703,54020,55449,56977,58587,60257,61966,63696,65439,67202,69011,70903,72905,75024,77259,79629,82156,84852,87731,90788,93997,97320,100731,104211,107767,111431,115249,119249,123451,127828,132304,136771,141158,145433,149628,153815,158100,162559,167214,172045,177036,182157,187385,192719,198166,203722,209381,215139,220988,226924,232948,239063,245269,251564,257937,264369,270834,277313,283796,290282,296772,303268,309774,316285,322797,329312,335832,342360,348893,355429,361963,368494,375017,381529,388025,394500,400946,407358,413730,420055,426327,432533,438667,444722,450692,456573,462359,468045,473627,479100,484463,489713,494847,499864,504763,509542,514201,518740
Somalia,1123842,1147797,1172153,1197061,1222648,1249014,1276234,1304358,1333415,1363419,1394389,1426373,1459464,1493808,1529583,1566930,1608210,1653957,1700557,1742934,1778812,1801275,1814443,1839915,1907036,2034084,2233314,2491133,2768450,3010754,3179732,3259878,3265012,3222061,3171982,3144522,3149026,3176202,3215138,3247917,3262493,3255574,3234941,3212646,3205611,3225698,3277293,3355865,3453413,3557771,3659906,3757965,3854290,3949054,4043469,4138646,4233646,4328278,4425453,4529130,4642070,4765465,4898305,5038435,5182598,5328400,5475190,5623633,5774215,5927856,6085209,6246211,6410476,6577966,6748617,6922335,7099037,7278578,7460711,7645133,7831563,8019835,8209776,8401077,8593401,8786458,8980064,9174098,9368422,9562926,9757515,9952109,10146644,10341072,10535367,10729525,10923567,11117537,11311504,11505563,11699832
South Africa,6815591,6976464,7143430,7316672,7496260,7682151,7874181,8072071,8275460,8483947,8697243,8915315,9138526,9367690,9603911,9848102,10100060,10359837,10628844,10908857,11200865,11506103,11823553,12149214,12477577,12804900,13128581,13450162,13775005,14110836,14462711,14833884,15221350,15616440,16006945,16384703,16744044,17088927,17432299,17792602,18181923,18606047,19057513,19519074,19966348,20381959,20758900,21102734,21423924,21738722,22058615,22385626,22714578,23041097,23358344,23660807,23948858,24222846,24477247,24705240,24902637,25067142,25201956,25315386,25419100,25522064,25626929,25732960,25841584,25953425,26068784,26189082,26314573,26442697,26569695,26692712,26810949,26924833,27034191,27139162,27239835,27335911,27427099,27513569,27595633,27673543,27747414,27817246,27883069,27944889,28002781,28056921,28107571,28155058,28199741,28241987,28282162,28320623,28357718,28393788,28429166
Spain,13525968,13664627,13793887,13916710,14035735,14153270,14271294,14391459,14515104,14643281,14776830,14916457,15062805,15216482,15377976,15547412,15725213,15910775,16101845,16295367,16489015,16680509,16869709,17058871,17251498,17449278,17653441,17860561,18062045,18246425,18405533,18536736,18642526,18726368,18794007,18850292,18896076,18931900,18962156,18992096,19025843,19068044,19119780,19177443,19235128,19290058,19337914,19384263,19447790,19553581,19718066,19949438,20238198,20561176,20885326,21186367,21455616,21698609,21922488,22140032,22360217,22583547,22804907,23021209,23227912,23421551,23601752,23769107,23922342,24060147,24181915,24287079,24376714,24453997,24523268,24587939,24649441,24707886,24763772,24817200,24868404,24917726,24965974,25014286,25063989,25115911,25170527,25227307,25284771,25340805,25393741,25442724,25487582,25528522,25565787,25599337,25628733,25653079,25670998,25680653,25679749
Sri Lanka,4499274,4544600,4596366,4655525,4722586,4797613,4880203,4969509,5064314,5163150,5264669,5368027,5473230,5581276,5693745,5811575,5935115,6063332,6194132,6324676,6452907,6577707,6699507,6819676,6940368,7062994,7188117,7314748,7440904,7563822,7681590,7793248,7899549,8002364,8104455,8207729,8312385,8417433,8522097,8625183,8725546,8823889,8919844,9009963,9089753,9156434,9208444,9247926,9280424,9313692,9353481,9401471,9456523,9518075,9584607,9654784,9728808,9806679,9886462,9965629,10042202,10115306,10184840,10250566,10312516,10370671,10424777,10474486,10519641,10560129,10595924,10626968,10653403,10675677,10694397,10710072,10722879,10732918,10740527,10746065,10749810,10751984,10752638,10751655,10748806,10743938,10737022,10728171,10717536,10705321,10691661,10676573,10659975,10641722,10621645,10599589,10575425,10549061,10520441,10489542,10456379
Sudan,4582396,4683973,4792954,4908122,5028471,5153208,5281758,5413758,5549045,5687638,5829677,5975361,6124889,6278442,6436245,6598768,6766006,6938875,7119890,7312279,7518413,7739393,7974883,8223997,8485157,8757179,9038580,9329444,9631818,9948654,10281226,10631874,10997632,11368146,11729493,12072321,12391833,12692528,12985815,13288205,13611616,13959108,14326861,14711467,15106994,15508590,15917144,16333076,16750436,17161641,17561850,17947414,18321147,18692625,19075406,19479001,19906850,20355279,20817976,21285349,21750298,22210692,22668299,23124509,23582008,24042524,24506206,24971426,25436087,25897381,26353315,26802879,27246624,27686042,28123426,28560381,28997208,29433132,29867371,30298743,30726310,31149780,31569157,31984120,32394372,32799638,33199636,33594127,33982950,34365981,34743086,35114098,35478828,35837077,36188653,36533387,36871141,37201807,37525310,37841609,38150692
Suriname,106999,111495,115427,119036,122514,126000,129582,133297,137136,141055,145000,148939,152884,156905,161099,165497,170202,175091,179701,183409,185799,186677,186253,185018,183680,182765,182451,182630,183197,183948,184740,185553,186486,187650,189196,191218,193767,196772,200061,203391,206587,209579,212409,215147,217910,220781,223765,226819,229921,233035,236132,239211,242268,245263,248149,250892,253473,255904,258221,260481,262724,264962,267185,269384,271541,273645,275695,277697,279654,281572,283452,285293,287092,288851,290573,292258,293906,295510,297053,298514,299877,301137,302292,303338,304269,305082,305775,306350,306817,307190,307479,307693,307834,307905,307907,307845,307725,307558,307355,307132,306908
Swaziland,132727,135384,138299,141505,145008,148784,152778,156906,161063,165132,169014,172667,176132,179547,183110,186975,191182,195716,200607,205875,211531,217600,224085,230944,238113,245544,253282,261346,269635,278015,286426,294706,302960,311700,321625,333179,346606,361600,377387,392875,407278,420236,431951,442870,453703,464925,476764,488936,500802,511464,520331,527138,532245,536455,540904,546420,553285,561279,570113,579298,588468,597563,606705,615926,625296,634852,644583,654416,664257,673984,683504,692775,701797,710573,719123,727461,735581,743471,751139,758592,765843,772892,779749,786436,792986,799421,805752,811980,818104,824122,830030,835827,841514,847091,852557,857910,863142,868245,873204,878004,882623
Sweden,3493002,3524552,3551495,3575403,3597569,3618997,3640404,3662220,3684623,3707582,3731003,3754877,3779416,3805108,3832555,3862003,3893907,3927647,3961073,3991291,4016273,4035083,4048421,4057913,4066024,4074538,4084291,4094775,4104868,4112844,4117665,4118843,4117436,4115820,4117229,4123960,4136569,4154261,4176265,4201265,4228042,4257046,4287965,4317906,4343122,4361168,4370520,4372503,4371044,4371751,4378647,4393057,4413696,4438787,4465460,4491566,4516758,4541623,4566026,4589994,4613551,4636461,4658602,4680288,4701993,4724042,4746495,4769187,4791948,4814523,4836699,4858440,4879722,4900362,4920144,4938911,4956611,4973272,4988929,5003656,5017536,5030585,5042870,5054601,5066044,5077412,5088798,5100235,5111795,5123538,5135506,5147730,5160228,5173002,5186041,5199318,5212791,5226402,5240078,5253731,5267256
Switzerland,2261388,2292041,2324541,2356875,2387863,2417153,2445278,2473602,2504157,2539384,2581328,2630796,2686608,2745280,2801925,2852913,2896986,2934807,2967017,2994976,3019684,3041528,3060104,3074794,3084708,3089501,3088835,3083813,3077304,3073115,3074019,3081201,3094094,3111535,3131547,3152660,3174368,3197090,3221317,3247850,3277063,3309448,3344212,3378931,3410360,3436325,3455481,3468841,3479466,3491762,3508786,3531745,3559323,3588997,3617035,3640773,3659433,3673986,3685623,3696232,3707216,3718856,3730759,3742867,3754966,3766900,3778731,3790593,3802471,3814335,3826149,3837907,3849586,3861110,3872383,3883328,3893921,3904147,3913944,3923247,3932011,3940221,3947900,3955097,3961889,3968342,3974491,3980367,3986037,3991576,3997053,4002527,4008047,4013656,4019398,4025322,4031480,4037933,4044747,4051997,4059762
Syria,1836630,1872123,1911304,1954371,2001427,2052471,2107401,2166012,2228023,2293102,2360969,2431497,2504804,2581289,2661525,2745934,2834731,2927838,3025032,3125961,3230410,3338605,3450849,3567134,3687431,3811898,3940021,4072265,4210899,4358937,4518292,4689835,4872229,5062420,5256101,5450001,5643029,5835561,6027580,6219532,6411726,6604771,6798460,6991503,7182165,7369771,7553876,7736614,7923119,8120204,8333037,8561011,8803159,9063419,9346475,9654050,9989883,10348754,10712422,11056330,11363189,11625618,11849303,12046231,12234853,12428867,12631266,12838437,13049657,13262486,13475048,13688151,13902825,14117446,14329755,14538101,14741787,14941167,15136907,15330139,15521638,15711499,15899242,16084391,16266266,16444353,16618405,16788475,16954702,17117352,17276567,17432276,17584230,17732070,17875406,18013895,18147264,18275324,18397980,18515219,18627117
Tajikistan,741177,762005,785383,810314,836145,862570,889646,917776,947650,980141,1016008,1055573,1098443,1143387,1188680,1233102,1276114,1318125,1360011,1403103,1448334,1496093,1545978,1597194,1648575,1699349,1749246,1798747,1848749,1900523,1955006,2012076,2071436,2133584,2199098,2268128,2341110,2417193,2493649,2566833,2634124,2694347,2748143,2796953,2843095,2888256,2933216,2977456,3019882,3058840,3093410,3123203,3149475,3174959,3203333,3237305,3277769,3324191,3376050,3432263,3491898,3554943,3621359,3690084,3759773,3829361,3898311,3966494,4033777,4100181,4165684,4230090,4293132,4354659,4414536,4472664,4528950,4583369,4635989,4686931,4736297,4784100,4830342,4875103,4918481,4960555,5001386,5040997,5079383,5116518,5152397,5187051,5220538,5252935,5284325,5314782,5344370,5373138,5401122,5428344,5454811
"Macedonia, FYR",616299,635495,651547,664424,674289,681498,686615,690397,693753,697674,703021,710302,719474,729862,740393,750300,759410,768038,776481,785208,794554,804445,814719,825505,836959,849100,862205,876018,889388,900775,909160,913954,915697,915892,916686,919601,925202,932954,941944,950764,958400,964569,969630,973972,978216,982797,987818,993058,998246,1002982,1006982,1010171,1012654,1014547,1016034,1017263,1018264,1019020,1019579,1019983,1020271,1020462,1020578,1020653,1020726,1020819,1020951,1021103,1021209,1021179,1020940,1020471,1019776,1018844,1017668,1016245,1014567,1012631,1010445,1008024,1005380,1002521,999452,996191,992754,989159,985416,981538,977543,973454,969289,965061,960776,956440,952055,947624,943151,938642,934103,929542,924969
