"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tonga,,,,,,,,,,,,,,,,39.52261079,43.64689545,44.75133152,44.22732312,43.15159391,47.05246039,48.00946756,49.4430587,48.03040774,46.02965873,47.31652831,46.51925886,48.63767703,49.07801555,48.94089345,50.4754435,51.57847496,49.12509613,47.17196617,53.70602902,54.6385249,53.83939614,56.16433015,55.79260467,54.20492252,55.88374185,57.22137971,57.20628055,56.3973104,56.64198563,58.79229889,62.14972898,60.39130528,61.61130211,61.49106582,61.86391494,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,52.03977596,53.08833649,57.94712556,55.76861213,56.74415439,53.72423559,50.20424957,50.97090036,53.61466394,53.6863834,48.98173462,50.63669081,50.75860897,52.95867928,57.00143361,55.41519931,49.0980562,51.58929686,53.71791366,46.04620201,43.88156272,39.18101807,38.164767,39.86814077,36.78673963,46.3201416,47.03007033,
Tunisia,,,,,,54.32207108,57.04911092,57.92029132,56.93378547,56.64383562,56.49112064,54.12424954,52.38044062,52.46330183,47.66086187,49.65494792,50.60140526,51.26243715,51.56161806,50.53849222,47.72363826,47.77652649,49.7527622,47.40411455,45.27731573,44.39766998,50.11852137,47.55714671,51.43585881,50.35545998,48.65860019,47.78532415,48.55562385,50.6243263,51.9422702,53.24247235,51.70491036,57.65735805,58.93837096,58.5819749,58.30299625,59.35692558,60.80693808,61.05974991,60.5515591,60.67888437,60.10339278,59.32465321,58.36639971,59.52393808,59.71587133,
Turkey,26.44868716,29.63640571,28.73170907,28.27436912,30.05665635,32.57100048,31.21312874,33.0471343,35.03467859,35.34590463,37.3007291,38.11928497,40.10080838,40.54285845,39.67582825,40.22269577,41.69884863,43.49790765,43.80436134,45.16737914,49.68015602,48.3967249,49.12005753,51.44517385,52.09508487,52.61428406,47.96790492,48.97721692,48.21929535,48.89857151,49.75001531,51.50298477,52.05185485,52.82757804,50.72512413,50.47385229,51.00643102,53.1807913,50.87466405,55.13639001,57.21106975,59.81653046,59.61962753,59.9902304,60.56358925,60.69341305,61.8028867,63.0663215,63.7054869,64.71052343,63.7501055,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.85826772,34.32835821,37.32394366,38.15789474,36.73469388,77.50213441,16.55982906,19.33174224,20.20152771,17.84658959,30.40114421,31.61611656,27.79267203,31.23990892,31.38453439,35.60901906,38.43707568,40.44821303,43.57826314,46.25931058,34,34,34,34,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,34.95070757,34.95099823,36.17612131,34.99173337,34.65157489,34.23271501,35.49599608,36.3986519,36.47751283,35.07153363,32.51727773,30.87033013,31.86457311,29.44596443,26.56008975,19.66211013,19.21042769,18.98908209,20.57385067,30.27226472,23.48448803,34.83146067,34.82318271,32.98353245,34.32247899,37.3787888,33.16309926,33.16945947,33.10323608,32.51056659,32.36462962,34.81617114,35.66803152,35.36491799,36.21083889,36.31815963,38.67721352,40.46387212,39.84860812,41.81360233,47.71570022,47.74024723,50.73747718,49.65543942,55.02184365,48.25724911,50.16966426,49.77230589,49.86498364,49.53623369,50.28496633,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.24042879,31.37398971,28.68895948,29.85516499,26.73191118,28.73357524,40.64522695,36.23992659,41.91500183,47.97125775,50.48170032,49.63204857,47.21338681,46.60062941,48.92902654,50.84445858,53.31179725,52.19520454,57.25503813,55.19833461,55.80537267,58.47913552,62.12791014,60.88314171,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.08545855,50.25092983,48.95130315,46.65629001,42.96097184,40.99982346,44.23367396,41.09024992,45.64924633,,
United Kingdom,,,,,,,,,,,55.03789678,55.7044086,56.22125561,56.65200666,57.16374102,58.32547918,57.86211794,57.76662619,57.755603,57.55402608,57.16537354,57.73856165,58.30921739,58.87650593,59.44095759,60.00201669,60.6160506,61.24580245,61.89359229,62.55850267,64.11752242,66.10557204,67.17796417,67.82847529,67.47487676,67.15988592,67.6064203,68.73155704,70.31252997,71.43541123,71.69967455,72.79458845,74.08618882,75.16327438,75.58029054,75.856984,75.85266145,76.30827669,76.39311651,78.07017404,77.6051772,
United States,,,,,,,,,,,61.22121067,61.9667741,61.85591105,60.76759872,61.62315871,62.68753189,62.65847449,62.49097368,62.62701681,62.86295189,63.56937716,62.73949847,64.18590554,66.32972422,65.53693001,66.69869142,68.31910919,68.54065894,68.34053733,69.26840818,70.05266697,71.40703335,72.20664384,72.43731292,71.98495174,72.08428162,72.36880456,72.94845092,74.60032687,74.73306736,75.36839142,76.52353919,77.19276913,77.23854232,76.63729048,76.64554584,76.73760352,76.94818159,77.44689807,78.94264596,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,53.45819436,50.9598076,50.45730521,51.12207391,50.45530221,53.75596301,55.43223115,56.14909763,55.95351107,58.40218017,62.96880284,64.07806679,62.46490363,63.43844611,65.92020512,65.78067304,67.26705831,68.52960726,68.95028833,66.98628689,62.79765848,61.51197273,62.49789011,62.88030293,62.63125075,63.29481923,65.33595101,64.88750817,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.12997737,34.94776491,36.30203922,34.27253395,26.45575914,29.36641163,35.07838981,36.14545455,39.90835386,43.38354131,41.71194852,42.52336449,42.16598114,42.51487166,43.35725706,43.70321227,43.42404287,43.26933116,48.87346013,46.45879472,44.0402534,47.875064,47.30002161,45.06726648,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,66.05135703,65.36317002,62.73254041,65.84310331,66.28861675,66.79345023,66.80186091,65.03613418,70.72014412,72.89690212,71.88087637,71.01829722,71.31907104,71.80825819,74.18549747,65.72889261,66.83048104,65.81287893,67.4226254,67.01070546,69.22012119,69.03403502,70.16478146,71.30939352,71.5821017,70.75648978,70.40380801,,
Venezuela,,,,,,,,,52.70142065,55.24156949,54.56066953,54.13533799,55.24861914,51.5606923,41.6149071,48.52624057,49.56467591,50.47923398,52.10858031,48.9688646,48.82471307,50.70170351,53.23339098,55.75931208,41.97472162,42.86533918,44.07008668,43.13592697,41.96553656,36.62065511,33.9731374,38.02394355,40.18100479,42.92921351,50.64580089,53.20012374,46.3604148,44.24040986,50.15583962,49.72118334,46.11645818,49.37445874,46.13353162,43.8578291,40.46934008,38.1809105,39.53859502,41.60419684,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,32.47863236,33.05509072,31.08014016,29.74059712,34.99448259,38.58896079,35.71642837,38.79781346,41.22973385,43.70371874,44.06139078,42.51091716,42.15347962,41.72795195,40.07080593,38.73464566,38.6295309,38.49034438,37.98755674,37.98355112,38.01225198,38.05644454,38.1831138,37.94811985,38.84978805,38.32584352,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.27657849,46.21590625,48.18630269,52.06677418,49.89034632,48.89590392,43.02025033,41.93534888,48.38971766,42.95810337,39.80588692,43.45054843,44.57070714,44.10818621,43.10560993,40.46291399,40.60571023,53.28240358,56.66116243,52.43877304,63.13833452,
Zambia,,,,,,25.5907781,21.01234568,29.04218928,27.92031098,21.29365841,28.60683761,35.29140782,34.00000961,29.08528858,28.53644208,40.18763074,40.17046545,40.24268631,37.67898957,37.51341586,42.7882945,41.53000199,46.06319949,36.07956824,39.50724655,38.61442466,37.01628174,42.42245455,35.79536444,26.27353772,28.12360784,31.56585102,27.21993726,24.0050083,44.67494718,45.83512695,47.67580794,47.12958242,49.65299774,51.02719203,52.40377352,52.29793861,51.93886396,50.88310871,49.12850922,45.08074402,42.29510838,39.78362931,39.65787166,44.34575545,53.61048146,
Zimbabwe,,,,,,50.07017572,49.97463378,47.73890232,52.51771056,49.87361529,51.79990545,50.229247,49.12618822,49.61421749,47.5641957,48.29851788,48.5969421,50.75276674,55.1505211,53.50049355,55.30731589,55.33139652,59.17172243,59.72628963,52.532162,49.27700109,50.90291264,53.14123523,50.39937203,49.97772525,50.41604068,47.31595914,51.72413545,51.61315229,48.64207327,55.68795482,52.33853916,55.51123523,54.21317223,57.14377595,57.06576463,60.35393528,65.11940352,62.115365,54.00229707,52.73821431,47.39110008,45.32713964,49.5126774,54.95628517,57.19712795,
