"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.35004257,54.54474459,52.24270078,49.97385271,55.18241764,60.91265631,62.15656108,61.62483486,63.05876938,64.3973556,65.00627147,65.19184829,65.90546259,66.62424218,65.27226083,66.41467447,66.72105483,67.63815622,66.93379248,68.23566616,67.20427909,
Cuba,,,,,,,,,,,68.0488682,68.0468568,68.04659825,68.04756703,68.04887817,68.05444108,68.0367961,68.04530538,68.05240846,68.05542452,68.0823165,67.94843566,68.08779297,68.08780291,68.07041382,68.2195535,67.28018403,68.77360847,68.08785195,67.98511192,67.37737602,68.96365418,69.09724138,72.25852668,69.89196428,68.35812356,66.05289873,65.76076331,66.39272295,66.47041495,63.70236921,65.44353323,67.49576656,70.11961649,72.16734289,75.0065892,75.29457647,74.5354923,74.33457891,74.60085118,74.49014596,
Cyprus,,,,,,,,,,,,,,,,59.10505837,55.25606469,55.80241078,55.95261599,56.54175929,56.76706563,58.33333333,59.86925554,62.01284313,62.03080604,64.01969967,65.08214199,65.0713403,65.32391514,66.49386374,67.21446179,67.06920402,68.71636211,69.70714875,71.70679596,72.45915614,73.20724961,74.6718934,75.23557254,76.3857046,77.32388184,77.5078107,77.03191162,77.22770051,77.2987796,77.74331169,78.62850651,78.81666316,78.32520127,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00784109,44.90040437,44.0811424,52.01621987,51.11623241,56.69365553,53.47495483,55.22383059,56.56500799,57.35839661,58.03772828,58.30963511,59.95276066,61.00928062,58.12016391,59.10270404,59.1971551,59.09164569,59.84555182,60.02992064,59.95122759,
Denmark,,,,,,,59.16782093,60.20541291,60.96546944,61.29763665,62.86364181,63.29786352,63.4392379,64.16226146,64.91995388,66.14855578,67.49380293,67.38490568,67.80686803,69.3107407,67.90184375,69.09429884,68.69666982,69.1570204,68.11030125,68.33999413,68.46585177,69.27954802,69.86523384,69.64220064,70.38505807,71.04428709,71.22863464,72.29321989,72.18864591,71.45188454,71.20346398,71.182335,71.70404739,71.63676413,70.57992723,71.36635197,72.22547815,73.0625128,73.40202812,73.06067283,72.54055786,73.18758811,73.50567411,76.74961759,76.92143189,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14019844,74.88966689,75.15925338,79.57359028,81.28959466,82.25963982,81.32307772,80.6982723,81.1357012,81.81986405,81.62108953,81.10336968,80.81093299,80.42901477,80.22645482,79.75891219,79.86041518,80.11086857,79.25906404,,,,
Dominica,,,,,,,,,,,,,,,,,,47.75943396,46.78561314,52.45746692,48.37901767,48.00863253,49.08312958,52.49972287,53.72243327,55.43711931,55.22564852,55.44899733,54.74594324,57.52162579,56.37573005,57.47496072,57.28542704,57.88320165,57.99295632,59.15754893,58.44387679,58.74706998,58.77034322,58.86656433,67.69014584,69.27915742,69.87521646,71.69673797,71.38919675,70.86455675,71.61317026,70.86003434,69.65540222,70.50698805,71.45645539,
Dominican Rep.,,,,,,54.83616547,53.03384643,52.39659838,53.91530115,52.11702435,50.61936392,50.78012482,51.78885687,49.71637957,49.38474159,46.89801025,49.61026309,50.42837626,52.46523056,51.30392257,51.56085102,53.79110928,53.67905483,53.74623126,53.11894811,68.84433782,58.96674285,67.43380698,58.81560451,54.2778639,55.16577566,50.29875144,51.62821044,53.06062956,53.71877146,54.17809323,53.52935372,54.54696767,53.86438411,54.67293691,56.84586228,58.36998356,57.83269039,59.77626224,60.0485525,60.48746395,60.77972407,61.87124278,61.50317943,61.33210818,61.74323374,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.96515595,60.37877684,58.39960717,57.11827595,54.79652971,54.28319456,51.82612787,56.58004159,54.91346261,
Egypt,,,,,,44.5036996,45.10369389,44.7641122,43.4617399,42.40627863,42.39540056,42.64584702,42.15330459,44.73084088,44.43650142,44.0664557,45.51500471,45.72604032,46.02594111,43.25262201,44.95743114,42.17617453,47.98726443,50.37218418,50.66603161,51.45530941,52.39988111,52.42525371,52.20023942,52.34522164,51.96287295,49.18153454,50.11865066,50.21414888,50.37032037,50.91880006,51.12449518,51.83056172,52.02457364,51.76689456,50.12715932,50.11210547,49.14717746,48.41364766,48.34643226,49.21304769,47.5011452,49.58526168,49.2497968,48.99846679,48.48465992,
