"Primary completion rate, male (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Luxembourg,,,,,,82.54262,83.8891,85.21966,81.60834,81.88947,,,,80.63025,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54419,
"Macao, China",,,,,,,,,,,,,,,,,,,,,96.88323,,89.34615,95.53377,,,,,,99.43916,93.4671,95.61383,97.64962,97.90563,102.23567,94.26523,100.37605,99.05603,96.64624,97.22508,95.41151,92.09915
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,95.50992,99.17994,99.42474,,105.50659,100.92423,99.65657,98.07716,95.68671,93.44375,94.22572,94.28383,92.81246,91.51711,91.61724,,
Madagascar,,30.50907,33.72459,31.88773,,34.34515,,,,,,,,,,,,,35.95066,35.02935,35.43973,34.98428,33.6724,34.9832,31.80975,32.48429,31.12604,,31.14488,33.78104,36.94076,36.14322,36.34037,40.22023,45.96086,59.31203,58.29241,62.80986,69.1078,75.65314,71.6864,71.85494
Malawi,,,,,26.88434,29.03425,32.28458,37.89365,37.73541,40.33352,40.72827,43.64705,45.82641,41.40708,38.82622,39.15573,36.95364,36.21712,29.1117,29.8719,32.33147,35.85424,39.42234,43.58882,47.01682,62.72547,72.53143,,,71.49036,69.08503,67.32554,70.97431,,59.78546,59.07307,58.20969,58.76665,63.81117,64.51149,66.95261,69.90093
Malaysia,,,,,84.97909,,,,,,93.60426,90.5921,91.32129,95.88607,95.71048,94.23602,,92.85927,93.05669,90.50454,88.00871,89.3325,,92.23954,,,,,96.70488,95.6382,,,92.60727,92.68121,96.60585,98.9985,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.46037,133.17733,,116.61415,125.89906,122.48013,
Mali,,,,,,,,,,17.36745,,14.74258,,,14.26128,13.55105,,12.0568,11.64475,,,,,,,,,,,,35.72971,41.29018,41.16845,44.55162,46.53592,48.089,53.49708,56.36193,57.73817,58.27752,60.76745,61.01278
Malta,,105.02528,112.3623,109.1193,113.70607,101.83885,81.3987,99.33464,97.12474,107.48085,114.24632,129.75871,113.81523,108.70809,98.90796,113.306,112.85817,115.41132,100.43683,102.12696,98.96574,95.71846,99.38372,99.61115,100.93851,98.3269,94.96815,96.94754,94.22832,96.27847,98.40806,98.77605,100.26991,99.3791,97.49028,95.21392,,96.6348,100.5514,92.99674,96.43009,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.36496,,,110.91703,109.12052,,116.18497,113.12741,113.39623,114.33757,106.51801,,93.71166
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,14.7769,15.41695,17.77641,22.40313,,34.54626,,,,37.78283,39.76032,42.98613,47.8741,42.66244,35.92839,38.97789,37.50638,38.05962,37.8415,39.09713,39.09812,43.7883,48.34581,,,48.61779,45.2446,,,44.19067,45.37206,56.67185,,68.28785,73.64216,
Mauritius,,,,,,,,,,,,,,98.59279,87.55612,97.08792,122.411,94.97041,93.43172,61.34352,110.44143,115.90556,114.99235,111.65254,105.34448,97.68856,90.49486,87.45602,85.32976,91.93753,96.24257,96.35505,95.44172,97.73585,93.61495,95.03945,90.66097,92.44457,93.12962,90.92696,95.72114,94.31061
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,70.50249,72.39433,77.5459,,,,,,,,,,,,,,,,91.09096,92.88685,95.80874,97.91321,98.6646,,98.36222,98.37389,98.17647,98.74478,98.15929,98.6548,98.66592,100.07284,103.08345,103.87918,103.7194,104.56848,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,94.94289,,,,,,96.99428,97.85613,95.58256,95.95292,99.56291,98.39621,92.95444,92.23703,94.10357,91.3398,91.9755
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,72.26173,76.36268,72.55831,85.36222,83.85765,83.52436,88.59271,97.0106,98.85122,97.70005,94.62308,109.77474,106.9648,,,108.66531,114.88411
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.47246
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,36.22651,36.78967,38.95266,,45.86397,50.81305,54.33094,57.16675,57.90158,60.26672,61.05302,61.97568,70.99565,68.19341,67.41126,63.79509,54.58063,61.0441,56.73966,54.50864,54.32985,53.98122,55.68872,55.90706,57.16928,60.019,60.96057,63.7393,64.57298,67.30125,70.65421,78.2268,83.3849,87.47829,87.30273,85.0438,83.84699,87.36344,91.78574
Mozambique,,,,11.49118,,,,,,,,,48.00194,36.91849,42.92335,42.09613,52.71498,40.20615,32.6996,31.51524,32.40839,32.40958,29.9751,29.89461,30.9165,31.52509,,,,16.99615,19.79628,23.43848,27.36989,,35.32888,49.01728,48.45195,52.51468,66.11944,62.43184,65.65736,60.88876
Myanmar,,43.01506,41.0329,50.66358,46.95056,,,,,,,,,,,,,,,,,,,,,,,,,75.91165,82.62882,81.06148,82.13033,85.08893,88.31069,,,93.35262,97.67131,98.70023,101.05824,
Namibia,,,,,,,,,,,,,,,,,,,,,,,66.77672,,67.43356,,,,90.56391,89.85925,85.43312,90.09373,86.93266,88.14605,80.41849,81.29098,77.91099,77.12673,73.38051,79.74267,77.32738,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,70.86542,,,,,,,71.36435,74.08745,71.59014,76.45062,,,,,,,,,
Netherlands,,96.48888,94.9429,94.57607,93.72789,93.84682,93.9585,93.12512,91.21035,90.79109,91.08774,94.82332,96.098,95.15887,92.42331,87.76233,,,,,,,,,,,,,,100.60237,99.17872,99.50184,102.1024,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,103.22539,103.57818,105.21725,104.24767,102.0298,100.56293,99.84891,100.35153,101.34969,104.03694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,24.34091,27.71116,28.01383,30.07986,,,,31.95248,31.75698,27.93412,30.406,,27.66575,27.75202,25.6529,26.78848,33.23523,41.1517,41.08469,,,,,44.23052,49.5351,45.41373,,,,64.61339,62.39452,62.20599,69.37354,68.64671,68.66525,71.39745,72.12001,72.83059,72.25697,,77.99882,
Niger,,7.67228,9.18636,9.23767,8.8734,9.33,10.12031,11.15436,13.70231,12.18511,16.97207,18.36535,22.04882,23.70942,25.61203,24.65702,27.22319,29.12198,,19.25694,21.83593,22.03009,23.31588,19.92501,,17.70202,14.57481,22.96834,,24.6231,22.30817,23.46772,25.20908,24.02965,32.00396,35.38972,38.48075,47.03505,44.64914,47.60558,46.55749,52.43285
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99439,87.04795,90.4244,101.28439,89.86682,75.26332,76.16789,78.84208,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,94.54919,,97.29866,98.10332,98.97067,98.77658,101.9906,101.87145,101.10768,98.6627,99.51142,100.37718,,99.87155,99.64836,98.30115,97.56566,96.22579,95.14829,94.91165,99.91416,101.35586,100.51971,,,,,97.68301,98.23469,97.23912,101.37467,102.98784,103.39324,102.74112,100.74491,96.74694,97.20876,98.45962,100.60461,98.93546,
Oman,,,,,2.28162,7.52659,12.11695,,28.09512,34.46036,,,,47.42078,53.43732,51.26382,52.46343,54.42284,60.0575,66.37435,65.24675,,74.97456,,70.05578,72.32583,73.84958,74.8285,77.01466,78.57709,78.33977,79.50776,87.16662,92.38196,,,,,,102.13455,100.32073,106.37388
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59357,69.14668,67.53208,67.86852,69.68639,74.54392,74.28174
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.74157,,,,,,,,,,,
Panama,65.71458,70.30066,73.65793,79.36367,82.53832,86.43108,96.41974,93.80722,89.61432,88.47818,83.14122,82.48455,79.85945,82.03681,79.93569,81.57904,83.11021,84.60349,83.96704,86.02131,,,,,,,,,,91.84871,94.46037,94.6455,95.17647,,96.64934,96.55455,93.66881,97.50738,100.935,101.15843,96.63878,101.12072
Papua New Guinea,,,,,,,,,,,,,,,,,,46.05498,49.60322,49.51885,49.41885,47.07559,48.48181,,54.86357,54.16688,,,55.85492,,59.46688,,,,,,,,,,,
Paraguay,45.25001,,46.68521,48.5392,49.41234,49.12235,50.19461,51.95694,52.55557,,54.96106,57.81885,60.99241,63.51374,65.11317,67.04646,65.19739,65.40401,64.85374,64.30406,65.46645,67.92057,71.20258,73.85217,73.8874,75.70162,80.52385,,90.56203,87.54637,91.41964,92.10878,93.07392,95.4234,93.72461,93.93457,93.51928,93.84992,93.52165,92.32782,90.41794,
Peru,65.7609,,,,,,,90.50468,89.21561,89.09561,85.53121,84.29182,,,,,,,,,,,,,,90.51199,,,101.34164,106.09138,104.7897,99.70696,98.63881,,,,101.99261,103.60842,101.74989,98.22635,99.22518,96.62615
Philippines,,,,,,,,,,,,84.43708,,88.16883,88.8844,87.08083,84.67008,85.00114,84.95764,86.24382,,,,,,,,,81.91806,84.33116,,96.53744,91.61388,92.31153,91.29928,90.69033,88.42144,88.94463,89.47032,89.02143,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.94027,95.66678,
Portugal,,,53.99332,58.12179,63.35214,71.48753,64.68639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,73.00971,67.78414,64.10256,60.77616,64.67391,77.58271,77.24138,91.45821,87.5,85.6383,81.13723,92.44373,,87.94105,83.4998,76.50782,65.43545,71.41062,71.58716,71.99537,75.18549,66.61316,68.83526,70.8344,63.17743,54.54768,,86.32297,87.75306,,,,107.94673,,97.45682,89.97718,106.14365,107.11806,99.18674,,96.05174
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,92.2284,,,81.94643,,,,,,94.3624,95.19582,95.18802,92.32142,97.63528,103.07743,106.47972,100.24916,114.85452,91.21757,91.07288,92.36392,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,93.35762,91.92875,,,,,,,,,,,,,,,,
Rwanda,,28.1459,30.28717,32.10869,33.31215,33.76107,,34.15532,,,39.08148,50.08353,49.6285,47.32311,48.8223,49.64342,46.14871,45.00939,46.0795,46.68019,46.15134,46.39003,51.10121,,,,,,,30.74235,24.72564,25.6946,30.6914,40.41065,40.55858,,,,49.10623,64.62812,65.42705,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,130.88235,,,,,,,,97.7131,101.06383,112.0614,109.00901,107.63889,108.49057,,91.7226,83.94794,92,88.70637,87.55102
St. Lucia,,,,,,,,,,,,,,99.94341,96.13417,,,,,,120.40332,117.2497,,123.6618,,,,,,,,106.15735,103.28798,106.45161,106.28539,101.88034,107.87949,113.50711,97.14459,99.62663,92.16061,93.15068
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.17976,86.44366,90.40853,89.0583,,,113.82189,,96.67932,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92055,93.18766,91.39186,102.54345,104.3878,97.6043,,,107.43632,,102.71036,100.16045,94.56869
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.39548,95.93023,
Sao Tome and Principe,,,,,,,,50.43706,,,,,,,108.73362,,,,78.79177,,,,,,,,,,,43.2052,,,56.74157,57.94956,71.32905,72.35263,,70.07444,73.60157,81.96325,81.54139,112.44736
Saudi Arabia,,,,,,,,,,47.91582,,,,,,,,,,,,,,,,,,,,,,,,,,90.31798,,94.55005,98.68711,89.93021,94.42428,
Senegal,,37.00645,36.50055,,,,,,38.81918,40.63701,37.72452,40.08173,40.99024,42.26951,43.02091,44.27885,47.19658,,53.53932,54.77664,52.94776,,49.16849,,48.6031,,50.22745,49.99297,51.89195,,46.39833,50.9428,52.48962,51.7386,53.00345,57.89724,52.71254,53.70338,59.86571,59.29948,57.92509,61.08236
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.35878,103.98654,96.92985,96.30175,99.81243
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,79.83871,90.18568,98.56771,,94.22836,92.48768,99.39173,91.61604,98.04401,,101.6109,94.33498,99.00498,110.6599,102.06718,98.43953,121.18863,105.95084,94.79167,100.13123,,111.94226,112.45085,107.46073,107.97386,,,,103.05851,113.18242,106.1008,113.01461,113.12585,116.52661,115.28384,127.2997,,118.76833,123.55694,123.98649,134.64286,
Sierra Leone,,,,,,,,,32.43442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.64558
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,95.47856,97.21336,96.91205,95.38704,93.35051,95.75414,95.72287,94.60968,97.58641,95.15974,96.50373,94.40789,90.48055,91.53316,92.81648,95.77936,97.73852,98.02727,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4309,98.9082,99.01606,97.21702,95.06719,96.59677,101.17789,112.00694,,,,95.41667,94.58428,97.09418,
Solomon Islands,,,,,,58.70751,,,,,79.527,70.5902,64.17212,60.93337,,,60.08342,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,71.60408,,,,,,,86.96421,82.52906,85.31676,,89.3786,93.49056,99.65558,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,97.11424,97.2786,98.6694,102.73593,104.22272,104.43222,101.49247,106.80529,106.20793,101.98049,,,101.87724,103.0503,,,,,,,,,,103.53119,,97.94532,98.77576,99.9628,102.38199,104.08553,
Sri Lanka,64.76689,,,,,,,,,,,,,82.52162,,84.22605,83.5429,88.92071,,95.11021,96.84332,99.76565,99.83648,,,,,,98.69115,,,107.70793,,,,104.96067,103.21631,101.69981,96.12596,95.16959,100.92943,
Sudan,,12.65513,34.1086,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58346,38.57324,40.93915,43.12794,46.67772,,,,,54.26652,60.7786,,
Suriname,,,,,,,72.18395,78.16865,72.94365,76.48751,,,,,,82.11835,,78.67973,77.09942,80.51883,,,,,,,,,,,,95.27526,,,,76.63468,83.55954,72.04956,79.65517,81.22057,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,44.20315,42.64857,44.00871,51.25081,55.3798,56.20097,56.22896,56.54146,54.25678,53.78828,52.62354,57.94427,58.04473,60.3073,59.53556,59.9137,61.56093,61.66683,62.45296,58.78923,59.35082,57.63092,56.5163,58.55639,59.62074,60.63379,58.47845,58.35843,60.91856,57.02111,58.87978,57.03217,58.97901,56.21778,59.68484,62.55685,64.31763,75.69924,,72.20863,75.66194,
Sweden,,93.24001,93.11964,89.43122,90.27679,91.8238,96.33592,102.98525,104.07676,104.98683,103.39031,96.26078,92.22126,92.81716,98.24889,,,100.74522,98.40528,96.3457,97.0032,96.18334,100.24214,105.12117,103.38339,,,,,100.46926,99.12264,102.71494,102.69085,106.26007,104.9586,100.55314,95.98507,95.44557,95.25095,93.30735,97.25611,
Switzerland,,,,,,,,52.77179,60.18914,57.76346,56.63863,51.1671,51.1971,51.42056,50.30022,50.56915,49.48013,48.77837,47.92027,49.10648,50.93519,53.36559,54.61506,61.83241,62.85887,,72.89893,,,93.81943,94.73795,96.75432,96.61118,96.48033,97.52942,95.27472,92.42555,91.54495,92.49376,93.5867,94.15308,
Syria,,76.39404,80.51485,79.22665,82.6426,87.85656,91.79831,94.79775,96.29603,91.93721,88.70738,88.8065,93.13581,94.26571,93.63735,95.06237,95.61658,95.7079,95.2582,96.18031,96.99896,98.43737,102.83409,94.62754,96.65261,95.10927,96.41522,97.0989,96.78064,97.45133,96.48169,97.34147,98.95213,108.4436,109.65717,109.2021,107.021,104.0705,103.51136,103.75285,104.10575,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79338,98.11637,101.84211,100.97933,98.91566,95.19527,,108.50036,96.9551,,103.28084,105.68041,105.85115
Tanzania,,,,,,44.65411,49.42027,,,,,87.58388,97.7804,102.82534,130.61332,,72.10837,68.33365,61.54659,47.98734,,,55.65765,58.59157,,,,57.81152,48.37665,56.1988,,53.97701,58.25107,,58.52629,56.48088,73.84133,85.1121,,102.84846,87.66969,
Thailand,,,,,,41.46191,43.11978,43.1205,43.86391,,,72.25265,,,,,,,,,,,,,,,,,,88.17878,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.40681,67.88642,64.07119,
Togo,,38.31728,45.75825,,,,63.83806,,75.37766,73.35721,75.40479,70.70412,66.29584,64.70315,56.58538,49.12413,48.13993,46.46481,52.60251,43.39103,51.46023,51.33081,52.43398,,40.66665,58.56916,68.73879,,,77.60354,87.04795,93.11386,,88.79128,89.48937,88.26728,87.66729,,79.74251,78.79385,83.64552,86.48754
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,83.78756,90.47619,113.73626,,132.31798,126.25871,,119.31438,96.69148,102.61824,,,,135.2459,99.44838,,104.94465,,,,,107.44417,104.45545,,107.91766,109.56113,,,109.12637,101.72009,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,108.30671,,,96.57788,,,95.90489,,,99.25737,98.9916,97.86167,,,85.08401,84.81186,,92.60268,85.63703,79.66226,,84.59567,90.86335,88.49083,,92.81595,90.37199,91.8505,90.89418,
Tunisia,,,,76.21268,,,81.52059,81.88788,85.48529,70.58187,72.64759,96.20259,72.8901,72.02609,75.29966,74.97515,77.57395,78.97922,77.5223,82.22053,85.91596,79.57048,,78.09699,84.85975,95.46795,91.76347,93.65613,,90.47821,89.597,89.95285,94.61658,97.62934,99.91846,101.99158,,104.55751,94.52575,90.36571,,
Turkey,,,,,,,,,,,,,,,96.80871,97.60417,99.89545,99.90414,111.76921,97.12527,97.12272,98.26823,103.36506,96.41869,95.88559,93.76844,,,,,,,,,97.88102,102.31323,99.3479,98.44286,100.02881,100.10349,101.00693,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.01099,100.52083,92.85714,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.93651,96.09375,83.47107,88.52459,94.2623,102.45902,89.34426,,,,,
Uganda,,,,,,,,,,,,,56.28676,,,,46.76399,,,,,,,,,,,,,,,66.74988,67.90416,67.6807,63.25526,61.3256,,55.88286,59.90602,59.19373,57.91517,55.6973
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,99.23217,95.14989,,,,,94.47935,91.43022,95.79701,97.60462,,,117.37035,105.24323,101.93806,99.75699,96.77484,97.48234,96.22799
United Arab Emirates,,,,,46.71031,44.1681,55.27353,61.46933,65.45825,68.73151,68.66522,73.02772,84.67371,83.07034,78.64433,76.13511,75.15831,74.48131,73.58251,82.41923,92.64533,99.45771,97.08923,93.92385,91.99334,90.06565,86.17841,89.96543,88.37484,87.47236,85.2947,82.19066,87.67589,90.70436,95.83551,98.34466,98.03661,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.99108,96.66805,99.46662,101.31856,99.70707,99.32906,100.48201,102.24578,97.3215,98.99668,99.13246,105.32042,103.31173,
Uruguay,,,,,66.86965,,69.81661,68.79336,67.65354,69.91531,70.94404,,,,,85.25492,85.06549,89.25116,90.04455,91.38774,92.09495,92.59662,90.67822,92.20774,92.14696,92.85852,92.30273,,96.96857,94.97779,95.10339,93.99957,92.58886,90.28879,91.78107,93.56141,98.52292,102.86746,104.96927,105.41477,104.63923,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.91178,103.33856,97.03419,95.87469,98.13191,100.15548,98.39212,96.63865,94.15868,93.40755,93.97983
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,85.26267,,,,,,,91.2148,89.98344,106.04217,103.17712,,91.56214,,,80.20796,78.55634,84.80969,,
Venezuela,,,,,,,,,,,,,,,,,,,75.25494,74.33189,,75.90514,79.59191,79.23256,,,76.59165,77.23637,,78.2301,80.47158,81.93463,89.27863,87.63943,87.59146,89.12563,93.03273,95.69116,94.22634,93.99976,92.8131,93.83607
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,89.73808,90.96027,90.95347,,99.62412,97.61874,97.14315,93.08473,97.27971,89.71487,93.08484,,86.63195,89.28261,90.92188,97.25558,90.20739
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.94954,100.80323,106.25557,104.12544,102.36286,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.96868,74.48004,77.74382,75.64345,78.57983,76.50044,74.39101,,,73.97063,,73.01058,72.21492
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,90.05816,91.29327,95.64036,97.15416,97.15259,97.777,101.25945,99.02727,99.29038,98.39959,100.66986,103.81778,112.41588,,107.17335,,,,,,,,,,,,74.17166,71.83426,68.02614,,68.17128,,79.88279,100.21387,94.04398,98.40848,102.24899,95.10551,98.27681,
Zimbabwe,,,,,,,,,,,,,,,94.03747,,,,,,,,,,,,,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
