Urban population (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,33.9,34.4304,34.9828,35.5352,36.0876,36.64,37.1676,37.6952,38.2228,38.7504,39.278,39.895,40.512,41.129,41.746,42.363,43.2826,44.2022,45.1218,46.0414,46.961,47.8118,48.6626,49.5134,50.3642,51.215,51.99,52.765,53.54,54.315,55.09,55.6252,56.1604,56.6956,57.2308,57.766,58.2726,58.7792,59.2858,59.7924,60.299,60.9606,61.6222,62.2838,62.9454,63.607,64.2582,64.9094,65.5606,66.2118,66.863,67.4232
Egypt,37.9,38.4274,38.9908,39.5542,40.1176,40.681,40.9866,41.2922,41.5978,41.9034,42.209,42.4576,42.7062,42.9548,43.2034,43.452,43.5332,43.6144,43.6956,43.7768,43.858,43.874,43.89,43.906,43.922,43.938,43.846,43.754,43.662,43.57,43.478,43.3452,43.2124,43.0796,42.9468,42.814,42.8106,42.8072,42.8038,42.8004,42.797,42.843,42.889,42.935,42.981,43.027,43.0966,43.1662,43.2358,43.3054,43.375,43.5386
El Salvador,38.3,38.4578,38.5706,38.6834,38.7962,38.909,39.0076,39.1062,39.2048,39.3034,39.402,39.8236,40.2452,40.6668,41.0884,41.51,42.0196,42.5292,43.0388,43.5484,44.058,44.5736,45.0892,45.6048,46.1204,46.636,47.1554,47.6748,48.1942,48.7136,49.233,50.1798,51.1266,52.0734,53.0202,53.967,54.956,55.945,56.934,57.923,58.912,59.4592,60.0064,60.5536,61.1008,61.648,62.1744,62.7008,63.2272,63.7536,64.28,64.7634
Equatorial Guinea,25.5,25.73,25.923,26.116,26.309,26.502,26.5924,26.6828,26.7732,26.8636,26.954,27.0452,27.1364,27.2276,27.3188,27.41,27.5024,27.5948,27.6872,27.7796,27.872,28.2856,28.6992,29.1128,29.5264,29.94,30.901,31.862,32.823,33.784,34.745,35.5628,36.3806,37.1984,38.0162,38.834,38.8284,38.8228,38.8172,38.8116,38.806,38.8198,38.8336,38.8474,38.8612,38.875,38.9674,39.0598,39.1522,39.2446,39.337,39.5122
Eritrea,9.8,10.0774,10.4038,10.7302,11.0566,11.383,11.625,11.867,12.109,12.351,12.593,12.7652,12.9374,13.1096,13.2818,13.454,13.636,13.818,14,14.182,14.364,14.5368,14.7096,14.8824,15.0552,15.228,15.3424,15.4568,15.5712,15.6856,15.8,15.9508,16.1016,16.2524,16.4032,16.554,16.768,16.982,17.196,17.41,17.624,17.9102,18.1964,18.4826,18.7688,19.055,19.424,19.793,20.162,20.531,20.9,21.363
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,57.5,58.296,59.059,59.822,60.585,61.348,62.0678,62.7876,63.5074,64.2272,64.947,65.4754,66.0038,66.5322,67.0606,67.589,68.0134,68.4378,68.8622,69.2866,69.711,69.9222,70.1334,70.3446,70.5558,70.767,70.8392,70.9114,70.9836,71.0558,71.128,70.8982,70.6684,70.4386,70.2088,69.979,69.8634,69.7478,69.6322,69.5166,69.401,69.4058,69.4106,69.4154,69.4202,69.425,69.4322,69.4394,69.4466,69.4538,69.461,69.5178
Ethiopia,6.4,6.6638,6.8946,7.1254,7.3562,7.587,7.7872,7.9874,8.1876,8.3878,8.588,8.7624,8.9368,9.1112,9.2856,9.46,9.65,9.84,10.03,10.22,10.41,10.6186,10.8272,11.0358,11.2444,11.453,11.6866,11.9202,12.1538,12.3874,12.621,12.8622,13.1034,13.3446,13.5858,13.827,14.0094,14.1918,14.3742,14.5566,14.739,14.9312,15.1234,15.3156,15.5078,15.7,15.9114,16.1228,16.3342,16.5456,16.757,17.0184
Faeroe Islands,21.4,22.217,23.051,23.885,24.719,25.553,26.0326,26.5122,26.9918,27.4714,27.951,28.426,28.901,29.376,29.851,30.326,30.498,30.67,30.842,31.014,31.186,31.102,31.018,30.934,30.85,30.766,30.7316,30.6972,30.6628,30.6284,30.594,30.6604,30.7268,30.7932,30.8596,30.926,32.0082,33.0904,34.1726,35.2548,36.337,37.0258,37.7146,38.4034,39.0922,39.781,40.01,40.239,40.468,40.697,40.926,41.1392
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,29.7,30.2612,30.8414,31.4216,32.0018,32.582,33.0172,33.4524,33.8876,34.3228,34.758,35.1506,35.5432,35.9358,36.3284,36.721,36.9306,37.1402,37.3498,37.5594,37.769,37.9198,38.0706,38.2214,38.3722,38.523,39.1406,39.7582,40.3758,40.9934,41.611,42.388,43.165,43.942,44.719,45.496,45.9784,46.4608,46.9432,47.4256,47.908,48.3006,48.6932,49.0858,49.4784,49.871,50.2642,50.6574,51.0506,51.4438,51.837,52.2322
Finland,38.1,56.1636,57.0372,57.9108,58.7844,59.658,60.4672,61.2764,62.0856,62.8948,63.704,64.5294,65.3548,66.1802,67.0056,67.831,68.6102,69.3894,70.1686,70.9478,71.727,72.5432,73.3594,74.1756,74.9918,75.808,76.5198,77.2316,77.9434,78.6552,79.367,79.6862,80.0054,80.3246,80.6438,80.963,81.207,81.451,81.695,81.939,82.183,82.3274,82.4718,82.6162,82.7606,82.905,83.0356,83.1662,83.2968,83.4274,83.558,83.6878
France,61.9,62.9182,63.9564,64.9946,66.0328,67.071,67.8678,68.6646,69.4614,70.2582,71.055,71.4292,71.8034,72.1776,72.5518,72.926,72.9972,73.0684,73.1396,73.2108,73.282,73.3556,73.4292,73.5028,73.5764,73.65,73.7312,73.8124,73.8936,73.9748,74.056,74.2272,74.3984,74.5696,74.7408,74.912,75.3086,75.7052,76.1018,76.4984,76.895,77.827,78.759,79.691,80.623,81.555,82.2898,83.0246,83.7594,84.4942,85.229,85.7434
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,42.4,43.597,44.75,45.903,47.056,48.209,49.6176,51.0262,52.4348,53.8434,55.252,55.577,55.902,56.227,56.552,56.877,56.981,57.085,57.189,57.293,57.397,57.3748,57.3526,57.3304,57.3082,57.286,57.0016,56.7172,56.4328,56.1484,55.864,55.4008,54.9376,54.4744,54.0112,53.548,53.3146,53.0812,52.8478,52.6144,52.381,52.2606,52.1402,52.0198,51.8994,51.779,51.7072,51.6354,51.5636,51.4918,51.42,51.4348
Gabon,17.4,18.6734,19.9488,21.2242,22.4996,23.775,25.42,27.065,28.71,30.355,32,34.1942,36.3884,38.5826,40.7768,42.971,45.3132,47.6554,49.9976,52.3398,54.682,56.226,57.77,59.314,60.858,62.402,63.7502,65.0984,66.4466,67.7948,69.143,70.3862,71.6294,72.8726,74.1158,75.359,76.3088,77.2586,78.2084,79.1582,80.108,80.7852,81.4624,82.1396,82.8168,83.494,83.9628,84.4316,84.9004,85.3692,85.838,86.1478
Gambia,12.1,12.6098,13.0906,13.5714,14.0522,14.533,15.5256,16.5182,17.5108,18.5034,19.496,20.482,21.468,22.454,23.44,24.426,25.2236,26.0212,26.8188,27.6164,28.414,29.335,30.256,31.177,32.098,33.019,34.0776,35.1362,36.1948,37.2534,38.312,39.4118,40.5116,41.6114,42.7112,43.811,44.8128,45.8146,46.8164,47.8182,48.82,49.6802,50.5404,51.4006,52.2608,53.121,53.828,54.535,55.242,55.949,56.656,57.2084
Georgia,42.3,43.562,44.055,44.548,45.041,45.534,46.0284,46.5228,47.0172,47.5116,48.006,48.4736,48.9412,49.4088,49.8764,50.344,50.7746,51.2052,51.6358,52.0664,52.497,52.8364,53.1758,53.5152,53.8546,54.194,54.3628,54.5316,54.7004,54.8692,55.038,54.7986,54.5592,54.3198,54.0804,53.841,53.6004,53.3598,53.1192,52.8786,52.638,52.6044,52.5708,52.5372,52.5036,52.47,52.5244,52.5788,52.6332,52.6876,52.742,52.8608
Germany,71.4,71.4982,71.6124,71.7266,71.8408,71.955,72.0188,72.0826,72.1464,72.2102,72.274,72.3312,72.3884,72.4456,72.5028,72.56,72.6168,72.6736,72.7304,72.7872,72.844,72.8174,72.7908,72.7642,72.7376,72.711,72.7924,72.8738,72.9552,73.0366,73.118,73.1516,73.1852,73.2188,73.2524,73.286,73.2422,73.1984,73.1546,73.1108,73.067,73.1246,73.1822,73.2398,73.2974,73.355,73.447,73.539,73.631,73.723,73.815,73.9444
Ghana,23.3,23.8164,24.3808,24.9452,25.5096,26.074,26.6536,27.2332,27.8128,28.3924,28.972,29.1892,29.4064,29.6236,29.8408,30.058,30.2798,30.5016,30.7234,30.9452,31.167,31.5128,31.8586,32.2044,32.5502,32.896,33.605,34.314,35.023,35.732,36.441,37.1806,37.9202,38.6598,39.3994,40.139,40.902,41.665,42.428,43.191,43.954,44.702,45.45,46.198,46.946,47.694,48.3982,49.1024,49.8066,50.5108,51.215,51.8684
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,42.9,43.8186,44.7462,45.6738,46.6014,47.529,48.524,49.519,50.514,51.509,52.504,53.0646,53.6252,54.1858,54.7464,55.307,55.7924,56.2778,56.7632,57.2486,57.734,57.8754,58.0168,58.1582,58.2996,58.441,58.5214,58.6018,58.6822,58.7626,58.843,58.9318,59.0206,59.1094,59.1982,59.287,59.3768,59.4666,59.5564,59.6462,59.736,59.852,59.968,60.084,60.2,60.316,60.4966,60.6772,60.8578,61.0384,61.219,61.4628
Greenland,58.5,60.0372,61.5404,63.0436,64.5468,66.05,67.3888,68.7276,70.0664,71.4052,72.744,73.073,73.402,73.731,74.06,74.389,74.7354,75.0818,75.4282,75.7746,76.121,76.489,76.857,77.225,77.593,77.961,78.3084,78.6558,79.0032,79.3506,79.698,79.9306,80.1632,80.3958,80.6284,80.861,81.0088,81.1566,81.3044,81.4522,81.6,81.8516,82.1032,82.3548,82.6064,82.858,83.163,83.468,83.773,84.078,84.383,84.6586
Grenada,30.3,30.5204,30.7088,30.8972,31.0856,31.274,31.4616,31.6492,31.8368,32.0244,32.212,32.2826,32.3532,32.4238,32.4944,32.565,32.6362,32.7074,32.7786,32.8498,32.921,32.9734,33.0258,33.0782,33.1306,33.183,33.232,33.281,33.33,33.379,33.428,33.652,33.876,34.1,34.324,34.548,34.8126,35.0772,35.3418,35.6064,35.871,36.15,36.429,36.708,36.987,37.266,37.5754,37.8848,38.1942,38.5036,38.813,39.153
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,50.1,51.2272,52.3074,53.3876,54.4678,55.548,56.8224,58.0968,59.3712,60.6456,61.92,66.2624,70.6048,74.9472,79.2896,83.632,85.6562,87.6804,89.7046,91.7288,93.753,93.4702,93.1874,92.9046,92.6218,92.339,92.0304,91.7218,91.4132,91.1046,90.796,91.0478,91.2996,91.5514,91.8032,92.055,92.2646,92.4742,92.6838,92.8934,93.103,93.103,93.103,93.103,93.103,93.103,93.1172,93.1314,93.1456,93.1598,93.174,93.2066
Guatemala,31.1,31.6946,32.2682,32.8418,33.4154,33.989,34.3002,34.6114,34.9226,35.2338,35.545,35.7796,36.0142,36.2488,36.4834,36.718,36.8546,36.9912,37.1278,37.2644,37.401,37.7512,38.1014,38.4516,38.8018,39.152,39.545,39.938,40.331,40.724,41.117,41.5156,41.9142,42.3128,42.7114,43.11,43.5134,43.9168,44.3202,44.7236,45.127,45.536,45.945,46.354,46.763,47.172,47.6032,48.0344,48.4656,48.8968,49.328,49.7824
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,10.5,10.9732,11.4744,11.9756,12.4768,12.978,13.5778,14.1776,14.7774,15.3772,15.977,16.6846,17.3922,18.0998,18.8074,19.515,20.3354,21.1558,21.9762,22.7966,23.617,24.2178,24.8186,25.4194,26.0202,26.621,26.902,27.183,27.464,27.745,28.026,28.3158,28.6056,28.8954,29.1852,29.475,29.7846,30.0942,30.4038,30.7134,31.023,31.3874,31.7518,32.1162,32.4806,32.845,33.2696,33.6942,34.1188,34.5434,34.968,35.456
Guinea-Bissau,13.6,13.7498,13.8996,14.0494,14.1992,14.349,14.5056,14.6622,14.8188,14.9754,15.132,15.2956,15.4592,15.6228,15.7864,15.95,16.281,16.612,16.943,17.274,17.605,18.5702,19.5354,20.5006,21.4658,22.431,23.571,24.711,25.851,26.991,28.131,28.9678,29.8046,30.6414,31.4782,32.315,33.0222,33.7294,34.4366,35.1438,35.851,36.5898,37.3286,38.0674,38.8062,39.545,40.28,41.015,41.75,42.485,43.22,43.8974
Guyana,29,29.049,29.089,29.129,29.169,29.209,29.2522,29.2954,29.3386,29.3818,29.425,29.5334,29.6418,29.7502,29.8586,29.967,30.0712,30.1754,30.2796,30.3838,30.488,30.397,30.306,30.215,30.124,30.033,29.943,29.853,29.763,29.673,29.583,29.4938,29.4046,29.3154,29.2262,29.137,29.0484,28.9598,28.8712,28.7826,28.694,28.6168,28.5396,28.4624,28.3852,28.308,28.3086,28.3092,28.3098,28.3104,28.311,28.4
Haiti,15.6,15.9904,16.3878,16.7852,17.1826,17.58,18.0164,18.4528,18.8892,19.3256,19.762,19.8904,20.0188,20.1472,20.2756,20.404,20.4314,20.4588,20.4862,20.5136,20.541,21.085,21.629,22.173,22.717,23.261,24.3108,25.3606,26.4104,27.4602,28.51,29.326,30.142,30.958,31.774,32.59,33.192,33.794,34.396,34.998,35.6,37.2964,38.9928,40.6892,42.3856,44.082,45.6636,47.2452,48.8268,50.4084,51.99,53.3126
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,22.7,23.3384,23.9298,24.5212,25.1126,25.704,26.3436,26.9832,27.6228,28.2624,28.902,29.5436,30.1852,30.8268,31.4684,32.11,32.662,33.214,33.766,34.318,34.87,35.443,36.016,36.589,37.162,37.735,38.28,38.825,39.37,39.915,40.46,40.9562,41.4524,41.9486,42.4448,42.941,43.4444,43.9478,44.4512,44.9546,45.458,46.0962,46.7344,47.3726,48.0108,48.649,49.2346,49.8202,50.4058,50.9914,51.577,52.151
"Hong Kong, China",85.2,85.4444,85.6888,85.9332,86.1776,86.422,86.6834,86.9448,87.2062,87.4676,87.729,88.1222,88.5154,88.9086,89.3018,89.695,90.0516,90.4082,90.7648,91.1214,91.478,91.7664,92.0548,92.3432,92.6316,92.92,94.2394,95.5588,96.8782,98.1976,99.517,99.6136,99.7102,99.8068,99.9034,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hungary,55.9,56.3332,56.7554,57.1776,57.5998,58.022,58.44,58.858,59.276,59.694,60.112,60.5358,60.9596,61.3834,61.8072,62.231,62.623,63.015,63.407,63.799,64.191,64.3718,64.5526,64.7334,64.9142,65.095,65.2436,65.3922,65.5408,65.6894,65.838,65.7122,65.5864,65.4606,65.3348,65.209,65.0822,64.9554,64.8286,64.7018,64.575,64.933,65.291,65.649,66.007,66.365,66.885,67.405,67.925,68.445,68.965,69.4358
Iceland,80.3,80.784,81.268,81.752,82.236,82.72,83.156,83.592,84.028,84.464,84.9,85.2538,85.6076,85.9614,86.3152,86.669,86.9872,87.3054,87.6236,87.9418,88.26,88.522,88.784,89.046,89.308,89.57,89.806,90.042,90.278,90.514,90.75,90.926,91.102,91.278,91.454,91.63,91.7842,91.9384,92.0926,92.2468,92.401,92.5282,92.6554,92.7826,92.9098,93.037,93.1544,93.2718,93.3892,93.5066,93.624,93.7292
India,17.9,18.0962,18.2684,18.4406,18.6128,18.785,18.98,19.175,19.37,19.565,19.76,20.0744,20.3888,20.7032,21.0176,21.332,21.6852,22.0384,22.3916,22.7448,23.098,23.348,23.598,23.848,24.098,24.348,24.5878,24.8276,25.0674,25.3072,25.547,25.759,25.971,26.183,26.395,26.607,26.819,27.031,27.243,27.455,27.667,27.9806,28.2942,28.6078,28.9214,29.235,29.574,29.913,30.252,30.591,30.93,31.295
Indonesia,14.6,14.8266,15.0672,15.3078,15.5484,15.789,16.0454,16.3018,16.5582,16.8146,17.071,17.5202,17.9694,18.4186,18.8678,19.317,19.8744,20.4318,20.9892,21.5466,22.104,22.901,23.698,24.495,25.292,26.089,26.988,27.887,28.786,29.685,30.584,31.578,32.572,33.566,34.56,35.554,36.8436,38.1332,39.4228,40.7124,42.002,42.789,43.576,44.363,45.15,45.937,46.7344,47.5318,48.3292,49.1266,49.924,50.6858
Iran,33.7,34.4016,35.0682,35.7348,36.4014,37.068,37.8968,38.7256,39.5544,40.3832,41.212,42.119,43.026,43.933,44.84,45.747,46.5362,47.3254,48.1146,48.9038,49.693,50.4334,51.1738,51.9142,52.6546,53.395,53.982,54.569,55.156,55.743,56.33,57.1112,57.8924,58.6736,59.4548,60.236,60.9972,61.7584,62.5196,63.2808,64.042,64.7452,65.4484,66.1516,66.8548,67.558,67.834,68.11,68.386,68.662,68.938,69.0822
Iraq,42.9,44.4494,45.9998,47.5502,49.1006,50.651,51.7516,52.8522,53.9528,55.0534,56.154,57.199,58.244,59.289,60.334,61.379,62.2074,63.0358,63.8642,64.6926,65.521,66.1702,66.8194,67.4686,68.1178,68.767,68.9548,69.1426,69.3304,69.5182,69.706,69.5208,69.3356,69.1504,68.9652,68.78,68.59,68.4,68.21,68.02,67.83,67.6724,67.5148,67.3572,67.1996,67.042,66.9408,66.8396,66.7384,66.6372,66.536,66.5038
Ireland,45.8,46.3994,46.9768,47.5542,48.1316,48.709,49.3116,49.9142,50.5168,51.1194,51.722,52.1044,52.4868,52.8692,53.2516,53.634,53.9738,54.3136,54.6534,54.9932,55.333,55.5214,55.7098,55.8982,56.0866,56.275,56.4012,56.5274,56.6536,56.7798,56.906,57.1088,57.3116,57.5144,57.7172,57.92,58.1652,58.4104,58.6556,58.9008,59.146,59.4122,59.6784,59.9446,60.2108,60.477,60.7612,61.0454,61.3296,61.6138,61.898,62.205
Isle of Man,55.1,55.3594,55.5958,55.8322,56.0686,56.305,56.2102,56.1154,56.0206,55.9258,55.831,55.1454,54.4598,53.7742,53.0886,52.403,52.2792,52.1554,52.0316,51.9078,51.784,51.7802,51.7764,51.7726,51.7688,51.765,51.7612,51.7574,51.7536,51.7498,51.746,51.7534,51.7608,51.7682,51.7756,51.783,51.791,51.799,51.807,51.815,51.823,51.6972,51.5714,51.4456,51.3198,51.194,51.0736,50.9532,50.8328,50.7124,50.592,50.552
Israel,76.8,77.6664,78.4848,79.3032,80.1216,80.94,81.591,82.242,82.893,83.544,84.195,84.6846,85.1742,85.6638,86.1534,86.643,87.031,87.419,87.807,88.195,88.583,88.832,89.081,89.33,89.579,89.828,89.9342,90.0404,90.1466,90.2528,90.359,90.4604,90.5618,90.6632,90.7646,90.866,90.9334,91.0008,91.0682,91.1356,91.203,91.266,91.329,91.392,91.455,91.518,91.579,91.64,91.701,91.762,91.823,91.8836
Italy,59.4,59.8574,60.3538,60.8502,61.3466,61.843,62.3288,62.8146,63.3004,63.7862,64.272,64.5462,64.8204,65.0946,65.3688,65.643,65.8424,66.0418,66.2412,66.4406,66.64,66.6772,66.7144,66.7516,66.7888,66.826,66.806,66.786,66.766,66.746,66.726,66.7652,66.8044,66.8436,66.8828,66.922,66.982,67.042,67.102,67.162,67.222,67.2952,67.3684,67.4416,67.5148,67.588,67.7144,67.8408,67.9672,68.0936,68.22,68.4
Jamaica,33.8,34.515,35.261,36.007,36.753,37.499,38.264,39.029,39.794,40.559,41.324,41.8618,42.3996,42.9374,43.4752,44.013,44.5582,45.1034,45.6486,46.1938,46.739,47.076,47.413,47.75,48.087,48.424,48.628,48.832,49.036,49.24,49.444,49.6782,49.9124,50.1466,50.3808,50.615,50.8548,51.0946,51.3344,51.5742,51.814,51.8566,51.8992,51.9418,51.9844,52.027,52.02,52.013,52.006,51.999,51.992,52.074
Japan,43.1,64.1908,65.1096,66.0284,66.9472,67.866,68.6682,69.4704,70.2726,71.0748,71.877,72.6448,73.4126,74.1804,74.9482,75.716,75.8078,75.8996,75.9914,76.0832,76.175,76.2824,76.3898,76.4972,76.6046,76.712,76.8374,76.9628,77.0882,77.2136,77.339,77.4744,77.6098,77.7452,77.8806,78.016,78.1426,78.2692,78.3958,78.5224,78.649,80.1148,81.5806,83.0464,84.5122,85.978,86.8906,87.8032,88.7158,89.6284,90.541,91.1352
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,50.9,51.5556,52.2322,52.9088,53.5854,54.262,54.6038,54.9456,55.2874,55.6292,55.971,56.3068,56.6426,56.9784,57.3142,57.65,58.1078,58.5656,59.0234,59.4812,59.939,61.203,62.467,63.731,64.995,66.259,67.453,68.647,69.841,71.035,72.229,73.4562,74.6834,75.9106,77.1378,78.365,78.6536,78.9422,79.2308,79.5194,79.808,80.0818,80.3556,80.6294,80.9032,81.177,81.4362,81.6954,81.9546,82.2138,82.473,82.7118
Kazakhstan,44.2,44.7678,45.3376,45.9074,46.4772,47.047,47.6848,48.3226,48.9604,49.5982,50.236,50.7016,51.1672,51.6328,52.0984,52.564,52.8796,53.1952,53.5108,53.8264,54.142,54.5156,54.8892,55.2628,55.6364,56.01,56.0612,56.1124,56.1636,56.2148,56.266,56.197,56.128,56.059,55.99,55.921,55.8826,55.8442,55.8058,55.7674,55.729,55.527,55.325,55.123,54.921,54.719,54.5216,54.3242,54.1268,53.9294,53.732,53.6368
Kenya,7.4,7.6106,7.8592,8.1078,8.3564,8.605,8.943,9.281,9.619,9.957,10.295,10.8188,11.3426,11.8664,12.3902,12.914,13.4478,13.9816,14.5154,15.0492,15.583,15.6822,15.7814,15.8806,15.9798,16.079,16.2128,16.3466,16.4804,16.6142,16.748,17.051,17.354,17.657,17.96,18.263,18.5888,18.9146,19.2404,19.5662,19.892,20.2486,20.6052,20.9618,21.3184,21.675,22.0542,22.4334,22.8126,23.1918,23.571,23.9842
Kiribati,16.3,16.957,17.624,18.291,18.958,19.625,20.5176,21.4102,22.3028,23.1954,24.088,25.1916,26.2952,27.3988,28.5024,29.606,30.1416,30.6772,31.2128,31.7484,32.284,32.5354,32.7868,33.0382,33.2896,33.541,33.8302,34.1194,34.4086,34.6978,34.987,35.2714,35.5558,35.8402,36.1246,36.409,37.7188,39.0286,40.3384,41.6482,42.958,43.0766,43.1952,43.3138,43.4324,43.551,43.6022,43.6534,43.7046,43.7558,43.807,43.9366
North Korea,40.2,41.1742,42.1534,43.1326,44.1118,45.091,46.9128,48.7346,50.5564,52.3782,54.2,54.7,55.2,55.7,56.2,56.7,56.74,56.78,56.82,56.86,56.9,57.0488,57.1976,57.3464,57.4952,57.644,57.792,57.94,58.088,58.236,58.384,58.5108,58.6376,58.7644,58.8912,59.018,59.0968,59.1756,59.2544,59.3332,59.412,59.4906,59.5692,59.6478,59.7264,59.805,59.886,59.967,60.048,60.129,60.21,60.342
South Korea,27.7,28.6382,29.5664,30.4946,31.4228,32.351,34.0216,35.6922,37.3628,39.0334,40.704,42.1698,43.6356,45.1014,46.5672,48.033,49.7704,51.5078,53.2452,54.9826,56.72,58.3512,59.9824,61.6136,63.2448,64.876,66.6696,68.4632,70.2568,72.0504,73.844,74.723,75.602,76.481,77.36,78.239,78.5154,78.7918,79.0682,79.3446,79.621,79.9658,80.3106,80.6554,81.0002,81.345,81.6626,81.9802,82.2978,82.6154,82.933,83.2008
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,74.9,75.769,76.645,77.521,78.397,79.273,80.5506,81.8282,83.1058,84.3834,85.661,86.4056,87.1502,87.8948,88.6394,89.384,90.4634,91.5428,92.6222,93.7016,94.781,95.4054,96.0298,96.6542,97.2786,97.903,97.9172,97.9314,97.9456,97.9598,97.974,97.9878,98.0016,98.0154,98.0292,98.043,98.0564,98.0698,98.0832,98.0966,98.11,98.1234,98.1368,98.1502,98.1636,98.177,98.19,98.203,98.216,98.229,98.242,98.2548
Kyrgyz Republic,34.2,34.515,34.849,35.183,35.517,35.851,36.174,36.497,36.82,37.143,37.466,37.61,37.754,37.898,38.042,38.186,38.2742,38.3624,38.4506,38.5388,38.627,38.577,38.527,38.477,38.427,38.377,38.257,38.137,38.017,37.897,37.777,37.4914,37.2058,36.9202,36.6346,36.349,36.1388,35.9286,35.7184,35.5082,35.298,35.2964,35.2948,35.2932,35.2916,35.29,35.2928,35.2956,35.2984,35.3012,35.304,35.3896
Lao,7.9,8.0214,8.0968,8.1722,8.2476,8.323,8.5834,8.8438,9.1042,9.3646,9.625,9.9162,10.2074,10.4986,10.7898,11.081,11.3402,11.5994,11.8586,12.1178,12.377,12.6624,12.9478,13.2332,13.5186,13.804,14.1306,14.4572,14.7838,15.1104,15.437,15.8252,16.2134,16.6016,16.9898,17.378,18.2978,19.2176,20.1374,21.0572,21.977,23.0588,24.1406,25.2224,26.3042,27.386,28.533,29.68,30.827,31.974,33.121,34.2224
Latvia,52.9,53.66,54.453,55.246,56.039,56.832,57.6082,58.3844,59.1606,59.9368,60.713,61.4018,62.0906,62.7794,63.4682,64.157,64.7446,65.3322,65.9198,66.5074,67.095,67.388,67.681,67.974,68.267,68.56,68.698,68.836,68.974,69.112,69.25,69.15,69.05,68.95,68.85,68.75,68.6134,68.4768,68.3402,68.2036,68.067,68.0536,68.0402,68.0268,68.0134,68,67.9432,67.8864,67.8296,67.7728,67.716,67.714
Lebanon,42.3,44.0614,45.7798,47.4982,49.2166,50.935,52.643,54.351,56.059,57.767,59.475,60.9756,62.4762,63.9768,65.4774,66.978,68.3168,69.6556,70.9944,72.3332,73.672,74.822,75.972,77.122,78.272,79.422,80.1616,80.9012,81.6408,82.3804,83.12,83.46,83.8,84.14,84.48,84.82,85.056,85.292,85.528,85.764,86,86.114,86.228,86.342,86.456,86.57,86.6832,86.7964,86.9096,87.0228,87.136,87.2478
Lesotho,3.4,4.0004,4.5858,5.1712,5.7566,6.342,6.7952,7.2484,7.7016,8.1548,8.608,9.0508,9.4936,9.9364,10.3792,10.822,10.9476,11.0732,11.1988,11.3244,11.45,11.5104,11.5708,11.6312,11.6916,11.752,12.195,12.638,13.081,13.524,13.967,14.5646,15.1622,15.7598,16.3574,16.955,17.5584,18.1618,18.7652,19.3686,19.972,20.6328,21.2936,21.9544,22.6152,23.276,23.9902,24.7044,25.4186,26.1328,26.847,27.5738
Liberia,18.6,19.3272,20.0224,20.7176,21.4128,22.108,22.8914,23.6748,24.4582,25.2416,26.025,26.8964,27.7678,28.6392,29.5106,30.382,31.339,32.296,33.253,34.21,35.167,35.987,36.807,37.627,38.447,39.267,39.6006,39.9342,40.2678,40.6014,40.935,41.2728,41.6106,41.9484,42.2862,42.624,42.9654,43.3068,43.6482,43.9896,44.331,44.675,45.019,45.363,45.707,46.051,46.401,46.751,47.101,47.451,47.801,48.1822
Libya,27.3,28.5916,29.8602,31.1288,32.3974,33.666,36.867,40.068,43.269,46.47,49.671,52.2938,54.9166,57.5394,60.1622,62.785,64.2468,65.7086,67.1704,68.6322,70.094,71.1652,72.2364,73.3076,74.3788,75.45,75.5046,75.5592,75.6138,75.6684,75.723,75.7772,75.8314,75.8856,75.9398,75.994,76.0628,76.1316,76.2004,76.2692,76.338,76.4432,76.5484,76.6536,76.7588,76.864,77.0038,77.1436,77.2834,77.4232,77.563,77.735
