GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Hungary,10486859064,,,,,18359925549.3677,19718560040.021,21197452043.0225,22236127193.1306,23770419969.4567,24887629708.0211,26430662749.9184,28042933177.6634,29977895566.9222,31746591405.3706,33714880072.5036,34928615755.1138,37583190552.5024,39236850936.8124,40296245912.1064,40376838403.9308,41534339383.706,42714366741.1182,43023177035.0254,44166753595.2113,44054981902.8309,44731203329.8448,46543367079.2774,46512991414.9218,46855524628.9175,45217146353.0298,39839904832.168,38619138294.9017,38396650152.9875,39528258777.3065,40117042261.807,40181583040.5995,41438134545.4779,43126100242.6531,44505141590.2788,46385589533.8363,48107516796.3599,50275293599.1806,52211105382.5728,54715769279.8986,56884939841.3921,59101837692.0838,59169627000.7808,59698693167.7497,55640003180.215,56340039480.1682,57293181825.5158
Iceland,1775037087,1773534306.10051,1920980853.73017,2118522669.81804,2328606902.82622,2500265500.13357,2718687030.95037,2684234147.03992,2537274841.38088,2597524665.98124,2791210652.04387,3155766143.63342,3350708372.68687,3578757910.27469,3782972291.52947,3807416159.06096,4034314080.86792,4390232454.101,4654380210.92262,4880610195.57668,5161143799.79457,5381266949.49065,5497209910.56938,5378956036.33414,5601059490.50698,5785493495.53147,6148275292.75625,6673703195.01818,6667715145.95101,6684947179.25557,6763118968.25624,6748001672.02669,6520331238.81388,6605972494.63092,6844372657.15659,6852352080.4654,7180241405.27437,7533020280.51499,8008865739.7073,8336761572.06226,8697298233.82009,9038371651.10011,9050931398.35844,9271268440.56758,9997746575.2742,10720581749.0677,11225410811.3277,11897251671.8575,12048292689.4325,11228149347.5007,10776345914.6297,11105155829.8503
India,81042654922,84059664306.6144,86523560442.4489,91710088309.3218,98545195448.1603,95947770641.8409,95894683920.6641,103399366432.347,106902463735.511,113893564473.153,119767317247.647,121735010892.676,121061449479.784,125051055133.998,126533330634.439,138111019056.894,140407948437.392,150594214556.327,159196957387.036,150857929901.822,161019450820.841,170690606911.094,176623357073.594,189497244409.274,196737437362.445,207074611005.738,216965662681.218,225569122809.99,247286428288.341,261993401182.853,276490686995.534,279412727485.247,294731239740.527,308733261390.151,329291574836.762,354233738303.678,380976693189.902,396405566740.794,420920935324.486,456543772247.506,474691627708.133,498161456344.548,517627284474.359,558747568020.89,602602553781.746,658553437817.194,719561619358.264,790088337362.227,820830424070.136,888452309192.242,973324950212.334,1040055442506.92
Indonesia,18448917543,19575208345.7326,19949028313.5138,19499569411.57,20172590380.1612,20363640992.5818,20944091970.0574,21179712359.7706,23728516741.3444,25502789513.2991,27581801389.1735,29511800441.052,31838126471.1194,34950673891.039,37836507705.0596,40176101277.1092,42581905063.171,46259476456.7959,50517919165.938,54100964303.248,58821272858.9985,63614142518.2266,64316489535.6947,69751173550.1278,74753833726.7956,77353427294.9816,81967185137.4495,86311448523.5578,91797126913.3154,100136633662.216,109150506063.016,118895240735.93,127480073499.85,136727574166.942,147036924428.259,159382671061.234,171563947984.591,179627234868.464,156048063635.727,157282606425.05,165021012261.509,171033497474.112,178729107603.082,187273018674.386,196694488176.924,207891462167.108,219327471266.474,233243848106.738,247270439237.57,258716276502.157,274744677419.886,292484884332.352
Iran,,,,,,24187876609.8663,26709951059.9555,29548432306.6882,33242581510.9147,37532993345.393,41224753976.8764,46575433742.6877,54161809686.8272,57158920109.4733,62523079756.5598,66120533946.9922,77844297522.8222,76831816864.713,71085306303.9606,66021057537.7854,57286706114.8336,54308583000.0192,61345233936.4903,69079769936.9375,67992647698.8044,69396785740.5387,63032547031.5719,62147762741.4353,58232934197.8508,61830541299.1211,70293760715.4038,79146807858.0447,82511394660.7845,81211188533.7049,80926500190.3415,83073225988.5811,88972035743.8384,91983567240.3306,94504455313.2295,96332003464.9878,101286514977.457,105003397805.043,112895031236.631,120927152818.697,127075151562.255,132950350984.774,140786359714.937,151802594344.13,155294054014.045,158089346986.298,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16060664605.8263,21649775888.6539,27018920309.04,25857106735.7513,24150537691.1917,22266795751.2788,13070609106.0006,19148442340.2909,19014403324.5847,20193296330.7089,20496195775.6696,22443334374.3582,23385954418.0812,23583402031.2331,25918884455.8667
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97524453299.2445,102198450878.671,108200659648.507,112701245355.472,117781524286.228,124070602722.968,130660880328.949,137432137278.768,133347535202.826,124020518836.962,123488033779.06,122623617542.607
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,527610625.246966,529820907.829487,631046044.488622,693496549.051275,775532728.355472,828619596.761782,863313707.167458,877169787.597216,884075711.163364,906781215.666477,943085694.557854,983458254.525126,1059341858.61056,1150249578.63685,1305639770.32791,1484423847.21383,1563667799.61578,1647733181.44102,1744438228.01582,1854822421.83054,1951273187.76573,2066398305.84391,2225510975.39389,2392424298.54843,,,,
Israel,12313161088,13692713599.4581,15083361631.7888,16696634703.3102,18021878652.1439,19660782111.5698,19645123302.4818,20233498693.7618,23519814852.7967,26710443176.4226,28662263302.5666,31879397098.9703,36234390200.912,37445540315.94,40006912002.9809,41334478728.4895,41878380068.7762,41875043567.0819,43894054770.9821,46652707736.8398,49858351834.6817,52424989128.0329,53373271440.4844,55247111455.666,55746409834.6668,57668447133.4141,60431592243.8256,64775226074.0898,66086368111.7124,66660749911.5682,71217325346.3289,76700617159.8625,81017170729.1025,85519191327.9782,91447232750.9942,97416800092.8959,102765023595.358,106229768318.312,110603683416.319,114315400243.686,124895151203.002,124616185508.176,123898976675.602,125772558157.357,131865380688.501,138380104307.613,146121402339.043,154153404720.775,160363153467.242,161705503246.308,169541631200.401,177521385056.782
Italy,293540646267,317632248963.464,337337043430.633,356260733936.788,366227848609.73,378196261570.23,400830529592.596,429604599955.707,457720307798.937,485632366780.497,511421885412.195,520720087533.704,539937188169.848,578412368691.742,610225865302.828,597471150545.171,640043271230.183,656431584296.007,677700885301.288,718086161610.236,742716634590.245,748986853622.53,752084555860.862,760877954787.948,785422754391.051,807399556378.255,830490956711.739,856999900992.684,892945710033.505,923202135232.632,942151611270.028,956601713820.966,963995710672.758,955774699780.561,976333639592.264,1004518797770.15,1015916918932.02,1034874048284.21,1049860733915.25,1065095186669.84,1104009462562.19,1124573045861.42,1129649776279.77,1129123604611.92,1148664954779.19,1159362094006.57,1184855583061.89,1204797445901.45,1190867198487.32,1125436104018.37,1145744066759.58,1150683143964.5
Jamaica,,,,,,,4923668568.26226,5012719934.9597,5300657195.31296,5596151546.47588,6271294160.15442,6425447176.37918,7582577383.89235,7166634412.50356,6863538715.48428,6845961725.04141,6387676267.69596,6221753265.89962,6218412164.61042,6152494427.26357,5800931098.24134,5954043656.65447,6077246611.95573,6193266013.7997,6097744435.48192,5918249060.7568,6029665318.79052,6503015441.61907,6761464914.4456,7246485371.62165,7550876534.55391,7916205968.38775,8071010740.75507,8831066100.5734,8953234168.62835,9163631326.04419,9153209417.28029,9048820736.87487,8837571171.91015,8930160095.94683,9008629729.41031,9129789453.19512,9218385750.0605,9682307282.03464,9817160112.10197,9918240838.08511,10235624544.9038,10297038292.1733,10121988641.2063,9858816936.53495,9799664034.91574,9927059667.36964
Japan,719165142029,805778057743.224,877564607311.882,951926293813.461,1063079949386.84,1124948096897.4,1244626392694.47,1382557660943.56,1560665211108.56,1755403369875.15,1737431737252.92,1819073516325.34,1972122126228.4,2130534807640.15,2104430646637.65,2169490717682.53,2255727628566.6,2354761694697.37,2478903353775.64,2614847450682.66,2688523162544.76,2800818579766.35,2895391252300.44,2984011593641.09,3117214857804.1,3314639199737.15,3408479175848.92,3548479971981.59,3802078966845.48,4006256406255.46,4229500970111.05,4370103995432.13,4405896452016.14,4413433298311.28,4451546748078.26,4538011073532.07,4656455641600.44,4730755379021.7,4635991355123.19,4626750094249.9,4731198760271.14,4748016360516.99,4761764168336.9,4842005214500.74,4956311889695.07,5020879159600.38,5105877836025.13,5217808186994.9,5163457616711.64,4878074528233.78,5094422657991.68,5058761701478.41
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,2024891599.78272,2517134034.28353,2680998094.38155,3244118237.41683,3539983901.48269,4212997005.45672,4411324538.51188,4737101896.08769,4831388756.06474,5248851956.79065,5430272880.47061,5811160746.604,5979428780.61918,5868683684.74976,5079221678.51562,5128680653.36992,5222222627.55088,6196942168.7446,6483917244.02496,6807206798.69123,7228360644.4189,7379252157.24139,7623330035.04681,7852971166.06058,8119265586.45364,8463892909.23297,8909880504.03988,9425387991.9639,9819187755.08548,10659607238.1201,11525306728.0716,12459768319.9718,13478443881.9761,14453260027.3099,15245796640.6017,15597525669.9245,16001112166.1866
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26348276737.2435,23449966296.1467,22207118082.4509,20164063218.8655,17623391253.2884,16178273170.5188,16259164536.3713,16535570333.4897,16221394497.1534,16659372148.5765,18291990619.137,20761409352.7205,22796027469.2871,24916058023.9308,27307999594.2282,29956875554.8683,33162261239.2392,36113702489.5315,37305454671.686,37753120127.7463,40509097897.0717,43547280239.3521
Kenya,2116484537,1949773812.70216,2134170916.11588,2321515700.74405,2436766587.78202,2485723522.95153,2851834963.33233,2947691754.27977,3182996848.07565,3436338711.93808,3276361786.60356,4002858708.61387,4686644219.79051,4962995954.93126,5164772379.15016,5210336165.73215,5322564957.25734,5825749487.96752,6228454046.21996,6702764899.74542,7077581918.15363,7344657600.11729,7455303270.08403,7552896935.18603,7685466664.9938,8015984909.55897,8591336667.42725,9101413555.8936,9665990968.04488,10119359657.6189,10543568372.0706,10695221449.9611,10609713799.2753,10647187018.2142,10927504509.9716,11408994019.1908,11882106662.8294,11938535015.7963,12331338333.2451,12615623600.7321,12691278914.2408,13170997390.4585,13243024244.6573,13631372692.1351,14327158818.2829,15173416248.12,16133989515.2148,17262285408.5535,17526052448.8404,17989578441.1633,18988282812.677,19842755539.2475
Kiribati,,,,,,,,,,,59543629.2816209,58180025.674316,65207737.7494965,78842589.110463,114560473.694856,120683065.738776,88378336.6649351,84301742.3880139,85195015.2984465,75325178.9366243,41847584.9008097,40395127.8872946,43136551.6468981,47011744.8697429,46437159.509584,44295200.0638783,44984702.496069,43606882.3437704,51562223.9797849,47149171.471348,48154992.0296467,46075822.3243295,47542408.7740908,48789248.9280382,51197762.360024,50565832.0419748,53614894.7197481,56550586.7700508,62756555.2347173,63631538.1283313,68239320.7049774,66141846.026512,70236686.9173647,73398500.2909251,74066588.1581281,74288814.5300523,75699705.5657081,76008011.329923,75173029.0444835,74681961.2020142,76026236.5036505,77394708.7607163
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,28928298962,30356298714.0157,31102566019.2675,34067175843.9707,36643076469.4006,38544903390.6513,43440106073.6598,46089969105.4212,51482408204.6044,58741465078.1748,63643234642.2358,68889189755.1148,71967189141.6235,80627951048.501,86418752517.6116,91558614218.8812,101238554972.123,111356972145.021,121707854638.579,129963323121.611,128029123165.737,135919578694.839,145875767888.214,161593723429.364,174686535301.848,186569642627.014,206381181576.491,229298003709.032,253698105754.36,270808733194.734,295601777215.466,323368202010.913,342368324537.802,363368459962.259,394387463572.179,430548633258.079,460681097829.893,482107173875.59,449061334446.488,491660742719.782,533384027728.655,554577928768.558,594230347811.056,610885292931.515,639102209101.398,664392465835.411,698799258265.588,734478718311.08,751359801124.74,753760392874.322,801399964525.856,830523427930.347
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849196082.05507,2347996681.91149,2331538380.51145,2457908803.63744,2522112474.44549,2619069794.57439,2776213982.24885,2951115463.13053,3154742430.08654,3246229960.55905,3372832929.02085,3541474575.47189
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22530088649.3727,30188171187.393,32734895320.5584,34325251800.8094,34532963147.0529,35387075587.1051,36682969799.6143,36026708083.0728,37718011468.5749,37992985755.8626,39132775328.5385,45910572015.4414,50593450361.0164,55956356099.2842,58866086616.4469,61440300584.1842,64493883523.2181,61172448521.7724,63258429016.3648,68439294352.8051
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1618704665.45267,1672121410.29609,1892841939.69629,1945647514.81502,2056603836.47969,1895138515.64164,1631928245.73286,1379643161.67458,1102539641.33151,1042739854.97435,1116612785.22066,1227326823.27884,1253368676.4755,1299189195.76739,1369691955.02212,1442581267.70496,1442330935.97325,1543731070.63468,1652206886.90203,1649306467.62617,1700482777.13946,1845752890.81067,2000825962.73768,2058575693.83681,2030624399.4727,2172768107.43578
Lao,,,,,,,,,,,,,,,,,,,,,,,,,733070262.48266,770236660.49956,807863747.793421,796345288.014723,780337146.682217,891071955.645049,950814576.079083,991666929.442938,1046802200.24949,1108694972.37673,1199153600.62029,1283469140.0617,1372392036.9939,1466704070.40023,1524897139.76853,1636311859.53858,1731198022.45212,1830766368.52075,1939124835.98939,2056771479.77339,2187534747.17949,2343015274.93625,2544965998.79524,2738302708.74874,2952572233.05123,3174067556.11405,3444717297.66954,3721626157.07065
Latvia,,,,,,3530425110.33624,3676879788.68351,4107539685.01172,4389852361.95232,4590422960.42897,4958641112.36326,5342374516.28691,5616740167.80955,5941816425.02246,6230941184.0338,6659330224.8726,7033602861.1845,7258772133.60816,7497186771.32672,7725383528.13794,8040771350.91317,8381023297.46651,8577998697.68326,9025725371.19975,9545052777.0781,9509215112.28951,9956941785.80598,10189755819.6063,10709082256.6897,11317947634.4293,10418900247.3207,9106616652.92663,6181701566.36438,5873668623.34666,6002296784.831,5945589447.65045,6170981038.74691,6682110469.90931,6997691673.53668,7326519373.45424,7833068425.39159,8463121187.13932,9010898598.51607,9659317394.8887,10497533388.2935,11610367683.4295,13030690849.1344,14330842539.1591,13722705688.3759,11258794723.8252,11220120362.737,11833860946.5787
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12416994225.3137,7145841327.97453,9041858847.53414,12495913043.2748,13058221252.1941,13972031151.0518,15090233489.3632,16076372043.3403,16902135516.3994,16515619830.7168,17108967139.8482,17031450812.5607,17260364842.4544,17942756149.9022,18548122591.6978,19148597728.1935,20580683498.636,20786490333.6223,20911331542.7332,22479859653.5182,24564306468.4729,26652272518.2931,28517931594.5736,29373469542.4108
Lesotho,112602724,114702544.346122,132288515.582902,146331045.152776,158404991.571303,161817196.140457,161160997.309166,178746981.888474,178090769.714655,180846788.795045,184783955.097737,194233279.643955,193839555.008169,245022650.230531,271926362.010068,235179601.048529,261164893.309286,318122434.175298,376392532.814218,387285025.132318,376654900.269506,379271289.802521,388968505.16199,376551068.722667,415713707.718133,436478629.463177,438908116.87487,407546340.297528,443525167.982178,473693114.875889,504361452.542853,516223230.895983,554232468.798575,572489678.678624,604961065.726164,615714943.771998,644484498.051602,666637145.179945,703230504.972432,705877380.577032,745832990.092211,776897959.922628,785207642.154127,819332552.603493,837801746.241669,860460091.095247,897523944.558547,940007924.920123,990722465.869525,1019081740.30606,1076239050.1144,1138569691.92549
Liberia,678395865,694948646.809002,704292927.355679,720311768.431669,757421957.689526,793731217.917878,854869603.668244,912537275.250266,956055026.987109,1025736764.25465,1094083641.5135,1147746602.82653,1195268999.71089,1168304020.02922,1223835837.45158,1181386012.79457,1244126256.60394,1263882809.8986,1324754197.59864,1368005016.40663,1311939202.88362,1283906361.24359,1252669673.24259,1228908409.67893,1203011422.19856,1192866147.50091,1172842726.39887,1161095593.6422,1137387208.71681,834063617.792849,408433755.339673,350333188.748005,227416403.384197,152424954.035583,119253702.356277,114166087.06804,128004400.652045,264047233.459504,342469249.586701,420894717.152108,529064646.66383,645965986.760645,851981179.209992,572257782.097466,543016606.248294,594501950.212367,652639709.306256,755026240.683487,834546393.201722,943558441.422298,1040653198.59715,1128929889.21596
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32687175381.6496,33896600870.7706,32439047033.3275,32017339421.8942,36179593546.7405,37771495662.797,41510873733.4139,43960015283.6854,46597616200.7065,48368325616.3333,49384060454.2763,,
Liechtenstein,,,,,,,,,,,696743069.291541,708373272.818513,720197611.0857,732219323.589972,744441704.895512,756868105.818035,792885002.005815,830615824.743868,870142135.219832,911549374.201561,954927049.739689,1000905018.67403,984989567.706876,990294717.831891,1032735920.01623,1105239640.75987,1149449226.31921,1255552231.78005,1326287568.55657,1385864181.53262,1417085934.89328,1442610029.05836,1494663645.07051,1559413977.32471,1666485603.00916,1764400811.79861,1886238025.15628,2022521257.01479,2179494437.7584,2406399936.64299,2483890593.70545,2465681398.94632,2441174518.64221,2393875185.51907,2466629164.05763,2585719908.75407,2809254591.23631,2902689337.81569,2954882284.168,2920680062.29388,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15866609805.2645,14966074503.6294,11784441130.4475,9872196086.13178,8908072279.16315,9201155000,9678020500,10400885250,11194349750,11074208250,11434200000,12204375000,13042025000,14378400000,15435325000,16639625000,17944975000,19710725000,20287746250,17296985000,17527068250,18555907156.275
Luxembourg,4302303281,4469727301.59291,4530456488.39195,4686263804.40266,5054877293.26448,5017727301.371,5073218553.94383,5084213781.68867,5296930800.21982,5825186184.28227,5924720196.06424,6082746482.89864,6484097815.77168,7023099915.84725,7318945711.24757,6837990640.18539,7011288020.40848,7121349574.6933,7411542534.41936,7585388324.07353,7649172559.44289,7607029403.93099,7693087499.2706,7923039792.25893,8413233452.96787,8648106210.88568,9511527495.90296,9887325849.98257,10724118201.8923,11774873893.9806,12401289199.2574,13473280264.5012,13718447180.6292,14294710857.0827,14840900498.6634,15053451911.9263,15281888980.8746,16189489177.5662,17240171942.4352,18691358145.9076,20269578035.7472,20779788755.9776,21632774847.4052,21967645545.4719,22933852106.5844,24179117582.7525,25381346505.2111,27066319404.9017,27270323847.8108,25825285723.4398,26516904699.7522,26928586463.9945
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,2616534929.85823,2878188422.84406,3122834438.7858,3144694279.8573,3355388796.60774,3835209394.52265,4134355727.29541,4341073513.66018,4688359394.753,4861828692.35886,5508451908.44259,5794891407.6816,6044071738.21191,6243526105.5729,6218552001.15061,6199896345.14716,5914701113.27039,5772748286.5519,6101794938.88536,6278746992.11303,6837767239.31107,7698199298.88032,9767827453.00365,10602157499.9266,12132224050.1055,13876944294.4311,14339082785.659,14586387568.8599,18529951645.0202,22373067975.9621
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932157067.5423,3689516997.71601,3447300380.92961,3189802353.11207,3133724417.22472,3098797308.40986,3135512238.7443,3180668431.59864,3288135721.78345,3430814902.61605,3586883988.95646,3424565368.12094,3453793697.16585,3551069283.20154,3715387792.06024,3877087656.40188,4072129927.20151,4322519752.10044,4536485006.83742,4494737198.35487,4574540277.95807,4713514754.06627
Madagascar,2087989940,2130711083.20284,2179101017.54551,2158848416.60888,2244393192.19325,2234242837.90671,2280369951.7783,2406441700.32323,2570772456.87098,2666436611.22933,2807129954.57186,2917432338.07911,2880304465.96507,2804884317.14561,2861174961.96367,2897188332.54023,2808277724.81194,2874665420.87248,2798147404.86685,3073895046.45932,3098663595.55332,2798130770.51555,2747479170.79008,2772264354.23538,2819522557.8814,2852112775.62361,2907988681.11566,2942247274.98816,3042384219.18992,3166479809.70549,3265591559.32407,3059547936.29744,3095838834.69407,3160744947.59995,3158481593.50944,3212561531.54284,3281596748.95686,3402802282.56971,3536611916.70005,3701386758.14988,3877575177.25968,4110920842.43682,3589911444.41624,3941180406.51647,4148368403.22472,4339312825.23752,4557258851.96535,4841663812.66139,5186794027.88045,4949331454.56665,5026822442.59292,5076555381.05748
Malawi,347712093,374275949.230909,376777477.837994,371536207.467584,381423169.454662,433359630.298844,490775605.245104,526511675.788439,516386439.494266,546762148.376785,549382768.274276,638484762.0518,678270976.033488,693875695.854311,743667963.113483,788933721.772676,828362509.006008,869101636.763512,953796182.656036,995726529.07188,999776611.359378,946887236.73938,970592121.135199,1006685618.42689,1060647028.68854,1109129016.57439,1106746579.25772,1124733858.69693,1160469929.24026,1176074649.06108,1243020281.54778,1351538833.70195,1252430786.64694,1373814378.00948,1233133288.98527,1439421907.48376,1544739823.87934,1603322832.32072,1665776322.98803,1716453871.17722,1743506520.28913,1656767701.30891,1684932752.23116,1777604053.60388,1875372276.55209,1924131955.74244,2072290116.33461,2192482943.08203,2375260855.55277,2589842235.52939,2758392725.17612,2882733193.59963
Malaysia,6631037036,7134862821.05263,7592994492.63158,8150229423.1579,8586997221.05264,9246896225.50745,9969699382.8724,10354245291.4892,11180306433.7293,11726859458.9993,12428892426.4213,13143980655.0992,14377137702.6707,16061304719.3242,17395939032.7455,17535397064.9376,19563161662.908,21080573282.9253,22482860323.2512,24584805734.881,26414956133.7205,28248669795.1179,29926902602.1095,31797409275.6634,34265500440.8174,33880956356.7076,34271437387.2397,36118203573.1324,39707531040.8061,43304430213.3521,47206007491.9192,51712040356.1942,56306715078.1808,61878234603.0313,67578484057.7495,74220828751.2374,81644916394.8703,87623563753.9284,81174981724.8763,86157185424.7484,93789736842.1053,94275263157.8948,99357631578.9474,105108947368.421,112238947368.421,118223684210.526,125138421052.632,133247631578.947,139653485880.977,137368729997.694,147250929612.046,154815013649.811
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420314722.34976,458492055.091223,506194041.980556,555755697.913223,595920613.441741,624337143.585387,645905368.680564,684924265.615625,795445094.912069,877061583.722413,817106994.266863,977140736.374264,1080294818.86506,1212071918.47371,1154629612.12062,1220714434.04233,1311837035.73776
Mali,,,,,,,,941397136.954026,976308004.384744,978563270.243941,1038617256.31485,1065299292.39449,1127555558.01752,1111148319.10213,1094160793.3293,1221357523.26979,1387748414.6712,1475851665.40039,1454252925.65954,1605432365.84922,1535983932.33368,1468223290.42146,1400132166.0511,1467310041.24752,1531425622.01079,1357512080.25875,1472022433.43684,1464393893.13402,1486088686.05555,1660907789.42058,1630136549.55878,1656480580.94326,1794519416.97999,1756127407.03825,1772146134.80977,1882178773.06183,1942754934.64248,2074106419.28791,2199239626.79295,2347354303.75306,2422469641.47315,2715588468.09141,2828375518.26183,3038846112.57877,3105260709.44113,3294054174.63506,3468639045.89072,3617790524.86402,3798680051.10721,3969620653.40705,4199858651.30466,4313254834.88989
Malta,,,,,,,,,,,627739540.080255,643144191.196247,680693029.332518,708915620.446493,780065162.255036,932646642.923558,1091355894.00236,1224328510.14182,1360977788.13553,1503754837.51932,1609765263.46163,1663076865.24723,1701069041.00713,1690651832.0935,1706584034.76831,1750703980.93849,1818722232.1007,1893481029.34248,2052803058.0502,2220703964.74443,2360417127.94327,2508096392.47953,2625749583.57309,2743402773.68685,2898435362.9114,3082268472.28044,3198696108.11618,3366850884.30719,3539422299.76604,3706482063.56648,3957418082.79925,3896082511.62241,4005624314.45899,4010915242.32409,3990731332.32021,4137015689.7755,4229019046.54075,4409988375.55611,4602421381.6125,4480338120.13272,4601833500.7386,4698472004.25411
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,57856987.4966798,60652192.080496,70058076.7806699,72766588.6871734,68213305.3728538,84954567.5399689,92909561.1060492,100146273.981233,98452212.7251972,101087071.991107,101175900.039142,108400623.657185,114911452.726642,121665659.881187,131658299.831915,118093638.632082,110481765.336538,107339370.964759,104766286.856212,110937729.412641,116887741.466861,119945411.027386,120149396.141195,120082818.406459,123231360.845182,125551289.075319,129379964.280803,126882296.155474,125193062.63054,131705868.783741,138291162.222928
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,319353267,368948551.869877,371629363.276958,364257100.277732,465123119.730339,540186225.69654,541433851.107987,560747516.321772,617923814.526938,625638791.800434,700627426.637491,713539194.468302,708309609.60743,675835335.5335,758034559.18384,719114226.072766,780570482.680021,765906734.509557,762041097.594928,798543169.372847,825463738.199229,853944618.4091,833962962.06941,865114331.37455,837198264.302812,862270347.67131,911536847.638094,928859549.893171,944839630.558912,989980151.10309,972444587.662969,989832744.397124,1008383455.83913,1067612242.47558,1034935491.57296,1136564091.59526,1202698785.38246,1154053268.26685,1206212447.04187,1299245507.16819,1293653473.22014,1319640344.40555,1328412943.41555,1407835146.11873,1488746515.1226,1622278157.54553,1928387627.92558,1959519170.34319,2028435534.83749,2003684748.76444,2107593972.48981,2207705289.66642
Mauritius,,,,,,,,,,,,,,,,,1475132139.79521,1571718172.758,1631927647.85168,1689314803.80034,1519348473.06714,1608721912.65932,1697154579.20317,1703668178.86749,1783713081.40901,1907760968.34949,2093615678.7714,2279759882.51172,2434586280.27952,2543294176.58458,2726074033.40225,2846987581.8199,3032403303.28493,3186511947.39659,3318310635.1787,3460591055.46483,3653963480.9228,3861781830.20217,4096216243.37224,4203159418.80727,4582562397.94315,4700497863.39525,4799834108.84689,4975357150.44097,5261229604.24519,5326541854.3562,5536815244.97488,5862115925.6808,6185513728.31866,6373107273.82177,6636426092.74919,6909269806.40436
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,94354817785,99075314540.296,103696598044.083,112103163997.746,125449584624.181,133686930877.137,141836672410.204,150141103029.114,164289317788.991,169905745307.539,180953839267.593,187762168997.793,203212756086.099,219187554414.333,231849640745.309,245168208693.962,255998377350.172,264678359982.586,288385448038.016,316353559443.042,345563280746.975,375878167054.007,373518018233.035,357844094428.588,370762913620.175,380378220215.41,366099126583.803,372893000112.578,377537151452.896,393387268233.086,413325339980.804,430776972106.142,446408398241.76,455115704020.581,475405936893.87,445845258682.303,468760936466.252,500522064862.549,525080308657.694,545418010283.765,581426421971.453,580513674391.545,585312691416.452,593223360014.088,617269309006.4,637055457596.052,669864782183.058,691704027302.286,699939486221.459,656259080282.989,692479257708.904,719742387372.181
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,163395772.26364,165356129.459364,169570897.430172,175549986.877132,182117183.482809,195643648.133308,203485076.916206,220050095.220079,218873880.902644,235010116.901958,227728371.709885,214180760.223691,220012603.97398,223593594.092404,233611434.360038,237472671.374342,238667142.842075,242853327.620526,234979963.064189,239902742.976358,240271104.661325,235138826.940497,229491005.210346,231026154.298833,238245803.831236,241581245.084874
Moldova,,,,,,,,,,,,,,,,,,,,,2804577458.95829,2784631719.70667,3111294419.15988,3246858773.06406,3355864082.7783,3178309459.24028,3429668862.05401,3470900663.0294,3529644421.80166,3707266120.98946,3618291734.08572,3039365056.632,2154909825.15208,2129050907.25027,1471174176.90993,1450577738.43319,1375147696.03467,1397150059.17122,1306335305.32509,1261919904.94404,1288420222.94787,1367013856.54768,1473640937.3584,1570901239.22406,1687306011.40824,1813877408.69432,1900665177.8829,1958976512.17176,2111088029.60614,1984642726.16552,2125552359.72328,2261587710.74557
