"Energy production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Syria,,,,,,,,,,,,5315.198,5891.98,5569.963,6480.943,9676.805,10215.04,9339.898,10174.514,8972.42,9501.446,9804.802,9346.019,9706.691,9852.547,9701.967,9916.643,12983.783,15225.272,19054.837,22318.562,26581.957,27737.9,28737.187,31112.674,33077.725,31781.897,32568.571,33680.875,33901.557,32671.98,33902.799,37099.911,36032.482,28395.424,26074.287,24825.963,23882.006,23754.39,23579.964,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.674,1833.717,1655.351,1701.555,1537.446,1328.911,1346.968,1244.316,1268.981,1382.477,1264.46,1288.373,1361.126,1466.388,1491.708,1546.022,1519.225,1573.875,1488.019,1501.677,,
Tanzania,,,,,,,,,,,,6872.277,6884.223,6909.845,6952.968,7023.399,7046.073,7083.207,7135.953,7203.127,7295.94,7447.851,7603.391,7772.043,7943.569,8127.922,8300.235,8481.449,8666.991,8864.068,9063.538,9264.26,9449.265,9674.226,9857.087,10061.105,10265.249,10413.955,11229.279,12087.991,12690.708,13355.283,13939.431,14437.11,15053.372,15783.941,16360.236,16949.574,17470.272,18045.672,,
Thailand,,,,,,,,,,,,7892.856,7968.072,8163.105,8775.638,10113.758,10606.648,11018.347,10796.343,11717.863,11182.437,12093.594,13520.79,11198.588,13142.514,16550.42,17509.736,19401.344,21464.761,24332.748,26577.941,29618.685,30859.908,30215.659,31696.707,33194.207,37151.174,40023.139,39674.414,41525.626,44032.672,43208.663,45862.904,49189.507,51150.834,54961.123,56853.604,59966.543,64392.895,61705.157,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,614.163,628.457,642.607,651.63,667.712,683.319,705.64,724.658,731.942,750.664,772.18,796.811,816.682,844.25,873.308,902.203,949.677,978.428,1010.437,1054.233,1114.003,1164.651,1229.923,1281.305,1357.037,1422.371,1480.988,1553.428,1721.484,1764.687,1804.05,1851.338,1898.66,1942.01,2000.559,2038.892,2098.558,2138.185,2191.131,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,8148.669,8750.568,9974.546,10870.4,12185.904,12213.271,13293.523,13652.162,12956.532,13140.667,12217.43,12176.712,11431.435,12379.955,12816.639,12541.667,12009.852,12430.293,12335.841,12612.097,12229.592,12355.227,11572.594,12270.819,12174.414,12901.227,12858.894,13872.977,16081.656,19992.226,20639.382,23948.048,30989.46,33036.561,36433.783,42774.406,43162.324,42731.044,44004.76,,
Tunisia,,,,,,,,,,,,4652.652,4541.41,4540.65,4898.514,5401.498,4491.365,5127.937,5854.711,6522.014,6672.459,6477.125,6250.517,6672.691,6632.692,6551.075,6372.605,6122.98,6063.924,6107.723,5727.757,6361.605,6603.624,5731.654,5468.011,5329.749,5907.969,6354.191,6780.861,6731.768,6634.018,6635.753,6705.511,6452.108,6804.85,6681.4,6631.732,7901.468,7551.951,7811.455,,
Turkey,9371.202,9484.183,9726.943,10205.194,10597.877,11211.668,12233.717,13162.596,13536.346,14035.427,13989.842,13809.033,15118.729,15524.896,15886.711,16262.297,16610.083,16944.696,17614.362,17416.095,17137.363,18061.534,18964.035,19284.56,20251.573,21859.893,23512.047,25025.336,24795.786,25636.472,25814.762,25631.924,26352.854,26173.292,26300.938,26482.064,27121.643,27958.894,29070.848,27490.377,25857.111,24415.185,24114.862,23589.267,24110.716,23931.007,26347.944,27273.312,28978.647,30280.007,30286.836,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74864.564,74120.066,48822.129,57417.777,32850.8,32835.735,32856.328,19800.111,18114.544,26330.517,45967.912,50389.9,52861.408,58551.028,57828.506,61137.16,59989.379,65817.347,68410.395,40904.424,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135791.043,118612.799,111686.678,100351.436,87418.831,81610.483,73655.344,74740.197,74576.439,75544.014,76436.105,76314.038,76745.298,79458.117,80200.191,80969.264,83007.555,81600.237,81288.565,76913.64,,
United Arab Emirates,,,,,,,,,,,,52785.12,59794.689,76137.032,83246.607,84431.823,97022.669,101279.602,94611.151,95381.931,90214.013,82498.727,71006.323,66241.489,64301.64,63405.713,73227.803,80110.444,83694.796,101078.639,110198.689,127287.14,133962.036,131286.803,133565.217,137030.36,142062.163,147193.332,150933.187,142746.954,156403.453,152325.131,148975.71,163330.245,171111.829,174351.189,185135.186,185493.569,187011.843,168799.836,,
United Kingdom,114810.669,113390.947,118014.126,117461.587,116572.632,114719.881,108712.01,109204.445,106727.183,101859.562,101336.781,109807.768,101058.684,108515.321,102705.961,114760.384,126597.344,154712.278,167414.466,192980.202,197847.955,207396.523,221643.911,233354.083,205252.358,238173.434,247416.475,242281.347,233926.867,209048.654,207998.221,214738.294,214964.914,223409.351,244621.139,257531.408,268937.407,268279.959,271900.509,281584.369,272474.316,262344.634,258399.936,246604.25,225677.125,205327.166,186907.826,176552.922,166812.6,158912.312,149654.057,
United States,964860.061,973376.691,1014423.796,1062267.562,1101023.354,1137143.576,1202856.293,1295644.472,1340981.352,1371533.792,1450835.367,1436415.981,1464572.609,1456233.285,1428449.103,1407643.292,1418362.058,1445090.95,1466480.033,1525955.699,1553262.018,1547754.049,1529498.974,1468155.141,1588327.804,1569351.321,1557833.175,1590899.263,1618529.526,1616404.627,1652504.583,1642129.999,1647596.322,1597322.824,1657606.613,1659211.272,1678270.582,1675386.472,1688350.143,1670168.373,1667283.779,1688631.389,1655769.447,1634282.155,1645543.984,1631042.483,1654354.194,1668955.498,1701797.193,1686401.725,1740906.878,
Uruguay,,,,,,,,,,,,519.661,492.571,537.842,524.668,520.759,537.01,580.353,594.583,565.616,766.215,838.412,909.964,1116.72,1132.278,1114.357,1234.672,1239.409,1023.9,899.56,1148.671,1088.808,1260.597,1192.906,1178.951,1013.335,980.143,1044.399,1233.561,920.105,1027.82,1210.112,1237.432,1163.301,852.53,1019.837,784.893,1225.431,1384.773,1518.894,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38642.522,39633.764,40758.264,42813.229,46104.406,48654.844,49087.308,51301.525,54397.912,55027.78,54944.981,55505.755,56224.64,56289.296,57135.901,56396.42,58478.12,59790.905,62020.445,60693.646,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,209924.174,192028.683,203241.992,181496.375,144666.24,142840.831,141078.757,136758.235,149927.548,140071.547,136435.435,125636.193,120279.559,122923.009,115319.041,122982.515,124976.692,130077.738,131464.262,148776.744,164543.106,165867.991,174879.995,182339.89,197184.015,222456.146,234577.511,232230.025,211224.285,221063.223,216986.052,203402.365,178929.343,218260.557,233348.015,233902.831,210520.185,207980.657,203530.996,,
Vietnam,,,,,,,,,,,,14204.45,13928.315,14787.011,15664.506,16660.701,17211.504,17875.635,18106.44,18168.384,18363.658,19113.639,19559.062,19858.675,19451.219,20090.449,20774.692,21318.56,22317.385,23213.069,24711.444,26808.142,28769.339,30568.227,31797.931,34528.735,37723.354,40548.178,43944.011,45593.745,48106.31,50061.846,53164.856,54383.031,65234.081,69709.247,72543.457,73595.695,71399.562,76642.218,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,48.715,50.148,50.148,51.581,53.014,54.446,55.879,57.312,58.745,60.178,61.61,63.043,64.476,65.909,68.774,426.572,1005.58,8045.999,9056.341,9383.951,10321.043,8929.428,10954.75,16947.844,17286.443,17465.891,18284.912,18626.79,19744.407,22029.86,22102.721,22229.915,21909.551,20635.118,20447.763,18733.302,16519.521,15271.001,15221.547,,
Zambia,,,,,,,,,,,,2692.091,3047.188,3118.691,3364.457,3469.235,3613.545,3795.691,3803.98,3893.53,4028.553,4155.684,4350.067,4328.274,4445.283,4584.147,4698.718,4618.292,4794.591,4692.295,4917.828,5103.023,5050.364,5250.032,5257.571,5351.56,5350.24,5490.306,5640.609,5787.673,5925.112,6069.022,6214.781,6355.394,6435.825,6621.215,6791.211,6902.984,7034.075,7241.325,,
Zimbabwe,,,,,,,,,,,,5102.932,5023.457,5282.834,5448.551,5358.185,5736.462,5618.137,5594.344,5737.979,5792.988,5684.89,5833.66,5949.08,6090.53,6436.212,6815.353,7638.927,7776.528,7999.766,8549.651,8978.488,9026.09,8622.239,8462.182,8380.582,8255.314,8057.957,8244.143,8723.231,8618.136,8605.319,8643.491,8596.246,8610.842,8859.612,8678.261,8629.863,8532.756,8530.375,,
