People living with HIV,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lithuania,,,,,,,,,,,,160,160,160,350,350,350,350,350,600,600,600,600,600,1000,1100,1200,1300,1300,1400,1400,1500,1500
Luxembourg,29,,,,,,,,,,,160,160,160,350,350,350,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,7100,8200,9500,11000,12000,14000,15000,17000,18000,20000,21000,22000,23000,25000,26000,27000,28000,29000,30000,31000,32000,34000
Malawi,,480,,,,,,,,,,360000,420000,480000,530000,570000,610000,660000,700000,750000,790000,830000,860000,890000,910000,920000,930000,930000,930000,920000,920000,910000,910000
Malaysia,,,,,,,,,476,,,11000,16000,21000,26000,31000,36000,42000,46000,50000,52000,55000,58000,61000,63000,67000,70000,73000,76000,78000,80000,81000,81000
Maldives,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mali,,,,391,,,,,,,,49000,56000,64000,72000,79000,85000,91000,96000,100000,100000,110000,110000,110000,110000,110000,110000,110000,100000,100000,110000,110000,110000
Malta,,,,,,,,,,,,60,60,60,60,160,160,160,160,160,160,350,350,350,350,350,350,350,350,350,350,350,350
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,3500,4000,4500,5100,5700,6300,6900,7500,8100,8700,9400,10000,11000,12000,12000,13000,15000,16000,18000,20000,22000,24000
Mauritius,,,,,,,,,,,,350,350,600,600,1300,1800,2400,3100,3900,4800,5700,6600,7300,7800,8200,8400,8400,8300,8100,7900,7700,7400
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,10249,,,,,,,,,,,93000,99000,100000,110000,110000,120000,120000,130000,130000,140000,140000,140000,150000,150000,150000,160000,160000,160000,170000,170000,180000,180000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,600,600,600,1100,1400,1900,3400,6900,9500,11000,11000,11000,11000,11000,12000,12000,12000,12000,13000,13000,14000,15000
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,350,350,350,600,600
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,1400,1800,2200,2800,3400,4100,5000,6100,7300,8600,10000,12000,13000,15000,17000,19000,21000,23000,25000,27000,29000,32000
Mozambique,3742,,,,,,,,,,,24000,47000,90000,160000,250000,340000,430000,510000,590000,670000,760000,850000,930000,1000000,1100000,1100000,1200000,1200000,1300000,1300000,1400000,1400000
Myanmar,,,,,,,1520,,,,,34000,47000,59000,73000,87000,100000,120000,140000,160000,190000,210000,230000,240000,250000,250000,260000,250000,250000,240000,240000,230000,220000
Namibia,70,,,,,,,,,,,12000,17000,24000,32000,44000,59000,77000,97000,120000,130000,150000,160000,170000,180000,180000,180000,180000,180000,180000,190000,190000,190000
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,680,,,,,600,600,1600,2500,3900,5900,8800,13000,18000,26000,34000,43000,51000,57000,61000,63000,63000,62000,59000,56000,53000,49000
Netherlands,,,,896,,,,,,,,6700,8400,10000,12000,13000,14000,15000,16000,17000,17000,18000,19000,19000,20000,21000,21000,22000,23000,23000,24000,24000,25000
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,280,,,,1000,1000,1100,1100,1100,1100,1200,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,165,,,,600,600,600,600,600,1100,1200,1400,1500,1700,2000,2200,2500,2900,3200,3700,4100,4700,5300,6000,6800,7600
Niger,,,,,420,,,,,,,14000,16000,18000,21000,24000,27000,30000,33000,36000,39000,42000,45000,47000,49000,51000,53000,55000,57000,59000,61000,63000,65000
Nigeria,13129,,,,,,,,,,,230000,360000,530000,740000,980000,1200000,1500000,1800000,2000000,2200000,2400000,2500000,2600000,2700000,2800000,2800000,2900000,3000000,3100000,3200000,3300000,3400000
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,311,,,,,,,600,1200,1400,1700,2000,2200,2400,2600,2800,2900,3100,3200,3300,3400,3600,3700,3800,4000,4100,4200,4400,4500
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,600,600,1100,1400,1800,2400,3100,4100,5400,7000,9200,12000,15000,20000,25000,32000,41000,51000,65000,81000,100000,130000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,443,,,,,,,,,,,11000,13000,16000,19000,21000,24000,25000,26000,26000,26000,26000,25000,25000,24000,23000,22000,21000,20000,19000,19000,18000,18000
Papua New Guinea,,,,,,,,,133,,,4000,5500,7300,9200,11000,14000,16000,18000,20000,21000,23000,24000,25000,25000,26000,26000,26000,26000,27000,27000,27000,28000
Paraguay,,,,,91,,,,,,,1600,1900,2100,2300,2500,2700,3000,3200,3500,3700,4000,4400,4700,5200,5700,6200,6900,7700,8700,9800,11000,13000
Peru,1010,,,,,,,,,,,27000,34000,44000,53000,62000,70000,75000,78000,80000,80000,80000,79000,77000,75000,73000,71000,70000,69000,69000,70000,71000,74000
Philippines,,,,,,,,,,,,350,350,350,600,600,600,600,1100,1400,1700,2000,2400,3000,3600,4300,5300,6400,7700,9400,11000,14000,19000
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,6800,8600,11000,12000,14000,16000,17000,19000,20000,21000,22000,24000,25000,26000,27000,28000,30000,31000,32000,33000,34000,35000
Portugal,1052,,,,,,,,,,,7000,9200,12000,15000,18000,20000,23000,26000,28000,30000,32000,34000,36000,37000,39000,40000,42000,43000,44000,45000,46000,48000
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,3000,3900,5000,6300,7700,9100,11000,12000,13000,14000,15000,16000,16000,16000,17000,17000,17000,17000,16000,16000,16000,16000
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,220,,,,,,,,,,,200000,200000,200000,200000,200000,200000,200000,210000,220000,220000,230000,220000,220000,210000,210000,200000,200000,200000,200000,200000,210000,210000
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,160,160,350,350,350,350,350,350,350,600,600,600,600,600,1000,1000,1000,1000,1000,1000,1000,600
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,357,,,,,,,,,5000,5800,6700,7800,9100,11000,12000,14000,16000,19000,21000,24000,27000,30000,32000,35000,38000,41000,43000,46000,49000,53000
Serbia,,,,,,,480,,,,,5200,5100,5000,4800,4600,4300,4000,3700,3500,3300,3200,3100,3000,2900,2900,2900,3000,3100,3200,3400,3500,3500
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,234,,,,,600,1100,1700,2500,3600,5000,6800,8900,11000,14000,18000,21000,25000,30000,34000,38000,41000,44000,45000,47000,48000,49000
Singapore,,,,,,,,,,,,600,600,1200,1500,1800,2000,2200,2400,2500,2600,2600,2700,2700,2700,2700,2800,2900,3000,3200,3300,3400,3400
Slovak Republic,,,,,,,,,,,,60,60,60,60,60,60,60,60,160,160,160,160,160,160,350,350,350,350,350,350,350,350
Slovenia,,,,,,,,,,,,60,60,60,60,60,60,160,160,160,160,350,350,350,350,350,350,350,350,350,600,600,600
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,264,,,17000,19000,22000,24000,26000,28000,30000,31000,32000,33000,34000,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,2089,,,,,,,,,100000,170000,290000,470000,750000,1200000,1700000,2300000,2900000,3500000,4000000,4400000,4700000,4900000,5000000,5200000,5200000,5300000,5400000,5400000,5500000,5600000
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
