Flood affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,750
Guyana,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,0,0,0,0,0,0,274808,35000,0,100000
Haiti,0,0,40078,0,0,0,0,0,0,0,0,0,0,0,0,0,144008,8943,3928,24930,0,0,0,5013,0,0,58,0,0,63,1216,5107,38370,162452,33948,14100,24711,105022,0
Honduras,0,0,0,0,0,0,15020,0,0,40001,0,0,0,0,0,0,30000,0,16144,0,48005,0,0,82860,15651,25014,75007,0,0,503035,0,0,980,3115,0,808,1504,15506,313424
"Hong Kong, China",1438,0,22310,0,0,3259,200,97,300,0,0,0,185,613,0,366,0,1000,0,1860,0,0,1633,0,4018,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Hungary,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,133503,2001,10000,1430,0,393,0,32000,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,10352027,166323,0,0,260,34000350,0,1045560,32004610,28010253,32053434,16000553,33500932,250785,19000740,11328980,395251,18301314,22323100,3609,2224,8701016,3071832,128061297,12064615,32708514,7271301,30261377,29654331,27620554,50388137,20610621,42008985,7564997,33207348,28283700,7235372,38145059,12391461
Indonesia,82,0,0,0,0,0,20183,290022,281670,35014,3099,352509,39003,417517,360226,4342,127175,29085,100179,61518,21191,240112,265610,267684,328830,260312,824586,0,100004,16012,488646,86096,591800,438842,13005,20944,699564,570989,461283
Iran,0,0,0,0,0,0,0,0,0,0,950356,158,0,0,0,0,40265,865,150090,150000,0,215070,35063,499509,95039,6288,4049,1413,56757,25455,410,1206010,204561,1370,4093,4859,2814,12,1502
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,59930,0,604
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1000,0,0,0,0,0,0,0,0,0,0
Italy,1301687,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1002,0,17368,0,517,0,0,0,46068,2,10022,1353,202,0,0,0,309
Jamaica,0,0,0,0,0,0,0,0,0,250044,0,0,0,0,0,0,40054,26009,0,0,0,551355,0,4381,0,0,0,0,0,0,0,0,25009,0,0,0,5001,0,0
Japan,0,0,458,0,0,0,0,5,15008,28073,20,0,27692,0,0,0,162014,0,27,10,615,0,0,4800,0,12000,0,0,24049,24199,360128,139,0,837,28119,900,10574,10002,50008
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,18008,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30010,0,0,0,0,0,0,2500,3668,0,0,0,25000,0,0,13001
Kenya,0,0,0,0,0,16000,0,20100,0,0,0,0,3075,0,0,0,0,0,0,0,44,0,0,0,0,0,1000,900086,240,0,0,4,175093,60340,12054,36226,783512,42670,62493
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Korea Rep,7028,0,1129086,0,0,0,0,76315,2027,0,0,0,0,0,351337,0,0,154050,0,0,189387,1590,283,0,0,0,60450,130,121403,30272,3109,310070,4028,0,4701,14528,4676,1003,23
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20386,0,0,0,0,0,0,0,6200068,3270116,29000,10222,42177,0,187708,58443,0,199729,16491,92102,1171128,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7729,0,0,0,0,0,0,2053,0,845,0
Laos,0,115014,0,0,0,0,0,0,459031,0,0,0,0,0,2014,0,0,0,0,0,0,332000,160,0,190000,591400,420030,0,0,0,450015,453000,150002,0,0,0,0,0,204196
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,100018,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010,0,0,0,0,0,0,0,0,17001,340
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,1650,4752,100000,2000,1500,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28223,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,23386,0,59646,0,33007,0
Malawi,0,0,0,0,0,0,0,0,0,20000,0,0,6000,0,0,0,0,0,0,100013,0,150472,0,0,0,1301,0,400000,15004,2000,20000,508809,396349,19512,0,44501,16008,201967,0
Malaysia,243061,0,0,0,0,0,0,0,3000,0,0,0,0,15010,0,0,25011,2579,60027,0,0,0,0,25030,0,0,418,0,2500,2001,8012,33211,0,18808,31054,30613,106524,166579,2000
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017,14636,0,0,0,0,0,0,0,0,6437,2202,15,3502,22521,10000,0,1860,1001,88876,2500
