"Exports unit value (index, 2000=100)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Malawi,77.8457272246,74.5971578972,62.8776356404,60.2798872859,82.8888648723,64.7330948659,64.7776427575,72.9248985811,75.9328038548,70.3711709242,109.8964854613,123.6897252529,104.4442452823,84.3618448626,90.190237949,106.86,126.73,141.54,113.68,119.36,100,120.73,106.67,137.17,127.39,132.23,175.66,229.01,231.76,240.51
Malaysia,13.1780972809,11.98201344,12.2473121454,14.3585034547,16.7800922132,15.5919490089,13.9364280777,18.2813815486,21.4620137251,25.4989112166,29.9833348434,34.9693420165,41.5075400417,47.9806859285,59.9059950788,75.25,79.74,80.16,74.58,86.15,100,89.59,94.95,101.16,128.01,143.41,163.47,179.2,213.45,160.32
Maldives,7.155473781,7.9567617295,9.013799448,12.3081876725,16.2143514259,21.1793928243,28.7028518859,36.6145354186,49.9540018399,58.6016559338,71.7571297148,70.1011959522,59.8896044158,48.5004599816,69.3659613615,78.2,73.51,85.56,87.95,84.18,100,101.38,121.8,139.83,166.51,148.67,207.18,209.75,304.6,150.23
Mali,37.2916023324,28.0910428512,26.4785380829,29.9836515231,24.0991080998,22.4644420628,38.4694192658,32.511670996,38.9647781148,44.8589489746,65.1701149843,56.7021489165,62.2582696045,86.7953352346,60.8384952135,81.05,79.4,102.99,102.03,104.75,100,133.03,160.53,170.2,179.11,201.94,284.4,285.47,384.7,362.84
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,252.86,207.4,172.92,63.28,83.98,100,139.91,156.31,166.65,216.8,277.94,236.74,241.12,219.2,230.16
Mauritania,54.1978403867,72.7679630923,65.1472683855,81.2581030619,81.5628973563,104.4791299136,97.5297083551,119.4165623797,98.8538330187,122.1036087827,124.7646974299,122.5317721963,118.6241530374,118.065921729,135.9293235981,137.7,138.44,121.04,109.05,100.9,100,100.17,93.54,89.76,123.97,176.28,385.39,413.4,493.77,386.38
Mauritius,27.9180578385,21.3064387713,23.5259143209,23.5216123896,23.9123176495,28.2529021985,43.3924902404,56.503878159,64.0219847956,63.2923258681,76.6495017465,76.6623433326,83.6269776043,83.3964711321,86.4726731046,84.98,99.55,87.97,90.9,87.75,100,89.94,99.53,104.87,110.12,118.14,128.67,123.64,132.57,107.21
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,10.8380868802,14.0096293135,14.4591174933,15.5999687438,17.4917501668,16.0832977694,13.1057842,16.5895279713,18.4480095211,21.1406709263,24.4704779193,25.6587544405,27.7672254714,31.1876754404,36.5951180222,47.81,57.7,66.38,70.6,81.98,100,95.3,96.58,99.42,113.65,128.56,150.53,163.53,175.41,138.06
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,233.91,63.62,47.87,19.85,12.68,100,109.61,86.01,108.45,83.41,77.34,105.43,106.62,101.26,101.26
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,75.1730959446,87.4904353993,104.8280238135,113.804751507,125.8608140642,128.6042214882,133.6431330833,133.9790605229,137.9355392569,134.6509154023,123.3040329955,64.9459716701,73.4374708396,67.3534516544,65.9164287181,88.34,78.95,106.1,64.43,84.77,100,97.31,97.8,114.95,162.32,198.75,287.94,352.56,473.93,355.1
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,35.0703418038,34.2743366264,29.6244366838,28.8179445224,31.1897267782,31.1022394739,34.9501006319,40.3260446401,52.083533855,47.9318374776,61.2708500634,61.5486833089,57.0749072333,43.8802702481,79.8101137622,92.64,92.63,94.67,96.29,99.17,100,96.18,105.67,118.18,133.51,150.57,171.56,186.64,249.39,184.17
Mozambique,77.1343406593,77.1417582418,62.9538461538,36.1461538462,26.2797527473,21.043956044,21.7307692308,26.6483516484,28.2967032967,28.8461538462,34.6153846154,44.5054945055,38.1868131868,36.2637362637,43.1304945055,46.41,62.12,63.19,67.2,77.98,100,193.19,222.5,286.82,413.19,479.52,654.23,662.73,728.99,589.94
Myanmar,28.9572218509,28.2921553138,24.0116667679,23.2045330255,18.4484413927,18.5921492374,17.6583824512,13.4283891353,10.1563468433,12.9019869964,19.9399647566,25.726499362,32.6209515708,35.9780032813,48.7700674485,52.25,45.79,53.13,65.46,69.02,100,144.68,185.11,150.9,144.62,231.72,278.63,383.87,422.32,409.01
Namibia,,,,,,,,,,,82.2179645435,91.9014911131,101.5918333346,93.9045354376,99.087459958,106.73,107.36,101.35,93.31,93.45,100,89.27,81.15,95.57,138.36,156.76,200.43,221.07,239.77,262.83
Nepal,9.9882651869,17.4949406049,10.9031082338,11.6041887316,15.8492076515,19.8799419226,17.6043329306,18.7380352144,23.8022783438,19.8093341488,25.3491852758,31.8899761823,45.699887127,47.7360760973,45.0430359354,48.63,50.1,55.7,59.49,74.62,100,106.06,86.1,93.6,104.54,117.46,118.22,125.09,134.76,126.51
Netherlands,34.75585,32.17651,30.87748,30.29693,31.0148,31.68264,37.49396,43.51981,48.37268,50.58828,61.43459,62.49048,65.8992,64.57041,73.93005,92.19704,94.18873,90.72083,94.12693,94.07569,100,101.2231,102.6513,123.8748,148.7516,163.8642,187.5667,222.8927,254.3408,201.6086
Netherlands Antilles,259.9750208999,272.789399998,246.2939274599,222.0642003163,187.986865828,51.9278224872,46.5560065671,65.8612249831,57.1039352155,73.2391245228,90.1433276593,80.5213379934,78.4958149935,64.6253638589,69.2676490436,75.75,63.18,74.09,58.19,72.22,100,119.36,80.09,57.79,37.93,47.88,56,58.73,56.74,42.23
New Caledonia,67.5498088213,57.1226449359,44.3245679493,25.4345270721,34.3089830878,44.327539639,34.4126620396,36.9795415673,77.4420685602,110.8696154634,79.1876060728,73.6800744904,67.7104451591,58.5685370702,92.1661306619,77.8,88.26,89.65,62.37,76.75,100,73.24,81.73,130.03,170.97,179.93,222.74,357.43,221.89,152.51
New Zealand,39.38377,40.21115,39.49544,39.18082,39.56247,41.51516,41.98922,51.59224,63.2114,63.58925,66.83067,68.18078,70.41305,75.73687,87.79916,98.33981,104.1338,103.0138,87.1047,92.43081,100,99.05856,100.7462,119.2844,147.0179,156.1614,161.9896,201.0753,217.3112,176.6016
Nicaragua,70.1068490423,79.0679801362,63.0935193598,66.7106425878,59.9991287789,46.9059205695,38.4535203555,42.4409125418,36.2023473185,48.3372123415,51.4331586743,42.3786824648,34.7088254695,41.5385764248,52.0624603283,72.49,72.55,89.72,89.17,84.96,100,91.69,87.28,94.05,117.55,133.46,159.84,185.72,231.6,216.71
Niger,199.8869317881,160.7052629719,117.3368902708,105.60853665,91.4001024681,91.6552126212,111.8714555766,110.3538681695,101.9521933466,86.0728229952,99.8494779429,108.4988428175,117.7386357614,101.3236047559,79.6148614031,101.79,114.87,95.95,117.99,101.35,100,96.26,98.75,124.39,154.41,168.74,184,229.67,319.41,321.92
Nigeria,122.4804004912,84.2401057901,57.5044866346,48.9420988004,55.9601397941,61.9202795882,24.0058562388,35.704165486,32.4690658355,37.172947955,64.5650325871,57.9200906772,56.1348824029,54.7369415321,53.4570699915,58.84,77.01,72.5,46.98,66.06,100,82.29,72.02,94.81,148.5,262.91,273.87,310.53,384.34,238.08
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,100,91.02,81.74,77.89,81.22,63.99,47.84,30.25,9.66,
Norway,36.78647,35.98788,34.63845,34.03713,36.5307,37.16961,31.04016,35.89052,36.46964,44.17093,54.06834,53.69167,55.75124,51.60612,56.20332,68.21678,81.53484,79.45282,66.23931,74.15313,100,97.91971,98.16494,112.0502,137.4369,172.8656,204.1452,226.2007,284.0787,200.1219
Oman,21.0906825933,28.3744456028,26.4902903186,27.1620165038,27.1030869542,34.79290725,16.2151679536,22.0105843479,21.8724930645,35.9374834343,48.6672379976,43.0583287686,49.0648136695,47.4471224356,48.9889208913,53.61,64.9,67.41,48.67,63.95,100,97.84,98.7,103.09,117.87,165.14,190.71,213.24,333.25,244.29
Pakistan,29.0033373837,31.9298894665,26.5469875488,34.0773125477,28.3363037119,30.3473736795,37.47860829,46.2095274384,50.0898867195,52.1620995943,61.9042027995,72.3089090311,81.0451449541,74.0813887415,81.5835791419,88.52,103.24,96.55,94.08,93.3,100,102.32,109.8,132.14,148.19,177.79,187.53,197.58,225.11,194.1
Palau,,,,,,,,,,,,,,,,109.41,120.59,120.93,96.47,63.44,100,144.35,176.52,73.04,51.3,116.52,118.26,87.83,78.26,43.48
Panama,,38.1768914216,43.6305336016,37.2881178454,32.1153369579,39.1161595301,40.5551373533,41.617151387,35.7041718489,36.9842198769,39.5682833837,41.7042951766,58.3507368828,64.3620295079,67.8633715688,72.73,72.48,84.09,91.23,95.65,100,105.94,98.47,100.55,109.8,118.47,127.19,135.38,145.07,110.26
Papua New Guinea,49.2142649213,39.9786207522,36.7775556075,38.7750359105,42.5449894774,43.5316322197,49.3077991305,55.4061341261,66.7404759746,67.0153520179,54.5991629643,63.8471192895,86.3855231951,118.8614596109,126.0020329374,126.2,119.97,102.23,84.58,89.5,100,86.15,78.3,105.31,121.78,156.22,198.8,223.39,276.78,189.45
Paraguay,35.6848716297,33.9962731205,37.9371031563,30.9630072697,38.476580473,34.9579000644,26.8622895003,40.6482929971,58.6465905954,115.7058065704,110.2743397442,84.7860495077,75.521648109,83.4197570627,93.9579690807,105.73,120.03,125.22,116.64,85.22,100,113.9,109.35,150.2,178.7,190.38,212.02,324.05,513.4,364.29
Peru,56.0510488274,46.8014683152,46.8575438072,43.3535444743,45.2500463701,42.8258597164,36.3858051362,38.2578638688,38.8358727863,50.1516195033,46.4550943147,47.866902663,50.1001450774,48.6628870827,63.6114629808,78.14,83.64,97.11,81.92,86.62,100,99.97,109.76,129.36,182.27,247.13,339.09,396.74,448.64,382.55
Philippines,14.4311640651,14.2136339643,12.4895558404,12.2915315587,13.2557625116,11.5913329814,12.0798079582,14.2686574668,17.6499007114,19.5226101601,20.4026845638,22.1226654601,24.5093632959,27.9742603625,33.4416710655,43.99,51.3,62.54,73.94,91.94,100,82.11,91.75,91.07,99.74,100.24,119.19,126.36,123.68,96.29
Poland,47.01656,35.7178,37.22846,38.69678,38.73743,37.75233,39.66963,40.13214,45.8592,44.47635,44.786,46.44455,48.82332,43.81613,53.70951,72.0838,77.70826,81.11914,90.78023,85.94266,100,116.2143,130.9773,171.5575,239.1044,286.618,354.9033,448.6833,543.4185,435.9073
Portugal,,,,37.16261,42.07753,46.21669,58.6223,75.37703,88.99322,103.7495,132.3921,131.6018,146.7472,119.0897,134.4366,141.1236,133.7244,119.7323,109.6947,101.4225,100,87.89423,91.76959,108.7785,129.4458,118.5537,132.4184,138.8771,140.5208,107.1274
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,49.7198879552,49.7724089636,37.9989495798,29.3855042017,39.5045518207,29.9282212885,16.1852240896,17.3757002801,19.3452380952,23.5206582633,30.8911064426,26.6719187675,32.7030812325,27.8448879552,27.5385154062,30.51,32.89,33.23,42.77,61.89,100,93.71,94.28,115.48,161.5,222.1,298.46,363.66,481.3,327.81
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,229.9146521718,222.3830639394,196.4049015401,226.3596052067,275.8270156868,250.7738520956,360.4653602251,215.782196157,206.7210222667,181.5417918276,207.8863300434,177.2570447718,125.521193916,124.6488342154,54.6229914652,97.9,114.05,163.93,113.31,114.14,100,162.69,122.64,118.91,186.68,235.68,278.07,333.4,483.69,361.93
Saint Kitts and Nevis,47.7740176573,49.1049923696,38.1232366002,37.2905678097,40.7783044645,41.2361306201,50.9022939883,56.653051972,55.6983366864,57.9054959379,55.9640863514,55.6187939458,52.9412598113,54.6242060906,45.3800442849,65.09,75.37,140.46,102.62,95.92,100,98.31,120.33,174.97,143.88,116.48,136.02,138.61,133.61,147.31
Saint Lucia,134.4349466296,106.2089114459,104.9021484226,127.7904475093,110.2569483037,119.9076710933,191.2202219675,183.3630412275,274.6600502229,252.027477304,293.5339788363,253.309567018,286.0189961422,275.856821017,217.6102862334,286.45,194.47,162.82,147.61,137,100,103.33,143.1,144.2,183.97,148.09,216.17,245.78,378.23,375.17
Saint Vincent and the Grenadines,32.7017581021,50.9150603686,68.2529125185,86.9243804279,113.4490574031,133.9665325143,135.1722092777,110.8521499682,180.5958483372,158.0016945562,175.1825884347,142.1520864224,165.4098707901,122.4316882017,106.7570429994,84.32,91.66,91.28,98.13,97.66,100,88.16,77.67,74.82,72.37,78.83,75.32,94.31,103.19,96.98
Samoa,121.030395906,75.7964514678,93.6684568665,124.5163648633,136.5833427061,113.8053930941,73.8091890676,83.0235631538,106.0679338657,90.4946012822,62.3229248678,45.435271623,40.7863991677,45.3122539647,25.3375604544,61.95,71.02,105.71,102.42,143.41,100,440.55,502.39,612.45,599.1,612.77,457.96,685.15,506.07,323.19
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,189.45,182.02,196.88,176.08,81.53,100,97.73,185.36,246.21,200.59,252.6,286.03,249.96,394.95,301.51
Saudi Arabia,131.0992372324,145.0923452201,95.7899355971,59.1899949665,48.457041081,35.4615970367,26.0489668435,29.9402434145,31.4606161511,36.6141376596,57.3250216182,61.559608162,64.90236316,54.7166402086,54.9992901486,64.58,78.38,78.38,50.11,65.42,100,87.73,93.52,120.34,162.62,233.05,272.36,300.94,404.52,226.54
Senegal,51.8518558783,54.3633960041,59.5640082885,67.1807086931,68.9228708658,61.09895916,67.9906374411,65.9265693593,64.2706183942,75.3489216533,82.8067890511,76.1913562665,73.1416755632,76.8632166239,85.9806225906,107.96,107.38,98.32,105.18,111.63,100,108.95,116.19,137.19,163.98,171.21,169.05,179.55,218.02,219.26
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,10.9259976753,8.8336303758,7.8432648844,10.5008394679,13.2504713935,14.4120366783,9.4440914374,11.4458995221,16.4429290972,17.6463386284,29.4595376469,25.3120495932,24.74792716,26.4003099574,26.8484566705,27.49,72.04,58.47,63.17,74.92,100,111.61,117.1,141.39,150.14,175.41,196.17,185.95,253.59,220.6
Sierra Leone,,,,,,,,,,,,,,,,,,,,,100,222.56,373.42,707.81,1063.35,1216.1,1772.67,1876,1651.61,1572.89
Singapore,14.0600417985,15.2153057966,15.0851934632,15.8432266117,17.4669095237,16.5541638849,16.3239093205,20.8165945836,28.5227569592,32.4090737569,38.2642738963,42.7897593684,46.0593306435,53.7079475197,70.2631273403,85.82,90.72,90.7,79.75,83.22,100,88.35,90.84,104.63,144.14,166.65,197.24,217.17,245.4,195.81
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,113.9476299536,100.766949146,89.124621172,94.1261495405,142.9637446411,107.6556670215,100.5136547055,98.2556630278,125.2142404008,114.0643696594,108.1650207904,128.9508326152,157.374339691,198.1349295952,218.3109300622,243.94,234.2,226.94,170.93,181.89,100,67.99,83.43,107.22,140.55,152.08,173.83,239.81,304.98,236.77
Somalia,,,,,,,,,,,,,,,,88.08,96.89,91.7,102.08,98.96,100,147.67,153.89,115.54,95.85,130.05,155.96,197.41,236.27,227.46
South Africa,85.1824057954,69.2915224163,58.8181145064,61.8091826593,57.8148659556,54.4652565154,61.2875467771,70.7883905999,72.7548644881,73.8571704922,78.6065918233,77.6423659056,78.178676966,80.7855222696,84.4089571952,93.22,95.23,97.55,91.39,89.31,100,97.23,99.44,121.13,150.98,176.09,206.03,237.62,269.54,208.27
Spain,43.37776,17.52081,17.80808,17.36048,20.80269,21.43448,24.16402,29.99478,35.25388,38.19149,48.50867,52.29103,56.28444,53.28137,64.28284,80.96204,89.43367,90.91914,95.63689,96.55583,100,101.759,108.9097,136.9356,160.3668,168.6285,189.2697,219.9006,244.2898,194.5349
Sri Lanka,19.5555571925,20.0384150036,18.9778588884,19.5778401045,27.0170178834,24.5539274093,22.3744376327,25.6474475016,27.1759447678,28.4436767173,35.2136305125,36.5855949261,45.2138699157,52.644576505,59.0718154312,69.94,75.41,85.43,88.56,84.6,100,88.69,86.54,94.38,106.02,116.88,126.8,142.54,155.65,135.26
Sudan,30.0370841866,36.3535728123,27.5676648032,34.5125366691,34.7978081585,20.6948026789,18.4493275032,27.891957713,28.1773399015,37.182598107,20.7062600321,16.8816073504,17.6731056623,23.0973598273,27.8186749322,30.75,34.33,32.89,32.97,43.17,100,94.02,107.88,140.71,209.1,267.02,313.09,490.74,645.96,409.59
Suriname,101.7847953957,93.8017052337,84.8205308866,72.6242311011,70.4065961035,65.0846679386,66.3042187512,60.5385656721,81.0508482627,107.2177537465,93.4690105053,71.0719855601,77.3917999953,64.5202150146,88.8098989051,119.45,134.49,141.3,127.31,119.8,100,101,117.54,159.9,224.31,249.98,294.38,340.62,436.95,363.41
Swaziland,40.9625201615,42.0135036926,35.1855740719,33.4012439405,25.3350910196,19.7061336142,30.5120562401,46.7216548345,50.661716119,54.9317284001,61.2565404731,64.9585664668,70.2128244399,74.8446723524,86.752483978,94.78,93.68,105.28,107.33,102.5,100,125.2,105.05,167.38,211.19,245.29,274.89,290.14,195.83,158.63
Sweden,29.74418,27.21888,25.35965,26.0155,27.97524,29.11383,36.18562,43.74877,48.9193,51.47403,57.67221,55.51608,57.06601,51.00634,63.53514,85.56229,92.03713,89.74005,93.31663,95.00571,100,88.7569,94.71655,117.3751,141.9308,152.5306,173.1497,201.2854,215.5713,157.103
Switzerland,,,,,,,,,54.08166,60.56938,63.89897,64.80389,68.07163,68.47208,71.28237,72.70397,74.41525,83.06977,86.21822,90.42916,100,104.073,107.2517,107.0432,115.6053,124.0282,140.2357,156.0857,163.0391,142.6833
Syria,45.4927192793,45.3888994672,43.7374953461,41.5048297823,40.0047306264,35.342983638,28.5895156539,29.1465624313,29.0211988643,64.8768063145,90.9131316209,74.0302171064,66.761966894,67.9141293824,65.7619727373,76.91,86.32,84.53,62.38,74.76,100,108.96,141.08,123.69,161.56,198.01,235.69,249.2,330.97,274.14
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,77.0965042557,85.6271155774,67.6448016163,56.1416390872,44.9532970968,37.1623934201,54.4389243632,43.6356645834,41.536860992,54.9800598581,49.9076496265,51.6203155744,62.7833271766,67.8608637964,78.3091965894,92.93,106.9,102.58,80.3,74.02,100,116.13,133.76,166.7,201.02,229.46,261.79,302.4,414.34,357.23
Thailand,9.4203756907,10.1808656063,10.0564462877,9.2218579488,10.7343954542,10.311178624,12.8529703085,16.9816730575,23.1008387299,29.0750512621,33.4048203797,41.1664021501,47.0227407004,53.5346265683,65.5419886239,81.84,80.8,83.15,79,84.79,100,94.14,98.76,116.47,139.57,159.77,189.67,222.04,250.66,220.51
Togo,93.0669657744,58.5065190971,49.067539003,45.002301182,52.919745244,52.3743513285,56.1444315529,67.134987061,66.8128215799,67.5464439159,73.8329424539,69.7828621192,75.775581014,37.4822588513,90.4893663344,103.82,120.94,116.37,115.34,107.44,100,97.88,117.85,164.52,165.05,180.82,167.98,189.39,229.48,218.62
Tonga,,,,,,,,,,,,,,,,160.44,129.78,113.69,82.61,139.28,100,74.92,163.91,201.66,170.82,114.41,125.41,91.71,102.6,108.3
Trinidad and Tobago,95.3972075784,87.9991857192,71.8773618238,55.0488919463,50.8555798124,50.0494886176,32.4242870948,34.2182787321,33.0366356164,36.9255284051,45.8655360331,46.4477000077,39.5759188153,38.8910337856,43.6744655112,57.42,58.49,59.5,52.83,65.61,100,100.02,90.83,121.14,149.13,224.88,331.18,343.87,436.37,213.52
Tunisia,38.1420989205,42.7284770476,33.8652855055,31.6289325915,30.7134005111,29.7074433989,30.0773484441,36.5624813039,40.9336512739,50.0768356367,60.2904199038,63.2353016589,68.6984094425,64.0542550191,79.6100954676,93.59,94.3,95.03,98.08,100.37,100,113.18,117.45,137.21,165.55,179.37,196.8,256.9,330.23,246.99
Turkey,10.4775174708,16.9321941753,20.6877432502,20.6222164616,25.6836208231,28.6517683232,26.846901339,36.6878008562,41.9875499102,41.8532559973,46.6583138013,48.941670357,52.9780485258,55.2480837015,65.1879934761,77.77,83.69,94.55,96.78,95.72,100,112.81,129.83,170.13,227.43,264.54,307.96,386.22,475.35,367.7
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,86.75,100,82.38,98.45,111.34,138.08,166.39,199.12,183.81,280.07,234.71
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,74.9235846044,52.81753937,75.8451314649,80.8762733184,86.6030288087,84.0499833809,94.6560275291,69.3895240847,60.917462683,59.4163102063,33.1081242546,43.358540819,31.1366396343,38.825538275,88.7856740957,102.41,130.49,123.31,111.35,115.28,100,103.85,106.28,127.19,168.73,225.78,263.98,444.33,600.9,600.21
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,44.0414611652,43.6906050764,36.5371506476,30.857291792,32.0582220618,29.6002245479,20.307550423,25.5924455672,24.55992622,35.2780785116,47.2031757488,48.991539356,49.6331047757,47.3956453747,54.9139901359,58.55,67.45,68.25,62.32,73.23,100,97.15,103.89,133.95,182.5,235.35,292.14,358.44,480.01,350.61
United Kingdom,36.19758,33.74704,32.22084,30.58165,31.28166,33.5246,36.01971,43.9976,49.41722,50.27151,60.04804,61.14307,63.62225,63.39619,72.57503,85.05874,91.13364,98.17418,95.50568,94.23657,100,96.02714,98.78271,109.3227,124.4812,140.4398,162.323,158.7045,168.202,129.4931
United States,28.84779,30.52943,27.68092,26.29931,28.64445,27.9844,29.05139,32.49984,41.23541,46.52817,50.33678,53.93534,57.31594,59.44018,65.56022,74.78319,79.94096,88.14,87.23911,88.98598,100,93.24515,88.64142,92.69144,104.681,116.0171,132.7853,148.7343,166.3996,135.1481
Uruguay,46.1302130998,52.9650934763,44.5766331111,45.5440798361,40.6937726064,39.61302131,47.404889528,51.8237678128,61.2062578986,69.673595677,73.7743495882,69.9307098967,74.1927049287,71.7000043579,83.3834488168,91.78,104.47,118.78,120.74,97.49,100,89.79,81.1,96.14,127.72,148.36,172.27,195.46,279.81,236.07
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,108.97,116.32,136.02,130.08,99.18,100,76.91,77.72,105.08,146.34,145.39,187.37,191.39,217.42,221.89
Venezuela,60.439594994,65.9706936671,52.1665304069,43.8242877806,50.3018678071,45.3996603987,27.2309917615,33.2589145337,32.211810578,41.777246714,55.0185522923,47.6542355827,44.6041129489,46.1794855669,50.5911577888,56.2,69.83,71.2,52.81,62.52,100,79.53,79.87,81.21,118.31,166.17,195.59,205.82,283.75,171.78
Vietnam,2.3434125545,2.776661859,3.6445406603,4.2667310402,4.4958110873,4.8342434771,5.4612760468,5.9111337255,7.1866547443,13.4680591875,16.6378296076,14.4439061527,17.8628278774,20.6588691259,28.0573050038,37.62,50.1,63.42,64.63,79.68,100,103.77,115.35,139.12,182.87,224,273.46,333.51,432.42,385.11
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,16.9659822249,16.1640943917,15.1781305547,14.9688507508,22.8955194606,47.68,65.57,61.39,36.71,59.83,100,82.72,90.32,96.2,114.64,157.22,179.37,172.82,220.08,143.54
Zambia,196.129430514,168.9714067056,153.838876511,124.976339646,99.2385681006,117.7909419439,77.6759145217,131.1193476093,177.046997432,201.9633874983,196.6057025624,162.785879818,113.5094515452,124.1244587266,139.2637498809,115.65,116.2,102.52,115.68,119.11,100,110.65,107.17,109.87,176.57,202.81,422.52,517.44,571.37,483.22
Zimbabwe,73.1915582652,73.0377890305,66.1233683754,58.6110139733,59.6505147795,57.5839809429,67.6979445592,74.0139119764,84.6910034658,80.3376717536,89.586163934,79.5023307759,74.899643548,81.2924955826,97.7094393497,110.31,125.68,124.39,109.69,98.06,100,62.7,104.52,86.75,98.03,95.58,104.94,106.49,87.99,117.86
