pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cote d'Ivoire,,,,,,,,,,,958.5767347,1030.651667,1016.346894,1092.800116,1223.155492,1137.562726,1213.666313,1212.117583,1323.651501,1351.431738,1397.819092,1459.561582,1454.959918,1455.211319,1453.859472,1513.034833,1628.510272,1658.977014,1746.092384,1730.381967,1508.655998,1500.584326,1561.570049,1594.878107,1563.316052,1580.420604,1587.098043,1537.979244,1501.721362,1659.903724,1558.039274,1478.297647,1441.240164,1374.353536,1331.594087,1377.339104,1448.82779,1481.039745,1517.657787,1526.437203,1477.260621,1409.623074,1343.9995,1308.169908,1296.744027,1298.499176,1285.502083,1282.54501,1297.364579,1272.618199,1283.360958
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12885.07762,10348.61388,8868.414817,8229.02268,8451.375693,9236.380916,9927.503299,10823.38583,11050.15761,10896.81784,11320.69295,11730.08998,12252.86441,12901.69158,13439.38319,14028.28493,14742.38262,15497.50531,15851.05783,14875.05731,14672.20308
Cuba,,,,,,,,,,,,,,,,,,,,,4466.685263,4778.413543,4917.396742,4990.967325,4957.697031,5344.708876,5554.581373,5965.991978,6300.15289,6324.56132,6033.667981,7172.510619,7780.05751,8141.996945,8724.264999,8571.649319,8634.095574,8590.13994,8769.598265,8758.301392,8279.352512,7797.412869,6899.478641,6133.816026,6167.563367,6142.570978,6373.289334,6505.835283,6564.001245,6931.235313,7193.683776,7432.742569,7623.557764,8016.723626,8366.491481,8948.255586,10048.28952,10741.29096,10902.31619,11310.77982,11508.67466
Cyprus,2595.524817,2618.406899,2851.323314,3124.577601,3243.210541,3359.554448,3794.279212,4013.743986,3522.459111,3678.735808,3321.076039,3589.651128,4078.677827,4189.765915,3648.228707,4424.226775,4657.638722,5148.62683,5380.580411,5945.732426,5958.583583,6497.771612,6753.881064,6816.607062,5433.204954,4638.546898,5688.089496,7005.91383,7746.446713,8441.705941,8949.564094,9005.322875,9387.840686,9740.772722,10435.35852,10643.65898,10704.99327,11452.26912,12563.78828,13386.31462,13921.99562,13662.27037,14500.53576,13857.32741,14430.79183,15553.17838,15445.11385,15420.92624,15939.18934,16389.45799,17074.11847,17431.41214,17567.8028,17503.32771,17985.40049,18240.10068,18624.43284,19333.06557,19724.42858,18875.16766,18753.76375
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15744.82593,13477.28926,13656.37204,13758.77033,14251.54508,15063.23452,15845.71066,15781.6457,15713.30538,16003.29607,16588.6782,17149.58488,17570.53042,18255.85431,19102.58643,20346.88421,21765.24226,23006.26167,23752.86532,22700.41694,23394.3811
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,8936.131135,8644.907802,8760.930112,9271.613308,9655.064863,9503.188944,9670.181442,10012.79042,10154.28663,10985.95189,11606.58411,12280.245,12937.70503,12934.99584,14016.60115,14504.63805,14853.24199,15615.95088,16353.41295,17428.6725,17688.7148,18012.29506,18538.53114,19356.3101,18998.32264,18719.5956,20040.77354,20332.7782,20722.5781,21463.60963,21255.58251,20999.2042,21772.50677,22306.26957,23306.73045,24374.79103,25760.45902,25719.83085,25665.35697,25852.13595,26171.43216,26408.59152,26833.34786,26640.34373,28132.15751,28972.75818,29620.44747,30601.39339,31253.21134,31890.76984,33113.16092,33180.15582,33272.27405,33224.35214,33915.58071,34677.4791,35875.66012,36330.37225,35858.5306,33366.34834,33716.83079
Djibouti,,,,,,,,,,,,,,,,,,,,,4793.499118,4867.733263,4808.115707,4819.019359,4437.553822,4712.377739,4883.678036,4077.317524,3427.776218,3352.258682,3193.00444,3102.489452,2873.077711,2751.502074,2784.143253,2774.020885,2728.422201,2609.509811,2557.350786,2390.629992,2129.127164,1795.933598,1979.457542,2002.742764,2083.788142,2197.90842,2059.558277,1990.69227,1833.637322,2029.870723,1976.006336,1806.209259,1796.571152,1872.988665,2006.430314,2009.542884,2139.139857,2101.429324,2086.280802,2266.735249,2411.716771
Dominica,,,,,,,,,,,,,,,,,,,,,1875.130043,2018.014184,2078.51897,2243.15929,2362.917596,2375.23821,2470.844221,2601.16715,2916.917705,2550.066011,2847.57924,3156.977451,3182.991312,3206.716101,3422.071498,3505.158154,3690.248513,4030.709586,4379.828144,4472.759467,4658.946874,4809.776333,4956.998843,4953.700927,5027.132433,5012.202091,4974.667305,5093.955107,5556.789669,5574.961836,5639.792643,5570.093747,5396.308719,5771.039028,5931.571613,5926.801137,6180.003483,6531.265601,6944.861809,6965.290401,7349.723292
Dominican Rep.,,1784.714274,1877.103862,1815.486903,1880.986948,1908.712182,2027.859411,2062.806644,2095.744499,2167.612464,2316.207576,2198.983743,2541.484847,2633.741066,2714.368604,2363.912892,2516.668875,2484.0194,2396.001831,2550.649711,2898.985475,3154.122899,3427.092047,3761.315102,3703.097103,3846.630001,4144.614473,4226.297456,4223.702418,4222.210255,4369.152307,4535.444892,4652.029034,4759.009257,4747.232403,4502.405785,4534.339993,4898.492976,4866.717115,4999.280392,4713.535445,4665.177198,5121.603835,5401.004302,5464.867822,5613.020692,5883.764076,6292.487089,6732.776689,7011.993895,7280.277045,7307.935775,7599.654994,7227.663854,7231.788771,7895.863199,8675.513546,9310.395487,9744.133081,9866.420563,10506.05074
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,2068.706264,2134.514347,2234.316219,2378.420126,2396.357088,2407.895481,2438.678604,2403.235771,2464.701725,2579.061492,2551.119968,2545.205425,2577.354096,2704.233005,2692.287136,2673.500768,2804.926412,2848.261389,2813.510595,2914.634955,3069.73538,3225.976497,3795.867308,4067.218096,4264.5027,4447.947057,4710.468373,4927.204285,4989.788594,5130.649781,5071.116523,5074.098046,4614.468118,4642.669621,4714.212906,4723.250462,4352.551719,4596.248022,4504.455956,4429.295014,4664.769184,4735.671786,4708.635496,4820.372763,4801.431293,4774.618086,4873.083499,4893.923453,4489.677572,4628.307579,4823.927045,4959.68647,5012.407571,5310.983776,5519.978051,5688.056864,5741.67239,6073.541898,5965.807121,6226.078506
Egypt,814.6278356,791.1296814,831.0759177,850.5672975,802.0730342,779.9618257,780.5200876,795.7449056,856.5361364,872.9380604,924.0464248,934.1221189,929.5553892,939.754059,1069.578883,1088.786576,1070.403978,1067.334369,1101.826033,1137.11442,1173.405585,1196.280677,1231.612302,1186.732728,1147.857981,1095.548468,1078.775963,1274.431094,1297.603732,1386.095699,1445.504921,1441.157258,1549.702018,1805.580509,1941.386083,2032.850743,2034.852572,2209.070132,2332.578572,2429.239663,2540.246342,2679.688587,2868.93327,2968.645317,3024.638864,3120.660112,3232.739267,3271.43238,3393.640334,3533.351761,3655.882747,3724.998835,3756.400464,3808.500541,3888.603388,3968.386985,4166.07934,4340.461457,4558.627728,4711.000525,4852.641503
El Salvador,2841.88769,2879.862659,3013.251977,3157.915162,3157.480901,3217.035203,3336.739961,3396.813147,3334.470268,3292.156151,3353.969825,3307.631297,3543.253208,3571.958921,3794.418482,3887.05038,4058.107016,4093.932332,4031.897936,4059.630941,4087.232031,4148.387727,4227.30783,4401.239502,4557.083548,4644.588444,4808.463557,5094.328937,5204.084952,4779.84583,4334.253379,4067.528462,3895.868286,3820.032322,3882.75096,3923.531933,3924.266939,3911.479641,3942.609248,3973.664546,3918.010844,3999.924709,4233.199017,4483.072434,4718.106765,4987.651951,4946.003966,5057.466254,5188.116185,5267.715004,5326.675698,5423.192042,5500.53313,5603.849868,5688.035641,5888.375043,6123.309077,6358.01529,6389.014417,6083.465031,6167.537093
Equatorial Guinea,,,,,,,,,,,629.2876485,622.7101302,616.1921116,653.7655614,675.9410004,671.0170992,697.7700439,734.6402921,747.7006099,760.294054,758.0886486,813.3299214,785.1485885,926.6073448,1076.0386,1313.340567,1514.170148,1608.987967,1175.808375,969.0384544,894.9915693,914.7384874,908.5690543,797.8643674,763.1664683,901.1773256,815.3956767,837.9691165,863.4204906,786.7129396,665.5978115,709.7167893,763.2936724,792.4725698,616.7435973,783.7646646,1508.802588,3250.456975,3794.2255,4765.341886,5942.15473,8745.36619,10334.65718,11228.84457,15007.97663,14912.66986,14411.65822,15197.05465,15492.67347,15000.41094,13952.47924
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.4195463,695.2326746,789.061084,821.6601356,815.6695598,819.8817307,917.8995659,917.3233562,815.51194,808.3909675,787.6388626,763.1057802,710.0245534,704.6020363,654.1634085,651.8956659,583.4743839,577.7886895,586.7818647
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9273.756258,9506.942682,7439.263479,7109.009605,7073.107192,7660.251212,8145.294119,9094.407827,9793.29005,9971.790119,10990.51694,11735.62519,12527.04134,13590.67482,14573.53712,15962.3545,17637.91674,19065.7841,18346.28074,16483.98459,17017.47451
Ethiopia,287.0662154,322.0528927,327.0939294,349.364831,348.7146003,357.2938651,361.7081382,353.4755368,368.1959075,363.245096,384.5533805,392.9062997,399.2534043,405.3525116,413.1876546,430.9122171,440.4068189,450.6754557,463.5354199,472.481025,459.4649147,470.6905258,480.7701112,481.1910301,473.8451415,455.4089332,449.132848,441.4799137,421.291422,446.2326258,463.1726218,457.0935691,441.6204085,447.8989236,424.7670685,410.9875859,416.97544,345.5610395,438.8044294,406.4276289,412.4750635,376.0539365,335.7458798,370.5565312,368.7666343,387.9351902,419.9100877,427.7413677,398.4762834,411.6682202,414.949614,431.9899447,426.9210911,405.5780066,428.9266434,475.1066605,513.5858948,558.1265944,602.4407468,641.390817,680.9917732
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,1993.824507,1974.691826,1983.990724,2076.090844,2110.079221,2017.684079,1959.76254,2175.828749,2324.732513,2334.555586,2544.258462,2716.235738,2878.530095,3259.383215,3160.128872,3117.598886,3101.990963,3229.035032,3296.899546,3743.586645,3635.04386,3568.652465,3408.663601,3141.62459,3330.145502,3449.670785,3153.363182,3092.038557,3019.686043,3253.23526,3528.629062,3389.216315,3473.319763,3521.701561,3558.408627,3705.411603,3841.777881,3995.614689,3900.761934,3894.129181,4227.320371,4115.340138,4163.863193,4253.699651,4223.223522,4431.406909,4470.175067,4393.09971,4336.342419,4210.215228,4153.270238
Finland,6106.968497,6640.861536,6927.232459,6734.803797,7284.002544,7802.091781,7947.301586,7886.595162,7790.174698,8317.341406,9034.381155,9659.372436,9843.590249,10125.23155,10615.7572,11173.27231,11376.90575,11509.84308,11665.97183,12800.10824,13829.0951,14077.10449,14890.5172,15702.06473,16507.69432,16460.28362,16181.78755,16451.45097,16625.88902,17873.30958,18875.41762,19128.22914,19674.89239,20094.05682,20669.44401,20999.96334,21471.93346,22236.70866,23480.13526,24924.19903,24504.75391,22527.33345,21451.18713,20865.68509,21697.71758,22967.10032,23513.39292,25052.0491,26621.10619,27550.21606,28930.43751,29452.77701,29776.93747,30146.98803,31353.49171,32293.144,33615.81957,35512.6176,35543.39919,31734.72605,32991.91078
France,7082.993246,7453.523509,7675.811398,7904.305085,8228.081734,8588.555541,9034.19141,9404.544182,9488.270909,9569.805928,10192.79191,10574.15569,11116.20211,11652.87869,12287.52905,12704.99123,13261.26633,13810.05853,14312.45677,15213.08313,15935.16522,16590.48893,17207.20472,18193.77437,18844.63407,18471.73502,19317.4393,19846.6011,20513.94776,21152.83011,21421.43249,21427.01325,21909.50811,21947.11598,22091.37203,22410.44666,22984.46051,23493.84445,24480.03365,25244.44187,25766.2332,25820.75641,25986.12628,25593.38205,26069.83492,26491.97544,26606.43377,27019.18256,27893.68068,28716.3524,29657.84457,30028.61609,30105.90706,30213.19216,30834.4784,31230.27351,31830.86709,32399.70616,32172.47621,31012.11345,31299.29977
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,4895.749052,5546.65948,5896.589878,6184.493499,6407.055851,6840.534659,7033.658342,7202.455734,7289.976725,7820.917295,8348.785386,8983.961216,9677.236788,10271.92163,13873.27364,15189.94534,19372.44256,16358.78265,12192.00171,12147.90701,12518.48655,12675.30846,11867.72443,11940.15769,12598.23716,11872.25646,11278.54978,9172.576203,10267.68366,11155.81577,11630.96768,12062.08148,11394.41794,11525.43239,11873.15202,12157.77925,12183.97779,12751.62241,12516.95183,11004.56674,10875.01822,10502.47365,10150.92927,10117.73617,9788.549717,10120.31643,9552.923011,9894.503698,9867.203947,9486.953867,9899.827192
Gambia,,,,,,,,,,,1114.499246,1038.438905,986.5237101,1084.373048,1096.851845,1242.331679,1259.185604,1218.948884,1277.8887,1277.274311,1285.299849,1250.668906,1209.518992,1224.781521,1310.103562,1354.940738,1281.364852,1266.620295,1330.385422,1274.783257,1226.579679,1390.569666,1458.333493,1336.22356,1343.206517,1338.842581,1319.050567,1288.777569,1342.763768,1283.339117,1273.11251,1257.636143,1245.091013,1232.342697,1217.721616,1086.839283,1145.576042,1089.18306,1118.73515,1160.41459,1222.924495,1234.461972,1220.51904,1205.002225,1130.473516,1110.031872,1135.143383,1124.279681,1200.907928,1258.248129,1271.105081
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.342991,1915.251167,1926.390698,2534.885623,2617.542995,2547.206299,2567.993763,2905.728625,2890.555608,3007.741193,3176.916577,3513.62632,3732.469711,4235.095784,4606.845938,4920.443483,4956.597834,5102.871403
Germany,,,,,,,,,,,,,,,,,,,,,16483.60666,16931.57277,17575.59704,18249.71864,18194.92593,18266.57439,19264.71348,19939.87356,20605.90379,21530.85887,21697.64184,21527.81489,21345.14777,21825.2167,22424.4816,22893.00132,23557.01721,23977.95883,24767.41261,25451.35237,26495.1943,27618.77381,27962.81224,27484.13657,28078.91437,28473.07337,28594.52694,29042.51115,29591.72772,30134.1285,30988.23446,31354.18167,31217.97497,31101.19608,31445.33825,31657.47404,32928.68821,34133.89911,34577.88266,32707.92122,34085.34609
Ghana,,,,,,1141.620686,1238.007273,1190.741143,1185.449243,1281.55706,1288.601915,1270.031569,1367.666733,1352.166674,1471.540629,1237.590241,1255.951709,1146.050514,1229.644081,1258.252457,1529.062578,1617.152671,1570.109295,1569.678837,1627.507153,1404.25503,1304.368196,1319.957416,1379.65847,1359.996053,1295.444293,1241.960049,1206.604559,1062.355903,1109.85362,1129.955464,1144.448812,1144.427998,1205.55182,1258.561968,1270.940804,1319.034419,1263.162004,1255.384333,1266.785429,1282.208216,1324.597385,1348.302326,1379.507097,1416.325445,1477.729414,1475.452203,1511.587895,1552.049149,1592.056887,1658.091419,1706.72426,1749.581688,1905.153393,1953.488961,2093.435472
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,3948.206577,3843.916256,4165.72193,4294.24377,4501.620409,4855.235084,5170.565645,5362.134408,5507.131736,5588.316562,6324.58585,6283.028613,7052.106698,7704.60019,8515.298911,8978.970138,9357.46338,10053.48939,11222.95071,12209.97476,13129.49119,14410.37032,15537.9232,14261.07891,14949.76082,15776.34001,15933.4761,16889.78907,17153.97564,17095.58427,16554.54628,16317.78387,16001.54237,16205.32805,16552.80129,16608.0929,16113.80548,16957.79119,17515.07971,17369.18235,17768.22848,17764.29488,17338.33841,17620.09862,17922.11709,18329.09417,18946.40506,19573.87181,20208.51667,21059.57987,21886.51842,22539.95178,23998.04589,24933.41329,25308.15661,26804.66874,27597.77888,27425.86032,26159.71938,25225.51591
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,2925.683249,3108.002407,3321.757064,3604.350767,3842.669721,3995.079541,4382.484151,4619.257539,5024.586298,5379.293766,5423.184432,5380.702577,5623.801218,5771.640696,6037.582158,6475.709371,6983.636138,7782.196315,8006.955373,8577.809481,9039.18986,9242.270979,9048.990703,8693.873105,8883.216045,8962.075882,9225.488271,11678.28739,12518.61244,13398.69565,14668.65372,13894.24421,14058.67989,15256.48217,14257.69137,15890.18153,15366.72301,15977.60498,16020.75621,14656.93602,14659.73982
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2765.313269,2758.574436,2774.486898,2759.732177,2654.293098,2646.328172,2773.478979,2816.579436,2859.079856,2940.839623,2941.683567,3010.653549,2975.634857,3132.549237,3151.089582,3238.134491,3393.745943,3441.740377,3750.253866,3868.570799,3992.83679,4110.698635,4389.142757,4582.241783,4770.508467,4772.394887,4907.491315,5152.100085,5288.364459,5503.508349,5665.25374,5568.841797,5334.575784,5098.570038,4958.85746,4832.952459,4724.162423,4583.845927,4571.385784,4634.028803,4677.00991,4702.193934,4736.192001,4838.849961,4881.880653,4974.839362,5052.135892,5097.605428,5154.412436,5285.659995,5376.228299,5376.204969,5471.177687,5490.625686,5527.651041,5588.835627,5767.021987,6008.511351,6075.191618,6015.069417,6089.800755
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,789.676911,916.7102322,967.8891399,929.8656586,938.5988452,835.7301094,859.8155603,860.1893637,829.9828563,825.3866074,795.4559769,689.4136632,712.4758675,714.7813008,711.8916884,734.7626913,741.1568614,783.9809544,741.7781682,776.9715221,752.8933357,756.843535,744.8770445,738.0272166,739.9446508,718.6148965,711.718175,711.8504917,712.9316257,726.8716647,748.5909022,722.9088457,700.8347779,693.8515749,708.1886182,710.7130898,717.6738087,727.432086,758.5242468,782.7754506,793.9657704,799.2493456,827.0656732,854.6664922,840.4027316,834.9916926,837.1232491,827.000084,820.9953583,804.5848136,766.6273942,786.3542458
Guinea-Bissau,,,,,,,,,,,779.6901071,719.5721429,732.5576522,818.0309838,880.0509589,878.4785659,811.7075176,911.789842,921.3266707,1059.670594,1190.365532,1130.233378,1143.771322,1125.214049,1119.999502,1082.509993,1067.896232,1008.021597,1150.764132,1164.513325,996.9540938,891.0152154,966.1620629,891.9793346,1002.783161,1018.588671,963.1096675,1004.169448,1113.450086,1102.8526,1101.794541,1102.14317,1108.285587,1046.454109,1096.459674,1089.149592,1067.022911,1152.041943,795.6535656,839.1084663,824.4005977,766.8231205,768.9122421,759.201635,760.6674159,774.5184738,781.2104673,803.0920853,817.0242791,864.6310287,799.2914468
Guyana,,,,,,,,,,,,,,,,,,,,,2693.792641,2705.016155,2625.309944,2808.891083,2671.840497,2918.673094,3382.787374,3261.177702,3039.332786,3008.709878,3085.335965,3244.531513,2821.488303,2667.05812,2357.037427,2476.55226,2372.326704,2414.191055,2322.47497,2167.345795,1996.594526,1997.775848,2294.781984,2381.159932,2671.516691,2780.668512,3016.687626,3153.769371,3159.311493,3112.443544,3163.709549,3362.390031,3317.405836,3314.61465,3403.519177,3727.134093,3676.535946,4011.961745,4113.494407,4328.88957,4481.270949
Haiti,,,,,,,,,,,1512.410332,1430.46515,1487.069913,1443.174931,1407.176047,1422.922077,1408.415025,1314.666569,1311.811921,1320.656701,1304.797688,1327.236337,1292.459373,1308.428379,1358.125524,1362.825582,1514.818912,1527.253757,1582.759331,1632.757283,1766.440036,1707.019698,1533.714678,1507.076386,1504.593682,1497.492731,1464.901956,1408.867116,1439.043121,1345.435785,1321.822077,1324.119194,1232.559407,1293.394993,1171.643191,1299.898759,1238.90972,1246.306018,1259.512627,1308.716834,1387.863329,1345.706365,1313.509984,1305.451997,1244.568929,1269.047341,1274.084889,1273.698723,1296.09244,1340.509679,1411.040965
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,2357.83528,2359.927125,2207.451225,2288.631392,1951.530067,1926.119361,2254.779026,2192.946945,2283.960396,2349.872417,2227.189373,2192.785633,2202.051319,2113.817949,2141.293719,2298.768985,2325.372061,2339.191673,2408.864885,2352.767856,2350.130154,2567.062849,2653.922708,2638.055054,2752.914116,2846.89389,2992.370855,3015.859576,3232.58523,3384.192405,3237.827711,3358.407135,3344.374417,3188.972746,3084.036619,3161.446232,3063.680473,3147.783698,3141.885235,3204.993261,3095.064649,3005.022414,3103.259771,3097.958838,2878.011734,2949.10716,3010.203282,3093.435718,3075.224858,2855.786596,2992.716472,2997.47057,3016.863333,3068.033341,3175.818711,3298.896446,3439.779675,3611.195893,3696.974264,3551.691597,3578.290299
"Hong Kong, China",,,,,,,,,,,3289.565017,3366.150162,3721.188322,4573.847815,5098.540403,5802.893236,6064.607525,5883.436582,5911.626981,6452.047662,6922.226572,7450.840946,8052.899077,8805.193062,8720.321325,8759.641439,9797.598348,10988.87815,11946.06806,12626.50542,13720.68844,14668.41469,14872.2828,15217.36211,16186.85084,16196.93751,17564.81501,19594.31673,21137.81962,21350.98112,22299.02292,23440.76436,24607.36335,25435.19412,26595.81125,26608.47017,26904.35905,27992.62842,25936.91917,26102.91444,28012.22227,27839.40098,28046.23909,28583.65719,30627.29671,32527.14758,34704.88916,36768.12566,37320.20775,36078.64601,38688.13122
Hungary,,,,,,,,,,,,,,,,,,,,,7778.832353,8341.380896,8514.111197,8859.086809,9514.531766,9995.350579,10189.27122,10731.91193,11305.44155,11271.65092,11254.59793,11519.95926,11686.53457,11696.65902,11895.34158,11973.53113,12283.20495,12756.12083,12703.99781,12890.77571,12488.99446,11279.48325,11054.97216,11308.80936,11550.30964,11386.95919,11351.71217,11716.51286,12263.79378,12736.82723,13248.77008,13732.22531,14463.94702,15126.97902,15824.07696,16475.81996,17134.96751,17206.544,17384.83305,16310.73623,16556.19596
Iceland,10844.36054,10438.78752,10049.84105,11355.98631,12124.00472,13269.70484,13310.19909,12997.94405,13903.07371,14103.84514,14070.68748,13709.27113,14491.75964,15898.72306,17369.36181,18302.40385,19694.01952,19678.63803,18195.02068,17839.53551,19202.09076,22951.26387,22830.96497,24534.37809,26779.95422,25278.2368,25169.53184,28349.83157,29621.80408,30502.60449,31904.32006,33257.60306,34336.72947,30532.44525,32706.82534,32802.69824,34173.68537,38482.01795,37655.14487,35957.81042,35788.42214,35800.93038,35091.17769,35854.43912,35451.29557,35390.36053,35939.00373,36382.91418,37338.63056,36718.04856,37676.34709,38118.50843,37605.34382,37389.76863,37180.65555,40447.92832,43014.14025,43986.83709,43215.8316,37606.49576,35648.49526
India,595.6197071,601.7259245,616.2594227,639.4040048,652.739354,655.2977018,665.7993845,656.0872086,687.5247552,686.4697078,724.1013499,734.180266,746.8390003,782.0803881,821.7096659,788.0703226,768.5206565,809.2674182,829.5043411,899.4511021,893.8994379,907.9711594,885.1509065,899.7259972,887.7489849,929.5249695,953.3669848,980.7924769,1039.86503,998.1772894,1029.931015,1076.86435,1086.874134,1106.594219,1144.23732,1194.610416,1219.990478,1261.329402,1339.221598,1375.04252,1428.641021,1390.91624,1425.810663,1434.228888,1494.947133,1608.103162,1638.525117,1678.917261,1746.1262,1909.588527,1921.450177,1983.791626,2044.810654,2144.353835,2317.311784,2491.526848,2675.386839,2920.927348,2949.047131,3210.649802,3476.777328
Indonesia,,,,,,,,,,,665.1463288,695.6412904,681.0109569,645.9581432,662.3758641,648.3298482,663.9875677,647.0329165,713.5509151,757.1890895,816.206243,873.6920783,965.9758668,1078.881426,1132.966768,1160.134855,1239.868074,1322.118178,1397.442266,1427.962189,1496.49951,1551.52973,1528.151143,1627.84512,1710.716401,1729.357458,1793.15331,1840.25861,1921.417568,2020.600867,2160.144453,2312.243125,2438.451147,2565.036365,2711.859358,2882.562355,3051.542201,3142.993456,2690.083969,2651.442618,2749.614134,2813.912445,2874.110994,3028.449224,3078.724178,3224.11536,3310.291083,3409.189415,3616.321575,3813.958791,3965.798421
Iran,,,,,,2348.115187,2596.819585,3040.772837,3368.241265,3664.627355,4103.092708,4102.691581,4458.607698,4567.44902,4707.998602,5418.944512,5634.433102,6140.219655,6753.096198,7368.908235,8475.234892,9607.969591,10778.62781,11426.19385,11976.70216,11282.17218,13261.1682,11392.27762,9598.733236,8575.783588,7055.584342,5857.317132,6348.971724,6987.8993,7029.580521,6705.673217,5847.396723,5607.132499,5168.177167,5144.044478,5789.135307,6077.121463,6588.919459,6454.677127,6775.779112,6371.044324,6604.870643,6634.489399,6941.498393,7098.213279,7341.125072,7306.330136,7609.834264,8113.043673,8329.853804,8720.964225,9163.973442,9643.571315,9487.425595,9418.652495,9429.374416
Iraq,,,,,,,,,,,,,,,,,,,,,2758.854523,2853.730139,2660.660873,3066.050316,3204.088674,3541.52491,4130.198759,4061.228865,4635.533203,5543.852072,5374.404254,4297.83131,4114.579997,3621.843095,3498.459853,3378.73591,3538.843199,4138.247887,4142.899664,3654.619424,3542.483113,1253.791801,1516.27944,2198.447113,2023.513704,1601.507902,2323.384807,2754.583621,3631.065959,4180.536557,4119.798166,4109.473271,3698.692265,2372.469771,3607.796499,3656.383649,3907.618794,3854.313959,4014.737672,4349.810432,4532.046086
Ireland,6089.65142,6348.817494,6241.368925,6497.333802,6557.354223,6926.737402,6702.96303,6521.064917,6544.269227,7008.077415,7280.305471,7703.045685,7990.455646,8348.346339,8689.00631,8895.42983,8864.215162,9273.087733,10093.1171,10829.19332,10953.96894,11201.68946,11912.83893,12603.7552,12682.52727,12233.70517,12607.72619,13551.58569,14479.46666,15089.8212,14692.52318,15074.77094,14815.95305,14424.59629,14707.55312,14882.14815,14854.49429,15187.37644,15894.03903,17159.34644,18692.72352,18723.12935,18804.14991,19064.09052,20200.03634,22303.42592,24161.67549,26700.58791,28628.55146,31330.52127,34185.54118,35351.91406,36875.07999,38247.59067,38985.03456,40247.22235,41158.90994,42236.86941,40016.10838,35725.70125,34902.26239
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,4895.580119,5259.624324,4764.268287,4553.617059,5178.445093,5706.60751,6236.717352,6145.731948,6296.991349,6748.217926,6989.898591,7595.517996,8033.513055,8469.136613,8889.509338,9300.060698,9010.519697,9083.791552,10494.63748,11691.8279,12320.87191,13166.02605,13991.25112,15091.68922,15391.38775,15795.20462,15122.74622,14523.29247,15053.66366,15316.33627,15198.84576,15798.00071,15884.65136,16122.88033,15861.61014,15952.26391,16213.61369,17271.40706,17367.15488,16974.88425,17848.91564,18784.63373,19430.27073,19561.07631,20224.16455,20789.87885,21307.90861,21437.54325,21718.13608,21831.41368,23234.10991,22595.45669,21889.11581,21816.76866,22468.79721,23227.20377,24113.13932,25072.13107,25642.30995,25241.07261,26037.84148
